Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000162408,NOL9,1,-6.0384,204,1.80541,37,-1.4765,72,-0.5756,80,-0.3161,65,-0.6885
ENSG00000007923,DNAJC11,1,-5.8699,204,2.22883,0,-6.8380,65,-0.5413,55,-0.7112,46,-1.0392
ENSG00000171735,CAMTA1,350,0.72663,204,-0.1840,129,-0.8484,237,0.11343,266,0.27542,198,-0.2152
ENSG00000049245,VAMP3,17,-2.5831,204,1.92446,183,1.09751,17,-2.8152,63,-0.6283,56,-0.8671
ENSG00000116288,PARK7,127,-0.5100,204,0.28855,98,-0.9078,163,-0.1534,326,1.00944,146,-0.3335
ENSG00000142599,RERE,1,-6.6074,204,0.72442,126,-0.2182,182,0.47536,159,0.14279,76,-1.0795
ENSG00000074800,ENO1,189,-1.4137,204,-1.5000,383,-0.3387,633,0.60344,1141,1.47980,503,0.10083
ENSG00000171603,CLSTN1,186,-1.1403,204,-1.1703,218,-0.8948,684,1.29333,513,0.44266,352,-0.1780
ENSG00000162441,LZIC,22,-2.1248,204,2.01783,49,-0.9675,54,-0.9773,63,-0.5924,52,-0.9402
ENSG00000130939,UBE4B,1,-5.8247,204,2.35676,21,-2.1074,58,-0.6767,15,-2.5584,51,-0.8284
ENSG00000054523,KIF1B,517,0.56400,204,-1.0604,286,-0.3814,463,0.49580,453,0.34796,379,0.06586
ENSG00000142657,PGD,1,-5.8545,204,2.27182,33,-1.4438,59,-0.6900,46,-0.9567,38,-1.3348
ENSG00000160049,DFFA,1,-5.8758,204,2.21257,62,-0.5306,43,-1.2461,47,-0.9503,54,-0.8018
ENSG00000120948,TARDBP,63,-0.7942,204,1.54523,155,0.60831,45,-1.5029,93,-0.2111,55,-1.0940
ENSG00000116649,SRM,33,-2.1391,204,0.88177,118,-0.2236,148,0.16695,102,-0.4526,94,-0.6253
ENSG00000116661,FBXO2,1,-7.1735,204,-0.1207,49,-2.2296,249,0.28494,386,0.94871,294,0.55861
ENSG00000132879,FBXO44,1,-6.7688,204,0.47153,21,-3.0236,266,1.10744,110,-0.6102,122,-0.4918
ENSG00000011021,CLCN6,43,-1.3662,204,1.58652,61,-0.8256,63,-0.9184,123,0.25324,62,-0.8833
ENSG00000116685,KIAA2013,1,-5.9401,204,2.04313,116,0.38983,61,-0.7315,18,-2.4246,36,-1.4998
ENSG00000116688,MFN2,2,-5.9809,204,1.03013,102,-0.3558,143,0.22051,91,-0.5217,86,-0.6631
ENSG00000048707,VPS13D,234,0.99989,204,1.04063,113,-0.1839,95,-0.5518,53,-1.3267,52,-1.4561
ENSG00000162496,DHRS3,76,-0.5545,204,1.46606,227,1.22031,29,-2.2439,116,0.10534,40,-1.6077
ENSG00000116731,PRDM2,1,-6.1074,204,1.65079,32,-1.7627,113,0.19110,43,-1.3209,51,-1.1521
ENSG00000142634,EFHD2,1,-6.0711,204,1.73115,195,1.10796,46,-1.3634,9,-3.5346,72,-0.5614
ENSG00000116786,PLEKHM2,1,-6.2059,204,1.44475,55,-1.0587,85,-0.4813,106,-0.0497,89,-0.3569
ENSG00000065526,SPEN,171,0.45679,204,1.00780,246,1.06816,73,-1.0227,66,-1.0360,52,-1.4802
ENSG00000055070,SZRD1,1,-5.7897,204,2.46134,92,0.17780,10,-3.3761,69,-0.2732,50,-0.8239
ENSG00000159363,ATP13A2,82,-0.8291,204,0.80881,92,-0.6572,142,0.03539,154,0.15065,87,-0.8015
ENSG00000117118,SDHB,1,-5.9759,204,1.95403,0,-7.0707,86,-0.1559,76,-0.3176,40,-1.3685
ENSG00000117115,PADI2,69,-0.5840,204,1.73074,70,-0.5497,41,-1.5615,67,-0.6291,80,-0.3832
ENSG00000117154,IGSF21,1,-6.1124,204,1.64017,18,-2.6003,123,0.37330,13,-3.0243,59,-0.9319
ENSG00000053372,MRTO4,1,-5.8096,204,2.40129,35,-1.3287,45,-1.1049,37,-1.2252,48,-0.9076
ENSG00000053371,AKR7A2,1,-5.7912,204,2.45670,14,-2.6074,39,-1.3084,78,-0.0796,41,-1.1494
ENSG00000077549,CAPZB,24,-3.2211,204,-0.0756,435,1.19887,224,0.11325,248,0.25571,169,-0.3899
ENSG00000173436,MICOS10,55,-1.8134,204,0.22760,183,0.01298,210,0.28760,178,-0.0359,173,-0.0902
ENSG00000158747,NBL1,390,0.74631,204,-0.3662,445,0.97075,190,-0.4937,189,-0.4140,254,0.04964
ENSG00000162545,CAMK2N1,523,-0.4984,204,-2.1612,529,-0.4804,1293,1.35773,877,0.31696,747,0.06691
ENSG00000158828,PINK1,300,-0.0256,204,-0.7525,241,-0.3709,411,0.62949,337,0.15804,318,0.07043
ENSG00000127483,HP1BP3,30,-2.6445,204,0.28588,225,0.38487,188,0.11722,221,0.35692,148,-0.3061
ENSG00000075151,EIF4G3,1,-6.3780,204,1.11614,40,-1.7108,133,0.14631,109,-0.2001,100,-0.3623
ENSG00000076864,RAP1GAP,5,-4.8680,204,0.75842,30,-2.3317,211,0.84616,93,-0.6689,100,-0.6097
ENSG00000090686,USP48,309,1.82169,204,1.50946,43,-1.3937,37,-1.8233,32,-1.8354,37,-1.7310
ENSG00000070831,CDC42,175,-0.2582,204,-0.0294,272,0.43973,235,0.25813,154,-0.4604,179,-0.2511
ENSG00000169641,LUZP1,231,1.11889,204,1.25256,65,-0.9082,84,-0.6284,57,-1.1105,38,-1.8093
ENSG00000125944,HNRNPR,93,-0.5271,204,0.99182,132,0.02856,103,-0.4404,92,-0.5388,96,-0.5165
ENSG00000142676,RPL11,739,0.72289,204,-1.4971,1167,1.52467,399,-0.3324,462,-0.0405,521,0.16573
ENSG00000057757,PITHD1,1,-6.4750,204,0.94519,11,-3.6520,185,0.71967,120,-0.1579,78,-0.8813
ENSG00000011009,LYPLA2,56,-0.7868,204,1.96737,24,-2.0538,77,-0.3549,45,-1.1014,28,-1.9087
ENSG00000189266,PNRC2,1,-6.0072,204,1.87834,107,0.17401,52,-1.0932,67,-0.5571,55,-0.9318
ENSG00000188529,SRSF10,1,-5.7517,204,2.58068,1,-5.7606,33,-1.5629,69,-0.2263,50,-0.7990
ENSG00000001461,NIPAL3,1,-5.8014,204,1.90587,49,-1.0225,74,-0.4666,35,-1.5099,62,-0.7088
ENSG00000133226,SRRM1,189,0.78937,204,1.27830,103,-0.1909,76,-0.7882,48,-1.3607,51,-1.3557
ENSG00000169504,CLIC4,90,-0.4353,204,1.21447,471,2.47974,0,-7.5986,37,-1.7536,50,-1.4126
ENSG00000117614,SYF2,1,-6.0818,204,1.70711,149,0.63570,51,-1.2141,83,-0.3061,55,-1.0058
ENSG00000117616,RSRP1,171,0.79338,204,1.56821,99,-0.1040,50,-1.3344,66,-0.7124,31,-1.9700
ENSG00000183726,TMEM50A,83,-0.7688,204,0.86921,265,1.09654,105,-0.4922,80,-0.8178,73,-1.0372
ENSG00000162430,SELENON,55,-1.0967,204,1.37234,180,0.76254,81,-0.6153,70,-0.7323,39,-1.6941
ENSG00000117640,MTFR1L,1,-6.1728,204,1.51239,50,-1.1538,81,-0.5309,105,-0.0362,85,-0.4035
ENSG00000117632,STMN1,199,-1.0896,204,-1.2264,320,-0.3588,740,1.42156,337,-0.2800,371,-0.1440
ENSG00000158008,EXTL1,1,-6.1360,204,1.58949,73,-0.5619,101,-0.0694,53,-1.0388,55,-1.0777
ENSG00000142669,SH3BGRL3,89,-1.1979,204,0.08640,327,0.84247,211,0.15423,205,0.07675,141,-0.5526
ENSG00000198830,HMGN2,122,-0.4879,204,0.41025,303,0.97925,100,-0.9337,194,0.23994,153,-0.1542
ENSG00000117713,ARID1A,1,-6.1634,204,1.53194,61,-0.8632,112,0.09935,73,-0.5904,45,-1.4058
ENSG00000090273,NUDC,1,-6.5899,204,0.75279,167,0.24287,151,0.10523,117,-0.3221,114,-0.3965
ENSG00000253368,TRNP1,1,-5.8003,204,2.42919,17,-2.3825,51,-0.8801,44,-0.9731,42,-1.1189
ENSG00000142784,WDTC1,62,-0.8438,204,1.52087,107,-0.0022,72,-0.7355,51,-1.1425,65,-0.8323
ENSG00000186501,TMEM222,1,-6.2575,204,1.34236,50,-1.2707,115,0.01780,65,-0.8628,90,-0.3994
ENSG00000158195,WASF2,1,-5.9385,204,2.03489,183,1.15245,24,-2.2597,61,-0.6256,39,-1.4087
ENSG00000126705,AHDC1,57,-1.0033,204,1.45466,122,0.17340,83,-0.5111,58,-0.9727,52,-1.2129
ENSG00000126709,IFI6,206,-0.2109,204,-0.2766,952,2.53939,110,-1.3600,137,-0.8373,176,-0.4975
ENSG00000117758,STX12,48,-1.3296,204,1.34635,39,-1.6094,83,-0.5960,122,0.11971,91,-0.3884
ENSG00000126698,DNAJC8,1,-6.3551,204,1.15782,51,-1.3189,110,-0.1987,163,0.47114,91,-0.4891
ENSG00000130770,ATP5IF1,194,-0.0544,204,0.02568,186,-0.1240,241,0.37074,189,-0.0954,154,-0.4525
ENSG00000198492,YTHDF2,1,-6.0642,204,1.74660,74,-0.4551,81,-0.3941,76,-0.4221,44,-1.3173
ENSG00000116350,SRSF4,1,-6.0445,204,1.79125,103,0.07893,74,-0.5373,40,-1.3732,51,-1.0714
ENSG00000162512,SDC3,34,-2.6860,204,0.00197,205,0.01162,226,0.21022,271,0.46337,220,0.13711
ENSG00000134644,PUM1,1,-6.7435,204,0.51014,126,-0.3696,211,0.58536,136,-0.2501,124,-0.4314
ENSG00000121766,ZCCHC17,1,-6.3834,204,1.10654,34,-1.9428,152,0.41814,80,-0.6878,92,-0.5166
ENSG00000121769,FABP3,1,-6.1018,204,1.66318,34,-1.6737,105,0.05026,35,-1.6236,64,-0.7864
ENSG00000162517,PEF1,1,-6.1328,204,1.59631,65,-0.7203,91,-0.2712,96,-0.1361,51,-1.1765
ENSG00000121753,ADGRB2,50,-2.4126,204,-0.3886,116,-1.1736,396,1.01982,301,0.29828,240,-0.0670
ENSG00000184007,PTP4A2,353,0.83561,204,-0.0762,239,0.19318,162,-0.5100,102,-1.1227,269,0.43692
ENSG00000121774,KHDRBS1,1,-6.6560,204,0.64657,275,0.99886,161,0.14463,134,-0.1772,73,-1.1991
ENSG00000025800,KPNA6,27,-1.6789,204,2.53968,16,-2.4240,36,-1.4125,80,-0.0192,23,-2.0023
ENSG00000084623,EIF3I,22,-2.7252,204,0.90593,244,0.97883,103,-0.5019,126,-0.1037,84,-0.7987
ENSG00000175130,MARCKSL1,1,-6.7798,204,0.45490,58,-1.5839,91,-1.0701,331,1.16902,263,0.89346
ENSG00000160058,BSDC1,41,-1.5384,204,1.33999,164,0.59320,65,-1.0281,75,-0.6464,83,-0.5312
ENSG00000162521,RBBP4,1,-6.2820,204,1.29502,220,1.06090,66,-1.0082,107,-0.1301,67,-0.9058
ENSG00000134684,YARS,71,-0.7021,204,1.38669,85,-0.4306,85,-0.5271,83,-0.4724,64,-0.9335
ENSG00000121905,HPCA,1,-6.8305,204,0.37892,0,-7.9135,290,1.22277,140,-0.2950,120,-0.5877
ENSG00000134686,PHC2,285,1.21923,204,0.85939,231,0.85208,75,-1.0955,49,-1.5695,54,-1.5295
ENSG00000116544,DLGAP3,5,-4.9511,204,0.68637,21,-2.8865,202,0.66722,138,-0.1042,121,-0.3469
ENSG00000116560,SFPQ,14,-3.5923,204,0.58209,283,0.99705,143,-0.1430,157,0.02979,101,-0.7085
ENSG00000146463,ZMYM4,77,-0.3434,204,1.87011,19,-2.3999,79,-0.3749,31,-1.7079,40,-1.4312
ENSG00000142687,KIAA0319L,128,0.22295,204,1.39872,101,-0.1533,81,-0.6006,42,-1.4923,51,-1.2915
ENSG00000020129,NCDN,218,-0.9746,204,-1.2563,216,-0.9896,795,1.58168,372,-0.1515,353,-0.2601
ENSG00000126067,PSMB2,1,-6.5062,204,0.89176,190,0.54897,141,0.07789,125,-0.1223,69,-1.1114
ENSG00000142686,C1orf216,72,-0.7149,204,1.34652,17,-2.8506,140,0.43028,53,-1.1762,39,-1.7317
ENSG00000092847,AGO1,45,-1.1868,204,1.82319,56,-0.8379,84,-0.2875,38,-1.4127,34,-1.7134
ENSG00000054116,TRAPPC3,59,-0.8540,204,1.65108,75,-0.4858,85,-0.3551,53,-1.0204,37,-1.6429
ENSG00000116871,MAP7D1,180,-0.2661,204,-0.0937,290,0.49213,262,0.42424,207,-0.0489,137,-0.7460
ENSG00000054118,THRAP3,1,-6.1163,204,1.63155,47,-1.1923,95,-0.1592,64,-0.7305,63,-0.8323
ENSG00000163875,MEAF6,1,-6.2127,204,1.43097,25,-2.2339,118,0.14397,88,-0.3572,66,-0.8508
ENSG00000197982,C1orf122,283,0.34728,204,-0.2194,154,-0.6134,209,-0.1703,352,0.70648,241,0.09607
ENSG00000116954,RRAGC,1,-5.8978,204,2.15301,48,-0.9266,69,-0.4786,36,-1.3703,36,-1.4778
ENSG00000174574,AKIRIN1,1,-6.3150,204,1.06791,171,0.49370,138,0.18208,98,-0.3916,45,-1.6555
ENSG00000168653,NDUFS5,141,-1.3191,204,-0.9107,383,0.21858,502,0.88652,420,0.36561,308,-0.1446
ENSG00000127603,MACF1,1415,2.69383,204,-0.8724,231,-0.5410,207,-0.8443,322,-0.0263,199,-0.8368
ENSG00000090621,PABPC4,94,-0.4905,204,1.00752,243,1.04421,84,-0.7949,70,-0.9312,74,-0.9186
ENSG00000116983,HPCAL4,4,-6.3814,204,-1.0445,64,-2.5978,680,1.48861,413,0.21382,422,0.27622
ENSG00000168389,MFSD2A,1,-6.2644,204,1.32862,419,2.31452,40,-1.8047,51,-1.2421,27,-2.2721
ENSG00000131236,CAP1,188,0.22131,204,0.45540,224,0.50880,146,-0.2148,120,-0.4826,108,-0.6983
ENSG00000131238,PPT1,224,0.53217,204,0.48933,164,0.03357,145,-0.2074,200,0.35065,68,-1.3996
ENSG00000084073,ZMPSTE24,1,-6.0521,204,1.77408,156,0.74042,68,-0.6944,34,-1.5988,39,-1.4892
ENSG00000084070,SMAP2,153,0.14641,204,0.82068,85,-0.7612,159,0.26481,64,-1.1813,71,-1.1097
ENSG00000117016,RIMS3,1,-6.2295,204,1.39753,26,-2.2028,95,-0.3175,108,-0.0471,99,-0.2128
ENSG00000066136,NFYC,1,-5.7885,204,2.46463,6,-3.8660,58,-0.6337,47,-0.8501,31,-1.5637
ENSG00000198815,FOXJ3,189,0.81963,204,1.32531,77,-0.6153,86,-0.5478,63,-0.9249,31,-2.0760
ENSG00000065978,YBX1,303,1.20342,204,0.69677,280,1.06460,50,-1.8665,54,-1.5149,109,-0.5130
ENSG00000117394,SLC2A1,61,-2.7463,204,-1.1192,3050,4.78020,17,-4.8655,127,-1.6603,128,-1.7601
ENSG00000142949,PTPRF,15,-3.5619,204,0.35720,59,-1.6153,239,0.71574,173,0.02095,153,-0.1983
ENSG00000126091,ST3GAL3,1,-6.0497,204,1.77946,80,-0.3311,63,-0.8303,37,-1.5000,83,-0.2908
ENSG00000117408,IPO13,1,-6.2344,204,1.38763,102,-0.1531,90,-0.4188,103,-0.1366,73,-0.7254
ENSG00000117410,ATP6V0B,1,-7.3547,204,-0.3446,151,-0.7399,366,0.88337,259,0.09836,281,0.25245
ENSG00000117411,B4GALT2,90,-0.5761,204,0.96843,10,-3.7109,95,-0.6057,111,-0.2594,167,0.43921
ENSG00000117419,ERI3,51,-1.7360,204,0.51488,146,-0.1322,157,-0.0296,204,0.39846,134,-0.2963
ENSG00000187147,RNF220,157,0.30313,204,0.99642,66,-1.0279,111,-0.2926,67,-1.0075,95,-0.5262
ENSG00000142937,RPS8,607,0.25500,204,-1.6396,1443,1.76124,422,-0.3928,557,0.11729,606,0.28254
ENSG00000126088,UROD,46,-1.1255,204,1.86665,31,-1.6850,64,-0.7438,95,-0.0152,39,-1.4465
ENSG00000117450,PRDX1,154,-1.1019,204,-0.8056,545,0.89996,322,0.04432,635,1.16738,276,-0.2297
ENSG00000085998,POMGNT1,1,-6.1830,204,1.49127,112,0.06205,89,-0.3757,55,-1.0462,71,-0.6977
ENSG00000132128,LRRC41,1,-6.0521,204,1.77389,2,-5.5852,103,0.09422,65,-0.6389,48,-1.1975
ENSG00000173660,UQCRH,47,-2.5768,204,-0.4564,228,-0.1995,402,0.96864,290,0.18269,233,-0.1842
ENSG00000123472,ATPAF1,1,-6.4993,204,0.90363,4,-5.0985,135,0.00624,195,0.59620,132,-0.0296
ENSG00000159658,EFCAB14,20,-2.7259,204,1.04456,178,0.54061,82,-0.8037,114,-0.1682,114,-0.1860
ENSG00000162368,CMPK1,1,-6.4257,204,1.03090,191,0.64768,96,-0.5355,91,-0.5345,112,-0.2283
ENSG00000162374,ELAVL4,1,-6.8848,204,0.29893,26,-2.8370,290,1.11946,124,-0.5406,151,-0.2616
ENSG00000123091,RNF11,163,-1.1679,204,-0.9788,286,-0.3058,549,1.01000,374,0.11527,372,0.12153
ENSG00000085832,EPS15,1,-6.6225,204,0.69885,38,-2.0494,160,0.17751,183,0.35594,150,0.03783
ENSG00000078618,NRDC,1,-6.1869,204,1.48312,68,-0.7212,102,-0.1086,55,-1.0392,74,-0.6348
ENSG00000169213,RAB3B,1,-6.7556,204,0.49162,0,-7.8499,258,1.04865,78,-1.1087,152,-0.0948
ENSG00000134717,BTF3L4,1,-6.0610,204,1.75387,88,-0.1876,77,-0.4770,72,-0.4918,44,-1.3397
ENSG00000162378,ZYG11B,117,-0.6097,204,0.33602,52,-1.8164,258,0.86790,147,-0.2510,100,-0.9094
ENSG00000116171,SCP2,41,-1.7711,204,0.94609,152,0.22300,114,-0.2792,184,0.52797,62,-1.2492
ENSG00000157193,LRP8,1,-5.9386,204,2.04714,99,0.12565,44,-1.3039,55,-0.7651,52,-0.9251
ENSG00000116209,TMEM59,1,-6.5900,204,0.75259,176,0.32875,107,-0.5569,242,0.85543,113,-0.4031
ENSG00000116221,MRPL37,37,-1.3900,204,1.96453,88,-0.0976,42,-1.4166,59,-0.6972,52,-0.9614
ENSG00000157216,SSBP3,131,-0.5142,204,0.22710,2,-6.1536,271,0.86821,131,-0.5149,156,-0.2618
ENSG00000116133,DHCR24,1,-6.7287,204,0.48405,124,-0.4164,273,1.19027,80,-1.0838,70,-1.3708
ENSG00000162407,PLPP3,7,-4.8888,204,-0.0921,259,0.31233,78,-1.7565,963,2.79360,137,-0.7517
ENSG00000162409,PRKAA2,100,-0.0662,204,1.59161,44,-1.3317,96,-0.1599,44,-1.3104,31,-1.9612
ENSG00000177606,JUN,158,-0.3116,204,0.11473,117,-0.7721,184,-0.0870,445,1.41093,117,-0.8412
ENSG00000162599,NFIA,927,2.28923,204,-0.4370,216,-0.2685,107,-1.5433,300,0.25343,222,-0.2480
ENSG00000162604,TM2D1,1,-5.9554,204,2.00464,57,-0.7441,56,-0.8967,119,0.41138,28,-1.8986
ENSG00000116641,DOCK7,27,-1.9239,204,1.81316,124,0.38676,49,-1.2461,79,-0.3272,42,-1.3574
ENSG00000079739,PGM1,1,-5.8210,204,2.36764,54,-0.6951,29,-1.8478,119,0.56180,26,-1.8579
ENSG00000162434,JAK1,90,-0.4050,204,1.28205,202,0.90793,58,-1.2315,83,-0.5297,59,-1.1273
ENSG00000162433,AK4,35,-2.0066,204,0.95769,86,-0.6617,119,-0.1929,176,0.46557,91,-0.6175
ENSG00000116675,DNAJC6,326,0.17253,204,-0.6793,71,-2.1481,482,1.11544,326,0.17144,221,-0.4801
ENSG00000213625,LEPROT,187,0.73196,204,1.21364,246,1.20716,32,-2.2511,109,-0.1432,32,-2.1153
ENSG00000184588,PDE4B,275,1.12223,204,0.81505,122,-0.2063,92,-0.7688,95,-0.6042,78,-0.9703
ENSG00000118473,SGIP1,169,0.35289,204,0.88264,15,-3.3054,151,0.21970,121,-0.1763,61,-1.3013
ENSG00000142864,SERBP1,367,1.27235,204,0.35830,205,0.29214,105,-0.8961,149,-0.2204,117,-0.6380
ENSG00000116729,WLS,163,0.29904,204,0.89019,108,-0.3547,59,-1.4568,278,1.19954,75,-0.9854
ENSG00000033122,LRRC7,1,-6.3166,204,1.22918,18,-2.8170,166,0.71918,74,-0.7205,51,-1.3932
ENSG00000116754,SRSF11,177,0.06048,204,0.36628,240,0.55265,142,-0.3524,141,-0.3007,140,-0.3364
ENSG00000132485,ZRANB2,232,0.81831,204,0.80313,97,-0.5692,127,-0.2003,103,-0.4831,60,-1.3812
ENSG00000172260,NEGR1,301,1.01563,204,0.46528,17,-3.3205,157,-0.0711,64,-1.4231,163,-0.0002
ENSG00000178965,ERICH3,1,-5.9812,204,1.94088,0,-7.0655,116,0.42795,39,-1.3503,17,-2.6375
ENSG00000117069,ST6GALNAC5,90,-0.1239,204,1.82837,0,-7.1233,94,-0.0672,48,-1.0923,19,-2.5852
ENSG00000154027,AK5,1,-7.0521,204,0.06047,124,-0.7282,358,1.37883,99,-1.0690,132,-0.6777
ENSG00000077254,USP33,171,0.57828,204,1.20882,56,-1.1518,68,-1.0288,140,0.25686,66,-0.9887
ENSG00000180488,MIGA1,69,-0.6560,204,1.58228,42,-1.3779,90,-0.2936,45,-1.2899,58,-0.9878
ENSG00000162613,FUBP1,1,-6.0559,204,1.76545,106,0.10405,79,-0.4348,51,-1.0227,42,-1.4144
ENSG00000162616,DNAJB4,267,1.42977,204,1.33120,71,-0.7276,53,-1.3594,86,-0.4381,30,-2.1058
ENSG00000137941,TTLL7,290,0.91622,204,0.42115,208,0.35985,144,-0.2812,45,-1.9617,121,-0.5423
ENSG00000142875,PRKACB,508,0.96052,204,-0.6187,145,-1.0274,378,0.60985,281,-0.0139,218,-0.4495
ENSG00000174021,GNG5,1,-6.2031,204,1.45047,253,1.40723,26,-2.3896,175,0.76025,43,-1.5344
ENSG00000117155,SSX2IP,329,1.25882,204,0.57499,57,-1.5098,180,0.31038,76,-1.0917,44,-2.0082
ENSG00000162642,C1orf52,156,0.45484,204,1.25074,1,-6.7893,125,0.12940,56,-1.1371,47,-1.5046
ENSG00000153904,DDAH1,448,0.54439,204,-0.8334,79,-2.1156,322,0.01634,701,1.31502,355,0.18874
ENSG00000097033,SH3GLB1,1,-5.9490,204,2.02068,110,0.28835,42,-1.3721,107,0.23849,27,-1.9593
ENSG00000183291,SELENOF,1,-6.3090,204,1.20733,174,0.60625,85,-0.6344,136,0.20922,68,-0.9313
ENSG00000153936,HS2ST1,189,0.89069,204,1.45386,15,-2.9745,74,-0.7199,82,-0.4420,42,-1.5555
ENSG00000143013,LMO4,2,-7.4024,204,-1.4126,228,-1.0490,940,1.81472,449,-0.0049,422,-0.1135
ENSG00000197147,LRRC8B,1,-6.3737,204,1.12400,8,-3.9405,159,0.53736,106,-0.2374,76,-0.8177
ENSG00000162664,ZNF326,166,0.74826,204,1.59028,1,-6.2253,65,-0.8691,44,-1.3072,66,-0.7692
ENSG00000122482,ZNF644,387,1.99330,204,1.12412,113,-0.1385,42,-1.8636,37,-1.8135,41,-1.7714
ENSG00000189195,BTBD8,276,0.83753,204,0.42964,75,-1.2147,182,0.19536,99,-0.7961,106,-0.7508
ENSG00000122406,RPL5,22,-3.6382,204,-0.4720,743,1.80050,223,-0.3017,273,0.07185,277,0.10126
ENSG00000117505,DR1,1,-5.8904,204,2.17301,1,-6.1507,63,-0.6258,80,-0.1558,44,-1.1568
