Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000120948,TARDBP,283,2.35222,59,-0.3914,41,-0.9447,28,-1.6038,53,-0.5629,77,0.02156,22,-1.8360,83,0.16026
ENSG00000116649,SRM,211,1.58506,226,1.72079,89,0.11550,50,-0.8461,43,-1.0154,53,-0.7437,26,-1.7484,55,-0.6997
ENSG00000116661,FBXO2,725,2.09326,340,0.70913,520,1.45095,193,-0.2310,1,-6.9850,114,-1.0847,102,-1.1800,58,-2.1207
ENSG00000132879,FBXO44,3,-4.4263,318,2.67578,74,0.00285,72,-0.0462,153,1.21038,1,-6.4924,33,-1.2335,43,-0.9038
ENSG00000011021,CLCN6,3,-3.4602,196,3.14376,18,-1.1070,35,-0.1247,1,-4.4794,44,0.27567,7,-2.4811,15,-1.4730
ENSG00000116688,MFN2,3,-3.9970,96,0.91459,48,-0.2089,30,-0.9950,2,-4.5744,72,0.49584,79,0.59202,85,0.81781
ENSG00000116731,PRDM2,3,-3.6363,119,1.75307,15,-1.5553,24,-0.9184,72,0.86174,53,0.38942,27,-0.7242,39,-0.1640
ENSG00000116786,PLEKHM2,3,-3.9901,119,1.30412,54,-0.0232,67,0.37422,72,0.44196,42,-0.4296,68,0.35708,32,-0.8798
ENSG00000065526,SPEN,3,-3.4907,63,0.79929,40,0.06843,29,-0.4754,1,-4.5096,18,-1.2607,19,-1.0793,102,2.03026
ENSG00000055070,SZRD1,318,2.39314,27,-1.7292,62,-0.4547,33,-1.5043,1,-5.5980,127,0.77342,17,-2.3838,87,0.07374
ENSG00000159363,ATP13A2,3,-4.0399,183,2.05072,30,-0.9654,70,0.38262,29,-1.0204,84,0.72767,12,-2.3258,28,-1.1309
ENSG00000117118,SDHB,159,1.62871,97,0.75016,71,0.23175,24,-1.5261,29,-1.1161,114,1.20483,8,-2.8964,15,-2.1710
ENSG00000117115,PADI2,3,-5.1693,14,-3.1986,73,-0.8204,23,-2.6308,44,-1.5518,411,2.77801,89,-0.5073,133,0.13063
ENSG00000077549,CAPZB,459,1.63438,397,1.36700,157,-0.1741,61,-1.7040,166,-0.0942,154,-0.2305,60,-1.6387,132,-0.4880
ENSG00000173436,MICOS10,476,0.85228,243,-0.2364,226,-0.3494,97,-1.7369,129,-1.2082,265,-0.1140,330,0.25001,490,1.05212
ENSG00000158747,NBL1,3,-5.5790,394,1.47837,183,0.17270,109,-0.6853,561,2.16949,7,-4.7108,77,-1.1645,177,0.13254
ENSG00000162545,CAMK2N1,3,-7.0950,776,0.82086,354,-0.4441,374,-0.3899,171,-1.5410,713,0.77787,484,0.04818,602,0.44979
ENSG00000158828,PINK1,305,0.76825,255,0.47130,158,-0.2855,113,-0.8751,70,-1.5160,140,-0.5204,268,0.55655,264,0.60551
ENSG00000127483,HP1BP3,380,1.81874,161,0.31206,145,0.15156,65,-1.1670,56,-1.2984,199,0.75672,45,-1.6237,69,-1.0772
ENSG00000075151,EIF4G3,265,1.91974,167,1.06048,67,-0.4064,28,-1.8187,1,-5.6895,87,-0.0179,29,-1.6715,102,0.26868
ENSG00000076864,RAP1GAP,3,-4.0708,349,3.59139,17,-1.8451,62,0.13881,55,-0.0856,24,-1.4488,26,-1.1926,6,-3.4037
ENSG00000070831,CDC42,359,0.77181,332,0.63909,134,-0.7968,64,-2.0213,224,0.00261,410,1.16348,57,-2.0559,205,-0.1568
ENSG00000125944,HNRNPR,164,1.00903,68,-0.4079,64,-0.4983,38,-1.3738,19,-2.2730,136,0.78900,65,-0.4919,124,0.60940
ENSG00000117318,ID3,274,2.05232,4,-4.4370,111,0.42968,18,-2.4161,60,-0.5350,39,-1.2546,15,-2.6038,176,1.44904
ENSG00000142676,RPL11,1052,-0.1116,226,-2.4260,532,-1.1585,270,-2.2877,980,-0.2225,1455,0.46130,1512,0.47163,2333,1.43677
ENSG00000057757,PITHD1,321,1.84347,151,0.50991,73,-0.6339,34,-1.9046,66,-0.7873,183,0.95956,34,-1.7876,67,-0.8460
ENSG00000189266,PNRC2,259,1.90970,44,-1.0401,69,-0.3447,25,-1.9605,119,0.52689,102,0.30585,20,-2.2039,90,0.08569
ENSG00000001461,NIPAL3,3,-4.6030,27,-1.7132,3,-4.6922,14,-2.7314,1,-5.6119,201,1.80817,169,1.17505,141,0.98981
ENSG00000133226,SRRM1,3,-4.3663,85,0.28436,52,-0.4880,43,-0.8392,34,-1.1286,146,1.42149,16,-2.2076,106,0.74602
ENSG00000169504,CLIC4,3,-5.2439,1,-7.0143,107,-0.3123,13,-3.4838,226,0.90375,337,1.99486,111,-0.2538,142,0.15098
ENSG00000117614,SYF2,254,1.43267,44,-1.3607,123,0.19940,39,-1.6513,133,0.33005,171,0.85362,30,-1.9232,93,-0.2545
ENSG00000117616,RSRP1,277,1.92875,132,0.59800,68,-0.4636,11,-3.2101,42,-1.1743,152,0.96251,20,-2.2519,68,-0.4907
ENSG00000183726,TMEM50A,3,-4.7930,125,0.43643,126,0.44802,27,-2.0068,149,0.72839,222,1.72292,24,-2.0818,61,-0.7542
ENSG00000162430,SELENON,521,3.28280,94,-0.0300,61,-0.6948,33,-1.7226,1,-5.8161,81,-0.2824,67,-0.5625,40,-1.4207
ENSG00000117640,MTFR1L,3,-3.4623,107,1.77189,71,1.03600,31,-0.3612,1,-4.4816,55,0.67872,25,-0.6094,19,-1.1601
ENSG00000117632,STMN1,6,-6.2459,890,1.03510,154,-1.7123,90,-2.6314,54,-3.2429,1422,2.42313,261,-0.9259,419,-0.2207
ENSG00000142669,SH3BGRL3,586,1.29288,172,-0.6992,246,-0.1473,74,-2.0848,392,0.60077,336,0.39166,192,-0.5324,283,0.08284
ENSG00000198830,HMGN2,259,0.77923,62,-1.4432,176,0.14283,44,-2.0606,97,-0.7809,300,1.20740,129,-0.3438,178,0.17782
ENSG00000117713,ARID1A,3,-3.9281,97,1.01104,61,0.23681,21,-1.4384,1,-4.9456,139,2.06385,30,-0.8251,30,-0.9023
ENSG00000090273,NUDC,1049,3.29941,216,0.19094,143,-0.4571,35,-2.6692,2,-6.3858,130,-0.6613,163,-0.2549,103,-1.0310
ENSG00000186501,TMEM222,3,-4.4901,200,1.62320,40,-1.0064,57,-0.5008,2,-5.1862,166,1.52680,20,-2.0263,68,-0.2239
ENSG00000158195,WASF2,3,-4.5330,5,-3.9961,69,-0.2230,24,-1.9244,78,-0.0360,227,2.27019,29,-1.5231,94,0.30497
ENSG00000126709,IFI6,1406,2.25618,178,-1.2257,295,-0.4588,96,-2.2581,474,0.29046,165,-1.4355,59,-2.8462,706,1.11473
ENSG00000117758,STX12,238,1.79779,94,0.19005,116,0.52691,27,-1.8314,1,-5.6210,114,0.56439,16,-2.4380,86,0.05368
ENSG00000126698,DNAJC8,388,2.03083,191,0.73581,103,-0.2571,50,-1.4428,117,-0.0505,107,-0.2117,60,-1.0705,80,-0.7063
ENSG00000130770,ATP5IF1,718,2.13593,278,0.42753,220,0.04486,47,-2.3874,97,-1.2062,267,0.40799,106,-1.0774,149,-0.6062
ENSG00000116350,SRSF4,3,-3.5219,61,0.70424,72,0.99783,21,-1.0042,1,-4.5411,61,0.80723,30,-0.3943,50,0.42756
ENSG00000162512,SDC3,3,-4.4176,191,1.62703,170,1.41436,49,-0.6898,75,0.03349,35,-1.2034,68,-0.1084,65,-0.2000
ENSG00000134644,PUM1,271,1.86907,237,1.61354,42,-1.1984,52,-0.9501,50,-0.9361,52,-0.9380,41,-1.2445,80,-0.2317
ENSG00000121766,ZCCHC17,3,-4.4991,257,2.10195,61,-0.3713,48,-0.7937,121,0.71590,31,-1.4902,77,-0.0059,87,0.21376
ENSG00000121769,FABP3,3,-3.7957,376,4.63102,6,-2.9480,42,-0.2264,1,-4.8134,12,-2.1568,10,-2.2637,9,-2.5497
ENSG00000162517,PEF1,3,-3.8719,154,1.94307,20,-1.3531,27,-1.0471,12,-2.0808,105,1.46420,10,-2.4226,44,-0.2306
ENSG00000084636,COL16A1,316,2.65849,77,0.06454,26,-1.5669,21,-2.0196,1,-5.3839,139,1.22035,1,-5.4533,35,-1.2056
ENSG00000121753,ADGRB2,3,-4.5420,411,3.12249,36,-1.2338,117,0.70441,1,-5.5579,42,-1.0552,15,-2.5076,47,-0.8820
ENSG00000184007,PTP4A2,3,-6.7596,80,-2.3279,101,-1.9841,102,-2.0796,54,-2.8948,577,0.81814,522,0.54566,989,2.07061
ENSG00000121774,KHDRBS1,479,2.36320,219,0.88275,96,-0.4462,38,-1.9451,104,-0.3306,153,0.32430,29,-2.2135,48,-1.5791
ENSG00000084623,EIF3I,3,-4.0445,135,1.45862,92,0.78346,23,-1.4585,1,-5.0616,110,1.29416,22,-1.4146,51,-0.1709
ENSG00000175130,MARCKSL1,3,-7.2369,161,-1.7757,378,-0.4920,133,-2.1789,65,-3.0979,1842,3.03398,258,-1.0749,443,-0.2709
ENSG00000160058,BSDC1,3,-3.6551,130,1.90034,45,0.06152,33,-0.4415,1,-4.6736,52,0.33691,4,-3.2653,60,0.59895
ENSG00000162521,RBBP4,315,2.23326,87,-0.0298,75,-0.2653,44,-1.1658,87,-0.0427,124,0.60399,22,-2.1267,29,-1.7824
ENSG00000134684,YARS,3,-3.7824,145,1.93857,79,0.84704,25,-1.0714,82,0.90585,61,0.47978,9,-2.3784,14,-1.9512
ENSG00000121905,HPCA,3,-4.7646,681,4.28404,42,-1.2060,89,-0.0718,46,-1.0953,4,-4.5824,37,-1.3906,14,-2.9044
ENSG00000121900,TMEM54,3,-3.4725,28,-0.4811,102,1.67735,29,-0.4545,1,-4.4919,56,0.72739,58,0.68812,27,-0.5699
ENSG00000134686,PHC2,3,-4.5107,78,-0.0070,70,-0.1660,30,-1.5365,151,1.08727,148,1.23100,30,-1.4676,86,0.16268
ENSG00000116544,DLGAP3,3,-2.9270,152,3.44878,30,0.20298,35,0.52852,1,-3.9491,0,-6.1683,31,0.27115,0,-6.8701
ENSG00000116560,SFPQ,3,-5.5187,105,-0.6315,110,-0.5535,54,-1.7350,455,1.82870,284,1.13493,34,-2.3096,174,0.17871
ENSG00000020129,NCDN,3,-5.3042,835,3.65760,95,-0.5612,97,-0.5731,58,-1.3104,100,-0.5184,32,-2.1799,38,-2.0332
ENSG00000126067,PSMB2,3,-4.3608,123,0.90617,100,0.56155,28,-1.4816,42,-0.7940,162,1.67935,12,-2.6777,58,-0.3405
ENSG00000116871,MAP7D1,3,-5.5803,273,0.83183,56,-1.6273,66,-1.4859,69,-1.3250,474,2.30856,28,-2.6406,148,-0.1821
ENSG00000054118,THRAP3,431,3.16725,110,0.46282,35,-1.2912,18,-2.4106,1,-5.6025,72,-0.2438,23,-1.9464,64,-0.4379
ENSG00000163875,MEAF6,3,-4.0107,185,2.11442,40,-0.5117,23,-1.4064,143,1.60469,79,0.65801,10,-2.5037,11,-2.4675
ENSG00000197982,C1orf122,3,-6.3191,179,-0.6644,221,-0.3376,159,-0.9094,180,-0.6525,538,1.31892,276,0.01118,381,0.60222
ENSG00000174574,AKIRIN1,49,-0.2258,67,0.27654,66,0.25780,25,-1.2973,1,-5.0522,130,1.70229,26,-1.1542,49,-0.2461
ENSG00000168653,NDUFS5,449,0.45333,385,0.20439,439,0.41702,155,-1.2875,123,-1.5480,467,0.58874,244,-0.5106,421,0.39292
ENSG00000127603,MACF1,245,0.80030,146,-0.0413,225,0.65655,77,-1.1130,138,-0.1342,195,0.47484,71,-1.1393,141,-0.1085
ENSG00000090621,PABPC4,3,-4.0952,79,0.47010,33,-0.8909,31,-1.0377,134,1.38521,81,0.60094,11,-2.4218,79,0.55531
ENSG00000116983,HPCAL4,3,-4.9205,568,3.29338,103,-0.0173,92,-0.2193,91,-0.2137,33,-1.8248,81,-0.3874,24,-2.3407
ENSG00000131236,CAP1,3,-4.7212,80,-0.1950,116,0.40409,56,-0.8049,110,0.31145,160,1.08115,39,-1.2825,108,0.31435
ENSG00000131238,PPT1,464,2.58304,161,0.58511,150,0.46616,46,-1.4399,22,-2.4632,114,0.03211,7,-4.0530,55,-1.1886
ENSG00000049089,COL9A2,13,-2.3901,0,-8.7617,23,-1.5425,15,-2.3421,1,-5.2548,203,2.55796,78,0.30344,81,0.39861
ENSG00000065978,YBX1,478,1.02178,58,-2.2503,190,-0.4770,55,-2.4442,895,2.20643,169,-0.7155,176,-0.5918,293,0.23381
ENSG00000117394,SLC2A1,33,-2.8220,20,-3.5841,334,0.67623,70,-1.8597,443,1.16089,54,-2.2387,33,-2.8277,656,2.40545
ENSG00000066322,ELOVL1,3,-5.5827,25,-2.7870,62,-1.4763,12,-3.9550,16,-3.4803,640,3.43238,50,-1.8028,174,0.09922
ENSG00000142949,PTPRF,75,-0.4988,328,2.01569,61,-0.8027,125,0.33921,1,-5.9264,123,0.31867,40,-1.4447,67,-0.7288
ENSG00000126091,ST3GAL3,3,-2.8396,64,1.63275,31,0.35250,38,0.81701,1,-3.8615,11,-1.2724,59,1.45403,6,-2.1142
ENSG00000117408,IPO13,136,0.19936,85,-0.5328,43,-1.5586,34,-2.0207,40,-1.6814,322,2.08921,53,-1.2561,126,0.08894
ENSG00000117410,ATP6V0B,27,-3.3713,1009,2.47639,175,-0.5910,130,-1.1258,172,-0.6213,493,1.27393,25,-3.4379,82,-1.8385
ENSG00000117411,B4GALT2,3,-3.9436,86,0.79024,67,0.38230,62,0.29806,1,-4.9611,113,1.52029,5,-3.3852,33,-0.7850
ENSG00000117419,ERI3,3,-4.8453,291,1.86509,92,-0.1018,94,-0.0835,123,0.34613,116,0.29667,31,-1.7385,62,-0.7795
ENSG00000187147,RNF220,196,0.84102,128,0.13775,43,-1.5088,25,-2.4119,4,-4.9234,256,1.56099,40,-1.6203,157,0.53945
ENSG00000142937,RPS8,2168,0.26037,650,-1.5926,1011,-0.9292,366,-2.5645,2271,0.33598,2213,0.33055,2194,0.27941,3406,1.18799
ENSG00000126088,UROD,3,-3.3098,37,0.12401,69,1.15694,31,-0.1735,2,-3.6851,82,1.78821,15,-1.1918,11,-1.7761
ENSG00000117450,PRDX1,1272,1.84908,414,-0.0831,579,0.45617,223,-1.1140,283,-0.6740,642,0.71791,111,-2.0722,204,-1.2533
ENSG00000085998,POMGNT1,235,1.56839,131,0.54980,84,-0.1674,37,-1.5106,52,-0.8930,149,0.87108,17,-2.5238,68,-0.5437
ENSG00000173660,UQCRH,1083,2.07905,548,0.82321,342,0.05302,109,-1.7988,148,-1.2319,243,-0.5306,255,-0.4078,281,-0.2837
ENSG00000123472,ATPAF1,326,2.24214,114,0.33913,150,0.79199,59,-0.7575,59,-0.6763,59,-0.7484,47,-1.0188,40,-1.3528
ENSG00000159658,EFCAB14,36,-1.7147,94,-0.2526,106,-0.0697,37,-1.7743,96,-0.2291,250,1.64371,53,-1.1368,130,0.28521
ENSG00000162368,CMPK1,480,2.21619,80,-0.8273,111,-0.3292,46,-1.7630,90,-0.6614,153,0.19586,86,-0.7254,132,-0.0687
ENSG00000162374,ELAVL4,3,-4.1788,434,4.09618,29,-1.1834,89,0.66864,1,-5.1956,0,-7.4118,7,-3.2524,15,-2.2090
ENSG00000123091,RNF11,3,-5.5604,699,2.68291,168,0.05344,97,-0.8599,115,-0.5321,97,-0.8553,120,-0.4638,144,-0.2002
ENSG00000085832,EPS15,11,-3.0383,146,0.79522,130,0.60319,42,-1.2405,1,-5.7170,165,1.17532,28,-1.7721,127,0.64405
ENSG00000078618,NRDC,3,-3.3673,156,2.71864,35,-0.0206,24,-0.6570,1,-4.3875,32,-0.1832,0,-6.3051,41,0.26274
ENSG00000169213,RAB3B,3,-4.0027,242,2.72776,53,-0.0520,145,2.03891,1,-5.0198,0,-7.2364,3,-4.1253,6,-3.4593
ENSG00000134717,BTF3L4,3,-3.9384,91,0.89298,14,-1.9324,29,-0.9950,124,1.43801,111,1.47146,20,-1.4566,23,-1.3254
ENSG00000162378,ZYG11B,3,-4.4034,394,3.26630,57,-0.3635,54,-0.4886,1,-5.4171,55,-0.4804,25,-1.6382,50,-0.6342
ENSG00000116171,SCP2,373,1.74149,87,-0.6734,136,0.00551,45,-1.7784,215,0.75422,182,0.54931,50,-1.5034,85,-0.7804
ENSG00000162384,CZIB,3,-4.0969,39,-0.6405,86,0.62457,16,-2.0230,158,1.68904,100,1.01121,76,0.41179,25,-1.3953
ENSG00000116209,TMEM59,191,-0.4186,258,0.05399,251,0.01312,45,-2.6859,195,-0.3823,656,2.04224,117,-1.1612,163,-0.7132
ENSG00000157216,SSBP3,243,1.53656,233,1.45975,57,-0.8237,42,-1.3826,74,-0.4265,116,0.30130,45,-1.2025,54,-0.9755
ENSG00000116133,DHCR24,3,-5.7022,323,0.97061,18,-3.3619,60,-1.7733,47,-2.0086,566,2.60267,23,-3.0342,150,-0.3009
ENSG00000162407,PLPP3,242,0.62078,106,-0.6854,867,3.18586,139,-0.2977,79,-1.1284,62,-1.5844,56,-1.6394,31,-2.6234
ENSG00000177606,JUN,1174,4.03452,109,-0.7007,104,-0.7698,27,-2.8813,76,-1.2396,91,-1.0522,4,-5.3624,91,-1.0570
ENSG00000162599,NFIA,386,0.96624,34,-2.7692,221,0.04641,102,-1.2264,363,0.86047,265,0.38429,161,-0.4509,230,0.12526
ENSG00000162434,JAK1,179,1.81829,107,0.88662,106,0.87021,15,-2.2146,1,-5.1950,67,0.13877,18,-1.8884,54,-0.2502
ENSG00000162433,AK4,120,1.86764,100,1.52571,109,1.68425,39,-0.0824,1,-4.5845,0,-6.3763,12,-1.7983,13,-1.8615
ENSG00000116675,DNAJC6,3,-5.3992,665,2.83262,78,-0.9559,47,-1.8054,1,-6.4135,242,0.96734,78,-0.9553,95,-0.7083
ENSG00000213625,LEPROT,225,2.30495,37,-0.7909,125,1.17752,28,-1.2926,1,-5.1695,61,-0.0197,7,-3.1502,52,-0.2955
ENSG00000184588,PDE4B,3,-4.2048,85,0.47346,106,0.84877,32,-1.1006,31,-1.0864,162,1.96743,27,-1.2841,26,-1.4175
ENSG00000142864,SERBP1,341,1.58135,142,0.08429,137,0.02550,42,-1.8747,148,0.15612,183,0.56531,31,-2.2142,115,-0.2712
ENSG00000116729,WLS,902,3.79708,75,-0.9591,234,0.82996,52,-1.6075,1,-6.3693,22,-2.8953,4,-5.1118,91,-0.7391
ENSG00000116754,SRSF11,199,0.55629,303,1.27209,86,-0.7725,65,-1.2701,159,0.18918,187,0.51236,62,-1.2719,120,-0.2787
ENSG00000132485,ZRANB2,298,2.28465,114,0.52497,44,-0.9516,44,-1.0516,2,-5.4869,103,0.40849,14,-2.6757,70,-0.2745
ENSG00000172260,NEGR1,3,-3.5789,180,2.71619,29,-0.5506,29,-0.5687,1,-4.5977,26,-0.7510,78,1.05916,24,-0.8797
ENSG00000154027,AK5,3,-4.9888,417,2.40861,39,-1.5478,33,-1.9328,111,0.03258,137,0.40894,109,0.00410,90,-0.3302
ENSG00000077254,USP33,107,1.37525,140,1.87746,74,0.73911,25,-1.0132,37,-0.3696,13,-2.0515,4,-3.6701,39,-0.3034
ENSG00000180488,MIGA1,3,-4.0883,115,1.12737,10,-2.5419,24,-1.4274,1,-5.1051,169,2.30411,27,-1.1711,49,-0.2987
ENSG00000137941,TTLL7,3,-5.3254,199,0.59766,20,-2.8479,30,-2.3885,83,-0.7883,351,1.95106,73,-0.9692,187,0.55550
ENSG00000142875,PRKACB,3,-5.9305,448,1.26821,146,-0.5648,72,-1.7272,117,-0.9043,452,1.53323,213,0.02367,165,-0.4061
ENSG00000174021,GNG5,499,2.75151,54,-1.1105,251,1.34626,47,-1.4089,11,-3.3729,80,-0.5748,12,-3.3356,77,-0.6481
ENSG00000117155,SSX2IP,3,-3.1971,164,3.14349,13,-1.3647,33,0.10867,1,-4.2180,22,-0.5873,13,-1.3244,20,-0.7483
ENSG00000153904,DDAH1,3,-5.2824,247,1.01445,545,2.55255,171,0.44617,6,-4.5668,86,-0.7345,44,-1.6997,55,-1.4476
ENSG00000097033,SH3GLB1,82,0.43807,45,-0.5044,45,-0.5178,25,-1.4919,78,0.35439,162,2.00470,24,-1.4357,19,-1.9073
ENSG00000183291,SELENOF,369,1.68831,122,-0.1851,197,0.58078,42,-1.8876,121,-0.1910,243,1.09564,30,-2.2912,50,-1.6503
ENSG00000143013,LMO4,3,-5.8489,983,3.03679,75,-1.4800,215,0.14479,296,0.65508,53,-2.0984,54,-1.9532,114,-0.9195
ENSG00000197147,LRRC8B,3,-3.6273,125,1.86800,42,-0.0287,32,-0.4950,47,0.16806,77,1.15436,2,-4.3663,14,-1.7415
ENSG00000162664,ZNF326,3,-3.8104,17,-1.5301,43,-0.1710,16,-1.7110,1,-4.8236,34,-0.5950,121,1.56226,121,1.90697
ENSG00000122406,RPL5,2255,1.86486,349,-1.2108,400,-1.0077,158,-2.5145,670,-0.2134,758,-0.0220,672,-0.2088,1132,0.72176
ENSG00000117528,ABCD3,3,-3.8018,73,0.68433,71,0.63071,22,-1.2866,32,-0.6237,72,0.76953,25,-0.9807,67,0.60764
ENSG00000117525,F3,3,-3.9257,1,-5.1929,222,2.64945,48,-0.1506,183,2.21548,17,-1.7968,19,-1.4943,7,-3.0085
ENSG00000117519,CNN3,1155,2.95520,72,-1.8297,435,0.97775,96,-1.5023,204,-0.2535,141,-0.8927,69,-1.8914,116,-1.2027
ENSG00000117569,PTBP2,3,-3.5694,109,1.66723,27,-0.6051,29,-0.5567,28,-0.5967,76,1.21266,2,-4.0236,33,-0.3372
ENSG00000156875,MFSD14A,3,-3.5459,89,1.33427,27,-0.6226,24,-0.8593,4,-3.1603,98,1.84287,8,-2.3051,32,-0.3833
ENSG00000170989,S1PR1,3,-4.1211,30,-1.0277,321,3.24168,52,-0.2312,104,0.91374,0,-7.3540,9,-2.7067,42,-0.6074
ENSG00000134186,PRPF38B,3,-4.1281,38,-0.7209,41,-0.5799,26,-1.3572,107,0.94817,105,1.07380,56,-0.1024,76,0.41815
ENSG00000116266,STXBP3,114,0.78749,60,-0.2465,61,-0.2234,7,-3.5625,1,-5.3731,221,2.57185,23,-1.6957,29,-1.4307
ENSG00000085433,WDR47,3,-3.1980,180,3.39911,27,-0.2577,24,-0.4780,1,-4.2186,19,-0.8171,15,-1.0945,17,-1.0161
