Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000097021,ACOT7,112,-1.3760,120,-1.2737,173,-0.7732,229,-0.2951,218,-0.3719,348,0.36151,570,1.17303,380,0.50203,358,0.45007,317,0.21319,244,-0.1958
ENSG00000215788,TNFRSF25,112,3.27072,13,-0.5257,14,-0.4392,7,-1.5239,9,-1.1263,10,-0.9917,15,-0.3660,6,-1.5815,11,-0.8950,14,-0.4952,10,-0.8759
ENSG00000171680,PLEKHG5,112,2.28195,4,-2.8769,13,-1.3111,28,-0.0511,17,-0.8320,6,-2.2295,9,-1.7881,16,-0.9218,43,0.64921,48,0.75871,32,0.14457
ENSG00000162408,NOL9,112,2.51362,18,-0.6000,19,-0.4959,10,-1.4785,25,-0.0725,32,0.32478,23,-0.2295,9,-1.5395,18,-0.6199,28,0.10339,11,-1.3297
ENSG00000162413,KLHL21,112,2.51917,30,0.23216,15,-0.9378,43,0.77027,9,-1.5166,10,-1.4145,15,-0.8410,19,-0.5067,20,-0.4155,18,-0.5356,15,-0.8687
ENSG00000116273,PHF13,112,2.95500,16,-0.4048,8,-1.6121,1,-4.2932,18,-0.3027,10,-1.1625,18,-0.2867,13,-0.7974,22,0.06569,10,-1.1198,23,0.10414
ENSG00000041988,THAP3,112,2.62066,17,-0.5941,14,-0.9626,9,-1.5733,16,-0.7037,0,-5.4125,22,-0.1627,33,0.44564,27,0.16257,18,-0.4782,16,-0.6972
ENSG00000007923,DNAJC11,112,2.07958,28,-0.2439,20,-0.8187,28,-0.2573,49,0.64289,7,-2.3016,23,-0.5380,21,-0.6611,28,-0.2301,17,-0.9794,44,0.48264
ENSG00000171735,CAMTA1,112,-0.2852,143,0.09423,110,-0.3265,120,-0.1711,160,0.27364,192,0.56575,91,-0.6015,182,0.48043,128,-0.0872,143,0.10153,127,-0.0811
ENSG00000049245,VAMP3,112,2.50315,97,2.21821,16,-0.7970,18,-0.6041,15,-0.8504,29,0.12532,1,-4.0927,8,-1.8185,8,-1.7780,7,-1.9772,9,-1.6130
ENSG00000049246,PER3,112,2.95998,14,-0.6248,13,-0.8012,18,-0.2736,20,-0.1034,6,-1.7596,4,-2.2245,17,-0.3805,13,-0.7549,10,-1.1003,25,0.21235
ENSG00000116288,PARK7,112,-1.6821,447,0.43181,305,-0.1855,463,0.48856,255,-0.4438,421,0.33314,476,0.53225,353,0.05782,293,-0.2539,333,-0.0357,370,0.12933
ENSG00000116285,ERRFI1,112,2.70314,12,-0.9895,13,-0.9637,5,-2.2962,9,-1.4165,15,-0.7485,32,0.43787,10,-1.2874,23,-0.0503,29,0.27992,16,-0.5808
ENSG00000162426,SLC45A1,112,1.39097,18,-1.4165,25,-1.0252,31,-0.6496,21,-1.2393,51,0.09740,64,0.46862,83,0.88305,50,0.08508,54,0.18813,35,-0.4636
ENSG00000142599,RERE,112,0.77732,65,-0.0892,52,-0.4697,81,0.25992,59,-0.2314,36,-0.9686,87,0.37886,73,0.10292,73,0.11310,59,-0.2326,70,0.02194
ENSG00000074800,ENO1,112,-2.4534,574,-0.0032,416,-0.5373,759,0.43813,521,-0.1535,621,0.11982,924,0.75741,659,0.21347,674,0.27356,581,0.01679,548,-0.0769
ENSG00000171612,SLC25A33,112,1.62398,32,-0.4074,39,-0.1023,65,0.71129,31,-0.4296,45,0.10616,11,-1.9205,62,0.61300,25,-0.8073,21,-1.0037,34,-0.3232
ENSG00000171608,PIK3CD,112,2.87052,9,-1.2789,10,-1.2865,27,0.28613,20,-0.1426,26,0.21376,15,-0.5951,3,-2.9243,11,-1.0448,20,-0.1399,15,-0.5523
ENSG00000171603,CLSTN1,112,-2.3850,270,-1.0824,368,-0.6597,468,-0.2489,418,-0.4223,397,-0.5011,952,0.88413,665,0.30141,769,0.59505,851,0.69963,731,0.45378
ENSG00000178585,CTNNBIP1,112,1.59532,29,-0.5892,39,-0.1262,40,-0.1022,40,-0.0898,46,0.12942,36,-0.2461,32,-0.4458,30,-0.5789,30,-0.5156,49,0.22010
ENSG00000162441,LZIC,112,1.98853,43,0.35055,27,-0.4139,36,0.08634,24,-0.5416,25,-0.4897,25,-0.4549,32,-0.0857,26,-0.4486,24,-0.5381,18,-0.9283
ENSG00000130939,UBE4B,112,1.90357,27,-0.4359,17,-1.1564,29,-0.3039,31,-0.2359,15,-1.3422,43,0.29878,51,0.56636,31,-0.2597,43,0.27559,19,-0.9464
ENSG00000054523,KIF1B,112,-0.7847,161,-0.2289,173,-0.1312,242,0.41420,188,0.01259,166,-0.1765,168,-0.1601,151,-0.3267,164,-0.2169,254,0.48856,309,0.80737
ENSG00000142657,PGD,112,1.19954,39,-0.4663,22,-1.4149,35,-0.6238,34,-0.6829,95,0.92363,57,0.12035,74,0.50918,47,-0.2060,54,0.02572,54,0.02262
ENSG00000241563,CORT,112,-1.5932,94,-1.8456,77,-2.2420,27,-3.6524,39,-3.1250,3402,5.72750,60,-2.4995,49,-2.7953,100,-1.8475,6,-5.7331,25,-3.7812
ENSG00000160049,DFFA,112,1.87271,43,0.24580,31,-0.2597,25,-0.5913,22,-0.7791,31,-0.2336,20,-0.8669,24,-0.6116,42,0.24540,18,-1.0286,32,-0.2024
ENSG00000142655,PEX14,112,2.09163,12,-1.4602,12,-1.5026,16,-1.0471,20,-0.6942,41,0.37681,57,0.88906,21,-0.6388,25,-0.4280,26,-0.3650,42,0.39095
ENSG00000120948,TARDBP,112,1.04666,48,-0.2911,37,-0.7541,47,-0.3240,43,-0.4515,61,0.06184,44,-0.4324,79,0.46952,56,-0.0632,73,0.34742,66,0.18426
ENSG00000116649,SRM,112,-0.0836,91,-0.3935,78,-0.6874,128,0.13185,85,-0.5017,182,0.68867,141,0.28564,120,0.03155,151,0.43000,114,-0.0465,101,-0.2330
ENSG00000171824,EXOSC10,112,2.33262,17,-0.7717,12,-1.3883,20,-0.5082,19,-0.6034,24,-0.3020,26,-0.1384,27,-0.0676,29,0.04247,12,-1.2352,32,0.17992
ENSG00000198793,MTOR,112,1.54752,29,-0.6388,25,-0.8968,31,-0.5189,51,0.24114,36,-0.2912,37,-0.2476,42,-0.0587,46,0.10765,46,0.07694,41,-0.1095
ENSG00000116661,FBXO2,112,-0.9281,380,0.99320,254,0.36830,233,0.20220,207,0.01176,168,-0.3048,251,0.32054,190,-0.1166,147,-0.5569,114,-0.8994,211,0.04368
ENSG00000132879,FBXO44,112,-0.4342,82,-0.9086,101,-0.6234,140,-0.0874,126,-0.2450,112,-0.4361,239,0.76628,132,-0.1755,189,0.42693,202,0.48897,199,0.46889
ENSG00000116670,MAD2L2,112,2.36093,17,-0.7743,20,-0.5930,31,0.13528,25,-0.1596,20,-0.5557,28,0.00646,13,-1.1774,30,0.07082,11,-1.3404,12,-1.2302
ENSG00000011021,CLCN6,112,1.32607,22,-1.2393,28,-0.9348,54,0.14107,39,-0.3600,76,0.68980,41,-0.3010,40,-0.3432,42,-0.2517,56,0.19469,63,0.38383
ENSG00000116685,KIAA2013,112,1.72244,26,-0.6136,20,-1.0586,41,0.03970,24,-0.7257,35,-0.1872,57,0.58845,27,-0.5720,40,0.03209,48,0.29763,22,-0.8839
ENSG00000083444,PLOD1,112,2.26765,29,-0.0326,12,-1.4768,47,0.72046,21,-0.5369,46,0.68466,18,-0.7499,8,-1.9700,15,-1.0582,26,-0.1973,26,-0.1982
ENSG00000116688,MFN2,112,0.68975,50,-0.5726,59,-0.3300,53,-0.4765,51,-0.5306,68,-0.1053,125,0.87851,71,-0.0394,63,-0.2367,102,0.54399,65,-0.1628
ENSG00000116691,MIIP,112,3.03919,17,-0.2596,9,-1.3536,13,-0.7321,11,-0.9950,1,-3.9391,21,-0.0015,19,-0.1046,6,-1.8071,32,0.68991,14,-0.6036
ENSG00000048707,VPS13D,112,1.76746,27,-0.5594,22,-0.8936,55,0.57178,46,0.26533,7,-2.4070,49,0.36149,35,-0.1510,29,-0.4398,45,0.25438,22,-0.8402
ENSG00000162496,DHRS3,112,2.46667,42,0.72263,18,-0.6064,26,-0.0288,20,-0.4226,6,-2.2770,11,-1.3755,33,0.32404,13,-1.1512,12,-1.2462,25,-0.1263
ENSG00000116731,PRDM2,112,1.11475,35,-0.7061,32,-0.8854,77,0.49265,56,0.00704,35,-0.7124,51,-0.1397,27,-1.0846,47,-0.2742,115,1.16704,60,0.09749
ENSG00000189337,KAZN,112,0.98545,55,-0.1478,31,-1.0547,84,0.52712,27,-1.1956,166,1.67570,34,-0.8685,58,-0.0707,27,-1.2756,77,0.37618,56,-0.1303
ENSG00000142634,EFHD2,112,-0.1256,156,0.40088,31,-2.1187,160,0.44069,295,1.46600,270,1.30891,27,-2.2218,3,-5.1568,2,-6.0106,370,1.87941,114,-0.0921
ENSG00000132906,CASP9,112,3.33416,8,-1.2570,9,-1.1332,9,-1.0042,10,-0.8789,5,-1.7831,13,-0.5716,13,-0.5071,14,-0.4557,11,-0.7767,13,-0.5367
ENSG00000116138,DNAJC16,112,2.25124,15,-1.0191,14,-1.1653,13,-1.1837,26,-0.2365,48,0.75222,22,-0.4342,35,0.25882,30,0.01169,10,-1.6431,18,-0.7473
ENSG00000197312,DDI2,112,2.89455,13,-0.7807,13,-0.7955,6,-1.8121,19,-0.1964,1,-4.0194,20,-0.1134,21,-0.1047,13,-0.7844,26,0.25889,14,-0.6436
ENSG00000116786,PLEKHM2,112,0.70322,58,-0.3186,70,-0.0472,52,-0.4919,90,0.34879,67,-0.1011,62,-0.2183,70,-0.0334,63,-0.2277,61,-0.2515,96,0.45222
ENSG00000065526,SPEN,112,2.25189,21,-0.5100,13,-1.3629,29,-0.0302,15,-1.0264,11,-1.4221,15,-1.0682,22,-0.4307,29,-0.0449,38,0.38260,41,0.49923
ENSG00000116809,ZBTB17,112,3.17930,16,-0.3120,11,-0.9331,8,-1.2510,9,-1.0801,5,-2.0736,9,-1.1040,8,-1.2343,15,-0.3975,18,-0.1038,16,-0.2840
ENSG00000185519,FAM131C,112,2.65128,18,-0.5049,19,-0.4162,22,-0.1582,12,-1.0867,42,0.84567,6,-2.1289,33,0.47321,16,-0.7172,1,-4.3367,5,-2.2314
ENSG00000037637,FBXO42,112,2.79808,4,-2.6001,11,-1.1727,14,-0.7178,9,-1.3675,20,-0.2106,13,-0.9068,10,-1.2473,23,0.02620,17,-0.4877,33,0.56005
ENSG00000055070,SZRD1,112,2.61715,44,0.89240,19,-0.4630,24,-0.0755,22,-0.1790,13,-1.0158,11,-1.1574,5,-2.3037,12,-1.1742,11,-1.2357,22,-0.1823
ENSG00000157191,NECAP2,112,3.41773,28,0.73120,10,-0.8749,9,-1.0547,9,-1.0441,9,-1.0244,7,-1.3704,9,-1.0010,7,-1.5094,3,-2.3804,12,-0.5606
ENSG00000219481,NBPF1,112,3.35436,20,0.14489,9,-1.0431,4,-2.0216,2,-2.9327,16,-0.1698,13,-0.5089,14,-0.3778,10,-0.9947,7,-1.4121,10,-0.8225
ENSG00000238142,BX284668.5,112,2.86974,21,-0.0792,16,-0.5333,19,-0.2726,26,0.23636,12,-0.9687,11,-1.1047,13,-0.7667,15,-0.6324,9,-1.3488,6,-1.9345
ENSG00000159363,ATP13A2,112,-0.6253,68,-1.3736,136,-0.3526,194,0.22650,131,-0.3783,161,-0.0668,196,0.24576,348,1.18486,169,0.01579,117,-0.5568,245,0.59904
ENSG00000117118,SDHB,112,0.17798,97,-0.0427,76,-0.4404,89,-0.1695,95,-0.0758,85,-0.2383,111,0.16612,134,0.46248,130,0.46550,80,-0.3321,79,-0.3507
ENSG00000117115,PADI2,112,2.61369,83,2.00762,20,-0.3289,38,0.66389,16,-0.6849,1,-4.3075,0,-5.6184,10,-1.3957,6,-2.1834,5,-2.2452,8,-1.6123
ENSG00000179051,RCC2,112,2.95817,17,-0.3318,13,-0.8550,7,-1.6747,4,-2.5005,1,-4.4919,6,-1.9546,38,0.92309,19,-0.1783,13,-0.7895,19,-0.1931
ENSG00000074964,ARHGEF10L,112,3.11755,13,-0.6083,11,-0.9606,14,-0.5271,10,-1.0379,16,-0.3138,8,-1.4213,15,-0.4289,18,-0.1357,6,-1.6715,8,-1.4013
ENSG00000117154,IGSF21,112,0.39889,49,-0.8580,37,-1.3602,77,-0.1736,83,-0.0584,105,0.30233,88,0.02914,114,0.43177,20,-2.2473,262,1.85359,121,0.52501
ENSG00000159423,ALDH4A1,112,2.49272,29,0.11601,29,0.14507,29,0.15875,42,0.70510,7,-1.9877,5,-2.2878,3,-3.1105,8,-1.8422,24,-0.1624,21,-0.3516
ENSG00000127481,UBR4,112,3.06611,11,-0.8630,4,-2.3221,4,-2.4799,10,-1.0098,37,0.91624,16,-0.3376,15,-0.4398,17,-0.2837,14,-0.5814,4,-2.2457
ENSG00000127463,EMC1,112,2.11224,14,-1.2318,13,-1.3649,24,-0.4220,23,-0.5088,49,0.67102,36,0.16239,19,-0.7742,33,0.02440,25,-0.3656,23,-0.5086
ENSG00000053372,MRTO4,112,1.83481,13,-1.5134,23,-0.7656,36,-0.0436,29,-0.4037,23,-0.7467,35,-0.1079,32,-0.2464,41,0.16056,40,0.11431,36,-0.0301
ENSG00000053371,AKR7A2,112,1.42927,66,0.54712,30,-0.7076,66,0.55820,51,0.14903,68,0.59885,34,-0.4891,42,-0.1524,27,-0.8539,21,-1.1698,30,-0.6893
ENSG00000077549,CAPZB,112,-0.9389,175,-0.2606,138,-0.6668,222,0.11523,223,0.11625,295,0.56755,299,0.58885,189,-0.1411,184,-0.1917,303,0.60737,224,0.12629
ENSG00000173436,MICOS10,112,-1.4773,397,0.46076,358,0.32911,337,0.20112,285,-0.0619,343,0.23058,325,0.14465,364,0.32172,252,-0.2726,243,-0.3078,228,-0.4071
ENSG00000158747,NBL1,112,-0.7209,160,-0.1704,129,-0.5430,309,0.87572,229,0.38909,229,0.38853,236,0.43993,170,-0.0828,60,-1.7263,351,1.09346,151,-0.2604
ENSG00000162545,CAMK2N1,112,-3.1572,510,-0.9224,1122,0.32189,497,-0.9600,436,-1.1564,452,-1.1035,1014,0.13246,1515,0.77777,2066,1.50878,360,-1.4420,842,-0.1568
ENSG00000090432,MUL1,112,2.29552,26,-0.1974,12,-1.4346,24,-0.2754,14,-1.0867,5,-2.5467,50,0.86001,32,0.12420,17,-0.8688,35,0.27960,25,-0.2470
ENSG00000183114,FAM43B,112,1.60620,29,-0.5724,10,-2.1559,17,-1.3863,47,0.17926,150,2.15706,17,-1.3956,2,-4.0177,1,-4.6453,124,1.79542,27,-0.6661
ENSG00000158828,PINK1,112,-1.9781,338,-0.3214,330,-0.3873,462,0.16366,386,-0.1159,468,0.18539,702,0.83779,506,0.30724,304,-0.5215,473,0.20010,695,0.82307
ENSG00000244038,DDOST,112,1.91041,31,-0.2131,18,-1.1325,40,0.17671,19,-0.9512,10,-1.8476,52,0.58535,38,0.08182,32,-0.1594,37,0.05289,26,-0.4896
ENSG00000117245,KIF17,112,2.48336,12,-1.1317,11,-1.3865,20,-0.4332,19,-0.4795,8,-1.7044,27,-0.0062,29,0.11393,10,-1.4963,51,1.05065,26,-0.0620
ENSG00000189410,SH2D5,112,2.39256,12,-1.2267,16,-0.8930,16,-0.8515,23,-0.2778,16,-0.7948,43,0.69481,11,-1.4360,29,0.04415,26,-0.0773,13,-1.0784
ENSG00000127483,HP1BP3,112,0.08229,119,0.18117,79,-0.4907,149,0.54333,81,-0.4161,95,-0.1671,92,-0.2202,120,0.19682,102,-0.0641,136,0.39918,111,0.07618
ENSG00000075151,EIF4G3,112,-0.1948,75,-0.8039,63,-1.1325,103,-0.3230,109,-0.2381,123,-0.0416,123,-0.0488,170,0.46232,154,0.33841,141,0.16860,258,1.15532
ENSG00000117298,ECE1,112,3.20848,25,0.41644,10,-1.0650,24,0.30226,10,-0.9372,7,-1.5587,7,-1.3852,17,-0.2118,10,-1.0200,6,-1.6185,4,-2.3852
ENSG00000162551,ALPL,112,2.91214,18,-0.2771,12,-0.9644,29,0.46347,61,1.67564,4,-2.3985,9,-1.3246,0,-5.6284,2,-3.4904,16,-0.4679,8,-1.4574
ENSG00000076864,RAP1GAP,112,-0.5259,87,-0.9014,74,-1.2134,141,-0.1654,172,0.13760,204,0.40948,191,0.30952,189,0.28856,140,-0.1997,362,1.36394,159,0.01813
ENSG00000090686,USP48,112,1.84392,45,0.30610,16,-1.2867,18,-1.0500,30,-0.3393,40,0.11016,37,0.00891,31,-0.2799,30,-0.3588,40,0.11775,36,-0.0338
ENSG00000070831,CDC42,112,-0.9842,166,-0.3833,139,-0.7023,204,-0.0643,204,-0.0662,167,-0.3710,331,0.70191,375,0.90816,228,0.11909,288,0.47704,187,-0.2033
ENSG00000173372,C1QA,112,1.27808,128,1.52270,55,0.13713,63,0.34241,44,-0.2363,58,0.19327,24,-1.1559,17,-1.5909,19,-1.5831,38,-0.4589,30,-0.7860
ENSG00000159189,C1QC,112,1.55107,73,0.83098,55,0.41944,59,0.48241,49,0.17390,37,-0.2407,6,-2.8266,16,-1.4891,21,-1.1568,27,-0.7213,33,-0.4107
ENSG00000173369,C1QB,112,0.87214,187,1.76459,77,0.30503,71,0.15572,79,0.31743,38,-0.7919,8,-3.0722,28,-1.2600,40,-0.7862,23,-1.5505,61,-0.0998
ENSG00000004487,KDM1A,112,1.39747,34,-0.4943,25,-1.0074,35,-0.4583,33,-0.5586,43,-0.1446,48,0.02676,68,0.56700,46,-0.0579,54,0.21234,47,-0.0294
ENSG00000169641,LUZP1,112,1.78839,25,-0.6349,21,-0.9450,47,0.31201,39,0.04425,22,-0.8616,30,-0.3669,58,0.67076,28,-0.4891,22,-0.8031,42,0.14650
