bansky,cluster,cell_type,n,prop_of_cluster,prop_of_cell_type
k09,xSp9D2,Excit.L2_5.2,73,0.0029474704243549884,0.03589975333389629
k09,xSp9D2,Astro.4,65,0.002624459966891428,0.013871508948708327
k09,xSp9D2,Oligo.5,58,0.002341825816610813,0.05357693824376867
k09,xSp9D2,Micro.3,43,0.0017361812088666371,0.056895885154622926
k09,xSp9D2,Excit.L5.1,32,0.0012920418298542416,0.013831609413051213
k09,xSp9D2,Vasc.VLMC,19,7.67149836475956e-4,0.0024909139120660555
k09,xSp9D2,Macro,9,3.6338676464650545e-4,0.003033762143303357
k09,xSp9D2,Micro.4,4,1.615052287317802e-4,0.054395270067979826
k09,xSp9D2,Micro.1,3,1.2112892154883515e-4,0.03576562263427892
k09,xSp9D2,OPC.1,3,1.2112892154883515e-4,0.1539940867084984
k09,xSp9D2,Excit.L5_6_NP,2,8.07526143658901e-5,0.011238483239784451
k09,xSp9D2,Excit.L6_CT,2,8.07526143658901e-5,0.0023438582994907363
k09,xSp9D2,OPC.3,1,4.037630718294505e-5,0.1387127227575052
k09,xSp9D2,Excit.L6b,1,4.037630718294505e-5,0.0011617560605726098
k09,xSp9D3,Oligo.3,17543,0.27235608271750605,0.2154980222129424
k09,xSp9D3,Oligo.4,15734,0.24427125380363907,0.38610274209228423
k09,xSp9D3,Oligo.2,7311,0.11350369496367137,0.6492988759822652
k09,xSp9D3,Oligo.1,6325,0.0981959883251568,0.4786026570815488
k09,xSp9D3,Astro.4,2752,0.0427249580823449,0.2258215579010786
k09,xSp9D3,Astro.5,2548,0.03955784636403155,0.045023716886338924
k09,xSp9D3,Vasc.Endo,2052,0.03185741787244613,0.03253351507035224
k09,xSp9D3,Micro.5,1463,0.02271315903868844,0.07013060278604373
k09,xSp9D3,Micro.2,1398,0.02170403030491213,0.08553919392828924
k09,xSp9D3,Oligo.5,1159,0.017993541576103833,0.4116612170604541
k09,xSp9D3,OPC.2,1068,0.016580761348816992,0.07599831887747659
k09,xSp9D3,Astro.2,895,0.013894926411227722,0.03165930746343529
k09,xSp9D3,OPC.5,777,0.012062969632987641,0.053236217944676895
k09,xSp9D3,Vasc.PC,736,0.011426442277836428,0.013070299485360681
k09,xSp9D3,Micro.3,704,0.010929640439669626,0.35817204106402256
k09,xSp9D3,OPC.4,427,0.006629199528038253,0.13880656935433147
k09,xSp9D3,Astro.1,286,0.004440166428615786,0.010581590812750591
k09,xSp9D3,Inhib.Lamp5_Lhx6,156,0.002421908961063156,0.029699724846196488
k09,xSp9D3,Astro.3,136,0.002111407812208905,0.11341293539842069
k09,xSp9D3,Inhib.Vip,129,0.0020027324101099175,0.009052839620711564
k09,xSp9D3,Vasc.VLMC,106,0.001645656088927529,0.005343398970423
k09,xSp9D3,Micro.1,100,0.0015525057442712538,0.45840690957336416
k09,xSp9D3,Excit.L2_5.1,98,0.0015214556293858287,0.010470085363184008
k09,xSp9D3,Excit.L6b,94,0.0014593553996149785,0.04199034281045413
k09,xSp9D3,Inhib.Pvalb,87,0.0013506799975159908,0.01790293473401821
k09,xSp9D3,Macro,66,0.0010246537912190275,0.008554400391595112
k09,xSp9D3,Inhib.Sst,61,9.470285040054648e-4,0.01761535480342064
k09,xSp9D3,Micro.4,58,9.004533316773272e-4,0.30327440507542097
k09,xSp9D3,Excit.L6_CT,49,7.607278146929144e-4,0.022080253575970828
k09,xSp9D3,Excit.L2,22,3.415512637396758e-4,8.125463905249122e-4
k09,xSp9D3,Inhib.Chandelier,19,2.9497609141153824e-4,0.012410911481284202
k09,xSp9D3,Excit.L2_5.2,18,2.794510339688257e-4,0.0034036722151600633
k09,xSp9D3,Excit.L5.1,16,2.484009190834006e-4,0.0026591898274625795
k09,xSp9D3,Inhib.Pax6,10,1.552505744271254e-4,0.005935387819584756
k09,xSp9D3,OPC.3,5,7.76252872135627e-5,0.2666815193236611
k09,xSp9D3,Excit.L5.2,2,3.1050114885425076e-5,6.730631865908287e-4
k09,xSp9D3,OPC.1,1,1.5525057442712538e-5,0.019737375776301413
k09,xSp9D3,Excit.L5_6_NP,1,1.5525057442712538e-5,0.0021606495249312354
k09,xSp9D4,Excit.L2,7341,0.31336976009562023,0.7455029288353807
k09,xSp9D4,Astro.1,1932,0.08247246649022454,0.19654441060892858
k09,xSp9D4,Inhib.Vip,1710,0.0729958166140186,0.3299589188519273
k09,xSp9D4,Astro.5,1490,0.06360454196192265,0.07239304343379864
k09,xSp9D4,Vasc.Endo,1320,0.05634764791257577,0.0575434914368321
k09,xSp9D4,Excit.L2_5.1,1183,0.050499445061043285,0.34751818611758
k09,xSp9D4,Astro.2,1148,0.04900537863911893,0.11165775937066265
k09,xSp9D4,Oligo.3,900,0.03841885084948348,0.030398389825370905
k09,xSp9D4,OPC.2,879,0.037522410996328866,0.171984874274437
k09,xSp9D4,Micro.5,828,0.0353453427815248,0.10913454137865317
k09,xSp9D4,OPC.5,809,0.03453427815248015,0.1524064483475112
k09,xSp9D4,Vasc.PC,538,0.022965935285580125,0.02626991366561924
k09,xSp9D4,Excit.L5.2,538,0.022965935285580125,0.4978250690340304
k09,xSp9D4,Micro.2,436,0.018611798855971997,0.07335219539087103
k09,xSp9D4,Inhib.Lamp5_Lhx6,411,0.017544608554597454,0.21514848616647964
k09,xSp9D4,Inhib.Pvalb,379,0.016178604968838044,0.2144434724562811
k09,xSp9D4,Inhib.Sst,360,0.015367540339793392,0.28584638624539
k09,xSp9D4,Excit.L5.1,270,0.011525655254845044,0.12338483014321777
k09,xSp9D4,Oligo.4,195,0.008324084350721421,0.013157306654693774
k09,xSp9D4,Inhib.Chandelier,171,0.0072995816614018615,0.30712476193085897
k09,xSp9D4,Excit.L2_5.2,169,0.007214206437291898,0.08786796619181064
k09,xSp9D4,Inhib.Pax6,132,0.005634764791257577,0.21542280556233379
k09,xSp9D4,OPC.4,96,0.0040980107572782375,0.08580686280282612
k09,xSp9D4,Oligo.1,46,0.0019636301545291556,0.009570641586407247
k09,xSp9D4,Oligo.5,29,0.0012379407495944678,0.02832195059940704
k09,xSp9D4,Oligo.2,20,8.537522410996329e-4,0.004883897133840065
k09,xSp9D4,Excit.L6b,16,6.830017928797063e-4,0.019652155623462356
k09,xSp9D4,Vasc.VLMC,14,5.97626568769743e-4,0.0019404766364901791
k09,xSp9D4,Excit.L5_6_NP,13,5.549389567147614e-4,0.07723182974465635
k09,xSp9D4,Micro.3,12,5.122513446597797e-4,0.01678683856686225
k09,xSp9D4,Astro.3,10,4.2687612054981646e-4,0.022929380862902058
k09,xSp9D4,Excit.L6_CT,10,4.2687612054981646e-4,0.012390151648486098
k09,xSp9D4,Astro.4,8,3.4150089643985313e-4,0.001804993332235237
k09,xSp9D4,OPC.1,7,2.988132843848715e-4,0.379888454688034
k09,xSp9D4,Macro,3,1.2806283616494492e-4,0.0010691423632316547
k09,xSp9D4,Micro.4,2,8.537522410996328e-5,0.02875453884089593
k09,xSp9D4,OPC.3,1,4.268761205498164e-5,0.14665320603325924
k09,xSp9D4,Micro.1,0,0,0
k09,xSp9D5,Oligo.3,6505,0.17352219376867264,0.13729706050290605
k09,xSp9D5,Vasc.Endo,6304,0.16816047801963294,0.17172928037652327
k09,xSp9D5,Astro.5,4068,0.10851472471190782,0.12350865106423889
k09,xSp9D5,Vasc.PC,2626,0.07004908237302604,0.08012664511210482
k09,xSp9D5,Oligo.4,2440,0.06508749466495946,0.102879318686673
k09,xSp9D5,Micro.5,2238,0.05969910371318822,0.18433077151711752
k09,xSp9D5,Astro.1,1873,0.04996265471617584,0.11906859272618138
k09,xSp9D5,Astro.2,1861,0.049642552283397354,0.11310954657088186
k09,xSp9D5,Micro.2,1795,0.047881988903115666,0.18871088350484067
k09,xSp9D5,OPC.5,1221,0.032570422535211266,0.14373957370273843
k09,xSp9D5,OPC.2,996,0.026568501920614596,0.1217773682752982
k09,xSp9D5,Excit.L2,915,0.024407810499359795,0.05806589062128844
k09,xSp9D5,Excit.L2_5.1,660,0.017605633802816902,0.12115534967185404
k09,xSp9D5,Oligo.1,525,0.014004481434058899,0.06825718789239657
k09,xSp9D5,Inhib.Vip,498,0.013284250960307298,0.060048058751066606
k09,xSp9D5,Excit.L2_5.2,419,0.011176909944515579,0.13613310814851998
k09,xSp9D5,Excit.L5.1,312,0.008322663252240717,0.08909605302355778
k09,xSp9D5,Inhib.Pvalb,292,0.007789159197609902,0.10324340998915012
k09,xSp9D5,Inhib.Lamp5_Lhx6,281,0.007495731967562954,0.09191971314220405
k09,xSp9D5,Oligo.2,279,0.007442381562099872,0.04257420857047205
k09,xSp9D5,Inhib.Sst,226,0.0060285958173282115,0.11213585846624241
k09,xSp9D5,OPC.4,179,0.004774861288945796,0.09997920742287585
k09,xSp9D5,Oligo.5,155,0.0041346564233888175,0.09459381235095454
k09,xSp9D5,Vasc.VLMC,154,0.004107981220657277,0.013338499321132319
k09,xSp9D5,Macro,140,0.0037345283824157063,0.031177995270922826
k09,xSp9D5,Excit.L5.2,114,0.003040973111395647,0.06591817969903016
k09,xSp9D5,Micro.3,88,0.002347417840375587,0.0769265415233402
k09,xSp9D5,Inhib.Chandelier,86,0.002294067434912505,0.09652127306505535
k09,xSp9D5,Astro.3,61,0.0016271873666239864,0.08740334038026824
k09,xSp9D5,Inhib.Pax6,48,0.0012804097311139564,0.04895137006851386
k09,xSp9D5,Excit.L6_CT,34,9.069568928723858e-4,0.026324577319656425
k09,xSp9D5,Astro.4,30,8.002560819462228e-4,0.00422973089398034
k09,xSp9D5,Excit.L5_6_NP,26,6.935552710200598e-4,0.09652330578309432
k09,xSp9D5,Excit.L6b,24,6.402048655569782e-4,0.01842075054558375
k09,xSp9D5,Micro.1,7,1.8672641912078532e-4,0.05513453398849678
k09,xSp9D5,Micro.4,4,1.0670081092616304e-4,0.03593703728589565
k09,xSp9D5,OPC.1,3,8.002560819462228e-5,0.10173846418879054
k09,xSp9D5,OPC.3,1,2.667520273154076e-5,0.09164260575477837
k09,xSp9D6,Vasc.PC,3282,0.24680403068130546,0.28231032168742615
k09,xSp9D6,Vasc.VLMC,2941,0.2211610768536622,0.7181037874855408
k09,xSp9D6,Vasc.Endo,2110,0.15867047676342308,0.16203787663116195
k09,xSp9D6,Macro,1318,0.09911264851857422,0.8274495117913304
k09,xSp9D6,Oligo.3,782,0.05880583546397954,0.04652931232753685
k09,xSp9D6,Astro.5,661,0.04970672281546097,0.05657490538782087
k09,xSp9D6,Astro.4,465,0.03496766431042262,0.18482060100615072
k09,xSp9D6,Micro.2,400,0.030079711234772145,0.11854914577942634
k09,xSp9D6,Micro.5,323,0.02428936682207851,0.07499740276648284
k09,xSp9D6,Oligo.4,314,0.023612573319296136,0.037322767883952813
k09,xSp9D6,Oligo.1,115,0.008647916979996992,0.042149543127383095
k09,xSp9D6,Astro.2,100,0.007519927808693036,0.01713400269654355
k09,xSp9D6,OPC.2,68,0.005113550909911265,0.023438083720768003
k09,xSp9D6,Micro.3,67,0.005038351631824334,0.16511034352227222
k09,xSp9D6,Oligo.2,56,0.0042111595728681,0.024089975027864682
k09,xSp9D6,Astro.1,44,0.003308768235824936,0.007885297123117313
k09,xSp9D6,OPC.5,42,0.0031583696796510753,0.013938496218706038
k09,xSp9D6,Inhib.Lamp5_Lhx6,29,0.0021807790645209804,0.026742763335822158
k09,xSp9D6,Oligo.5,28,0.00210557978643405,0.04817203627397394
k09,xSp9D6,OPC.4,24,0.0018047826740863289,0.0377897346973042
k09,xSp9D6,Excit.L2,21,0.0015791848398255376,0.0037568619349331533
k09,xSp9D6,Inhib.Vip,21,0.0015791848398255376,0.007138301160071129
k09,xSp9D6,Excit.L2_5.1,18,0.0013535870055647466,0.009314876635922963
k09,xSp9D6,Micro.1,13,9.775906151300948e-4,0.28865226062017896
k09,xSp9D6,Inhib.Pvalb,9,6.767935027823733e-4,0.008970733209201132
k09,xSp9D6,Micro.4,8,6.015942246954429e-4,0.20261808599393236
k09,xSp9D6,Inhib.Pax6,8,6.015942246954429e-4,0.022999560850359046
k09,xSp9D6,Excit.L2_5.2,7,5.263949466085125e-4,0.00641141250589157
k09,xSp9D6,Excit.L6_CT,6,4.511956685215822e-4,0.013096030644492494
k09,xSp9D6,Inhib.Sst,5,3.759963904346518e-4,0.006993780856963146
k09,xSp9D6,Excit.L5.1,4,3.0079711234772146e-4,0.003220103308138812
k09,xSp9D6,Excit.L6b,4,3.0079711234772146e-4,0.008654899188510099
k09,xSp9D6,Astro.3,3,2.255978342607911e-4,0.012117845001376379
k09,xSp9D6,Excit.L5.2,1,7.519927808693036e-5,0.0016300701599747504
k09,xSp9D6,Inhib.Chandelier,1,7.519927808693036e-5,0.0031639567102788625
k09,xSp9D6,OPC.1,0,0,0
k09,xSp9D6,OPC.3,0,0,0
k09,xSp9D6,Excit.L5_6_NP,0,0,0
k09,xSp9D7,Astro.5,6269,0.19923724773557921,0.22676667866874917
k09,xSp9D7,Oligo.3,4706,0.1495630065151756,0.11833968156192055
k09,xSp9D7,Oligo.4,3157,0.1003337041156841,0.1585905737172108
k09,xSp9D7,Astro.4,2981,0.09474018750993167,0.5007465823161056
k09,xSp9D7,Astro.2,2717,0.08634991260130304,0.19674652110977736
k09,xSp9D7,Micro.5,1480,0.047036389639281743,0.14523256552130107
k09,xSp9D7,Vasc.Endo,1450,0.04608294930875576,0.047060949252870715
k09,xSp9D7,Astro.1,1416,0.04500238360082631,0.10724751347008295
k09,xSp9D7,Micro.2,1314,0.04176068647703798,0.16458581235621342
k09,xSp9D7,Oligo.1,1049,0.033338630224058474,0.1624909253508258
k09,xSp9D7,OPC.2,855,0.027173049419990467,0.12454832629511353
k09,xSp9D7,Oligo.2,792,0.025170824725885905,0.1439899221544751
k09,xSp9D7,Vasc.PC,700,0.02224694104560623,0.025447481817086986
k09,xSp9D7,OPC.5,641,0.020371841728905132,0.0899048774232762
k09,xSp9D7,Inhib.Vip,348,0.011059907834101382,0.049993484569651546
k09,xSp9D7,Inhib.Lamp5_Lhx6,302,0.009597965993961545,0.11769928336970849
k09,xSp9D7,OPC.4,297,0.009439059272207215,0.19764127327375805
k09,xSp9D7,Micro.3,222,0.007055458445892261,0.23121235928636039
k09,xSp9D7,Astro.3,134,0.004258700143016049,0.22875338502031475
k09,xSp9D7,Oligo.5,100,0.0031781344350866043,0.0727102379482084
k09,xSp9D7,Vasc.VLMC,82,0.0026060702367710154,0.008461836658160662
k09,xSp9D7,Macro,76,0.0024153821706658194,0.02016500242683321
k09,xSp9D7,Inhib.Pax6,75,0.002383600826314953,0.09112749091890035
k09,xSp9D7,Excit.L2_5.1,60,0.0019068806610519624,0.013122435457863612
k09,xSp9D7,Inhib.Pvalb,41,0.0013030351183855077,0.017271413453587663
k09,xSp9D7,Excit.L2_5.2,38,0.0012076910853329097,0.014709498595387857
k09,xSp9D7,Inhib.Sst,37,0.0011759097409820435,0.021872696773736842
k09,xSp9D7,Excit.L2,30,9.534403305259812e-4,0.002268223196328849
k09,xSp9D7,Micro.4,20,6.356268870173208e-4,0.21408035178351442
k09,xSp9D7,Inhib.Chandelier,19,6.038455426664548e-4,0.025406376301683714
k09,xSp9D7,Excit.L5.2,16,5.085015096138567e-4,0.01102262093747045
k09,xSp9D7,Excit.L5.1,15,4.767201652629906e-4,0.005103400658465348
k09,xSp9D7,Micro.1,13,4.1315747656125854e-4,0.12199261915547877
k09,xSp9D7,Excit.L6b,7,2.224694104560623e-4,0.006401159588921429
k09,xSp9D7,OPC.1,2,6.356268870173209e-5,0.08080876202149224
k09,xSp9D7,Excit.L6_CT,2,6.356268870173209e-5,0.0018449177976636601
k09,xSp9D7,OPC.3,1,3.1781344350866045e-5,0.10918474509884417
k09,xSp9D7,Excit.L5_6_NP,1,3.1781344350866045e-5,0.004423065539484213
k09,xSp9D8,Vasc.PC,9910,0.43785622763221843,0.5008481106830546
k09,xSp9D8,Vasc.Endo,8066,0.3563822736711881,0.3639456316802155
k09,xSp9D8,Vasc.VLMC,1727,0.07630451111209297,0.24775859844489245
k09,xSp9D8,Astro.5,589,0.02602394733353952,0.029619783297294363
k09,xSp9D8,Oligo.3,567,0.02505191534485044,0.0198219850850951
k09,xSp9D8,Macro,276,0.012194583130826669,0.10180740812521348
k09,xSp9D8,Oligo.4,224,0.009897052975743384,0.015643589792349907
k09,xSp9D8,Astro.4,214,0.009455220253611982,0.0499752993052276
k09,xSp9D8,Micro.5,183,0.00808553881500464,0.024965426869083058
k09,xSp9D8,Micro.2,177,0.007820439181725798,0.030821651756477445
k09,xSp9D8,Astro.2,115,0.005081076304511112,0.011577129105175256
k09,xSp9D8,Astro.1,77,0.003402111960411788,0.0081077493925076
k09,xSp9D8,OPC.2,60,0.0026509963327884063,0.012150905522601285
k09,xSp9D8,OPC.5,60,0.0026509963327884063,0.01169935951400628
k09,xSp9D8,Oligo.1,58,0.0025626297883621263,0.012490137802424143
k09,xSp9D8,Excit.L2,53,0.0023417134272964257,0.005570908367195134
k09,xSp9D8,Oligo.2,44,0.0019440639773781647,0.011121034920962407
k09,xSp9D8,Inhib.Vip,43,0.0018998807051650245,0.008587924794905274
k09,xSp9D8,Excit.L2_5.1,34,0.0015022312552467635,0.01033779045138888
k09,xSp9D8,Inhib.Lamp5_Lhx6,25,0.0011045818053285025,0.013545420664355032
k09,xSp9D8,Micro.3,22,9.720319886890824e-4,0.03185417519359981
k09,xSp9D8,OPC.4,16,7.069323554102417e-4,0.014802217764760931
k09,xSp9D8,Excit.L2_5.2,13,5.743825387708214e-4,0.006995894272860106
k09,xSp9D8,Inhib.Pax6,13,5.743825387708214e-4,0.021959230340901394
k09,xSp9D8,Inhib.Pvalb,11,4.860159943445412e-4,0.006442023752806978
k09,xSp9D8,Excit.L5.1,10,4.4183272213140103e-4,0.004729922435341086
k09,xSp9D8,Excit.L5.2,9,3.9764944991826093e-4,0.008619717089475459
k09,xSp9D8,Excit.L6_CT,8,3.5346617770512083e-4,0.010259415632657988
k09,xSp9D8,Inhib.Chandelier,8,3.5346617770512083e-4,0.014871840704560001
k09,xSp9D8,Inhib.Sst,8,3.5346617770512083e-4,0.006574704040005013
k09,xSp9D8,Oligo.5,7,3.0928290549198074e-4,0.007075859788487005
k09,xSp9D8,Micro.1,2,8.836654442628021e-5,0.02609190638398757
k09,xSp9D8,Excit.L6b,2,8.836654442628021e-5,0.0025425893476076367
k09,xSp9D8,Astro.3,1,4.4183272213140104e-5,0.002373276525844314
k09,xSp9D8,Micro.4,1,4.4183272213140104e-5,0.014881010623576815
k09,xSp9D8,OPC.1,0,0,0
k09,xSp9D8,OPC.3,0,0,0
k09,xSp9D8,Excit.L5_6_NP,0,0,0
k09,xSp9D9,Oligo.3,12336,0.3042920572274297,0.24076692487765652
k09,xSp9D9,Astro.5,4708,0.11613221509620128,0.13217868146201822
k09,xSp9D9,Oligo.4,3948,0.09738529847064628,0.15393023204121245
k09,xSp9D9,Astro.2,2172,0.053576714356191414,0.12207345490600832
k09,xSp9D9,Vasc.Endo,1887,0.04654662062160829,0.04753446087596509
k09,xSp9D9,Micro.5,1784,0.044005920078934384,0.13587549385064943
k09,xSp9D9,OPC.5,1628,0.04015786877158362,0.17722444134084062
k09,xSp9D9,Astro.1,1331,0.0328317710902812,0.07824309582097247
k09,xSp9D9,Micro.2,1210,0.029847064627528366,0.11763224679918116
k09,xSp9D9,Excit.L6b,1201,0.0296250616674889,0.8524081903057323
k09,xSp9D9,Excit.L6_CT,1124,0.027725703009373458,0.8047432224706396
k09,xSp9D9,Oligo.1,1056,0.026048347311297484,0.12695842720670622
k09,xSp9D9,OPC.2,1013,0.024987666502220028,0.11453157107138806
k09,xSp9D9,Excit.L2_5.1,985,0.024296990626541688,0.16720275045488134
k09,xSp9D9,Vasc.PC,691,0.017044893931919092,0.019497045796880597
k09,xSp9D9,Oligo.2,454,0.011198815984213123,0.06406292441148391
k09,xSp9D9,Excit.L5.1,438,0.01080414405525407,0.11566088431631663
k09,xSp9D9,Excit.L2,324,0.007992106561420818,0.019013126369582196
k09,xSp9D9,Inhib.Pvalb,323,0.007967439565860879,0.10560647289303841
k09,xSp9D9,Oligo.5,285,0.007030093734583128,0.16083642736963677
k09,xSp9D9,Inhib.Lamp5_Lhx6,277,0.006832757770103602,0.08378970018084682
k09,xSp9D9,Inhib.Sst,246,0.006068080907745437,0.11287030719107251
k09,xSp9D9,Inhib.Vip,243,0.005994079921065614,0.027094705176392613
k09,xSp9D9,OPC.4,214,0.005278737049827331,0.11052969175404617
k09,xSp9D9,Astro.3,204,0.005032067094227923,0.2702943017346968
k09,xSp9D9,Astro.4,129,0.003182042427232363,0.016818595277261976
k09,xSp9D9,Excit.L5_6_NP,66,0.0016280217069560927,0.22657464171661246
k09,xSp9D9,Inhib.Chandelier,59,0.0014553527380365072,0.06123294236961052
k09,xSp9D9,Micro.3,56,0.0013813517513566848,0.04526787307796754
k09,xSp9D9,Excit.L2_5.2,47,0.0011593487913172176,0.014120696612366155
k09,xSp9D9,Inhib.Pax6,38,9.373458312777503e-4,0.03583568724453267
k09,xSp9D9,Vasc.VLMC,21,5.180069067587567e-4,0.0016819538364486533
k09,xSp9D9,Macro,19,4.6867291563887516e-4,0.003912751611743382
k09,xSp9D9,Micro.4,13,3.206709422792304e-4,0.10800258694534738
k09,xSp9D9,Excit.L5.2,5,1.23334977799704e-4,0.002673491981665544
k09,xSp9D9,OPC.1,2,4.93339911198816e-5,0.06271947945254694
k09,xSp9D9,OPC.3,2,4.93339911198816e-5,0.1694868280481071
k09,xSp9D9,Micro.1,1,2.46669955599408e-5,0.007283400557335849
k10,xSp10D01,Oligo.3,4135,0.1303347412217109,0.09551198869979301
k10,xSp10D01,Excit.L5.1,2759,0.08696337388892392,0.7335100213913082
k10,xSp10D01,Astro.5,2688,0.08472546176637458,0.08967484325040695
k10,xSp10D01,Excit.L2,2665,0.0840005043182248,0.18084493337669585
k10,xSp10D01,Excit.L2_5.2,2360,0.07438693815797769,0.7268700833379288
k10,xSp10D01,Vasc.Endo,1612,0.05081006114858476,0.0440398910392421
k10,xSp10D01,Astro.2,1402,0.04419088444808674,0.09282199160464068
k10,xSp10D01,Excit.L2_5.1,1397,0.04403328500283679,0.26635622973784573
k10,xSp10D01,Astro.1,1396,0.0440017651137868,0.09558300127621333
k10,xSp10D01,OPC.5,1329,0.04188993254743743,0.1668507561618489
k10,xSp10D01,Inhib.Pvalb,1306,0.041164975099287654,0.4591849102559933
k10,xSp10D01,Oligo.4,1133,0.03571203429363928,0.053280600287811175
k10,xSp10D01,Micro.5,1046,0.03296980394629011,0.09315034351855712
k10,xSp10D01,OPC.2,921,0.02902981781504129,0.11986957896383565
k10,xSp10D01,Inhib.Vip,851,0.02682342558154195,0.10505562939704208
k10,xSp10D01,Micro.2,735,0.02316711845174305,0.08420350234347328
k10,xSp10D01,Inhib.Sst,677,0.021338964886843597,0.3462366131825237
k10,xSp10D01,Excit.L5.2,623,0.01963689087814411,0.38085998160486645
