Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000173369,C1QB,79,-0.3811,63,-0.7852,39,-1.5554,257,1.77950,159,0.83629
ENSG00000004487,KDM1A,27,-0.4961,29,-0.3940,55,0.87749,50,0.54893,15,-1.3282
ENSG00000169641,LUZP1,30,-0.0008,27,-0.2207,52,1.14123,14,-1.1975,11,-1.5885
ENSG00000125944,HNRNPR,56,-0.7670,130,0.87070,80,-0.1219,74,-0.2434,79,-0.1317
ENSG00000125945,ZNF436,10,-0.7630,21,0.64889,22,0.66299,11,-0.5810,7,-1.1637
ENSG00000117318,ID3,10,-3.8309,2,-6.0432,2,-5.7997,451,2.82858,414,2.59029
ENSG00000142676,RPL11,529,-0.6453,684,-0.1814,365,-1.2723,1688,1.44678,1178,0.76749
ENSG00000011007,ELOA,9,-0.9545,20,0.50931,20,0.43273,10,-0.6404,17,0.15451
ENSG00000057757,PITHD1,103,-0.5173,165,0.38329,182,0.58394,113,-0.2976,77,-0.9073
ENSG00000011009,LYPLA2,24,-1.2766,57,0.23399,64,0.47346,60,0.26324,55,0.12373
ENSG00000117305,HMGCL,18,-0.2906,14,-0.6313,24,0.24999,16,-0.4320,38,1.05712
ENSG00000189266,PNRC2,24,-1.2429,55,0.23589,40,-0.3348,93,1.14309,56,0.25655
ENSG00000188529,SRSF10,35,-0.0781,32,-0.2476,50,0.59800,32,-0.2389,29,-0.4031
ENSG00000001461,NIPAL3,24,-1.1811,31,-0.7671,86,1.33760,0,-6.4817,94,1.21638
ENSG00000133226,SRRM1,26,-1.0780,50,0.06987,41,-0.3370,95,1.16238,60,0.34274
ENSG00000169504,CLIC4,4,-3.6997,13,-1.8364,17,-1.4679,43,0.08525,213,3.70342
ENSG00000117614,SYF2,41,-0.7821,42,-0.7384,43,-0.7291,166,1.73579,93,0.63230
ENSG00000117616,RSRP1,32,-0.9356,62,0.25496,61,0.22696,34,-0.7586,91,0.88295
ENSG00000183726,TMEM50A,46,-0.7964,75,0.08230,81,0.22498,62,-0.2347,109,0.71079
ENSG00000204178,MACO1,11,-1.4191,33,0.57743,25,0.01629,43,0.96190,17,-0.5809
ENSG00000117643,MAN1C1,21,-1.1120,26,-0.7368,42,0.14113,115,1.98638,22,-0.9361
ENSG00000162430,SELENON,50,0.06231,40,-0.3342,41,-0.2828,58,0.30669,64,0.49385
ENSG00000117640,MTFR1L,45,-0.3867,68,0.38299,77,0.64926,28,-1.1054,39,-0.5609
ENSG00000117632,STMN1,641,-0.6244,1174,0.53361,1282,0.72612,449,-1.1068,571,-0.7334
ENSG00000158008,EXTL1,28,-0.7770,68,0.98730,66,0.88667,10,-2.1505,9,-2.3753
ENSG00000142684,ZNF593,31,0.01267,33,0.09624,34,0.19225,17,-0.9696,35,0.21034
ENSG00000142669,SH3BGRL3,196,-0.5818,335,0.43414,259,-0.0781,373,0.54729,204,-0.4503
ENSG00000158062,UBXN11,27,0.22116,25,0.05891,34,0.70002,0,-5.5527,21,-0.2368
ENSG00000117682,DHDDS,14,-0.6934,16,-0.4369,25,0.36309,30,0.62199,25,0.31849
ENSG00000198830,HMGN2,138,-0.2564,169,0.12571,95,-0.9186,193,0.32964,270,0.92213
ENSG00000117713,ARID1A,38,-0.3004,51,0.27892,64,0.76907,23,-1.0380,25,-0.8871
ENSG00000204160,ZDHHC18,18,-0.6380,30,0.35046,43,1.11778,5,-2.3970,16,-0.7319
ENSG00000090273,NUDC,124,-0.2380,197,0.68416,127,-0.1974,99,-0.5702,133,-0.0964
ENSG00000253368,TRNP1,72,0.63151,38,-0.5764,77,0.79505,29,-0.9246,17,-1.7654
ENSG00000090020,SLC9A1,15,-0.6392,16,-0.5117,39,1.25704,28,0.44235,5,-2.2976
ENSG00000142784,WDTC1,29,-0.2093,32,-0.0029,29,-0.1473,37,0.26219,38,0.29329
ENSG00000186501,TMEM222,62,-0.1756,61,-0.2219,91,0.57438,22,-1.7330,97,0.58965
ENSG00000158195,WASF2,26,-0.6485,33,-0.2163,12,-1.9141,39,0.04574,119,2.17370
ENSG00000126705,AHDC1,22,-1.0361,52,0.48320,76,1.39207,17,-1.3713,7,-2.5772
ENSG00000126709,IFI6,101,-0.7767,100,-0.7895,191,0.40609,271,0.96522,188,0.31626
ENSG00000117758,STX12,56,-0.7695,103,0.37239,126,0.80715,47,-0.9602,67,-0.3913
ENSG00000117751,PPP1R8,22,-0.5676,26,-0.2586,42,0.71297,22,-0.4917,36,0.33762
ENSG00000117748,RPA2,27,-0.5114,35,-0.0325,50,0.70028,25,-0.5728,36,0.00952
ENSG00000126698,DNAJC8,103,-0.2263,108,-0.1232,122,0.10566,163,0.58218,96,-0.3032
ENSG00000130770,ATP5IF1,380,-0.1449,670,1.04799,353,-0.2802,292,-0.5487,183,-1.2675
ENSG00000180098,TRNAU1AP,16,-0.1218,17,-0.0051,30,1.23435,1,-4.1520,9,-0.9546
ENSG00000120656,TAF12,7,-1.5609,24,0.55170,17,-0.0679,36,1.16496,12,-0.5953
ENSG00000198492,YTHDF2,45,-0.4028,70,0.45871,79,0.71776,39,-0.5807,19,-1.6620
ENSG00000116350,SRSF4,33,-0.3686,44,0.13721,40,-0.0620,29,-0.5486,64,0.76695
ENSG00000116353,MECR,22,-0.2617,34,0.54664,33,0.51889,20,-0.4235,7,-1.9561
ENSG00000060656,PTPRU,3,-3.4948,40,0.89687,48,1.36757,0,-5.6587,25,-0.0253
ENSG00000162511,LAPTM5,46,-0.2382,40,-0.4998,40,-0.4922,98,1.08743,69,0.46245
ENSG00000162512,SDC3,245,0.20666,167,-0.5177,329,0.83414,111,-1.0887,172,-0.4006
ENSG00000134644,PUM1,63,-1.1231,124,0.05730,188,0.94841,133,0.17183,76,-0.7222
ENSG00000060688,SNRNP40,15,-0.3323,18,-0.1089,23,0.43197,16,-0.1932,20,0.10643
ENSG00000121766,ZCCHC17,75,-0.2279,121,0.74049,93,0.18682,38,-1.2394,60,-0.5548
ENSG00000121769,FABP3,133,0.30390,102,-0.2097,156,0.64213,97,-0.2633,33,-1.9286
ENSG00000162517,PEF1,52,-0.7283,106,0.63580,100,0.51288,27,-1.6081,77,-0.0105
ENSG00000084636,COL16A1,19,-0.8169,33,0.18408,35,0.28291,7,-2.1399,60,1.19365
ENSG00000121753,ADGRB2,151,-0.6065,234,0.21253,355,1.13372,145,-0.5910,55,-2.0784
ENSG00000184007,PTP4A2,105,-0.6340,126,-0.3067,157,0.10847,111,-0.4638,300,1.24300
ENSG00000121774,KHDRBS1,68,-0.5229,101,0.21521,96,0.12284,105,0.25397,87,-0.0556
ENSG00000025800,KPNA6,29,-0.4182,38,0.08310,53,0.77554,23,-0.7219,28,-0.4214
ENSG00000084652,TXLNA,21,0.07209,22,0.18251,28,0.71910,2,-3.4961,16,-0.3747
ENSG00000160050,CCDC28B,23,0.41764,25,0.61289,11,-0.8842,11,-0.8578,19,0.04226
ENSG00000084623,EIF3I,63,-0.5502,79,-0.1492,121,0.71805,73,-0.2487,83,-0.0400
ENSG00000175130,MARCKSL1,268,-0.1800,181,-0.8712,180,-0.8836,95,-1.7528,1002,2.37029
ENSG00000160058,BSDC1,37,-0.6892,57,0.10916,102,1.43043,0,-6.4533,38,-0.5417
ENSG00000176261,ZBTB8OS,43,0.08592,45,0.16322,42,0.02967,32,-0.3939,38,-0.1377
ENSG00000162521,RBBP4,69,-0.4211,73,-0.3227,99,0.24151,110,0.38923,105,0.30438
ENSG00000162522,KIAA1522,18,0.34261,19,0.47623,15,-0.0317,3,-2.2913,14,-0.1820
ENSG00000134684,YARS,48,-0.6603,58,-0.3298,118,1.15381,54,-0.4136,52,-0.4695
ENSG00000160097,FNDC5,28,0.86970,10,-1.1119,28,0.84179,8,-1.3644,9,-1.1295
ENSG00000121905,HPCA,182,-0.5393,304,0.43768,382,0.94467,168,-0.6044,50,-2.4394
ENSG00000121900,TMEM54,54,0.06601,37,-0.6140,35,-0.7281,98,1.09046,68,0.43335
ENSG00000116514,RNF19B,10,-0.8833,23,0.59536,17,0.04830,17,0.02617,18,0.04797
ENSG00000004455,AK2,21,-0.5581,19,-0.7395,26,-0.2335,11,-1.4913,90,2.09951
ENSG00000142920,AZIN2,14,-0.7257,11,-1.1285,28,0.60700,32,0.74855,28,0.51634
ENSG00000160094,ZNF362,15,-0.0420,12,-0.4951,24,0.88853,4,-2.1304,19,0.31565
ENSG00000134686,PHC2,49,-0.4105,46,-0.5332,80,0.53500,34,-0.9001,106,0.94331
ENSG00000163866,SMIM12,29,-0.7209,46,0.06615,55,0.44734,72,0.83827,20,-1.2368
ENSG00000116544,DLGAP3,56,-0.0863,87,0.80266,70,0.33352,20,-1.6895,26,-1.2902
ENSG00000116560,SFPQ,104,-0.2878,153,0.47164,149,0.41039,41,-1.6893,116,-0.0674
ENSG00000146463,ZMYM4,33,-0.0160,30,-0.1976,33,-0.0560,46,0.51764,31,-0.1466
ENSG00000142687,KIAA0319L,35,0.12916,33,-0.0088,46,0.71279,12,-1.5489,22,-0.6369
ENSG00000020129,NCDN,257,-0.9850,755,1.13742,599,0.60165,242,-0.9742,103,-2.2524
ENSG00000126067,PSMB2,64,-0.6087,111,0.42742,114,0.47361,82,-0.1454,58,-0.7103
ENSG00000142686,C1orf216,56,-0.5365,112,0.80521,104,0.64282,35,-1.2066,27,-1.6181
ENSG00000092847,AGO1,21,-0.5918,33,0.25521,36,0.39951,25,-0.2735,29,-0.0240
ENSG00000116863,ADPRHL2,15,-0.0086,20,0.56009,15,-0.0331,0,-4.8955,21,0.53111
ENSG00000054116,TRAPPC3,36,-0.5496,72,0.82045,51,0.08867,34,-0.5442,36,-0.4776
ENSG00000116871,MAP7D1,117,-0.4199,182,0.44008,136,-0.1340,123,-0.2745,176,0.31074
ENSG00000054118,THRAP3,38,-0.3712,53,0.25079,66,0.71292,11,-2.1838,47,0.03018
ENSG00000196182,STK40,15,-0.6010,18,-0.3113,27,0.47634,40,1.11070,9,-1.2814
ENSG00000181817,LSM10,50,-0.0416,49,-0.0586,50,-0.0240,62,0.32690,46,-0.1498
ENSG00000116885,OSCP1,12,0.06183,16,0.58172,16,0.52537,0,-4.5631,7,-0.7395
ENSG00000116898,MRPS15,54,0.22394,57,0.34276,35,-0.5938,70,0.62801,23,-1.1391
ENSG00000163873,GRIK3,4,-3.1222,37,0.32783,83,2.57231,0,-5.6999,0,-7.6602
ENSG00000163875,MEAF6,59,-0.5648,113,0.69392,119,0.80904,42,-1.0179,20,-2.1498
ENSG00000185090,MANEAL,16,-0.9615,27,-0.0763,40,0.71809,56,1.21384,2,-3.7364
ENSG00000196449,YRDC,12,-0.1304,13,0.03747,25,1.51473,0,-4.6366,1,-2.9522
ENSG00000197982,C1orf122,262,0.22518,245,0.09371,190,-0.3827,165,-0.5575,309,0.46963
ENSG00000183431,SF3A3,26,-0.2038,20,-0.6264,38,0.54736,34,0.27705,28,-0.0286
ENSG00000183520,UTP11,23,-0.3077,36,0.56679,32,0.33956,7,-2.0212,27,0.02147
ENSG00000116954,RRAGC,25,-0.3944,16,-1.1684,54,1.18447,27,-0.2102,32,0.03405
ENSG00000174574,AKIRIN1,50,-0.5073,78,0.31773,85,0.49888,65,-0.0157,38,-0.8697
ENSG00000168653,NDUFS5,594,0.04350,803,0.66368,519,-0.2111,401,-0.5960,412,-0.5515
ENSG00000127603,MACF1,93,-0.0554,60,-0.8479,120,0.45007,132,0.54265,89,-0.1260
ENSG00000090621,PABPC4,44,-0.2945,67,0.53431,51,0.00869,51,0.00787,34,-0.6395
ENSG00000116983,HPCAL4,219,-0.0153,324,0.79496,284,0.50465,60,-2.0112,53,-2.1946
ENSG00000084072,PPIE,25,-0.1959,25,-0.2345,29,0.03244,25,-0.1824,43,0.69438
ENSG00000168389,MFSD2A,11,-0.9296,30,0.90257,16,-0.3649,19,0.00059,21,0.14611
ENSG00000131236,CAP1,91,-0.6038,158,0.43980,151,0.34017,110,-0.2314,105,-0.3069
ENSG00000131238,PPT1,95,-0.3147,109,-0.0693,137,0.38269,121,0.11145,100,-0.1954
ENSG00000084073,ZMPSTE24,25,-0.2246,20,-0.6333,39,0.60759,41,0.58249,20,-0.5641
