Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000088727,KIF9,34,0.77769,22,-0.1313,17,-0.5221,23,-0.0467,17,-0.4759
ENSG00000114648,KLHL18,15,-0.5227,23,0.20653,33,0.97299,17,-0.3464,6,-1.8799
ENSG00000076201,PTPN23,27,-0.3828,27,-0.4044,39,0.30293,11,-1.7504,71,1.32154
ENSG00000114650,SCAP,41,-0.4492,38,-0.5680,71,0.63025,55,0.10519,61,0.26664
ENSG00000163832,ELP6,21,-0.2147,27,0.28014,19,-0.3571,2,-3.2350,51,1.35242
ENSG00000114646,CSPG5,234,0.76841,140,-0.2732,168,0.07731,82,-1.0637,126,-0.4032
ENSG00000173473,SMARCC1,20,0.13713,17,-0.1433,16,-0.2309,15,-0.3467,26,0.59746
ENSG00000132153,DHX30,70,-0.4581,91,0.01153,128,0.72547,51,-0.8879,91,0.01646
ENSG00000047849,MAP4,224,-0.2941,313,0.35202,293,0.21936,146,-0.9293,290,0.16958
ENSG00000164050,PLXNB1,92,0.22946,69,-0.3261,50,-0.8650,4,-4.5235,229,1.90222
ENSG00000232112,TMA7,634,-0.1969,898,0.49043,440,-0.8469,1054,0.68967,631,-0.1773
ENSG00000164054,SHISA5,98,-0.1993,89,-0.3633,131,0.37793,171,0.77446,61,-0.9112
ENSG00000010256,UQCRC1,164,-0.3348,186,-0.1037,261,0.57453,173,-0.2109,177,-0.1709
ENSG00000008300,CELSR3,16,0.19817,15,0.05170,24,1.06673,0,-4.8178,5,-1.4284
ENSG00000213672,NCKIPSD,34,-0.7443,63,0.43897,81,0.96879,12,-2.1366,39,-0.4191
ENSG00000068745,IP6K2,39,-0.5413,46,-0.2741,75,0.70541,61,0.23025,43,-0.3324
ENSG00000114302,PRKAR2A,30,0.22003,16,-0.9406,32,0.33106,51,1.10204,9,-1.6958
ENSG00000177479,ARIH2,26,-0.2539,28,-0.1247,35,0.32319,23,-0.3853,37,0.35535
ENSG00000178467,P4HTM,62,-0.4376,92,0.28834,124,0.94564,21,-2.0307,56,-0.5586
ENSG00000178252,WDR6,38,-0.5560,49,-0.0776,68,0.57338,45,-0.1999,55,0.10238
ENSG00000178149,DALRD3,20,0.30465,8,-1.1890,24,0.64920,9,-0.9066,23,0.48581
ENSG00000178057,NDUFAF3,107,-0.4248,167,0.43642,102,-0.5156,136,0.01355,189,0.57153
ENSG00000178035,IMPDH2,34,-0.4579,43,-0.0702,46,0.06186,53,0.30739,55,0.36489
ENSG00000198218,QRICH1,17,-0.7908,20,-0.5381,44,1.04407,13,-1.0865,39,0.63313
ENSG00000172053,QARS,27,-0.2652,27,-0.2329,32,0.09374,27,-0.2320,48,0.72560
ENSG00000172046,USP19,14,-0.8962,14,-0.8704,33,0.74251,32,0.56157,30,0.43370
ENSG00000172037,LAMB2,23,-1.1697,16,-1.7280,16,-1.7793,146,2.20398,108,1.54409
ENSG00000185909,KLHDC8B,14,-0.3216,22,0.57111,18,0.19755,5,-1.6139,18,0.15350
ENSG00000114316,USP4,16,-0.5340,16,-0.5128,34,0.91367,25,0.24120,16,-0.4731
ENSG00000067560,RHOA,186,-0.4627,179,-0.5290,227,-0.0928,337,0.58443,387,0.83464
ENSG00000145022,TCTA,35,0.45085,28,-0.0081,31,0.16075,16,-0.9192,22,-0.4221
ENSG00000145029,NICN1,26,-0.3278,46,0.79562,43,0.66503,5,-2.6154,13,-1.2936
ENSG00000173402,DAG1,73,0.36280,50,-0.3853,46,-0.5185,42,-0.6107,109,1.00104
ENSG00000164061,BSN,126,-0.4233,177,0.22096,246,0.93539,139,-0.2137,28,-2.6575
ENSG00000164062,APEH,40,-0.6601,37,-0.7783,83,0.76819,71,0.37187,66,0.24677
ENSG00000164068,RNF123,18,-0.2158,25,0.42590,22,0.11380,26,0.37178,7,-1.5473
ENSG00000176095,IP6K1,63,-0.3773,92,0.34318,125,1.01332,25,-1.7697,35,-1.2631
ENSG00000164076,CAMKV,151,-0.7169,318,0.72928,353,0.96926,100,-1.2591,43,-2.5229
ENSG00000164077,MON1A,23,-0.0948,22,-0.1850,28,0.25163,35,0.59761,14,-0.8476
ENSG00000004534,RBM6,24,-0.3692,34,0.31966,30,0.03201,33,0.17817,25,-0.2424
ENSG00000003756,RBM5,39,-0.4160,53,0.12114,60,0.36270,20,-1.3979,73,0.64504
ENSG00000114353,GNAI2,132,-0.6644,152,-0.4185,128,-0.7185,416,1.39625,281,0.66724
ENSG00000012171,SEMA3B,15,-1.8989,6,-3.3255,14,-1.9829,46,-0.0261,257,3.92793
ENSG00000114383,TUSC2,104,0.19056,107,0.24135,112,0.34163,49,-1.0334,60,-0.7246
ENSG00000114388,NPRL2,13,-0.6783,22,0.34428,30,0.99640,0,-4.5829,19,-0.0007
ENSG00000126062,TMEM115,20,-0.8307,25,-0.4509,45,0.68982,52,0.82483,24,-0.4529
ENSG00000088543,C3orf18,19,0.06833,18,-0.0946,29,0.92287,2,-3.0985,15,-0.3711
ENSG00000088538,DOCK3,55,-0.7821,88,0.07757,163,1.47247,31,-1.5824,34,-1.3994
ENSG00000145050,MANF,22,-0.5029,23,-0.4002,37,0.46687,28,-0.0708,41,0.54833
ENSG00000259956,RBM15B,22,-0.6346,35,0.21950,42,0.61095,8,-2.0966,44,0.56014
ENSG00000164081,TEX264,32,-0.2003,33,-0.1278,35,-0.0305,41,0.25544,42,0.30077
ENSG00000164082,GRM2,16,-0.2871,8,-1.4039,49,2.53178,0,-5.1465,1,-3.6660
ENSG00000090097,PCBP4,23,-1.0745,35,-0.3323,38,-0.2035,22,-1.0573,125,2.01034
ENSG00000248487,ABHD14A,69,-0.5753,100,0.10209,115,0.38007,119,0.38491,71,-0.4628
ENSG00000162244,RPL29,762,-0.2872,863,-0.0540,454,-1.1839,1715,1.15531,1230,0.55109
ENSG00000164086,DUSP7,23,-0.1582,30,0.37097,30,0.35917,24,-0.0571,9,-1.4856
ENSG00000023330,ALAS1,14,-0.7701,26,0.41059,28,0.55047,10,-1.1321,24,0.19125
ENSG00000247596,TWF2,25,-1.1392,45,-0.1322,71,0.80433,76,0.77791,27,-0.9098
ENSG00000164088,PPM1M,10,-0.6804,18,0.33366,20,0.64041,14,-0.0899,8,-0.8862
ENSG00000164091,WDR82,86,-0.7381,133,0.05236,229,1.25423,83,-0.7120,55,-1.3395
ENSG00000163930,BAP1,99,0.30219,74,-0.2553,114,0.60312,53,-0.7346,51,-0.8127
ENSG00000010322,NISCH,133,-0.3499,175,0.16917,218,0.62769,95,-0.8291,136,-0.2736
ENSG00000168268,NT5DC2,24,-0.0553,13,-1.0884,22,-0.2648,59,1.54831,22,-0.2128
ENSG00000168273,SMIM4,45,0.15645,54,0.53723,30,-0.5713,51,0.36736,21,-1.0567
ENSG00000163939,PBRM1,25,0.14488,16,-0.6277,26,0.28763,32,0.55935,16,-0.5280
ENSG00000163938,GNL3,24,-0.1928,28,0.08131,41,0.86887,17,-0.6845,11,-1.3382
ENSG00000016864,GLT8D1,16,-0.8764,23,-0.1673,26,0.00958,46,1.00352,29,0.23053
ENSG00000114902,SPCS1,113,-0.1758,123,-0.0221,131,0.10792,110,-0.2021,149,0.30800
ENSG00000114904,NEK4,16,-0.0620,16,-0.1495,17,0.03379,22,0.41291,15,-0.1697
ENSG00000272573,MUSTN1,14,-3.2028,9,-3.8815,5,-4.6149,547,3.78882,219,1.34092
ENSG00000163932,PRKCD,14,-0.1285,15,0.11035,29,1.53337,1,-3.9404,0,-6.6370
ENSG00000163931,TKT,73,-0.2731,69,-0.3867,111,0.53971,70,-0.3061,102,0.31241
ENSG00000016391,CHDH,25,0.94232,11,-0.6318,12,-0.5233,8,-1.0250,23,0.60665
ENSG00000113811,SELENOK,130,-0.0012,132,0.02902,100,-0.4874,115,-0.2034,202,0.75171
ENSG00000157445,CACNA2D3,13,-1.0013,22,-0.1599,50,1.65493,7,-1.8379,15,-0.7776
ENSG00000187672,ERC2,69,-0.3029,113,0.66751,119,0.78347,28,-1.6595,21,-2.0537
ENSG00000163946,TASOR,17,-0.2919,22,0.20858,19,-0.0770,27,0.45372,17,-0.2969
ENSG00000163947,ARHGEF3,28,-0.0582,8,-2.1034,66,1.96677,26,-0.1606,1,-4.4674
ENSG00000157500,APPL1,40,-0.6006,80,0.76345,66,0.34902,26,-1.1454,44,-0.3668
ENSG00000174840,PDE12,17,0.11035,15,-0.1953,22,0.57203,5,-1.8010,18,0.17859
ENSG00000168374,ARF4,51,-0.7143,87,0.26147,83,0.15543,86,0.19543,82,0.11931
ENSG00000163681,SLMAP,24,-0.4787,38,0.37049,29,-0.1583,49,0.75587,20,-0.6876
ENSG00000163686,ABHD6,27,-0.6976,13,-1.9042,84,1.72252,19,-1.1616,52,0.45655
ENSG00000168297,PXK,18,-0.6198,18,-0.6366,33,0.45736,0,-5.2880,69,1.76986
ENSG00000168291,PDHB,63,0.00925,35,-1.0255,97,0.91023,60,-0.0816,52,-0.2997
ENSG00000168301,KCTD6,19,0.01190,13,-0.6664,29,0.91228,0,-4.4750,27,0.64882
ENSG00000168309,FAM107A,684,0.05784,607,-0.1718,342,-1.1748,984,0.66969,1065,0.80966
ENSG00000144724,PTPRG,33,-0.5220,29,-0.7217,55,0.44936,102,1.52460,13,-1.8005
ENSG00000114405,C3orf14,61,-0.3420,101,0.64912,93,0.47342,63,-0.2530,14,-2.4742
ENSG00000153266,FEZF2,4,-2.7827,40,0.95181,52,1.62268,0,-5.6349,10,-1.3696
ENSG00000163618,CADPS,63,-0.7981,92,-0.1315,211,1.79288,43,-1.3081,12,-3.1977
ENSG00000163630,SYNPR,109,-1.0652,274,0.66345,370,1.39582,57,-1.9142,21,-3.4093
ENSG00000163634,THOC7,75,-0.4291,108,0.26814,95,0.01727,139,0.66601,59,-0.7541
ENSG00000163636,PSMD6,35,-0.5603,53,0.19223,64,0.58257,44,-0.1420,35,-0.4915
ENSG00000163637,PRICKLE2,49,-0.4736,65,0.05614,115,1.30969,27,-1.2964,21,-1.7168
ENSG00000151276,MAGI1,46,-0.3373,91,1.05729,60,0.16022,26,-1.1725,22,-1.4201
ENSG00000144741,SLC25A26,30,0.00542,29,-0.0641,35,0.31659,25,-0.2860,26,-0.2191
ENSG00000144749,LRIG1,111,0.63458,46,-0.9927,35,-1.4496,43,-0.9830,220,1.84614
ENSG00000183662,TAFA1,26,-0.0328,23,-0.2918,42,0.92470,26,-0.0666,7,-2.0812
ENSG00000144747,TMF1,11,-1.2117,18,-0.4538,32,0.67411,30,0.44480,32,0.50397
ENSG00000144744,UBA3,22,-0.7888,31,-0.2026,47,0.65517,5,-2.7408,69,1.21089
ENSG00000144746,ARL6IP5,110,-0.6346,127,-0.3790,212,0.63607,170,0.14258,176,0.20950
ENSG00000114861,FOXP1,18,-1.4151,52,0.51865,57,0.72612,42,0.08537,25,-0.7426
ENSG00000163412,EIF4E3,25,-0.8266,67,1.14690,52,0.55983,0,-6.0770,27,-0.6110
ENSG00000170837,GPR27,23,-0.3507,38,0.62459,36,0.50103,0,-5.7641,29,0.06682
ENSG00000163602,RYBP,24,-0.6559,47,0.61550,50,0.74735,15,-1.2808,20,-0.8590
ENSG00000163605,PPP4R2,20,-0.6733,34,0.27416,42,0.72704,7,-2.0575,36,0.31710
ENSG00000121440,PDZRN3,21,0.02852,4,-2.5645,18,-0.2529,49,1.55429,29,0.60788
ENSG00000185008,ROBO2,28,-0.8061,57,0.55589,76,1.22100,20,-1.1785,5,-3.2913
ENSG00000169855,ROBO1,15,-1.0136,26,-0.0344,31,0.30990,48,1.00914,21,-0.4105
ENSG00000175161,CADM2,190,-0.2267,202,-0.1188,401,1.38952,59,-2.0021,73,-1.6755
ENSG00000083937,CHMP2B,33,-0.7277,45,-0.1756,59,0.35987,84,0.90732,37,-0.4675
ENSG00000163320,CGGBP1,58,0.03393,57,-0.0286,84,0.77901,39,-0.6264,23,-1.4191
ENSG00000269028,MTRNR2L12,7745,0.89300,4064,-0.4094,2722,-1.1020,6578,0.44037,4872,-0.0637
ENSG00000261292,AC110491.1,17,0.46600,11,-0.3430,22,0.99846,8,-0.8198,0,-6.1429
ENSG00000113966,ARL6,16,-0.0218,15,-0.1906,27,1.09276,1,-3.8253,13,-0.3423
ENSG00000080822,CLDND1,55,-2.3335,142,-0.8097,146,-0.7550,47,-2.3775,1042,3.31163
ENSG00000080819,CPOX,8,-1.4166,21,0.16980,23,0.33860,3,-2.5025,47,1.55165
ENSG00000184220,CMSS1,41,-0.2628,82,1.17993,56,0.32633,6,-2.9442,15,-1.8026
ENSG00000036054,TBC1D23,11,-0.6768,17,0.11635,21,0.52121,0,-4.9738,30,1.09593
ENSG00000114021,NIT2,30,-0.1628,32,-0.0307,43,0.56748,42,0.42377,8,-2.0620
ENSG00000154174,TOMM70,45,-0.7561,70,0.06704,111,1.03955,41,-0.7938,51,-0.4677
ENSG00000114354,TFG,47,-0.4617,55,-0.1911,69,0.27089,68,0.19480,73,0.32504
ENSG00000174173,TRMT10C,13,-0.7532,22,0.17587,33,1.02723,17,-0.2553,8,-1.4431
ENSG00000081154,PCNP,118,-0.1509,149,0.31069,131,0.05288,123,-0.0576,101,-0.3791
ENSG00000066422,ZBTB11,15,-1.2959,35,0.11943,58,1.24037,27,-0.2715,17,-0.9639
ENSG00000114391,RPL24,794,-0.2014,917,0.07174,520,-0.9476,1565,0.99280,1040,0.27176
ENSG00000182504,CEP97,14,-0.1670,9,-0.8993,26,1.17535,8,-0.9402,14,-0.0578
ENSG00000144815,NXPE3,19,-0.7730,24,-0.3445,51,1.18134,0,-5.8459,46,0.76968
ENSG00000170017,ALCAM,56,-0.9031,77,-0.3349,111,0.36674,88,-0.0745,163,0.97831
ENSG00000114439,BBX,19,-0.6253,30,0.26652,18,-0.7248,14,-1.0347,65,1.60603
ENSG00000196776,CD47,44,-1.4691,104,0.00651,201,1.47172,50,-1.1507,84,-0.3489
ENSG00000114446,IFT57,20,-0.6578,33,0.20055,47,0.96045,13,-1.2135,23,-0.4088
ENSG00000198919,DZIP3,34,-0.4421,39,-0.1561,87,1.60868,2,-4.5486,21,-1.0984
ENSG00000240891,PLCXD2,5,-1.9208,13,-0.4137,45,2.66869,0,-4.9593,4,-1.9804
ENSG00000144827,ABHD10,41,-0.3373,66,0.56368,71,0.73964,16,-1.7472,25,-1.0921
ENSG00000144834,TAGLN3,242,-0.6414,487,0.71445,557,1.02694,127,-1.5611,54,-2.8295
ENSG00000091972,CD200,51,-0.5227,54,-0.4280,142,1.70037,33,-1.1239,17,-2.1300
ENSG00000144848,ATG3,42,-0.0980,42,-0.1122,30,-0.6829,33,-0.4941,94,1.31939
ENSG00000138459,SLC35A5,16,-0.8311,12,-1.2613,32,0.41807,13,-1.0471,72,1.89728
ENSG00000163608,NEPRO,10,-0.7004,24,0.92197,13,-0.2806,9,-0.8891,19,0.36905
ENSG00000072858,SIDT1,8,-1.5484,24,0.27315,30,0.71972,36,0.91424,7,-1.6330
ENSG00000176542,USF3,11,-0.8470,20,0.30647,24,0.63942,16,-0.0829,12,-0.5104
ENSG00000121579,NAA50,32,-0.1739,36,0.04043,47,0.54454,40,0.17622,14,-1.4251
ENSG00000114573,ATP6V1A,129,-0.5164,159,-0.1370,292,1.16032,148,-0.2355,59,-1.6600
ENSG00000184307,ZDHHC23,10,-0.3595,9,-0.6324,26,1.61721,9,-0.5408,2,-2.6806
ENSG00000172020,GAP43,678,0.66702,492,0.01105,664,0.62317,168,-1.6709,79,-2.7865
ENSG00000185565,LSAMP,122,0.13194,84,-0.5639,170,0.83166,98,-0.2429,62,-0.9600
ENSG00000113845,TIMMDC1,42,-0.0264,42,-0.0056,40,-0.1171,9,-2.2855,82,1.14918
ENSG00000138495,COX17,157,-0.0508,166,0.06121,109,-0.7076,284,0.98418,140,-0.2285
ENSG00000082701,GSK3B,62,-0.0776,61,-0.1039,102,0.96129,42,-0.7033,25,-1.4717
ENSG00000163428,LRRC58,22,-0.1923,25,0.08162,21,-0.2881,17,-0.5228,41,0.88291
ENSG00000163430,FSTL1,21,-0.0931,10,-1.4383,9,-1.5876,54,1.57057,46,1.25791
ENSG00000065518,NDUFB4,372,0.27291,361,0.20973,262,-0.3989,320,-0.0211,284,-0.2170
ENSG00000144840,RABL3,19,-0.7146,28,0.02186,29,0.02637,57,1.24283,16,-0.8761
ENSG00000145087,STXBP5L,24,-1.0922,52,0.29845,91,1.62356,11,-2.1249,12,-1.9506
ENSG00000173230,GOLGB1,30,-0.8725,60,0.39854,58,0.31555,67,0.50175,31,-0.7305
ENSG00000163406,SLC15A2,41,0.83820,19,-0.5859,23,-0.3109,0,-5.7149,50,1.06707
ENSG00000114023,FAM162A,106,-0.2155,138,0.29617,141,0.33061,92,-0.4133,90,-0.4566
ENSG00000114030,KPNA1,33,-0.7485,58,0.30683,70,0.69127,31,-0.7467,45,-0.1489
ENSG00000173175,ADCY5,41,-0.5632,54,-0.0802,61,0.14617,54,-0.0579,84,0.67834
ENSG00000206527,HACD2,29,-0.9085,55,0.29465,69,0.76683,18,-1.4789,57,0.28588
ENSG00000065534,MYLK,27,-0.8772,21,-1.3012,17,-1.6510,149,2.35210,74,0.89193
ENSG00000160145,KALRN,83,-0.4429,130,0.42371,176,1.09203,44,-1.3755,22,-2.3907
ENSG00000082781,ITGB5,30,0.26034,17,-0.8394,15,-0.9868,25,-0.1205,64,1.56786
ENSG00000163848,ZNF148,20,-0.8158,37,0.36096,36,0.31194,38,0.32175,24,-0.4138
ENSG00000114520,SNX4,23,0.06407,23,0.02770,33,0.76430,4,-2.4139,18,-0.3569
ENSG00000114544,SLC41A3,61,-0.3195,50,-0.7005,123,1.11009,46,-0.7351,71,-0.0465
ENSG00000144908,ALDH1L1,87,0.65207,53,-0.3244,33,-1.1564,17,-2.0468,144,1.46274
ENSG00000159685,CHCHD6,62,0.21185,87,0.93881,60,0.15365,18,-1.6940,8,-2.8965
ENSG00000114554,PLXNA1,25,-1.0300,45,-0.0196,82,1.29675,54,0.26710,5,-3.1998
ENSG00000163870,TPRA1,18,-0.7205,22,-0.2909,26,-0.0206,39,0.66032,39,0.67866
ENSG00000114631,PODXL2,117,-0.4620,118,-0.4415,263,1.22196,153,0.03689,51,-1.6745
ENSG00000114626,ABTB1,39,-0.2208,29,-0.7628,69,0.91892,66,0.66714,15,-1.7076
ENSG00000074416,MGLL,197,0.25970,175,0.02891,185,0.13442,165,-0.0776,102,-0.8407
ENSG00000058262,SEC61A1,46,-0.4912,41,-0.7023,54,-0.2243,65,0.10360,138,1.46779
ENSG00000175792,RUVBL1,13,-0.1940,14,-0.1667,25,1.09476,0,-4.2808,15,-0.0367
ENSG00000163902,RPN1,67,-0.2853,85,0.17538,86,0.20159,51,-0.6810,95,0.33664
ENSG00000075785,RAB7A,121,-0.6807,164,-0.1331,206,0.31370,237,0.50587,187,0.10490
ENSG00000177646,ACAD9,18,-0.3873,16,-0.5532,26,0.33924,37,0.91320,18,-0.3121
ENSG00000240682,ISY1,14,-0.3755,12,-0.6489,16,-0.0620,29,0.94403,22,0.44343
ENSG00000169714,CNBP,134,-0.4872,205,0.32334,158,-0.1863,192,0.16302,208,0.29470
ENSG00000181789,COPG1,29,-1.0154,35,-0.6619,93,1.31060,51,-0.0080,44,-0.2470
ENSG00000183624,HMCES,33,0.23027,34,0.27956,39,0.57544,4,-3.0493,19,-0.6773
ENSG00000184897,H1FX,134,-0.5432,190,0.11108,188,0.08282,244,0.51586,171,-0.0863
ENSG00000129071,MBD4,18,-0.3166,23,0.13800,23,0.17492,30,0.54648,13,-0.8283
ENSG00000163913,IFT122,18,-0.1146,27,0.64792,27,0.63384,0,-4.7867,12,-0.8077
ENSG00000004399,PLXND1,39,0.53310,12,-1.5941,34,0.27830,36,0.31416,33,0.14576
ENSG00000172765,TMCC1,26,0.13027,37,0.88964,25,0.05638,5,-2.3586,13,-1.0061
ENSG00000017260,ATP2C1,45,-1.2115,104,0.26950,152,1.11268,64,-0.5467,58,-0.7244
ENSG00000198585,NUDT16,45,0.53163,36,0.10825,32,-0.1188,12,-1.6119,36,0.07717
ENSG00000114686,MRPL3,35,-0.3691,37,-0.2443,62,0.76853,52,0.32985,20,-1.1405
ENSG00000196353,CPNE4,26,-0.2375,7,-2.2746,79,2.54459,10,-1.6218,2,-3.7689
ENSG00000138246,DNAJC13,19,0.04000,22,0.32341,30,0.97654,3,-2.7497,5,-2.0418
ENSG00000081307,UBA5,18,-0.3734,37,1.08552,24,0.19095,2,-3.0828,15,-0.5513
ENSG00000144868,TMEM108,19,0.04728,11,-0.9188,40,1.73146,0,-5.2219,10,-1.0452
ENSG00000091527,CDV3,49,-0.3880,47,-0.4869,58,-0.0849,105,0.94674,73,0.30279
ENSG00000163781,TOPBP1,11,-0.1334,11,-0.2611,26,1.66881,0,-4.6137,2,-2.2579
ENSG00000091513,TF,4,-5.6806,76,-1.3533,60,-1.7270,26,-2.8235,1013,4.52530
ENSG00000144867,SRPRB,33,-0.7183,44,-0.2254,57,0.29572,84,0.91531,42,-0.2524
ENSG00000154917,RAB6B,350,-0.2402,408,0.05252,673,1.13787,241,-0.7969,76,-2.5445
ENSG00000114019,AMOTL2,4,-2.3230,20,0.21480,22,0.38204,0,-5.1739,52,1.92581
ENSG00000129055,ANAPC13,74,-0.0464,78,0.06513,90,0.35077,65,-0.2440,55,-0.5042
ENSG00000182923,CEP63,15,0.05359,13,-0.1777,12,-0.3559,9,-0.6456,26,1.02354
ENSG00000154928,EPHB1,19,0.77939,9,-0.5635,16,0.44797,3,-1.9482,11,-0.3031
ENSG00000114054,PCCB,15,-0.6394,31,0.82052,20,-0.1303,9,-1.3196,28,0.47437
ENSG00000168917,SLC35G2,19,0.40041,12,-0.3704,16,0.13562,0,-4.6018,26,0.94404
ENSG00000114098,ARMC8,21,-0.9362,42,0.35934,57,1.05229,30,-0.2516,10,-1.9252
ENSG00000158186,MRAS,69,-0.5556,125,0.59109,117,0.44814,60,-0.6927,65,-0.5832
ENSG00000114107,CEP70,13,-0.9337,12,-1.1057,24,0.12116,50,1.46272,30,0.50670
ENSG00000051382,PIK3CB,43,-0.1013,51,0.22827,68,0.80911,18,-1.4743,23,-1.0507
ENSG00000175110,MRPS22,20,-0.5555,25,-0.0950,26,-0.0186,34,0.42137,36,0.51057
ENSG00000184432,COPB2,20,-0.6765,26,-0.2088,32,0.24829,42,0.63611,32,0.16763
ENSG00000114115,RBP1,19,-0.6298,24,-0.2040,14,-1.1383,62,1.49677,38,0.61487
ENSG00000158258,CLSTN2,17,-2.5123,77,-0.0940,217,2.61660,4,-4.4847,18,-2.2601
ENSG00000114120,SLC25A36,38,-0.6385,47,-0.2239,83,0.93698,70,0.46214,20,-1.5150
ENSG00000155893,PXYLP1,9,-0.9425,20,0.55551,16,0.09991,10,-0.5872,21,0.55370
ENSG00000177311,ZBTB38,29,-0.4103,35,-0.0603,59,0.99781,20,-0.9701,26,-0.5369
ENSG00000114125,RNF7,95,-0.2323,130,0.38085,75,-0.6533,157,0.64204,102,-0.0789
ENSG00000069849,ATP1B3,57,-0.5720,62,-0.4333,99,0.47296,77,-0.0372,113,0.62314
ENSG00000114126,TFDP2,14,-0.6213,24,0.34274,21,0.09358,22,0.15186,20,0.00587
ENSG00000144935,TRPC1,17,-0.5524,16,-0.7249,51,1.76694,8,-1.6267,13,-0.8966
ENSG00000163714,U2SURP,33,-0.5234,39,-0.2235,59,0.58460,61,0.54514,29,-0.6414
ENSG00000175040,CHST2,33,-0.3127,29,-0.5531,55,0.68606,50,0.39007,30,-0.4193
ENSG00000114698,PLSCR4,26,-0.1603,13,-1.3025,13,-1.3740,39,0.53075,85,2.01586
ENSG00000163754,GYG1,30,-0.3720,23,-0.8405,48,0.50867,54,0.63002,40,0.13391
ENSG00000071794,HLTF,21,-0.1718,15,-0.7740,38,1.09558,11,-1.0735,23,0.05167
ENSG00000114744,COMMD2,10,-0.9734,13,-0.5820,20,0.27083,31,0.94147,24,0.52632
ENSG00000082996,RNF13,26,-1.3422,30,-1.0736,57,0.04941,21,-1.4964,199,2.47361
ENSG00000070087,PFN2,265,-0.3847,422,0.51841,416,0.48622,200,-0.7798,204,-0.7490
ENSG00000196428,TSC22D2,27,-0.1417,26,-0.2052,43,0.79179,23,-0.3667,18,-0.7552
ENSG00000120742,SERP1,103,0.02570,101,-0.0153,77,-0.5195,100,-0.0279,153,0.68796
ENSG00000144895,EIF2A,27,-0.5462,45,0.37830,28,-0.4745,62,0.88600,32,-0.2160
ENSG00000198843,SELENOT,97,-0.5974,132,-0.0460,190,0.70783,76,-0.9040,164,0.32677
ENSG00000181788,SIAH2,16,-0.6411,26,0.23243,33,0.76959,18,-0.3851,15,-0.6861
ENSG00000152601,MBNL1,40,-0.5134,54,0.04725,74,0.70600,43,-0.3188,42,-0.3705
ENSG00000181467,RAP2B,17,-0.6306,46,1.32059,33,0.58262,0,-5.4869,6,-2.0940
ENSG00000114790,ARHGEF26,21,0.43794,13,-0.4694,10,-0.9451,4,-2.1612,43,1.69560
ENSG00000174953,DHX36,35,-0.6709,38,-0.5173,71,0.67860,80,0.76118,39,-0.4421
ENSG00000114805,PLCH1,16,0.12342,2,-2.7922,42,2.68314,0,-4.9150,0,-6.6911
ENSG00000174928,C3orf33,11,-0.2785,12,-0.0845,23,1.24356,2,-2.7716,8,-0.6460
ENSG00000163655,GMPS,14,-0.8352,25,0.13136,41,1.23074,18,-0.3689,6,-1.9110
ENSG00000169282,KCNAB1,31,-0.6785,43,-0.0574,88,1.54162,22,-1.0741,10,-2.2580
ENSG00000114850,SSR3,82,0.17131,54,-0.5946,68,-0.1823,70,-0.1074,121,0.82639
ENSG00000174891,RSRC1,24,-0.8327,41,0.12619,44,0.24693,56,0.63425,34,-0.1992
ENSG00000178053,MLF1,16,-0.2796,26,0.64862,16,-0.3602,11,-0.8256,24,0.42157
ENSG00000168827,GFM1,23,-0.4557,34,0.22268,41,0.62065,31,0.08068,13,-1.3139
ENSG00000118855,MFSD1,12,-1.1427,17,-0.5928,21,-0.1966,54,1.49157,33,0.57962
ENSG00000180044,C3orf80,17,-1.1244,42,0.51436,68,1.66395,7,-2.2588,0,-6.0384
ENSG00000068885,IFT80,13,-0.6491,16,-0.2537,40,1.71796,2,-3.2087,10,-0.9700
ENSG00000186432,KPNA4,58,-0.2925,89,0.54218,93,0.63947,29,-1.3308,34,-1.0685
ENSG00000163590,PPM1L,49,-0.4938,55,-0.2735,124,1.49782,34,-0.9860,20,-1.7675
ENSG00000169255,B3GALNT1,48,-0.1964,64,0.38740,84,0.97056,13,-2.1841,19,-1.5854
ENSG00000169251,NMD3,20,-0.5217,22,-0.4214,24,-0.2431,59,1.34817,28,0.01116
ENSG00000121871,SLITRK3,5,-1.6041,23,1.21749,24,1.29709,0,-4.6879,0,-4.0191
ENSG00000114209,PDCD10,28,-0.5831,29,-0.4999,26,-0.7089,86,1.43577,55,0.61107
ENSG00000163536,SERPINI1,243,-0.7372,312,-0.2906,780,1.78722,109,-1.8764,136,-1.5417
ENSG00000173905,GOLIM4,48,-0.1204,28,-1.0804,21,-1.5429,86,0.89222,130,1.69948
ENSG00000008952,SEC62,273,-0.3516,338,0.04415,335,0.02547,436,0.46685,314,-0.0824
ENSG00000173889,PHC3,12,-1.1397,15,-0.6871,24,0.09351,59,1.73857,20,-0.1809
ENSG00000163558,PRKCI,38,-0.4486,42,-0.2572,98,1.64287,11,-2.1616,17,-1.6118
ENSG00000136603,SKIL,20,-0.8079,16,-1.1186,38,0.38957,94,2.03648,8,-2.0423
