Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000116237,ICMT,32,-0.1637,27,-0.4108,24,-0.5901,77,1.38690,16,-1.1635,57,0.84640,14,-1.4203
ENSG00000097021,ACOT7,148,-0.5136,261,0.48358,149,-0.4421,479,1.62025,214,0.14620,109,-0.9358,59,-1.8579
ENSG00000215788,TNFRSF25,13,-0.8472,41,1.16270,34,0.78768,20,-0.1117,16,-0.4702,30,0.57892,3,-3.0108
ENSG00000171680,PLEKHG5,16,-0.4066,45,1.45070,20,0.01869,24,0.29353,18,-0.1784,13,-0.6318,7,-1.5568
ENSG00000162408,NOL9,24,-0.1694,37,0.54135,25,-0.0868,32,0.33060,47,1.00387,4,-2.6840,18,-0.6400
ENSG00000162413,KLHL21,20,-0.3958,23,-0.1404,18,-0.5663,32,0.39223,32,0.38778,18,-0.5328,39,0.71459
ENSG00000041988,THAP3,22,0.15766,31,0.74230,15,-0.4909,17,-0.2772,26,0.43988,5,-2.1604,23,0.24815
ENSG00000007923,DNAJC11,33,-0.0259,30,-0.1686,44,0.43857,38,0.20521,56,0.89196,20,-0.8059,14,-1.3842
ENSG00000171735,CAMTA1,187,-0.0016,114,-0.7960,177,-0.0933,198,0.09027,282,0.69800,238,0.40301,115,-0.7746
ENSG00000049245,VAMP3,21,-1.0396,22,-0.8756,20,-1.0568,14,-1.5428,24,-0.7316,78,1.22249,109,1.90171
ENSG00000049246,PER3,28,0.80991,12,-0.7758,13,-0.6237,26,0.50599,15,-0.3822,6,-1.8212,25,0.44720
ENSG00000116288,PARK7,335,-0.1625,501,0.53668,387,0.09751,307,-0.2815,318,-0.2227,313,-0.2510,423,0.24599
ENSG00000116285,ERRFI1,17,0.02212,11,-0.6315,9,-0.9093,26,0.72554,13,-0.3421,8,-1.1296,32,1.13131
ENSG00000162426,SLC45A1,23,-0.3925,22,-0.3888,21,-0.4754,61,1.37495,49,0.96824,12,-1.3613,14,-1.0515
ENSG00000142599,RERE,88,-0.0089,94,0.09761,66,-0.4625,96,0.13681,102,0.23212,122,0.53810,52,-0.8507
ENSG00000074800,ENO1,550,-0.1529,739,0.35894,483,-0.3411,633,0.09940,539,-0.1643,556,-0.1134,719,0.31292
ENSG00000171612,SLC25A33,61,0.84882,45,0.17513,30,-0.4897,21,-0.9897,40,-0.0252,9,-2.2863,56,0.57005
ENSG00000188807,TMEM201,12,-0.1829,14,-0.0037,9,-0.6230,21,0.71852,18,0.46904,8,-0.7884,14,0.08511
ENSG00000171603,CLSTN1,346,-0.6208,520,0.11473,477,-0.0295,1004,1.28818,652,0.49918,259,-0.9966,278,-0.8881
ENSG00000178585,CTNNBIP1,39,0.37350,16,-1.1408,32,-0.0194,44,0.49866,42,0.42701,20,-0.7893,28,-0.2293
ENSG00000162441,LZIC,32,0.02913,25,-0.3789,38,0.29713,23,-0.4980,26,-0.3314,9,-1.9835,69,1.36664
ENSG00000130939,UBE4B,25,-0.3812,15,-1.1360,51,0.86864,45,0.63372,49,0.78173,13,-1.2695,23,-0.4656
ENSG00000054523,KIF1B,183,-0.2085,176,-0.2385,220,0.12545,221,0.13230,311,0.71599,139,-0.6235,201,-0.0266
ENSG00000142657,PGD,36,-0.4514,48,0.05976,46,0.00535,80,0.94752,59,0.39593,9,-2.4149,55,0.28989
ENSG00000241563,CORT,49,-2.2682,53,-1.9893,30,-2.8315,111,-0.8693,50,-2.0682,1147,4.33992,49,-2.0984
ENSG00000160049,DFFA,30,-0.0438,19,-0.7260,50,0.84354,25,-0.3369,23,-0.4374,42,0.54571,25,-0.3226
ENSG00000142655,PEX14,13,-0.8378,11,-0.9853,29,0.50118,38,0.96379,24,0.20421,20,-0.1357,23,0.10306
ENSG00000120948,TARDBP,37,-0.9853,83,0.44744,77,0.30541,57,-0.1798,64,0.00697,92,0.61134,64,0.01488
ENSG00000116649,SRM,96,-0.1021,110,0.13824,84,-0.2968,142,0.58316,97,-0.0701,97,-0.0685,86,-0.2532
ENSG00000171824,EXOSC10,17,-0.3057,19,-0.0589,22,0.17200,30,0.71345,28,0.62154,0,-5.2145,24,0.35589
ENSG00000198793,MTOR,34,0.48905,31,0.23420,10,-1.5407,52,1.16507,19,-0.5568,16,-0.8292,18,-0.6200
ENSG00000116661,FBXO2,294,0.12720,204,-0.4793,162,-0.8461,187,-0.6162,160,-0.8598,325,0.27777,574,1.30355
ENSG00000132879,FBXO44,116,-0.3173,195,0.58685,122,-0.1936,254,1.06680,197,0.60139,34,-2.1666,68,-1.1134
ENSG00000116670,MAD2L2,23,-0.6742,56,0.86368,31,-0.1639,19,-0.9436,10,-1.8453,59,0.93866,51,0.67251
ENSG00000011021,CLCN6,37,-0.6343,52,0.00019,56,0.11275,85,0.82735,81,0.73190,10,-2.5184,61,0.26004
ENSG00000116685,KIAA2013,19,-1.2706,26,-0.7304,48,0.28060,49,0.29567,51,0.36892,39,-0.0497,74,1.02511
ENSG00000083444,PLOD1,19,-0.3847,19,-0.3750,15,-0.7628,15,-0.7821,25,0.08420,25,0.07278,55,1.45114
ENSG00000116688,MFN2,51,-0.3820,58,-0.1284,73,0.24077,115,1.04689,53,-0.2759,42,-0.6364,60,-0.0846
ENSG00000048707,VPS13D,28,-0.6888,25,-0.7925,38,-0.1216,55,0.50305,70,0.93343,56,0.54003,26,-0.6834
ENSG00000162496,DHRS3,42,-0.1890,10,-2.3405,20,-1.3361,21,-1.2064,51,0.15192,72,0.74839,114,1.61204
ENSG00000116731,PRDM2,28,-1.2308,81,0.61095,81,0.60555,76,0.48234,118,1.28858,18,-1.7623,24,-1.3664
ENSG00000189337,KAZN,28,-0.5308,31,-0.3439,45,0.26941,43,0.20468,41,0.12081,49,0.41986,39,0.04185
ENSG00000142634,EFHD2,15,-3.3437,24,-2.5034,400,2.24763,40,-1.7376,390,2.18903,59,-1.1627,43,-1.6373
ENSG00000116138,DNAJC16,12,-0.8394,22,0.27635,14,-0.4060,28,0.69041,37,1.17415,9,-1.1647,16,-0.2519
ENSG00000197312,DDI2,13,-0.5908,12,-0.6875,11,-0.7669,37,1.22081,35,1.10814,6,-1.6133,19,0.06496
ENSG00000116786,PLEKHM2,71,-0.0451,75,0.06843,89,0.33535,75,0.05244,70,-0.0527,78,0.11440,51,-0.5517
ENSG00000065526,SPEN,26,0.04810,20,-0.3978,35,0.53018,27,0.09960,32,0.37196,1,-4.6842,37,0.62511
ENSG00000116809,ZBTB17,13,-0.9491,23,0.08706,22,0.00060,20,-0.1576,27,0.34157,37,0.87068,22,-0.0392
ENSG00000185519,FAM131C,25,0.61820,14,-0.4415,23,0.37322,22,0.28010,26,0.56648,0,-5.1794,12,-0.6426
ENSG00000037637,FBXO42,10,-0.5240,21,0.70003,6,-1.1666,17,0.35668,35,1.65755,0,-4.2902,10,-0.5118
ENSG00000055070,SZRD1,30,-0.1036,23,-0.5214,38,0.28384,13,-1.3611,21,-0.6651,59,1.06359,41,0.40752
ENSG00000219481,NBPF1,10,-0.9576,23,0.40696,16,-0.2186,18,-0.0213,8,-1.3042,30,0.88789,29,0.78708
ENSG00000238142,BX284668.5,16,-0.1411,12,-0.5584,23,0.51486,7,-1.3337,14,-0.2916,30,0.94784,19,0.13704
ENSG00000159363,ATP13A2,146,0.24924,98,-0.4366,84,-0.6808,265,1.27031,147,0.21811,80,-0.7557,64,-1.1079
ENSG00000117118,SDHB,72,-0.1019,124,0.83327,65,-0.2395,85,0.19028,52,-0.5975,55,-0.5197,82,0.12950
ENSG00000117115,PADI2,27,-0.8784,22,-1.0407,20,-1.2013,10,-2.2352,31,-0.5214,2,-4.0715,209,3.36055
ENSG00000179051,RCC2,16,-0.2515,8,-1.2202,2,-2.9968,37,1.16056,8,-1.2448,30,0.81124,31,0.86581
ENSG00000074964,ARHGEF10L,19,0.03640,11,-0.8631,2,-3.3770,16,-0.2154,17,-0.1283,57,2.05696,9,-1.1399
ENSG00000117154,IGSF21,31,-1.5196,34,-1.2363,155,1.29440,92,0.35291,197,1.77596,37,-1.1137,20,-2.0006
ENSG00000159423,ALDH4A1,54,1.12041,21,-0.6622,31,-0.0353,12,-1.5090,38,0.31026,11,-1.6184,34,0.08938
ENSG00000127463,EMC1,19,-0.6721,33,0.32624,11,-1.4254,35,0.41553,24,-0.1821,44,0.81390,33,0.32729
ENSG00000053372,MRTO4,30,6.92697,51,0.92941,30,0.03398,49,0.85918,23,-0.3777,21,-0.5418,3,-3.3007
ENSG00000053371,AKR7A2,55,0.15582,43,-0.2670,32,-0.7232,21,-1.3912,31,-0.8024,58,0.21768,112,1.39888
ENSG00000077549,CAPZB,142,-0.2877,154,-0.1155,151,-0.1532,215,0.43760,241,0.63527,132,-0.3727,148,-0.1782
ENSG00000173436,MICOS10,373,0.20146,376,0.18255,414,0.34718,274,-0.3340,330,-0.0311,304,-0.1655,248,-0.4922
ENSG00000158747,NBL1,191,-0.7565,187,-0.7012,276,-0.0814,267,-0.1377,442,0.71504,169,-0.8644,600,1.28218
ENSG00000162545,CAMK2N1,1305,0.58666,2352,1.58821,514,-1.0206,1192,0.33168,334,-1.6770,365,-1.5453,456,-1.2053
ENSG00000090432,MUL1,15,-0.8666,21,-0.2563,9,-1.5437,42,0.88991,49,1.18137,21,-0.3049,27,0.11826
ENSG00000183114,FAM43B,7,-2.3402,4,-2.9574,64,1.40618,14,-1.1760,116,2.77785,1,-4.7285,20,-0.6055
ENSG00000158828,PINK1,306,-0.2380,277,-0.3695,529,0.71670,421,0.31938,398,0.22328,374,0.12111,170,-1.1304
ENSG00000244038,DDOST,21,-0.5379,16,-0.8884,26,-0.1396,30,0.09909,39,0.54798,44,0.77286,28,0.00216
ENSG00000189410,SH2D5,20,-0.1801,33,0.63430,9,-1.4574,26,0.27823,34,0.71096,26,0.22527,11,-1.1258
ENSG00000127483,HP1BP3,107,-0.4800,96,-0.5956,155,0.17707,161,0.24953,168,0.31914,196,0.58143,121,-0.2217
ENSG00000075151,EIF4G3,75,-0.2777,74,-0.2558,86,-0.0166,139,0.80846,135,0.75575,85,-0.0339,25,-1.9014
ENSG00000117298,ECE1,10,-1.5554,13,-1.0542,5,-2.3607,27,0.10097,14,-0.8496,72,1.93450,50,1.20086
ENSG00000162551,ALPL,16,-1.4585,9,-2.1857,15,-1.4067,7,-2.4963,26,-0.5248,173,3.28120,33,-0.1527
ENSG00000076864,RAP1GAP,63,-1.1252,90,-0.4536,203,0.90948,229,1.13561,209,0.96798,61,-1.0617,38,-1.7754
ENSG00000090686,USP48,23,-0.4939,21,-0.6033,33,0.12405,44,0.64410,26,-0.2596,32,0.07963,41,0.49577
ENSG00000070831,CDC42,128,-0.6814,136,-0.5003,212,0.21408,337,1.03312,211,0.20905,201,0.12928,135,-0.5136
ENSG00000173372,C1QA,47,-0.4613,42,-0.5769,52,-0.2402,10,-2.6913,16,-1.9939,186,2.13353,81,0.50142
ENSG00000159189,C1QC,37,-0.3112,36,-0.3033,26,-0.8290,20,-1.1988,16,-1.5790,121,1.88012,56,0.42792
ENSG00000173369,C1QB,79,-0.3811,46,-1.1722,80,-0.3235,32,-1.7290,47,-1.1484,257,1.77950,159,0.83629
ENSG00000004487,KDM1A,27,-0.4961,40,0.16225,18,-1.0507,57,0.77269,53,0.65483,50,0.54893,15,-1.3282
ENSG00000169641,LUZP1,30,-0.0008,28,-0.1383,26,-0.2457,60,1.19658,43,0.59068,14,-1.1975,11,-1.5885
ENSG00000125944,HNRNPR,56,-0.7670,146,0.91681,114,0.48140,104,0.32462,56,-0.6635,74,-0.2434,79,-0.1317
ENSG00000125945,ZNF436,10,-0.7630,24,0.73068,19,0.32311,29,1.06657,14,-0.1344,11,-0.5810,7,-1.1637
ENSG00000117318,ID3,10,-3.8309,3,-5.3075,1,-6.6354,5,-4.6034,0,-10.395,451,2.82858,414,2.59029
ENSG00000142676,RPL11,529,-0.6453,608,-0.3463,760,0.01513,316,-1.3659,414,-0.9525,1688,1.44678,1178,0.76749
ENSG00000011007,ELOA,9,-0.9545,13,-0.3180,28,0.97273,24,0.69885,15,-0.0389,10,-0.6404,17,0.15451
ENSG00000057757,PITHD1,103,-0.5173,203,0.67918,127,-0.1104,221,0.83140,142,0.07117,113,-0.2976,77,-0.9073
ENSG00000011009,LYPLA2,24,-1.2766,56,0.15349,59,0.24183,56,0.15254,73,0.61341,60,0.26324,55,0.12373
ENSG00000117305,HMGCL,18,-0.2906,16,-0.3817,13,-0.7504,15,-0.5069,32,0.73899,16,-0.4320,38,1.05712
ENSG00000189266,PNRC2,24,-1.2429,44,-0.1588,65,0.50381,36,-0.4517,44,-0.1442,93,1.14309,56,0.25655
ENSG00000188529,SRSF10,35,-0.0781,38,0.06083,26,-0.5389,52,0.56072,48,0.42897,32,-0.2389,29,-0.4031
ENSG00000001461,NIPAL3,24,-1.1811,20,-1.3220,41,-0.2128,75,0.80943,97,1.27584,0,-6.4817,94,1.21638
ENSG00000133226,SRRM1,26,-1.0780,59,0.33066,42,-0.2552,40,-0.3139,41,-0.2732,95,1.16238,60,0.34274
ENSG00000169504,CLIC4,4,-3.6997,2,-3.9567,24,-0.7913,6,-2.7142,28,-0.5980,43,0.08525,213,3.70342
ENSG00000117614,SYF2,41,-0.7821,36,-0.9244,49,-0.4191,54,-0.2677,31,-1.1282,166,1.73579,93,0.63230
ENSG00000117616,RSRP1,32,-0.9356,62,0.22003,62,0.21129,43,-0.3860,80,0.64008,34,-0.7586,91,0.88295
ENSG00000183726,TMEM50A,46,-0.7964,93,0.43025,57,-0.3718,101,0.56693,61,-0.2734,62,-0.2347,109,0.71079
ENSG00000204178,MACO1,11,-1.4191,37,0.69006,29,0.24592,22,-0.2133,28,0.21722,43,0.96190,17,-0.5809
ENSG00000117643,MAN1C1,21,-1.1120,34,-0.2123,18,-1.2434,67,0.91943,17,-1.2660,115,1.98638,22,-0.9361
ENSG00000162430,SELENON,50,0.06231,51,0.10281,29,-0.7942,39,-0.3314,43,-0.1637,58,0.30669,64,0.49385
ENSG00000117640,MTFR1L,45,-0.3867,63,0.21137,72,0.42634,61,0.15731,92,0.85987,28,-1.1054,39,-0.5609
ENSG00000117632,STMN1,641,-0.6244,978,0.13440,1371,0.71468,1388,0.73722,1177,0.44788,449,-1.1068,571,-0.7334
ENSG00000158008,EXTL1,28,-0.7770,42,-0.0513,95,1.42128,37,-0.2269,94,1.39078,10,-2.1505,9,-2.3753
ENSG00000142684,ZNF593,31,0.01267,25,-0.3357,40,0.42609,35,0.19406,34,0.13178,17,-0.9696,35,0.21034
ENSG00000142669,SH3BGRL3,196,-0.5818,256,-0.0828,414,0.73103,185,-0.6063,333,0.35169,373,0.54729,204,-0.4503
ENSG00000158062,UBXN11,27,0.22116,32,0.47765,17,-0.4988,37,0.73501,31,0.40629,0,-5.5527,21,-0.2368
ENSG00000117682,DHDDS,14,-0.6934,9,-1.2000,23,0.17697,23,0.15675,27,0.44383,30,0.62199,25,0.31849
ENSG00000198830,HMGN2,138,-0.2564,169,0.11013,169,0.10400,63,-1.4412,126,-0.3637,193,0.32964,270,0.92213
ENSG00000117713,ARID1A,38,-0.3004,45,0.03024,57,0.42207,56,0.39525,72,0.84407,23,-1.0380,25,-0.8871
ENSG00000204160,ZDHHC18,18,-0.6380,38,0.68484,23,-0.1872,34,0.47606,52,1.25283,5,-2.3970,16,-0.7319
ENSG00000090273,NUDC,124,-0.2380,205,0.63008,190,0.49636,130,-0.1311,124,-0.2113,99,-0.5702,133,-0.0964
ENSG00000253368,TRNP1,72,0.63151,52,-0.0280,25,-1.1670,108,1.27289,46,-0.2116,29,-0.9246,17,-1.7654
ENSG00000090020,SLC9A1,15,-0.6392,20,-0.1674,13,-0.7833,49,1.42808,29,0.47585,28,0.44235,5,-2.2976
ENSG00000142784,WDTC1,29,-0.2093,38,0.27744,26,-0.3303,27,-0.2697,32,0.00524,37,0.26219,38,0.29329
ENSG00000186501,TMEM222,62,-0.1756,62,-0.1737,60,-0.2109,98,0.60711,84,0.33843,22,-1.7330,97,0.58965
ENSG00000158195,WASF2,26,-0.6485,23,-0.7544,43,0.24612,11,-1.8984,13,-1.6220,39,0.04574,119,2.17370
ENSG00000126705,AHDC1,22,-1.0361,56,0.53637,47,0.26161,57,0.57978,95,1.52031,17,-1.3713,7,-2.5772
ENSG00000126709,IFI6,101,-0.7767,53,-1.6622,147,-0.0880,129,-0.3069,252,0.83292,271,0.96522,188,0.31626
ENSG00000117758,STX12,56,-0.7695,87,0.02113,120,0.56852,109,0.40363,144,0.89109,47,-0.9602,67,-0.3913
ENSG00000117751,PPP1R8,22,-0.5676,25,-0.2532,26,-0.1959,19,-0.6831,65,1.38433,22,-0.4917,36,0.33762
ENSG00000117748,RPA2,27,-0.5114,36,0.01307,34,-0.0698,59,0.87561,41,0.23169,25,-0.5728,36,0.00952
ENSG00000126698,DNAJC8,103,-0.2263,116,0.00698,101,-0.2268,126,0.13667,119,0.04236,163,0.58218,96,-0.3032
ENSG00000130770,ATP5IF1,380,-0.1449,737,1.01856,602,0.65422,454,0.16720,253,-0.7733,292,-0.5487,183,-1.2675
ENSG00000180098,TRNAU1AP,16,-0.1218,12,-0.4568,21,0.36138,27,0.81868,32,1.13077,1,-4.1520,9,-0.9546
ENSG00000120656,TAF12,7,-1.5609,16,-0.2223,32,0.97410,23,0.35621,12,-0.5901,36,1.16496,12,-0.5953
ENSG00000198492,YTHDF2,45,-0.4028,70,0.38222,70,0.38489,96,0.94051,62,0.17540,39,-0.5807,19,-1.6620
ENSG00000116350,SRSF4,33,-0.3686,54,0.46761,34,-0.3105,37,-0.1559,42,0.04396,29,-0.5486,64,0.76695
ENSG00000116353,MECR,22,-0.2617,25,-0.0429,43,0.85801,34,0.47492,32,0.38886,20,-0.4235,7,-1.9561
ENSG00000060656,PTPRU,3,-3.4948,4,-2.8353,76,1.99821,7,-1.9214,89,2.37750,0,-5.6587,25,-0.0253
ENSG00000162511,LAPTM5,46,-0.2382,46,-0.2013,33,-0.7114,18,-1.6123,61,0.26987,98,1.08743,69,0.46245
ENSG00000162512,SDC3,245,0.20666,177,-0.3588,156,-0.5550,286,0.43836,372,0.90081,111,-1.0887,172,-0.4006
ENSG00000134644,PUM1,63,-1.1231,113,-0.0991,134,0.18662,162,0.51021,214,1.00134,133,0.17183,76,-0.7222
ENSG00000060688,SNRNP40,15,-0.3323,22,0.23647,14,-0.4946,22,0.24810,25,0.46956,16,-0.1932,20,0.10643
ENSG00000121766,ZCCHC17,75,-0.2279,140,0.87083,102,0.31131,104,0.35268,81,-0.0564,38,-1.2394,60,-0.5548
ENSG00000121769,FABP3,133,0.30390,121,0.09927,83,-0.5126,225,1.19292,87,-0.4277,97,-0.2633,33,-1.9286
ENSG00000162517,PEF1,52,-0.7283,108,0.56568,103,0.48548,128,0.86407,72,-0.1231,27,-1.6081,77,-0.0105
ENSG00000084636,COL16A1,19,-0.8169,35,0.22464,32,0.08554,20,-0.6469,50,0.85142,7,-2.1399,60,1.19365
ENSG00000121753,ADGRB2,151,-0.6065,284,0.50751,184,-0.2116,372,0.99375,338,0.81602,145,-0.5910,55,-2.0784
ENSG00000184007,PTP4A2,105,-0.6340,110,-0.4748,141,-0.0798,122,-0.3099,191,0.42609,111,-0.4638,300,1.24300
ENSG00000121774,KHDRBS1,68,-0.5229,154,0.91377,48,-0.9937,119,0.45985,74,-0.3294,105,0.25397,87,-0.0556
ENSG00000025800,KPNA6,29,-0.4182,47,0.45999,28,-0.4158,33,-0.1591,72,1.22149,23,-0.7219,28,-0.4214
ENSG00000084652,TXLNA,21,0.07209,28,0.59247,15,-0.4074,26,0.46895,30,0.70810,2,-3.4961,16,-0.3747
ENSG00000160050,CCDC28B,23,0.41764,25,0.48166,26,0.53347,12,-0.7499,11,-0.8239,11,-0.8578,19,0.04226
ENSG00000084623,EIF3I,63,-0.5502,103,0.30356,55,-0.6924,133,0.75925,109,0.40879,73,-0.2487,83,-0.0400
ENSG00000175130,MARCKSL1,268,-0.1800,195,-0.6589,167,-0.8986,149,-1.0788,211,-0.5361,95,-1.7528,1002,2.37029
ENSG00000160058,BSDC1,37,-0.6892,68,0.39106,46,-0.2586,85,0.77377,120,1.42286,0,-6.4533,38,-0.5417
ENSG00000176261,ZBTB8OS,43,0.08592,46,0.15845,45,0.11883,42,0.02741,42,0.02338,32,-0.3939,38,-0.1377
ENSG00000162521,RBBP4,69,-0.4211,80,-0.1407,67,-0.4326,114,0.45462,83,-0.0814,110,0.38923,105,0.30438
ENSG00000162522,KIAA1522,18,0.34261,29,1.08089,10,-0.6257,16,0.06799,14,-0.1274,3,-2.2913,14,-0.1820
ENSG00000134684,YARS,48,-0.6603,59,-0.2682,57,-0.3062,162,1.52519,75,0.12100,54,-0.4136,52,-0.4695
ENSG00000160097,FNDC5,28,0.86970,6,-1.6386,13,-0.5349,36,1.13817,20,0.12487,8,-1.3644,9,-1.1295
ENSG00000121905,HPCA,182,-0.5393,270,0.16302,339,0.55179,407,0.87807,358,0.64764,168,-0.6044,50,-2.4394
ENSG00000121900,TMEM54,54,0.06601,30,-0.8924,45,-0.2479,38,-0.4922,31,-0.8104,98,1.09046,68,0.43335
ENSG00000116514,RNF19B,10,-0.8833,29,0.87629,17,0.02858,23,0.51570,12,-0.5891,17,0.02617,18,0.04797
ENSG00000004455,AK2,21,-0.5581,17,-0.8340,21,-0.4917,27,-0.1002,24,-0.3105,11,-1.4913,90,2.09951
