Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000126709,IFI6,30,-1.9501,67,-0.7502,132,0.46868,139,0.42405,194,1.00329,64,-0.8144,77,-0.5198
ENSG00000117758,STX12,3,-4.8732,47,-0.8600,115,0.82797,67,-0.3018,98,0.30102,104,0.40628,68,-0.2778
ENSG00000117751,PPP1R8,3,-3.8265,22,-0.8595,68,1.48634,14,-1.5827,36,-0.1280,55,0.58778,14,-1.4948
ENSG00000117748,RPA2,75,1.11679,21,-0.9423,37,-0.1148,55,0.59528,38,-0.0238,36,-0.1154,13,-1.6627
ENSG00000126698,DNAJC8,279,1.37520,56,-1.2560,146,0.31897,37,-1.8886,128,0.02464,119,-0.0920,80,-0.7131
ENSG00000130770,ATP5IF1,258,0.28927,109,-1.0699,294,0.72852,161,-0.4725,168,-0.4008,200,-0.1220,167,-0.4090
ENSG00000198492,YTHDF2,3,-4.0371,31,-0.7457,86,1.43322,38,-0.4057,48,-0.0546,38,-0.4036,30,-0.7635
ENSG00000116350,SRSF4,4,-3.3236,24,-0.9209,50,0.35232,41,-0.0611,83,1.13557,33,-0.4017,49,0.22190
ENSG00000116353,MECR,3,-3.5565,14,-1.2169,46,0.84328,28,-0.2272,49,0.70338,14,-1.2790,44,0.50879
ENSG00000060656,PTPRU,71,0.76465,11,-2.1197,88,1.89658,0,-7.9188,28,-0.7122,22,-1.1271,8,-2.5578
ENSG00000162511,LAPTM5,3,-4.0659,21,-1.1774,30,-0.8097,32,-0.5723,165,2.39583,66,0.59509,35,-0.4263
ENSG00000162512,SDC3,959,2.20863,139,-1.1538,296,0.04143,369,0.39257,103,-1.5976,90,-1.7999,67,-2.2513
ENSG00000134644,PUM1,46,-1.2175,61,-0.7967,168,1.28818,103,0.02923,74,-0.5008,83,-0.3132,42,-1.3615
ENSG00000121766,ZCCHC17,3,-4.7604,51,-0.6027,141,1.79126,34,-1.2063,61,-0.3056,67,-0.1684,28,-1.5023
ENSG00000121769,FABP3,3,-4.1083,45,-0.0569,95,2.00414,40,-0.2664,27,-0.8836,11,-2.1380,14,-1.8718
ENSG00000162517,PEF1,28,-1.2299,34,-0.9333,110,1.57289,28,-1.2053,52,-0.2599,63,0.03350,17,-1.9851
ENSG00000084636,COL16A1,284,2.19713,23,-2.0049,63,-0.6222,74,-0.2466,82,-0.0779,87,0.01039,36,-1.3344
ENSG00000121753,ADGRB2,201,0.58654,124,-0.2124,241,1.39067,64,-1.2371,65,-1.2063,60,-1.3174,35,-2.1284
ENSG00000184007,PTP4A2,642,1.08912,117,-1.6453,119,-1.9139,210,-0.7571,238,-0.5645,784,1.46717,705,1.26272
ENSG00000121774,KHDRBS1,216,0.97373,57,-1.1863,144,0.37195,28,-2.2168,142,0.25447,100,-0.3116,121,-0.0085
ENSG00000084652,TXLNA,213,2.88915,21,-1.2700,38,-0.5355,6,-3.0376,34,-0.5837,34,-0.5834,19,-1.4252
ENSG00000084623,EIF3I,3,-4.9011,38,-1.2091,91,0.23345,123,0.68410,172,1.27595,97,0.27076,32,-1.4524
ENSG00000175130,MARCKSL1,325,-0.5070,190,-1.3283,249,-1.1330,389,-0.2208,275,-0.7659,1708,2.56091,387,-0.2310
ENSG00000160058,BSDC1,21,-1.3329,34,-0.6531,76,0.96351,45,-0.2015,26,-1.0197,73,0.60149,32,-0.7345
ENSG00000176261,ZBTB8OS,3,-3.2412,24,-0.1421,27,0.07739,15,-0.8361,36,0.56726,43,0.84681,31,0.31519
ENSG00000162521,RBBP4,282,1.79584,47,-1.2180,95,-0.1663,138,0.48445,30,-1.8962,100,-0.0446,45,-1.2883
ENSG00000134684,YARS,115,0.88556,35,-1.0229,115,1.36030,2,-4.7954,27,-1.4363,57,-0.2720,30,-1.2513
ENSG00000121905,HPCA,177,-0.1685,144,-0.4939,443,2.59300,19,-3.4875,33,-2.6933,29,-2.8597,36,-2.5830
ENSG00000121900,TMEM54,3,-3.6244,35,0.05123,32,-0.1152,40,0.29123,41,0.32627,43,0.39362,46,0.50056
ENSG00000004455,AK2,3,-3.9700,21,-1.1309,33,-0.5280,23,-0.9454,127,1.95352,83,1.11516,31,-0.5162
ENSG00000142920,AZIN2,3,-3.0630,15,-0.6639,38,1.29680,20,-0.2251,7,-1.7579,46,1.17645,1,-3.8913
ENSG00000134686,PHC2,61,-0.4797,39,-1.1583,77,-0.1288,81,-0.0239,149,1.01350,156,1.08807,22,-2.0157
ENSG00000163866,SMIM12,3,-3.5459,17,-0.9397,50,1.11845,5,-2.6171,44,0.54032,29,-0.1586,38,0.29815
ENSG00000116544,DLGAP3,3,-3.7502,49,0.46367,83,2.56136,4,-3.0681,14,-1.5167,0,-8.7781,13,-1.5844
ENSG00000116560,SFPQ,180,0.44599,72,-1.0009,147,0.14713,97,-0.5539,144,0.07932,193,0.57092,108,-0.3804
ENSG00000146463,ZMYM4,66,0.83248,11,-1.9155,43,0.16931,49,0.33282,42,0.08761,17,-1.2635,44,0.16872
ENSG00000142687,KIAA0319L,4,-3.0182,31,-0.0709,50,1.11848,25,-0.3922,21,-0.6845,31,-0.0589,26,-0.3085
ENSG00000020129,NCDN,42,-2.5345,120,-0.9521,543,3.17338,53,-2.1843,46,-2.3717,50,-2.2494,47,-2.3645
ENSG00000126067,PSMB2,378,2.19501,46,-1.4087,135,0.35800,29,-2.0899,29,-2.1165,94,-0.3210,55,-1.1601
ENSG00000142686,C1orf216,3,-3.9784,19,-1.2204,97,2.54229,19,-1.2361,12,-1.9295,4,-3.3331,40,-0.1319
ENSG00000092847,AGO1,3,-3.4317,23,-0.4173,46,1.12271,9,-1.8183,28,-0.0943,51,0.91009,14,-1.1751
ENSG00000054116,TRAPPC3,24,-1.0282,28,-0.8146,83,1.51174,24,-1.0208,45,-0.0652,40,-0.2575,12,-2.0794
ENSG00000116871,MAP7D1,3,-5.5714,69,-1.1373,170,0.38756,80,-0.9169,183,0.40151,374,1.70159,71,-1.0941
ENSG00000054118,THRAP3,129,1.19701,34,-1.0052,75,0.36005,11,-2.5854,77,0.28977,75,0.24514,26,-1.3823
ENSG00000181817,LSM10,3,-3.3485,21,-0.4168,45,1.19383,32,0.24305,39,0.54966,19,-0.5928,2,-3.8409
ENSG00000116898,MRPS15,92,0.86982,32,-0.8550,57,0.07719,52,-0.0743,77,0.55986,44,-0.3458,26,-1.1646
ENSG00000163873,GRIK3,3,-3.6030,11,-1.7219,93,4.57451,0,-7.4879,0,-6.6689,3,-3.5219,5,-2.7646
ENSG00000163875,MEAF6,17,-2.1635,40,-0.9091,133,1.73217,51,-0.5317,27,-1.4586,35,-1.0749,68,-0.0590
ENSG00000197982,C1orf122,318,0.27831,135,-1.0726,179,-0.7994,390,0.62241,214,-0.3620,490,1.02385,330,0.33774
ENSG00000183431,SF3A3,74,1.45250,17,-0.9634,44,0.73272,0,-7.4424,10,-1.8058,46,0.60456,10,-1.7390
ENSG00000116954,RRAGC,303,2.78332,19,-2.0563,50,-0.7245,40,-0.9264,31,-1.2871,61,-0.2776,47,-0.6860
ENSG00000174574,AKIRIN1,3,-4.2472,24,-1.2476,58,0.14803,60,0.17001,95,0.93789,88,0.79917,45,-0.3065
ENSG00000168653,NDUFS5,232,-0.4518,166,-0.9740,345,0.24628,352,0.21577,297,-0.0600,318,0.04958,377,0.32974
ENSG00000127603,MACF1,516,1.61345,97,-1.1864,163,-0.4874,288,0.55061,141,-0.6034,136,-0.6659,195,-0.0978
ENSG00000090621,PABPC4,139,1.24182,36,-0.9605,66,-0.0463,53,-0.3693,75,0.17874,53,-0.3714,51,-0.4291
ENSG00000116983,HPCAL4,117,-0.5988,137,-0.3589,383,2.53597,42,-2.1333,26,-2.8510,22,-3.0663,49,-1.9221
ENSG00000084072,PPIE,178,2.22982,21,-1.4470,43,-0.4221,11,-2.3861,47,-0.1879,59,0.15610,33,-0.7252
ENSG00000168389,MFSD2A,3,-3.3803,24,-0.2861,31,0.16345,54,1.08017,32,0.20476,10,-1.5140,41,0.60012
ENSG00000131236,CAP1,3,-5.3423,49,-1.2570,117,0.11523,151,0.50420,195,0.95277,160,0.60637,90,-0.3268
ENSG00000131238,PPT1,28,-1.7511,60,-0.6275,121,0.70388,157,0.95233,38,-1.3358,76,-0.2647,84,-0.1024
ENSG00000084073,ZMPSTE24,45,0.24511,9,-2.1349,39,0.03712,57,0.66310,32,-0.2999,54,0.55912,31,-0.3153
ENSG00000049089,COL9A2,79,0.82752,20,-1.3171,13,-2.3019,28,-0.8357,29,-0.8076,184,2.55446,53,0.16748
ENSG00000084070,SMAP2,9,-2.6045,33,-0.7351,97,1.68758,22,-1.3057,53,0.02196,38,-0.4875,23,-1.2340
ENSG00000117016,RIMS3,3,-3.8334,37,-0.0805,92,2.83315,7,-2.4758,14,-1.5937,3,-3.7828,12,-1.8285
ENSG00000066136,NFYC,3,-3.5699,19,-0.8310,70,2.31111,26,-0.3186,0,-5.8869,24,-0.4695,10,-1.7775
ENSG00000198815,FOXJ3,3,-3.9059,17,-1.3351,71,1.44211,16,-1.3928,67,0.80926,16,-1.4680,37,-0.1674
ENSG00000127125,PPCS,3,-3.7377,17,-1.1546,39,0.13333,71,1.13265,35,-0.0595,21,-0.8398,65,0.96255
ENSG00000065978,YBX1,196,0.37695,58,-1.5283,66,-1.5936,144,-0.1316,491,2.10235,223,0.59709,92,-0.8234
ENSG00000117394,SLC2A1,3,-5.4833,97,-0.3723,70,-1.0874,195,0.77917,448,2.44490,83,-0.6131,68,-0.9310
ENSG00000117395,EBNA1BP2,3,-3.6113,18,-0.9365,47,0.81697,23,-0.5829,52,0.73190,48,0.60333,15,-1.1967
ENSG00000179178,TMEM125,3,-3.8508,9,-2.1711,15,-1.7972,18,-1.2401,45,0.21140,179,2.99297,58,0.64148
ENSG00000066322,ELOVL1,8,-3.7921,24,-2.2499,27,-2.3837,48,-1.2206,144,0.51615,531,3.32585,113,0.11496
