ERC_Oligo,Other_Oligo,n_gene,cor_logFC,dataset
Oligo.3,Oligo4,28,0.5030523435308522,Jakel2019
Oligo.3,Oligo5,190,0.03279083024257088,Jakel2019
Oligo.3,Oligo6,81,0.1276688469595079,Jakel2019
Oligo.3,imOLGs,111,0.547861224432464,Jakel2019
Oligo.4,COPs,205,-0.473552239685508,Jakel2019
Oligo.4,OPCs,394,-0.7248561119573811,Jakel2019
Oligo.4,Oligo1,219,-0.0853047155699476,Jakel2019
Oligo.4,Oligo2,35,0.19789798962496155,Jakel2019
Oligo.4,Oligo3,64,-0.261799681274728,Jakel2019
Oligo.4,Oligo4,28,0.5706850085649227,Jakel2019
Oligo.4,Oligo5,190,-0.27853242337755313,Jakel2019
Oligo.4,Oligo6,81,0.3844800442523598,Jakel2019
Oligo.4,imOLGs,111,0.07847892349530664,Jakel2019
Oligo.5,COPs,205,-0.3452628804859859,Jakel2019
Oligo.5,OPCs,394,-0.5592673741614392,Jakel2019
Oligo.5,Oligo1,219,0.13892385410224953,Jakel2019
Oligo.5,Oligo2,35,0.3683686522986031,Jakel2019
Oligo.5,Oligo3,64,-0.231460172854476,Jakel2019
Oligo.5,Oligo4,28,0.46927178154718896,Jakel2019
Oligo.5,Oligo5,190,-0.0852652889316469,Jakel2019
Oligo.5,Oligo6,81,0.2341770149907212,Jakel2019
Oligo.5,imOLGs,111,0.22910086606074084,Jakel2019
OPC,COP,1014,0.4666739931461524,Macnair2025
OPC,OPC_1,1762,0.9159142652864992,Macnair2025
OPC,OPC_2,964,0.9019752109954186,Macnair2025
OPC,Oligo_A,2102,-0.39926419519770767,Macnair2025
OPC,Oligo_Astro,217,0.072858785049245825,Macnair2025
OPC,Oligo_B,2553,-0.7409562106277668,Macnair2025
OPC,Oligo_C,2646,-0.8102358805916677,Macnair2025
OPC,Oligo_D,2328,-0.347116870623368,Macnair2025
OPC,Oligo_E,2258,-0.5492103428841697,Macnair2025
OPC,Oligo_F,2026,-0.14107576741591274,Macnair2025
OPC,Oligo_G,1753,-0.13031565246982016,Macnair2025
Oligo.1,COP,1014,-0.45554262413075686,Macnair2025
Oligo.1,OPC_1,1762,-0.8937333385336089,Macnair2025
Oligo.1,OPC_2,964,-0.8628265329053098,Macnair2025
Oligo.1,Oligo_A,2102,0.49826585591440153,Macnair2025
Oligo.1,Oligo_Astro,217,-0.32335002749953157,Macnair2025
Oligo.1,Oligo_B,2553,0.8013506198444975,Macnair2025
Oligo.1,Oligo_C,2646,0.7456493936957708,Macnair2025
Oligo.1,Oligo_D,2328,0.12499871110964618,Macnair2025
Oligo.1,Oligo_E,2258,0.45739473603692943,Macnair2025
Oligo.1,Oligo_F,2026,0.10632798212077758,Macnair2025
Oligo.1,Oligo_G,1753,0.05364131514075347,Macnair2025
Oligo.2,COP,1014,-0.45530833845504853,Macnair2025
Oligo.2,OPC_1,1762,-0.8997727638151967,Macnair2025
Oligo.2,OPC_2,964,-0.8735064243773177,Macnair2025
Oligo.2,Oligo_A,2102,0.27853313323699314,Macnair2025
Oligo.2,Oligo_Astro,217,-0.3809695433379949,Macnair2025
Oligo.2,Oligo_B,2553,0.6101478083517261,Macnair2025
Oligo.2,Oligo_C,2646,0.8743138843398901,Macnair2025
Oligo.2,Oligo_D,2328,0.6284762663192096,Macnair2025
Oligo.2,Oligo_E,2258,0.34032435250029114,Macnair2025
Oligo.2,Oligo_F,2026,0.0895124846055884,Macnair2025
Oligo.2,Oligo_G,1753,0.01668868184881578,Macnair2025
Oligo.3,COP,1014,0.1752403325169538,Macnair2025
Oligo.3,OPC_1,1762,0.49262069053044977,Macnair2025
Oligo.3,OPC_2,964,0.47724581442094993,Macnair2025
Oligo.3,Oligo_A,2102,0.23691568827916315,Macnair2025
Oligo.3,Oligo_Astro,217,0.581091732173341,Macnair2025
Oligo.3,Oligo_B,2553,0.4824079666204613,Macnair2025
Oligo.3,Oligo_C,2646,0.4829034470100243,Macnair2025
Oligo.3,Oligo_D,2328,0.2314978423019509,Macnair2025
Oligo.3,Oligo_E,2258,0.6246578635494894,Macnair2025
Oligo.3,Oligo_F,2026,0.16908721578055325,Macnair2025
Oligo.3,Oligo_G,1753,0.250631567109946,Macnair2025
Oligo.4,COP,1014,-0.4580047414167622,Macnair2025
Oligo.4,OPC_1,1762,-0.7970533837403139,Macnair2025
Oligo.4,OPC_2,964,-0.7474187826704308,Macnair2025
Oligo.4,Oligo_A,2102,0.45232392553982703,Macnair2025
Oligo.4,Oligo_Astro,217,-0.03109299136536748,Macnair2025
Oligo.4,Oligo_B,2553,0.7912172407257807,Macnair2025
Oligo.4,Oligo_C,2646,0.7088821105918616,Macnair2025
Oligo.4,Oligo_D,2328,0.09091357083436324,Macnair2025
Oligo.4,Oligo_E,2258,0.5977411233110131,Macnair2025
Oligo.4,Oligo_F,2026,0.1200432322361767,Macnair2025
Oligo.4,Oligo_G,1753,0.10462514210944042,Macnair2025
Oligo.5,COP,1014,-0.1990203312492934,Macnair2025
Oligo.5,OPC_1,1762,-0.397722788330845,Macnair2025
Oligo.5,OPC_2,964,-0.3399514424454549,Macnair2025
Oligo.5,Oligo_A,2102,0.31040648008684,Macnair2025
Oligo.5,Oligo_Astro,217,0.3052415029418866,Macnair2025
Oligo.5,Oligo_B,2553,0.618663049367259,Macnair2025
Oligo.5,Oligo_C,2646,0.7369290485615148,Macnair2025
Oligo.5,Oligo_D,2328,0.3704194672030246,Macnair2025
Oligo.5,Oligo_E,2258,0.5293268799746876,Macnair2025
Oligo.5,Oligo_F,2026,0.11416883799153836,Macnair2025
Oligo.5,Oligo_G,1753,0.18589073421089372,Macnair2025
OPC,COP,2934,-0.12066874438662326,Green2024
OPC,MFOL,3161,-0.27903261686098974,Green2024
OPC,OPC.1,2776,-0.07026517347371922,Green2024
OPC,OPC.2,2454,0.0716818218337903,Green2024
OPC,OPC.3,2155,0.08767531578961081,Green2024
OPC,Oli.1,129,0.5821741159441783,Green2024
OPC,Oli.10,12,-0.1786368152807818,Green2024
OPC,Oli.11,17,-0.7115772961050515,Green2024
OPC,Oli.12,378,0.39224981521437474,Green2024
OPC,Oli.2,60,0.6485219981605521,Green2024
OPC,Oli.3,43,-0.4268426180980936,Green2024
OPC,Oli.4,511,-0.2940665346407513,Green2024
OPC,Oli.5,480,-0.03339587497486159,Green2024
OPC,Oli.6,108,0.12477248485080102,Green2024
OPC,Oli.7,223,0.3995708608204749,Green2024
OPC,Oli.8,178,0.34978749592776476,Green2024
OPC,Oli.9,16,-0.5858165119287758,Green2024
Oligo.1,COP,2934,0.12131642048207664,Green2024
Oligo.1,MFOL,3161,0.23308509505505673,Green2024
Oligo.1,OPC.1,2776,0.03335353375985153,Green2024
Oligo.1,OPC.2,2454,-0.05803574119181871,Green2024
Oligo.1,OPC.3,2155,-0.08996074104848066,Green2024
Oligo.1,Oli.1,129,-0.47436994656676457,Green2024
Oligo.1,Oli.10,12,0.4927797303156883,Green2024
Oligo.1,Oli.11,17,0.8252845128674136,Green2024
Oligo.1,Oli.12,378,-0.4147413352476432,Green2024
Oligo.1,Oli.2,60,-0.7423005636166483,Green2024
Oligo.1,Oli.3,43,0.5416345125775541,Green2024
Oligo.1,Oli.4,511,0.3637178206553446,Green2024
Oligo.1,Oli.5,480,-0.1357212822904484,Green2024
Oligo.1,Oli.6,108,-0.26994486185625566,Green2024
Oligo.1,Oli.7,223,-0.4309690879895468,Green2024
Oligo.1,Oli.8,178,-0.39391476900106714,Green2024
Oligo.1,Oli.9,16,0.6325138277354602,Green2024
Oligo.2,COP,2934,0.127315472963389,Green2024
Oligo.2,MFOL,3161,0.2500321460787569,Green2024
Oligo.2,OPC.1,2776,0.06094964852722456,Green2024
Oligo.2,OPC.2,2454,-0.02470621013790775,Green2024
Oligo.2,OPC.3,2155,-0.05336688166101354,Green2024
Oligo.2,Oli.1,129,-0.48852649843652834,Green2024
Oligo.2,Oli.10,12,0.7413059498133008,Green2024
Oligo.2,Oli.11,17,0.912520554816672,Green2024
Oligo.2,Oli.12,378,-0.3725491633704428,Green2024
Oligo.2,Oli.2,60,-0.7893805472683552,Green2024
Oligo.2,Oli.3,43,0.6259187248350122,Green2024
Oligo.2,Oli.4,511,0.34886741276066746,Green2024
Oligo.2,Oli.5,480,0.4334740337905751,Green2024
Oligo.2,Oli.6,108,-0.29778020331292715,Green2024
Oligo.2,Oli.7,223,-0.3588972686559564,Green2024
Oligo.2,Oli.8,178,-0.2999926871371734,Green2024
Oligo.2,Oli.9,16,0.7798904446498541,Green2024
Oligo.3,COP,2934,-0.0394217611615204,Green2024
Oligo.3,MFOL,3161,0.08976355695052624,Green2024
Oligo.3,OPC.1,2776,0.05959314573974931,Green2024
Oligo.3,OPC.2,2454,-0.06797319234190886,Green2024
Oligo.3,OPC.3,2155,-0.04878562918565195,Green2024
Oligo.3,Oli.1,129,-0.5844505708165125,Green2024
Oligo.3,Oli.10,12,-0.7747393360109837,Green2024
Oligo.3,Oli.11,17,-0.40594160379355226,Green2024
Oligo.3,Oli.12,378,0.07235911373040924,Green2024
Oligo.3,Oli.2,60,0.3224360448333631,Green2024
Oligo.3,Oli.3,43,-0.37351166366399896,Green2024
Oligo.3,Oli.4,511,-0.19522705489717573,Green2024
Oligo.3,Oli.5,480,-0.1531337603732504,Green2024
Oligo.3,Oli.6,108,0.34024857506594486,Green2024
Oligo.3,Oli.7,223,-0.30972767060384643,Green2024
Oligo.3,Oli.8,178,-0.20797148532195728,Green2024
Oligo.3,Oli.9,16,-0.21986678040161664,Green2024
Oligo.4,COP,2934,0.10161973862622724,Green2024
Oligo.4,MFOL,3161,0.25902177925295994,Green2024
Oligo.4,OPC.1,2776,0.0645680375777325,Green2024
Oligo.4,OPC.2,2454,-0.06992592258715592,Green2024
Oligo.4,OPC.3,2155,-0.08675860813736049,Green2024
Oligo.4,Oli.1,129,-0.572352955031194,Green2024
Oligo.4,Oli.10,12,-0.15284391814940293,Green2024
Oligo.4,Oli.11,17,0.500053055499503,Green2024
Oligo.4,Oli.12,378,-0.3938871918926841,Green2024
Oligo.4,Oli.2,60,-0.5873656401665508,Green2024
Oligo.4,Oli.3,43,0.2619074467480757,Green2024
Oligo.4,Oli.4,511,0.26382221189383886,Green2024
Oligo.4,Oli.5,480,-0.2032951620134778,Green2024
Oligo.4,Oli.6,108,-0.03160511673357701,Green2024
Oligo.4,Oli.7,223,-0.4110497147348377,Green2024
Oligo.4,Oli.8,178,-0.40178315937827414,Green2024
Oligo.4,Oli.9,16,0.33096517826253224,Green2024
Oligo.5,COP,2934,0.07079728898030946,Green2024
Oligo.5,MFOL,3161,0.2392839932233279,Green2024
Oligo.5,OPC.1,2776,0.05055254731883078,Green2024
Oligo.5,OPC.2,2454,-0.08283890868055097,Green2024
Oligo.5,OPC.3,2155,-0.04487091515468399,Green2024
Oligo.5,Oli.1,129,-0.6093802799057928,Green2024
Oligo.5,Oli.10,12,-0.05922299058126196,Green2024
Oligo.5,Oli.11,17,0.588205148295583,Green2024
Oligo.5,Oli.12,378,-0.2519585278900038,Green2024
Oligo.5,Oli.2,60,-0.5058262713860945,Green2024
Oligo.5,Oli.3,43,0.2307545557980348,Green2024
Oligo.5,Oli.4,511,0.13747125322473275,Green2024
Oligo.5,Oli.5,480,0.10400179499316804,Green2024
Oligo.5,Oli.6,108,0.07377642816523716,Green2024
Oligo.5,Oli.7,223,-0.31170502246515147,Green2024
Oligo.5,Oli.8,178,-0.23821291075994833,Green2024
Oligo.5,Oli.9,16,0.5438020070681155,Green2024
