Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000011021,CLCN6,26,-0.8602,41,-0.1909,57,0.39863,39,-0.2705,41,-0.1898,59,0.45712,42,-0.1496,43,-0.1126
ENSG00000175206,NPPA,2,-2.2642,31,2.22781,12,0.12787,0,-3.6801,5,-1.1388,8,-0.5741,3,-1.8557,8,-0.4949
ENSG00000116685,KIAA2013,47,0.59172,30,-0.1631,32,-0.0477,39,0.27983,36,0.13748,35,0.09662,30,-0.1263,15,-1.1466
ENSG00000083444,PLOD1,29,0.60063,16,-0.3584,11,-1.0191,43,1.25249,22,0.15377,18,-0.2179,29,0.55015,9,-1.2212
ENSG00000116688,MFN2,59,-0.5243,84,0.03419,73,-0.2088,87,0.09100,123,0.64827,104,0.40775,67,-0.3173,49,-0.7909
ENSG00000116691,MIIP,17,0.20918,13,-0.1586,14,-0.0165,15,0.01697,16,0.18346,17,0.23966,14,-0.1050,10,-0.5618
ENSG00000048707,VPS13D,41,-0.2941,44,-0.1978,69,0.59784,33,-0.6226,46,-0.1022,67,0.56591,33,-0.6096,30,-0.7704
ENSG00000162496,DHRS3,20,0.80191,7,-0.8390,9,-0.5145,10,-0.3277,7,-0.7075,9,-0.4521,33,1.69658,12,-0.0087
ENSG00000116731,PRDM2,62,-0.3673,74,-0.0927,82,0.07622,78,0.00349,101,0.42005,100,0.45385,47,-0.7931,59,-0.4372
ENSG00000189337,KAZN,76,0.68853,32,-0.7366,34,-0.6439,85,0.86291,64,0.40590,54,0.12442,44,-0.2014,40,-0.3416
ENSG00000142634,EFHD2,24,-2.7353,29,-2.5564,106,-0.5628,406,1.74028,466,2.01291,148,0.00985,87,-0.8203,70,-1.1321
ENSG00000132906,CASP9,12,0.56699,8,-0.0049,6,-0.4630,4,-1.0560,10,0.30528,11,0.57746,7,-0.3264,6,-0.3642
ENSG00000116138,DNAJC16,16,-0.5569,23,-0.0616,21,-0.1908,24,0.04046,32,0.51503,26,0.21348,25,0.11704,20,-0.2646
ENSG00000197312,DDI2,14,-0.6050,19,-0.1614,23,0.17768,32,0.63797,22,0.03445,27,0.42448,13,-0.7287,13,-0.7130
ENSG00000116786,PLEKHM2,39,-0.7374,51,-0.3558,65,0.07058,52,-0.2815,70,0.19483,71,0.24759,69,0.15811,81,0.42534
ENSG00000065526,SPEN,61,0.97740,21,-0.7797,44,0.47074,21,-0.7385,29,-0.2158,33,-0.0044,38,0.18093,24,-0.4906
ENSG00000116809,ZBTB17,23,0.73138,16,0.21568,12,-0.2602,10,-0.4561,9,-0.7363,17,0.27093,15,0.03536,10,-0.4771
ENSG00000185519,FAM131C,3,-2.1960,8,-1.1071,24,0.86943,28,0.96298,10,-0.7003,17,0.19256,15,-0.0101,14,-0.1549
ENSG00000037637,FBXO42,14,-0.5125,22,0.15173,16,-0.3408,25,0.37400,23,0.22256,22,0.20001,21,0.12191,14,-0.4888
ENSG00000055070,SZRD1,49,1.45927,21,0.01720,17,-0.2995,16,-0.3671,21,0.04950,9,-1.3734,26,0.35928,20,-0.0271
ENSG00000157191,NECAP2,38,1.80281,6,-1.1099,10,-0.4116,19,0.59229,8,-0.6975,5,-1.4066,27,1.17241,8,-0.7951
ENSG00000219481,NBPF1,25,1.47369,4,-1.3365,12,0.27714,13,0.38945,10,-0.0985,4,-1.4006,18,0.90324,6,-0.8325
ENSG00000058453,CROCC,7,-0.5641,14,0.49238,11,-0.0495,5,-1.1228,10,-0.1872,15,0.60533,10,-0.1890,7,-0.5537
ENSG00000238142,BX284668.5,8,-0.0776,8,-0.0743,4,-1.2297,11,0.39895,7,-0.3713,8,-0.1921,21,1.44097,8,-0.0515
ENSG00000159363,ATP13A2,39,-1.7192,107,-0.2117,128,0.08790,157,0.40984,111,-0.1472,182,0.75346,93,-0.4246,102,-0.2714
ENSG00000117118,SDHB,68,-0.4823,93,-0.0142,99,0.09733,133,0.57458,81,-0.2300,106,0.21871,73,-0.3902,78,-0.2770
ENSG00000117115,PADI2,243,3.23351,18,-1.4963,27,-0.8730,26,-0.8446,25,-0.9089,7,-2.7589,67,0.63829,32,-0.5408
ENSG00000179051,RCC2,26,1.17346,15,0.29893,17,0.47357,5,-1.2514,6,-1.0316,11,-0.2759,7,-0.9173,10,-0.3412
ENSG00000074964,ARHGEF10L,18,0.26425,13,-0.2721,15,0.04555,18,0.28653,18,0.28974,12,-0.3269,17,0.25012,12,-0.2743
ENSG00000117154,IGSF21,18,-2.2718,99,0.30112,64,-0.4528,166,1.13554,159,1.06495,71,-0.2881,65,-0.3910,43,-1.0157
ENSG00000159423,ALDH4A1,41,0.70985,16,-0.8493,23,-0.2435,37,0.53043,21,-0.3516,10,-1.4886,64,1.48635,29,0.15955
ENSG00000169991,IFFO2,10,0.10484,7,-0.5207,8,-0.2236,11,0.21441,15,0.72736,11,0.31582,11,0.22583,4,-1.2067
