Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000158615,PPP1R15B,25,0.22440,16,-0.5241,22,0.03346,36,0.83988,25,0.22923,22,0.05247,18,-0.2896,13,-0.7371
ENSG00000133056,PIK3C2B,44,2.27974,4,-1.6726,6,-1.1396,21,0.86618,12,-0.0463,9,-0.5533,10,-0.3020,9,-0.4697
ENSG00000198625,MDM4,49,1.65505,15,-0.3715,19,0.07348,24,0.43923,18,0.02823,10,-1.0028,10,-0.9072,12,-0.5971
ENSG00000170382,LRRN2,12,-1.9114,40,-0.1192,25,-0.8976,94,1.31394,88,1.19641,44,0.06292,32,-0.4219,25,-0.8008
ENSG00000163531,NFASC,222,1.61291,45,-1.0813,45,-1.0715,150,0.91520,120,0.53915,94,0.16885,52,-0.7811,32,-1.4758
ENSG00000184144,CNTN2,452,3.72182,20,-2.0080,23,-1.8054,106,0.62153,54,-0.4427,22,-1.8788,29,-1.3807,18,-2.0749
ENSG00000117222,RBBP5,20,0.03837,22,0.21421,14,-0.5306,18,-0.1224,19,-0.0189,26,0.55303,15,-0.3288,16,-0.3024
ENSG00000133059,DSTYK,56,-0.3859,68,-0.0729,71,-0.0014,91,0.38462,107,0.65391,82,0.26070,57,-0.3540,30,-1.3173
ENSG00000133069,TMCC2,90,1.56662,25,-0.5936,40,0.23069,35,-0.0246,21,-0.7914,25,-0.6027,27,-0.4373,37,0.08260
ENSG00000117266,CDK18,101,2.55921,1,-4.1372,17,-0.6290,13,-0.9814,30,0.34859,27,0.16976,22,-0.1733,13,-0.9730
ENSG00000174514,MFSD4A,8,-3.7647,210,1.28436,87,-0.3908,61,-0.8923,92,-0.2555,169,0.82902,42,-1.4569,60,-0.9263
ENSG00000158711,ELK4,32,1.27391,12,-0.3106,11,-0.5234,29,1.05262,13,-0.1863,8,-0.9066,18,0.32728,8,-0.9444
ENSG00000069275,NUCKS1,651,0.85096,268,-0.6243,379,-0.0400,437,0.19206,455,0.25658,364,-0.1082,379,-0.0364,317,-0.3137
ENSG00000117280,RAB29,28,0.83512,12,-0.5146,12,-0.5888,15,-0.1167,6,-1.5024,17,0.04665,36,1.24352,16,-0.0404
ENSG00000133065,SLC41A1,30,0.74864,18,-0.1060,14,-0.4678,20,0.08542,18,-0.0796,13,-0.6159,37,1.06612,13,-0.5378
ENSG00000266028,SRGAP2,46,0.25725,25,-0.7463,38,-0.0370,68,0.89877,50,0.40312,38,-0.0602,37,-0.0870,27,-0.5834
ENSG00000266094,RASSF5,5,-1.5613,7,-1.2686,20,0.41834,31,1.09716,20,0.37619,26,0.90455,5,-1.5717,6,-1.4057
ENSG00000162889,MAPKAPK2,38,1.29421,5,-2.0006,12,-0.5623,33,1.04568,10,-0.7810,12,-0.5782,40,1.36565,11,-0.6713
ENSG00000123836,PFKFB2,43,0.89903,17,-0.6309,18,-0.5597,34,0.52359,18,-0.4624,19,-0.4015,53,1.26435,15,-0.7731
ENSG00000180667,YOD1,13,-0.0332,13,-0.0551,13,-0.0315,8,-0.7792,16,0.21448,22,0.87080,11,-0.3679,5,-1.4084
ENSG00000196352,CD55,99,2.75741,18,-0.3758,8,-1.5855,32,0.62102,22,0.00805,12,-0.9487,5,-2.0558,7,-1.6909
ENSG00000117335,CD46,42,0.19501,47,0.38492,31,-0.3330,43,0.19964,41,0.13829,41,0.13939,26,-0.5600,25,-0.6452
ENSG00000076356,PLXNA2,9,-2.3797,53,0.30203,35,-0.4295,41,-0.1525,74,0.81565,68,0.77833,25,-0.8931,32,-0.5198
ENSG00000008118,CAMK1G,4,-3.8008,67,0.45479,60,0.27002,43,-0.2864,51,-0.0322,85,0.92676,18,-1.6169,31,-0.7903
ENSG00000196878,LAMB3,1,-2.5459,4,-1.2718,14,0.72474,2,-1.8310,8,-0.2479,20,1.40970,9,-0.1095,7,-0.4270
ENSG00000117597,UTP25,12,-0.6119,15,-0.2913,17,-0.0698,38,1.24485,19,0.10246,20,0.24882,8,-1.1060,13,-0.4466
ENSG00000143469,SYT14,11,-0.5260,11,-0.5791,20,0.54969,19,0.36359,18,0.28280,19,0.42069,8,-0.8463,9,-0.7609
ENSG00000143473,KCNH1,2,-3.1125,43,1.19873,28,0.37888,1,-4.2059,4,-2.5905,39,1.01607,4,-2.4569,19,-0.2630
ENSG00000117625,RCOR3,39,0.59357,28,0.02194,21,-0.3991,22,-0.2985,35,0.41582,28,0.02271,29,0.10410,20,-0.4901
ENSG00000170385,SLC30A1,14,-0.7524,23,-0.0023,19,-0.3071,28,0.32591,17,-0.4454,29,0.41386,37,0.75764,14,-0.7185
ENSG00000123684,LPGAT1,59,0.28665,49,-0.0010,41,-0.3354,74,0.65289,45,-0.1470,60,0.35053,29,-0.8374,36,-0.4696
ENSG00000143493,INTS7,4,-1.2342,9,-0.0941,10,0.10264,9,-0.0734,16,0.81902,10,0.13315,7,-0.3196,9,-0.0626
ENSG00000066027,PPP2R5A,52,0.83119,32,0.02475,36,0.24343,21,-0.6264,20,-0.7229,25,-0.3862,40,0.39438,26,-0.2647
ENSG00000065600,PACC1,105,3.44894,12,-0.7086,8,-1.1965,13,-0.5259,11,-0.7339,5,-1.9143,9,-1.0169,9,-1.0688
ENSG00000117691,NENF,708,1.95756,208,-0.1735,184,-0.3846,213,-0.1220,186,-0.3284,136,-0.8766,200,-0.2179,165,-0.5213
ENSG00000123685,BATF3,3,-1.3326,27,2.74516,2,-2.2074,3,-1.3796,5,-0.5254,4,-0.9230,5,-0.7193,4,-0.8261
ENSG00000117697,NSL1,44,0.70996,24,-0.2644,20,-0.5661,24,-0.2358,51,0.96034,19,-0.6981,41,0.56977,26,-0.1641
ENSG00000203705,TATDN3,28,0.43177,22,0.12280,20,-0.0380,25,0.28313,16,-0.4289,22,0.12004,20,-0.0825,11,-0.9274
ENSG00000162769,FLVCR1,7,-0.4626,9,-0.1309,8,-0.4186,19,1.06706,11,0.15835,10,0.00751,10,0.09243,7,-0.4429
ENSG00000174606,ANGEL2,29,0.42433,29,0.45585,17,-0.4883,32,0.56060,25,0.16414,17,-0.5094,24,0.08110,13,-0.8856
ENSG00000136643,RPS6KC1,21,-0.3935,41,0.75825,20,-0.5393,38,0.53900,27,-0.0008,28,0.01747,21,-0.4403,16,-0.8243
ENSG00000117707,PROX1,33,1.93151,6,-0.9258,5,-1.2451,6,-0.8244,2,-2.3205,1,-3.4328,46,2.60281,7,-0.5900
ENSG00000143499,SMYD2,3,-3.7042,7,-2.9608,43,-0.1203,11,-2.0751,64,0.50086,140,2.41891,22,-1.1112,31,-0.6356
ENSG00000152104,PTPN14,5,-1.3653,5,-1.5173,13,-0.0940,13,-0.0656,23,0.79328,23,0.91540,18,0.39252,11,-0.3665
ENSG00000082482,KCNK2,7,-0.8820,0,-5.6069,8,-0.7178,46,2.27182,32,1.58020,13,0.05773,7,-0.8488,4,-1.7601
ENSG00000136636,KCTD3,36,1.00502,15,-0.4080,15,-0.4471,21,0.13420,21,0.15079,18,-0.1505,25,0.39658,14,-0.4710
ENSG00000092978,GPATCH2,10,-0.5365,12,-0.3052,21,0.74561,12,-0.2451,15,0.14631,15,0.11255,11,-0.3861,11,-0.4239
ENSG00000067533,RRP15,18,0.42496,15,0.20846,17,0.45166,18,0.45351,14,0.07116,11,-0.3899,4,-1.8296,8,-0.7432
ENSG00000143353,LYPLAL1,33,0.60104,28,0.37408,18,-0.3743,16,-0.5585,16,-0.5124,24,0.06188,33,0.59883,12,-0.9431
ENSG00000136628,EPRS,69,0.08292,54,-0.3130,51,-0.4086,85,0.42528,97,0.64646,69,0.09158,65,0.00103,52,-0.3459
ENSG00000162813,BPNT1,13,-0.0917,18,0.56450,8,-0.7522,28,1.21841,15,0.17436,12,-0.2408,8,-0.8366,7,-0.9621
ENSG00000067704,IARS2,46,0.05210,37,-0.3228,40,-0.1763,42,-0.0726,72,0.78831,45,0.04639,45,0.01295,38,-0.2322
ENSG00000118873,RAB3GAP2,43,-0.4859,49,-0.3056,58,-0.0206,83,0.55442,90,0.68771,71,0.33713,44,-0.4610,30,-1.0016
ENSG00000116141,MARK1,4,-3.2590,41,0.07397,46,0.26293,37,-0.1282,52,0.43005,62,0.83039,20,-1.0174,25,-0.7340
ENSG00000162817,C1orf115,12,-3.4178,185,0.76437,181,0.72096,68,-0.9018,118,-0.0648,138,0.20716,43,-1.5927,100,-0.3172
ENSG00000117791,MARC2,4,-1.9671,21,0.41819,13,-0.4658,42,1.53201,17,0.02901,16,-0.1314,12,-0.5261,10,-0.7258
ENSG00000186205,MARC1,5,-0.9487,11,0.27726,8,-0.3800,7,-0.4536,10,0.12443,13,0.48902,5,-0.9877,15,0.71055
ENSG00000154305,MIA3,31,-0.5040,46,0.10095,37,-0.2866,50,0.21987,75,0.89940,47,0.13049,35,-0.3094,26,-0.7610
ENSG00000186063,AIDA,45,-0.0760,27,-0.8952,41,-0.2263,88,1.02355,59,0.37112,50,0.12258,49,0.07483,38,-0.3353
ENSG00000162819,BROX,76,1.27726,24,-0.6165,20,-0.9726,52,0.60810,30,-0.2707,29,-0.3357,60,0.85654,25,-0.5303
ENSG00000143502,SUSD4,6,-2.4920,42,0.50487,33,0.06737,25,-0.3773,38,0.26017,41,0.43639,20,-0.6964,30,-0.0844
ENSG00000162909,CAPN2,70,1.10481,23,-0.7516,25,-0.5870,37,0.04759,33,-0.1143,17,-1.1740,92,1.59638,30,-0.2521
ENSG00000143514,TP53BP2,46,0.19788,31,-0.4568,33,-0.3606,52,0.39006,16,-1.3929,20,-1.1972,128,1.98506,38,-0.0930
ENSG00000143756,FBXO28,26,-0.3728,36,0.15351,31,-0.1014,32,-0.0576,40,0.29046,46,0.59497,21,-0.7228,19,-0.8239
ENSG00000143753,DEGS1,87,0.30809,88,0.37005,58,-0.3489,69,-0.0563,77,0.10540,75,0.08274,79,0.16099,33,-1.1816
ENSG00000143771,CNIH4,30,-0.0596,26,-0.3416,24,-0.4277,52,0.80790,39,0.36271,32,0.06743,37,0.26756,21,-0.5915
ENSG00000162923,WDR26,39,-0.1949,50,0.21264,44,-0.0237,43,-0.0523,48,0.10181,59,0.49284,25,-0.8778,30,-0.6274
ENSG00000143786,CNIH3,6,-1.9793,8,-1.7394,21,-0.1300,17,-0.4803,55,1.43228,47,1.37834,12,-0.9228,12,-0.9755
ENSG00000154380,ENAH,91,0.94824,51,0.02063,40,-0.3981,71,0.53468,53,0.07783,23,-1.2896,65,0.40140,49,-0.0513
ENSG00000143742,SRP9,194,-0.3402,254,0.08986,220,-0.1654,306,0.38099,253,0.07267,244,0.01855,272,0.19223,195,-0.3341
ENSG00000143819,EPHX1,93,0.49045,55,-0.3638,45,-0.7098,96,0.54286,41,-0.8059,35,-1.1056,193,1.77266,61,-0.1935
ENSG00000196187,TMEM63A,204,5.54385,0,-5.0948,2,-3.4827,9,-1.2681,11,-1.0087,1,-3.8497,11,-1.0823,0,-5.0158
ENSG00000143811,PYCR2,87,0.91942,63,0.42711,39,-0.4289,51,0.05213,39,-0.3895,42,-0.3019,57,0.20639,26,-0.9823
ENSG00000143751,SDE2,10,0.31673,11,0.41128,6,-0.4855,8,-0.0134,4,-0.9692,6,-0.4786,20,1.39547,3,-1.2783
ENSG00000163041,H3F3A,632,1.35245,253,-0.1920,204,-0.5515,331,0.25665,260,-0.1297,165,-0.8974,438,0.71422,199,-0.5461
ENSG00000182827,ACBD3,45,0.37732,27,-0.4526,37,0.10019,38,0.12285,58,0.81040,32,-0.1861,23,-0.6351,32,-0.1692
ENSG00000143799,PARP1,160,0.70587,92,-0.1963,99,-0.0744,103,-0.0081,115,0.17283,105,0.03096,100,-0.0487,66,-0.6968
ENSG00000203685,STUM,17,-2.0546,57,-0.2274,61,-0.1367,73,0.18075,113,0.89607,79,0.32511,52,-0.3697,72,0.16021
ENSG00000143772,ITPKB,151,2.60888,12,-1.6804,20,-0.9842,32,-0.1868,26,-0.4817,6,-2.6972,88,1.52077,20,-0.8780
ENSG00000143801,PSEN2,9,-0.9455,16,-0.0948,16,-0.0872,14,-0.3644,23,0.44131,24,0.58746,15,-0.2135,16,-0.1239
ENSG00000163050,COQ8A,33,0.16622,36,0.33664,15,-1.1276,27,-0.1200,49,0.81211,34,0.27611,31,0.06015,15,-1.0006
ENSG00000143776,CDC42BPA,129,0.78874,54,-0.6625,78,-0.0431,100,0.36805,94,0.26217,85,0.12212,64,-0.3378,55,-0.5798
ENSG00000143740,SNAP47,17,-1.9509,73,0.28598,55,-0.2066,90,0.58704,68,0.14346,84,0.53652,25,-1.4034,62,-0.0179
ENSG00000081692,JMJD4,9,-0.7494,22,0.64844,12,-0.4819,17,0.17470,22,0.51177,15,-0.0616,16,-0.0018,9,-0.7619
ENSG00000143761,ARF1,159,-1.2591,504,0.61567,270,-0.4933,440,0.31771,472,0.43350,449,0.39596,192,-0.9714,258,-0.5252
ENSG00000143793,C1orf35,48,1.00882,23,-0.1710,34,0.51511,16,-0.7042,23,-0.1910,23,-0.1784,19,-0.4772,16,-0.7239
ENSG00000162910,MRPL55,73,-0.3763,126,0.55282,86,-0.1316,86,-0.1213,86,-0.1183,102,0.15603,69,-0.4650,81,-0.2127
ENSG00000143774,GUK1,470,-0.1863,678,0.45127,478,-0.1771,546,0.04975,372,-0.5477,491,-0.1305,497,-0.0979,640,0.30421
ENSG00000198835,GJC2,95,4.66914,1,-3.2116,2,-2.4243,7,-0.8530,9,-0.3999,3,-2.1723,3,-1.9927,3,-1.9891
ENSG00000154370,TRIM11,3,-2.0501,16,0.28902,13,-0.0741,16,0.22160,24,0.88982,13,-0.0535,14,0.04410,9,-0.6994
ENSG00000181218,HIST3H2A,14,-0.4826,28,0.75680,21,0.22593,23,0.33329,11,-0.7622,17,-0.1870,10,-0.8735,14,-0.3815
ENSG00000168159,RNF187,153,-1.2208,328,-0.0631,433,0.43946,274,-0.3384,453,0.46211,369,0.14569,288,-0.2607,311,-0.1407
ENSG00000116574,RHOU,271,4.27305,7,-2.5304,8,-2.4285,34,-0.1264,32,-0.2009,8,-2.3209,17,-1.1423,5,-2.7808
ENSG00000168118,RAB4A,71,-0.3232,78,-0.1854,80,-0.1475,107,0.33665,108,0.35093,90,0.05962,97,0.17011,77,-0.1821
ENSG00000154429,CCSAP,45,-0.9707,87,0.04850,78,-0.1357,77,-0.1448,128,0.66805,109,0.45570,67,-0.3688,66,-0.3914
ENSG00000069248,NUP133,38,0.28688,37,0.26133,22,-0.5991,38,0.29579,36,0.19681,29,-0.1358,45,0.55512,15,-1.1025
ENSG00000135776,ABCB10,11,-0.0222,8,-0.5742,16,0.74655,6,-0.8965,10,-0.1428,11,0.08351,13,0.32165,9,-0.3406
ENSG00000135801,TAF5L,11,0.09917,9,-0.2864,11,0.05660,5,-1.1686,19,0.97427,11,0.05554,14,0.50511,5,-1.1645
ENSG00000143641,GALNT2,23,-0.5652,28,-0.2490,31,-0.0845,40,0.29941,36,0.15291,33,-0.0132,47,0.57504,31,-0.0850
ENSG00000177614,PGBD5,19,-2.6497,159,0.61420,105,-0.1411,73,-0.6981,121,0.08901,191,0.97828,57,-1.0697,73,-0.6834
ENSG00000135775,COG2,26,0.81161,14,-0.1315,14,-0.1461,16,-0.0015,14,-0.1373,14,-0.2061,20,0.38904,11,-0.5643
ENSG00000135744,AGT,302,0.86291,69,-1.5422,92,-1.0941,209,0.25362,70,-1.4206,50,-2.0373,851,2.93260,106,-0.8055
ENSG00000119280,C1orf198,184,3.27364,8,-2.2444,9,-2.0310,22,-0.6405,33,-0.0366,8,-2.1875,60,0.93867,20,-0.7660
ENSG00000143643,TTC13,9,0.01974,11,0.39143,5,-0.8902,23,1.58735,5,-0.6638,9,0.01039,5,-0.9062,5,-0.8894
ENSG00000173409,ARV1,25,-0.2460,36,0.32406,27,-0.1417,38,0.38842,38,0.40052,31,0.04995,20,-0.6251,18,-0.7351
ENSG00000143633,C1orf131,12,0.48757,6,-0.4378,12,0.63547,2,-1.7485,7,-0.2619,8,0.00284,12,0.55907,6,-0.5707
ENSG00000116906,GNPAT,86,-0.2109,123,0.41527,89,-0.1659,117,0.28057,93,-0.0865,104,0.11045,78,-0.3509,71,-0.5017
ENSG00000116903,EXOC8,5,-1.4263,17,0.37650,13,-0.0937,9,-0.6746,27,1.08727,18,0.49003,3,-1.9244,10,-0.4064
ENSG00000135766,EGLN1,76,-0.0737,82,0.04200,61,-0.4482,95,0.27864,95,0.27080,79,-0.0232,96,0.29468,72,-0.1543
ENSG00000116918,TSNAX,61,-0.4020,97,0.36407,60,-0.4753,79,0.00059,102,0.41438,96,0.34684,68,-0.2408,54,-0.5843
ENSG00000116991,SIPA1L2,15,-1.0933,27,-0.2371,43,0.56384,20,-0.6803,43,0.52188,35,0.20477,26,-0.2888,29,-0.0973
ENSG00000135778,NTPCR,67,-0.0228,60,-0.2111,71,0.09150,60,-0.1815,67,-0.0076,81,0.32124,75,0.17533,50,-0.4636
ENSG00000135749,PCNX2,12,-1.9112,27,-0.7702,71,0.92636,34,-0.3708,48,0.17124,59,0.57599,33,-0.4340,34,-0.3843
ENSG00000135750,KCNK1,49,-1.6698,238,0.89524,100,-0.6614,153,0.05759,206,0.53441,208,0.63125,49,-1.6638,75,-1.0372
ENSG00000183780,SLC35F3,2,-3.1578,25,0.25305,17,-0.4345,27,0.34133,31,0.56165,38,1.05108,12,-0.9275,7,-1.5953
ENSG00000168275,COA6,37,-1.3908,126,0.54927,108,0.25582,73,-0.3741,76,-0.3127,113,0.34560,67,-0.5141,78,-0.2736
ENSG00000059588,TARBP1,15,-0.3431,19,0.08822,20,0.12060,10,-0.9792,33,0.95439,19,0.05588,15,-0.2746,13,-0.4858
ENSG00000168264,IRF2BP2,129,0.77718,54,-0.6633,81,0.02576,135,0.84977,83,0.04757,63,-0.4062,88,0.15342,49,-0.7508
ENSG00000173726,TOMM20,186,-0.7894,378,0.35634,294,-0.0895,408,0.44038,342,0.15560,390,0.41419,155,-1.0719,196,-0.7134
ENSG00000054267,ARID4B,173,1.41568,48,-0.7243,64,-0.2659,64,-0.2290,95,0.38915,52,-0.6188,98,0.42996,62,-0.2962
ENSG00000152904,GGPS1,25,-0.1039,28,0.09989,34,0.40255,24,-0.1984,28,0.09052,28,0.08926,11,-1.3027,26,-0.0349
ENSG00000168243,GNG4,8,-2.0746,21,-0.7951,51,0.76191,62,0.98929,31,-0.1171,25,-0.4817,46,0.49064,29,-0.2202
ENSG00000143669,LYST,12,-0.4958,19,0.19961,23,0.52687,17,0.01626,13,-0.4522,19,0.15734,15,-0.2244,9,-0.9100
ENSG00000077585,GPR137B,23,-0.1697,24,-0.1076,20,-0.4494,34,0.47056,23,-0.1494,14,-1.0315,60,1.41453,27,0.06151
ENSG00000086619,ERO1B,11,0.29600,12,0.51521,12,0.39664,2,-2.2336,8,-0.1465,9,-0.0041,7,-0.3124,6,-0.5561
ENSG00000116977,LGALS8,13,-1.5230,27,-0.5149,38,0.04239,36,-0.0584,60,0.77830,61,0.92516,24,-0.6771,23,-0.7552
ENSG00000077522,ACTN2,18,-1.9511,64,-0.0457,46,-0.5927,102,0.71942,91,0.53428,114,1.06442,23,-1.5823,37,-0.8740
ENSG00000116984,MTR,17,0.60702,10,-0.2784,8,-0.5583,12,0.06021,17,0.53604,10,-0.2975,21,0.92262,6,-0.9776
ENSG00000198626,RYR2,7,-3.4064,33,-1.3631,98,0.47866,55,-0.4974,125,0.82512,150,1.33798,24,-1.7531,58,-0.4202
ENSG00000270188,MTRNR2L11,12,0.41341,4,-1.1681,14,0.70441,3,-1.6965,5,-0.9380,5,-1.1448,18,1.00744,20,1.21493
ENSG00000133019,CHRM3,1,-5.3655,74,0.43410,45,-0.4382,95,0.80326,108,1.02545,67,0.26474,29,-1.0481,32,-0.8895
ENSG00000155816,FMN2,16,-1.9257,51,-0.1689,54,-0.0822,59,0.06421,71,0.36922,54,-0.0639,116,1.19858,40,-0.5295
ENSG00000180875,GREM2,0,-8.2871,3,-2.7166,42,1.34682,20,-0.0506,49,1.40998,27,0.49480,9,-1.2568,6,-1.7310
ENSG00000182901,RGS7,9,-3.0793,97,0.48612,68,-0.1463,104,0.54444,93,0.35369,98,0.50522,36,-1.0858,47,-0.6901
ENSG00000287516,AL359764.2,1,-2.6236,16,0.75129,18,0.99562,10,-0.0677,4,-1.4113,9,-0.2122,6,-0.8061,7,-0.4923
ENSG00000091483,FH,29,-1.1826,79,0.41773,71,0.21031,73,0.24742,49,-0.4001,77,0.36517,50,-0.3604,36,-0.8363
ENSG00000054277,OPN3,1,-4.4468,44,0.46381,35,0.02578,12,-1.6271,32,-0.1090,67,1.29226,15,-1.2450,25,-0.4723
ENSG00000203668,CHML,8,-1.9015,29,-0.0628,23,-0.4807,53,0.91229,41,0.49063,43,0.66633,17,-0.8460,22,-0.4982
ENSG00000143702,CEP170,68,0.33911,62,0.21512,42,-0.4615,60,0.12272,65,0.26276,64,0.26368,41,-0.4530,36,-0.6554
ENSG00000054282,SDCCAG8,112,1.37566,36,-0.5234,37,-0.4601,40,-0.3329,55,0.17071,27,-0.9989,90,0.99667,43,-0.2043
ENSG00000117020,AKT3,64,-1.1061,134,0.03359,146,0.18979,111,-0.2620,132,0.00544,178,0.55744,107,-0.3235,115,-0.2122
ENSG00000179456,ZBTB18,43,-1.8953,257,1.00810,189,0.39875,63,-1.3327,105,-0.5683,186,0.37530,73,-1.1144,115,-0.4302
ENSG00000035687,ADSS,55,-0.0994,47,-0.3779,54,-0.1427,76,0.41020,100,0.86936,76,0.47160,29,-1.0847,31,-0.9666
ENSG00000203667,COX20,123,0.20634,77,-0.5727,112,0.06261,148,0.50658,92,-0.2482,65,-0.8421,190,0.92825,126,0.24559
ENSG00000153187,HNRNPU,207,0.30903,158,-0.1372,132,-0.4461,196,0.21698,264,0.70791,170,-0.0052,160,-0.1030,132,-0.3999
ENSG00000203666,EFCAB2,24,1.06858,11,-0.2091,9,-0.4933,20,0.70567,6,-1.0710,8,-0.7771,19,0.68122,13,-0.0086
ENSG00000185420,SMYD3,9,-1.6046,29,0.07971,32,0.26914,11,-1.3956,33,0.27889,40,0.66445,20,-0.5207,29,0.09176
ENSG00000162852,CNST,11,-2.2289,77,0.78719,68,0.55363,50,0.00040,47,-0.1158,50,-0.0254,25,-1.0460,30,-0.7766
ENSG00000143653,SCCPDH,89,0.10773,95,0.24530,62,-0.4917,101,0.30995,106,0.39778,89,0.13206,78,-0.0959,45,-0.9362
ENSG00000153207,AHCTF1,14,-0.4899,20,0.08156,23,0.32617,31,0.73093,20,0.07984,18,-0.1793,19,-0.0572,7,-1.4384
ENSG00000259823,LYPD8,3,-1.9146,30,1.54475,14,0.03123,0,-3.9931,4,-1.6452,16,0.29411,7,-0.9580,14,0.07777
ENSG00000175137,SH3BP5L,2,-2.8208,24,0.43140,20,0.12298,23,0.29609,22,0.24969,27,0.64748,6,-1.7284,12,-0.7129
ENSG00000171161,ZNF672,14,0.28906,8,-0.5753,11,-0.0887,20,0.90149,8,-0.4785,8,-0.6332,18,0.64415,13,0.20951
ENSG00000171163,ZNF692,15,0.69360,12,0.41868,7,-0.4249,4,-1.2265,8,-0.3134,12,0.36391,10,0.10120,5,-0.7799
ENSG00000035115,SH3YL1,45,0.92624,30,0.33665,17,-0.6723,42,0.82534,21,-0.2841,19,-0.4559,18,-0.5114,19,-0.4680
ENSG00000143727,ACP1,51,-1.0614,120,0.30298,89,-0.2136,123,0.31961,129,0.39508,109,0.12936,91,-0.1566,81,-0.3391
ENSG00000151353,TMEM18,39,0.26242,38,0.22629,27,-0.3909,38,0.22206,46,0.51956,32,-0.0511,23,-0.5987,27,-0.3387
ENSG00000186487,MYT1L,14,-3.4816,136,-0.1524,215,0.67586,213,0.57479,190,0.39520,163,0.15798,82,-0.9138,111,-0.4649
ENSG00000032389,EIPR1,16,-1.4347,76,1.20569,28,-0.6417,31,-0.4002,33,-0.3064,46,0.24640,25,-0.7121,40,-0.0267
ENSG00000171853,TRAPPC12,30,-0.3925,54,0.60381,35,-0.1868,34,-0.2248,34,-0.1931,41,0.09050,43,0.15840,27,-0.5868
ENSG00000182551,ADI1,63,0.46383,32,-0.6664,51,0.14208,61,0.40692,29,-0.7458,32,-0.6610,90,1.05551,47,-0.0086
ENSG00000171865,RNASEH1,25,-0.6165,43,0.26910,33,-0.1863,41,0.18246,42,0.21481,50,0.53334,26,-0.5140,20,-0.9424
ENSG00000234171,RNASEH1-AS1,16,0.70337,8,-0.3141,6,-0.7855,12,0.22964,8,-0.3370,9,-0.1617,14,0.49436,14,0.53580
ENSG00000171863,RPS7,860,0.83866,482,-0.1158,545,0.09944,406,-0.3733,458,-0.1869,373,-0.5524,582,0.19322,563,0.13936
ENSG00000232044,SILC1,88,2.59065,7,-1.5997,12,-0.8803,40,1.05829,15,-0.4707,7,-1.7094,20,-0.0504,13,-0.7341
ENSG00000228203,RNF144A-AS1,1,-3.5062,16,0.49099,22,1.09821,1,-3.3056,8,-0.5273,19,0.82658,0,-4.0999,9,-0.4656
ENSG00000151692,RNF144A,53,0.99799,32,0.19025,39,0.56138,11,-1.4875,20,-0.5382,31,0.15007,16,-0.8953,11,-1.3951
ENSG00000115738,ID2,132,-0.5396,124,-0.6933,148,-0.3981,91,-1.1086,291,0.72446,294,0.84995,290,0.71776,117,-0.7216
ENSG00000134313,KIDINS220,102,-0.4108,107,-0.3679,113,-0.2752,146,0.15817,257,1.09603,144,0.15413,129,-0.0360,94,-0.5390
ENSG00000143797,MBOAT2,85,0.78296,32,-0.8224,38,-0.5531,43,-0.3089,91,0.89106,55,0.07043,75,0.57127,35,-0.6391
ENSG00000151693,ASAP2,23,-0.4578,20,-0.7162,25,-0.3490,37,0.26743,55,0.93870,32,0.05359,45,0.59270,27,-0.2473
ENSG00000119185,ITGB1BP1,87,-0.5418,98,-0.3897,135,0.16531,146,0.27494,96,-0.3846,179,0.69326,90,-0.4887,110,-0.1767
ENSG00000119203,CPSF3,15,-0.3367,21,0.17654,16,-0.2798,14,-0.5020,24,0.34886,26,0.52523,18,-0.0684,13,-0.5759
ENSG00000134330,IAH1,49,-0.0372,68,0.54089,45,-0.1799,51,0.00683,32,-0.7070,60,0.31398,49,-0.0625,28,-0.9253
ENSG00000151694,ADAM17,46,1.25360,13,-0.8132,23,0.14162,22,0.03195,27,0.36117,13,-0.8064,29,0.47917,13,-0.7353
ENSG00000134308,YWHAQ,561,0.68118,398,0.13789,341,-0.1358,365,-0.0138,490,0.45794,324,-0.2224,287,-0.3941,225,-0.7663
ENSG00000205795,CYS1,5,-0.8830,17,1.31486,9,0.00579,0,-5.1773,4,-1.0448,6,-0.6357,12,0.47850,11,0.35974
ENSG00000115756,HPCAL1,36,-2.9119,797,2.62064,142,-0.9459,202,-0.3423,134,-0.9617,79,-1.8664,134,-0.9660,215,-0.2432
ENSG00000115758,ODC1,28,0.31859,30,0.45758,14,-0.8508,17,-0.4184,20,-0.2503,26,0.25009,30,0.41873,18,-0.3771
ENSG00000115761,NOL10,11,-0.2590,11,-0.2806,10,-0.5308,14,0.03432,21,0.73906,20,0.68638,9,-0.5837,11,-0.3438
ENSG00000143870,PDIA6,63,-0.3662,71,-0.2148,74,-0.1316,82,0.04004,123,0.69386,90,0.21426,90,0.17467,53,-0.6523
ENSG00000162975,KCNF1,24,-2.2012,79,-0.4494,108,0.08436,179,0.90942,161,0.72950,133,0.47081,68,-0.6428,59,-0.8642
