Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000162441,LZIC,44,0.46567,22,-0.7031,26,-0.6637,77,1.37647,23,-0.5928
ENSG00000130939,UBE4B,25,-0.5094,44,0.44580,37,0.31243,35,0.06685,20,-0.7747
ENSG00000054523,KIF1B,189,-0.4103,301,0.37124,281,0.50940,137,-0.8712,171,-0.5314
ENSG00000142657,PGD,41,-0.3561,70,0.53751,56,0.31614,50,-0.0154,22,-1.2672
ENSG00000241563,CORT,38,-0.9154,61,-0.0906,96,1.52963,17,-2.0136,12,-2.5231
ENSG00000160049,DFFA,35,-0.2011,29,-0.4640,34,-0.3937,68,0.90753,56,0.57677
ENSG00000142655,PEX14,22,-0.1392,41,0.91604,24,0.07015,13,-0.8481,17,-0.5314
ENSG00000120948,TARDBP,57,0.00366,74,0.44381,55,-0.0892,69,0.32165,35,-0.7535
ENSG00000116649,SRM,102,-0.0245,125,0.29866,103,-0.0072,108,0.07239,82,-0.3709
ENSG00000171824,EXOSC10,21,0.15295,27,0.55532,20,0.13740,13,-0.5891,9,-1.0912
ENSG00000198793,MTOR,30,-0.5314,59,0.59481,42,0.10226,31,-0.4193,47,0.21772
ENSG00000116661,FBXO2,536,1.08821,239,-0.4016,246,-0.5964,303,-0.0282,244,-0.3730
ENSG00000132879,FBXO44,84,-0.7474,254,1.11621,160,0.66254,49,-1.4943,33,-2.0861
ENSG00000116670,MAD2L2,28,0.50148,23,0.10224,20,-0.1982,27,0.35502,9,-1.3449
ENSG00000011021,CLCN6,40,-0.3989,95,1.04701,63,0.68135,12,-2.1075,6,-3.0940
ENSG00000116685,KIAA2013,33,-0.0092,45,0.50457,32,-0.0826,47,0.58349,12,-1.5547
ENSG00000083444,PLOD1,29,-0.0455,19,-0.6408,18,-1.1231,71,1.49065,55,1.03919
ENSG00000116688,MFN2,53,-0.4662,109,0.75940,78,0.37317,43,-0.7320,42,-0.7629
ENSG00000116691,MIIP,15,-0.1350,18,0.24337,21,0.88660,4,-1.8363,3,-2.5071
ENSG00000048707,VPS13D,32,-0.2979,40,0.06935,47,0.68225,42,0.13741,0,-6.0886
ENSG00000162496,DHRS3,53,0.61967,19,-1.0392,22,-1.2833,111,1.85460,36,-0.1102
ENSG00000116731,PRDM2,40,-0.6181,68,0.26179,66,0.40885,50,-0.2458,50,-0.2339
ENSG00000189337,KAZN,42,-0.1217,46,0.04047,49,0.25731,27,-0.7642,47,0.07438
ENSG00000142634,EFHD2,75,0.70212,75,0.60638,41,-0.5926,30,-0.8251,56,0.13073
ENSG00000116138,DNAJC16,16,-0.6136,42,0.99009,25,0.25387,15,-0.6535,16,-0.5863
ENSG00000197312,DDI2,13,-0.6768,20,0.05390,28,1.21835,11,-0.8560,0,-4.7521
ENSG00000116786,PLEKHM2,78,0.01856,71,-0.1381,93,0.59715,46,-0.8175,35,-1.2411
ENSG00000065526,SPEN,41,0.17610,43,0.21291,33,-0.3248,47,0.36196,36,-0.0526
ENSG00000185519,FAM131C,9,-0.9026,10,-0.7082,27,2.02796,2,-3.1789,0,-5.1289
ENSG00000037637,FBXO42,17,-0.3398,24,0.29216,18,-0.2744,11,-0.8675,42,1.21725
ENSG00000055070,SZRD1,34,0.21851,17,-0.8845,22,-0.7948,76,1.57057,32,0.06475
ENSG00000159363,ATP13A2,110,-0.4997,231,0.74622,171,0.47449,69,-1.1673,94,-0.6997
ENSG00000117118,SDHB,64,-0.2716,109,0.63597,76,0.06597,75,0.01363,51,-0.5863
ENSG00000117115,PADI2,81,0.82247,9,-2.5877,19,-2.1839,92,0.92766,170,2.08528
ENSG00000179051,RCC2,15,-0.6328,21,-0.0716,25,0.48466,20,-0.1096,19,-0.1861
ENSG00000074964,ARHGEF10L,24,-0.0377,21,-0.2078,22,-0.2400,14,-0.8617,50,1.17249
ENSG00000117154,IGSF21,56,0.36272,61,0.45910,45,-0.0663,9,-2.3919,53,0.22575
ENSG00000159423,ALDH4A1,46,0.91923,14,-1.0364,32,0.38553,17,-0.8164,0,-5.9141
ENSG00000127463,EMC1,18,-0.6589,44,0.82700,33,0.64062,19,-0.5513,5,-2.5238
ENSG00000053372,MRTO4,24,-0.5797,35,0.06682,41,0.64381,26,-0.3897,21,-0.6877
ENSG00000053371,AKR7A2,56,0.42637,30,-0.6000,38,-0.4205,97,1.30050,17,-1.5030
ENSG00000077549,CAPZB,143,-0.6604,254,0.31109,191,-0.2506,311,0.64921,288,0.51736
ENSG00000173436,MICOS10,311,0.17716,238,-0.2740,312,0.30573,250,-0.1967,153,-0.9522
ENSG00000158747,NBL1,179,-0.3181,253,0.26186,186,-0.3884,452,1.26084,155,-0.5173
ENSG00000162545,CAMK2N1,851,-0.2260,988,0.03535,1194,0.69145,490,-1.0581,516,-0.9769
ENSG00000090432,MUL1,27,0.38103,43,1.12634,19,-0.3868,27,0.34162,0,-5.5301
ENSG00000158828,PINK1,291,-0.2471,497,0.65132,362,0.23633,179,-0.9722,277,-0.2965
ENSG00000244038,DDOST,15,-1.1519,42,0.51711,24,-0.5727,87,1.82361,23,-0.4059
ENSG00000117245,KIF17,8,-0.9033,20,0.48754,20,0.98065,10,-0.5838,2,-2.9052
ENSG00000189410,SH2D5,11,-1.2076,41,0.90567,33,1.17394,0,-4.8688,8,-1.6873
ENSG00000127483,HP1BP3,147,-0.0092,147,-0.0100,151,0.05575,170,0.21939,115,-0.4046
ENSG00000075151,EIF4G3,86,-0.5660,190,0.76397,126,0.14975,100,-0.2795,104,-0.2214
ENSG00000117298,ECE1,37,0.69860,15,-0.8475,9,-2.1503,101,2.53237,20,-0.3915
ENSG00000076864,RAP1GAP,86,-0.5509,280,1.47082,138,0.48147,19,-2.7197,23,-2.4806
ENSG00000090686,USP48,34,0.19148,53,0.89078,29,-0.1838,19,-0.7158,23,-0.4433
ENSG00000070831,CDC42,142,-0.6336,337,0.82347,214,0.12802,226,0.15345,133,-0.6825
ENSG00000173372,C1QA,36,0.23213,4,-2.9876,14,-1.8126,118,2.39667,54,0.86680
ENSG00000159189,C1QC,26,-0.2228,5,-2.7206,9,-2.5151,130,2.76860,68,1.40384
ENSG00000173369,C1QB,68,0.49866,9,-2.5764,22,-1.8745,191,2.36362,75,0.58195
ENSG00000004487,KDM1A,33,-0.5629,62,0.49884,57,0.71500,33,-0.5058,11,-2.0825
ENSG00000169641,LUZP1,23,-1.1947,52,0.15611,58,0.61143,51,0.10641,38,-0.3510
ENSG00000125944,HNRNPR,85,-0.1164,121,0.46153,95,0.12995,93,0.03210,50,-0.9223
ENSG00000125945,ZNF436,9,-0.7386,34,1.48500,17,0.52797,5,-1.6008,0,-4.0536
ENSG00000117318,ID3,48,-0.9892,6,-3.8392,2,-6.3003,603,4.36970,148,0.89476
ENSG00000142676,RPL11,736,0.33785,240,-1.4472,335,-1.4111,1451,1.48002,1293,1.26601
ENSG00000011007,ELOA,16,-0.0253,21,0.38408,18,0.29126,10,-0.6762,10,-0.7782
ENSG00000057757,PITHD1,100,-0.5303,228,0.85883,174,0.81318,48,-1.6061,16,-3.1669
ENSG00000011009,LYPLA2,30,-0.5669,56,0.49854,48,0.49713,31,-0.4190,24,-0.8543
ENSG00000117305,HMGCL,18,-0.4401,12,-1.0373,21,-0.2363,55,1.46103,23,-0.0052
ENSG00000189266,PNRC2,41,-0.1821,50,0.12267,33,-0.8044,89,1.09538,72,0.72938
ENSG00000188529,SRSF10,38,-0.3148,58,0.37036,45,-0.0423,69,0.67652,29,-0.7104
ENSG00000001461,NIPAL3,65,0.66148,69,0.65859,45,-0.0721,23,-1.0594,13,-1.8803
ENSG00000133226,SRRM1,76,0.44002,47,-0.3690,49,-0.5218,89,0.64959,65,0.13199
ENSG00000169504,CLIC4,55,0.26551,8,-2.7034,4,-4.2961,226,3.01456,110,1.43168
ENSG00000117614,SYF2,60,-0.2384,50,-0.5247,61,-0.3574,91,0.44025,128,1.02178
ENSG00000117616,RSRP1,39,-0.0914,47,0.23545,42,0.11675,17,-1.3281,54,0.44871
ENSG00000183726,TMEM50A,62,-0.4401,124,0.71093,65,-0.5411,152,1.06529,76,-0.0894
ENSG00000204178,MACO1,14,-0.9208,41,0.85838,25,0.14687,32,0.46670,14,-0.8745
ENSG00000117643,MAN1C1,9,-2.5649,55,0.21979,42,-0.3686,170,2.27668,28,-0.8397
ENSG00000162430,SELENON,64,0.76514,34,-0.3649,35,-0.5172,49,0.20025,42,-0.0345
ENSG00000117640,MTFR1L,36,-0.5149,64,0.45731,55,0.36855,53,0.12871,22,-1.1752
ENSG00000117632,STMN1,467,-0.8421,1436,1.05830,892,0.48834,381,-1.0822,428,-0.9048
ENSG00000158008,EXTL1,28,-0.2675,56,0.89118,38,0.47417,21,-0.6800,3,-3.3377
ENSG00000142684,ZNF593,36,0.01043,41,0.22234,35,-0.0095,59,0.83629,7,-2.4299
ENSG00000142669,SH3BGRL3,169,-0.5307,242,0.09088,224,-0.0615,330,0.60035,259,0.19957
ENSG00000158062,UBXN11,23,0.06673,30,0.48021,23,0.06620,16,-0.5508,17,-0.4270
ENSG00000117682,DHDDS,16,-0.0338,22,0.43124,21,0.78268,6,-1.5418,0,-4.6944
ENSG00000198830,HMGN2,161,0.26800,83,-0.8081,97,-0.9068,377,1.73920,126,-0.1583
ENSG00000117713,ARID1A,50,-0.4108,56,-0.1791,71,0.37367,44,-0.5490,74,0.25930
ENSG00000204160,ZDHHC18,15,-1.2912,56,0.83060,33,-0.0388,21,-0.7481,63,1.04964
ENSG00000090273,NUDC,99,-0.4619,147,0.20955,140,0.22783,124,-0.0666,126,-0.0452
ENSG00000253368,TRNP1,54,-0.3255,82,0.36670,84,0.86939,27,-1.3255,12,-2.4700
ENSG00000090020,SLC9A1,13,-1.0347,58,1.41872,28,0.36841,18,-0.4803,6,-2.1180
ENSG00000142784,WDTC1,29,-0.1688,31,-0.0913,31,-0.0905,32,0.00257,45,0.54081
ENSG00000186501,TMEM222,60,-0.3586,73,-0.0171,80,0.23829,86,0.25380,59,-0.3592
ENSG00000158195,WASF2,63,1.01149,19,-1.0371,15,-1.9971,122,2.10379,34,-0.1681
ENSG00000126705,AHDC1,29,-0.7343,70,0.70460,52,0.40484,28,-0.7208,38,-0.2921
ENSG00000126709,IFI6,119,-0.1656,132,0.02094,106,-0.5429,165,0.38102,239,1.01150
ENSG00000117758,STX12,64,-0.3250,140,0.98703,77,-0.0169,38,-1.0942,82,0.10291
ENSG00000117751,PPP1R8,26,0.31264,33,0.65466,22,-0.0643,25,0.18618,2,-3.0629
ENSG00000117748,RPA2,30,-0.7005,80,0.96331,44,-0.0455,73,0.80878,15,-1.6772
ENSG00000126698,DNAJC8,102,-0.2318,143,0.33424,120,0.09143,105,-0.1620,111,-0.0747
ENSG00000130770,ATP5IF1,270,-0.5510,591,0.77266,430,0.46420,251,-0.6098,174,-1.1690
ENSG00000198492,YTHDF2,37,-0.7507,114,1.14435,65,0.39715,38,-0.6304,22,-1.4880
ENSG00000116350,SRSF4,33,-0.6267,47,-0.0113,46,-0.0782,51,0.12079,79,0.85275
ENSG00000116353,MECR,14,-0.9276,42,0.89966,27,0.28276,22,-0.1679,18,-0.4904
ENSG00000162511,LAPTM5,53,0.22167,7,-2.7360,28,-1.1896,126,1.72683,86,1.02306
ENSG00000162512,SDC3,225,0.27604,170,-0.2074,220,0.39417,126,-0.6753,91,-1.1748
ENSG00000134644,PUM1,81,-0.4948,179,0.85252,124,0.46689,74,-0.5822,35,-1.7062
ENSG00000121766,ZCCHC17,59,-0.6152,141,0.85202,99,0.48381,38,-1.2361,54,-0.6876
ENSG00000121769,FABP3,56,-1.0237,243,1.46874,117,0.39442,49,-1.1355,40,-1.4438
ENSG00000162517,PEF1,54,-0.7142,135,0.82189,94,0.39833,64,-0.3991,47,-0.8703
ENSG00000084636,COL16A1,36,0.35541,35,0.27798,16,-1.3413,59,1.16169,46,0.74386
ENSG00000121753,ADGRB2,151,-0.5143,297,0.62677,258,0.80548,60,-1.8631,78,-1.4568
ENSG00000184007,PTP4A2,215,0.67322,142,-0.0995,127,-0.4621,120,-0.3605,182,0.30584
ENSG00000121774,KHDRBS1,90,-0.1933,114,0.21231,113,0.36006,102,0.03738,42,-1.3378
ENSG00000025800,KPNA6,32,-0.5489,42,-0.0741,58,0.92357,34,-0.4267,12,-1.9768
ENSG00000084652,TXLNA,13,-0.5999,31,0.84955,22,0.54091,18,-0.0643,0,-5.2618
ENSG00000160050,CCDC28B,16,-0.4445,19,-0.1190,22,0.11486,22,0.10581,26,0.36651
ENSG00000084623,EIF3I,73,-0.7443,140,0.36600,119,0.17913,150,0.47344,90,-0.3491
ENSG00000175130,MARCKSL1,455,1.06110,105,-1.4211,231,-0.3700,257,-0.0510,223,-0.2720
ENSG00000160058,BSDC1,53,-0.2729,89,0.60887,67,0.23615,61,-0.0023,26,-1.3069
ENSG00000176261,ZBTB8OS,34,-0.1846,38,0.01676,44,0.51320,43,0.22026,6,-2.7697
ENSG00000162521,RBBP4,59,-0.4784,88,0.20140,80,0.06317,102,0.44163,72,-0.1241
ENSG00000162522,KIAA1522,14,-0.4771,17,-0.2074,25,0.81350,23,0.28290,0,-4.9701
ENSG00000134684,YARS,57,-0.7231,157,0.99294,95,0.28204,54,-0.7449,66,-0.4239
ENSG00000160097,FNDC5,21,-0.2342,11,-1.1380,27,0.32713,32,0.47187,21,-0.2273
ENSG00000121905,HPCA,102,-0.8918,275,0.77739,226,0.93895,66,-1.4715,44,-2.0823
ENSG00000121900,TMEM54,46,0.06577,32,-0.5385,39,-0.3679,64,0.57844,64,0.58257
ENSG00000116514,RNF19B,9,-1.1020,24,0.51861,16,-0.3092,20,0.20174,36,1.15584
ENSG00000004455,AK2,27,-0.2797,15,-1.1962,24,-0.7400,70,1.29868,63,1.11369
ENSG00000142920,AZIN2,22,0.05531,20,-0.0594,24,0.43541,21,0.03132,4,-2.4023
ENSG00000160094,ZNF362,15,-0.0224,18,0.21911,16,0.16673,24,0.72842,0,-4.9329
ENSG00000134686,PHC2,53,-0.2289,73,0.32906,55,-0.2231,74,0.35297,69,0.24035
ENSG00000163866,SMIM12,31,-0.5673,67,0.69118,46,0.13625,21,-1.1383,58,0.45129
ENSG00000116544,DLGAP3,67,0.15522,55,-0.1761,76,0.68051,20,-1.6836,27,-1.2896
ENSG00000116560,SFPQ,131,0.08680,161,0.41424,112,-0.3055,119,-0.0829,149,0.28227
ENSG00000146463,ZMYM4,38,-0.1700,41,-0.0388,46,0.31391,45,0.10882,25,-0.8148
ENSG00000142687,KIAA0319L,37,-0.5457,63,0.35212,56,0.28417,28,-0.9277,64,0.36654
ENSG00000020129,NCDN,185,-1.2997,818,1.20189,488,0.62990,186,-1.1943,203,-1.0633
ENSG00000126067,PSMB2,56,-0.9338,158,0.78837,103,0.16221,104,0.10395,87,-0.1942
ENSG00000142686,C1orf216,43,-0.8773,122,0.84419,86,0.52853,37,-1.0335,52,-0.5213
ENSG00000092847,AGO1,22,-0.4285,22,-0.4184,30,0.12257,40,0.51962,31,0.12334
ENSG00000116863,ADPRHL2,17,0.30106,35,1.55357,13,-0.2774,7,-1.0395,2,-2.8446
ENSG00000054116,TRAPPC3,36,-0.5687,83,0.81985,53,0.15151,41,-0.3432,43,-0.2579
ENSG00000116871,MAP7D1,118,-0.4105,189,0.39015,175,0.50461,119,-0.3575,72,-1.1330
ENSG00000054118,THRAP3,37,-0.9303,57,-0.1925,62,-0.1156,97,0.66215,107,0.84015
ENSG00000196182,STK40,26,0.20719,33,0.59658,15,-0.9923,53,1.41297,16,-0.5764
ENSG00000181817,LSM10,40,0.05493,50,0.43513,38,-0.0090,20,-1.0209,43,0.19565
ENSG00000116885,OSCP1,11,-0.9961,41,1.10040,20,-0.1069,25,0.26006,20,-0.0436
ENSG00000116898,MRPS15,42,-0.5065,63,0.18905,64,0.37534,44,-0.3802,53,-0.0886
ENSG00000163873,GRIK3,11,-0.4780,9,-0.6922,22,1.66593,1,-3.4307,1,-3.0868
ENSG00000163875,MEAF6,69,-0.5963,139,0.58978,125,0.84924,34,-1.5910,35,-1.5643
ENSG00000183317,EPHA10,9,-1.0024,24,0.55295,19,0.37893,11,-0.6676,20,0.27110
ENSG00000185090,MANEAL,11,-1.4306,66,1.49883,34,0.66551,13,-1.1595,4,-2.8234
ENSG00000197982,C1orf122,331,0.74893,128,-0.8660,208,-0.2028,205,-0.1405,202,-0.1639
ENSG00000183431,SF3A3,28,-0.3256,47,0.50594,28,-0.5371,55,0.75725,45,0.44415
ENSG00000183520,UTP11,21,-0.4196,40,0.64155,28,0.13821,5,-2.3663,41,0.66488
ENSG00000116954,RRAGC,22,-0.8986,54,0.57905,44,0.43385,55,0.60869,7,-2.4524
ENSG00000174574,AKIRIN1,52,-0.2972,114,1.01175,67,0.21056,40,-0.6878,29,-1.1728
ENSG00000168653,NDUFS5,521,-0.1239,666,0.28369,619,0.31092,287,-1.0371,499,-0.1817
ENSG00000127603,MACF1,122,-0.0985,117,-0.1547,129,0.00165,152,0.26397,131,0.03104
ENSG00000183682,BMP8A,12,-0.3027,14,0.02328,19,1.10846,1,-3.1035,4,-1.6543
ENSG00000090621,PABPC4,67,0.35319,56,0.02928,53,-0.1313,71,0.41468,27,-1.0824
ENSG00000116983,HPCAL4,195,-0.4380,292,0.24264,312,0.71287,105,-1.3385,163,-0.6798
ENSG00000084072,PPIE,29,0.15001,37,0.51496,22,-0.4864,62,1.40367,0,-5.6911
ENSG00000168389,MFSD2A,21,0.06485,14,-0.5893,15,-0.7930,49,1.51542,24,0.25319
ENSG00000131236,CAP1,86,-0.7009,177,0.51701,133,0.08920,133,0.05025,143,0.16671
ENSG00000131238,PPT1,107,-0.0491,147,0.46010,120,0.25840,100,-0.1627,41,-1.4975
ENSG00000084073,ZMPSTE24,23,-0.3551,37,0.44811,30,0.18571,30,0.11868,18,-0.6745
ENSG00000084070,SMAP2,55,-1.0789,166,0.76730,128,0.67332,49,-1.1487,75,-0.5007
ENSG00000117016,RIMS3,58,-0.3038,65,-0.0761,90,0.90338,28,-1.3906,30,-1.2729
ENSG00000066136,NFYC,17,-0.8733,46,0.73123,35,0.53913,31,0.08984,7,-2.0520
ENSG00000179862,CITED4,13,-0.5320,22,0.37954,16,-0.2843,21,0.25738,28,0.75802
ENSG00000127124,HIVEP3,17,0.19426,26,0.86699,15,0.00279,14,-0.1785,3,-2.5051
ENSG00000198815,FOXJ3,31,-0.7941,88,0.93644,59,0.51067,33,-0.6482,22,-1.2423
ENSG00000177181,RIMKLA,14,-1.2041,33,0.21597,42,1.44949,14,-1.0908,1,-4.1439
ENSG00000127125,PPCS,43,-0.1997,73,0.66883,47,-0.0903,66,0.49234,25,-1.0307
ENSG00000186409,CCDC30,28,0.75712,10,-0.9869,17,-0.2208,3,-2.6046,33,0.88383
ENSG00000065978,YBX1,152,-0.1214,47,-1.8992,86,-1.4751,360,1.35477,485,1.93639
ENSG00000164008,C1orf50,21,0.32633,22,0.34842,17,-0.0916,14,-0.4257,14,-0.4155
ENSG00000177868,SVBP,28,-0.4277,54,0.67614,39,0.26217,27,-0.4421,25,-0.5268
ENSG00000117394,SLC2A1,69,-0.4918,30,-1.7031,41,-1.7593,279,1.98190,259,1.82878
ENSG00000117395,EBNA1BP2,36,-0.6623,96,1.00658,53,0.04881,44,-0.2798,47,-0.1894
ENSG00000066322,ELOVL1,39,1.14171,8,-1.3974,5,-2.8066,38,0.91289,67,1.98827
ENSG00000159479,MED8,13,-0.5647,40,1.28534,20,0.17225,20,0.14892,0,-5.2991
ENSG00000178922,HYI,23,0.18576,5,-2.1215,16,-0.7044,56,1.69528,23,0.13576
ENSG00000142949,PTPRF,81,-0.5481,161,0.60959,119,0.21732,127,0.21477,63,-0.8722
ENSG00000126091,ST3GAL3,31,-0.3848,43,0.17886,46,0.53629,28,-0.5054,24,-0.7220
ENSG00000117408,IPO13,54,0.22345,61,0.40449,50,0.16821,48,-0.0035,8,-2.6875
ENSG00000117410,ATP6V0B,202,-0.8595,681,1.20642,377,0.38178,192,-0.8603,171,-1.0366
ENSG00000117411,B4GALT2,87,0.48931,58,-0.2196,74,0.29084,57,-0.2541,11,-2.6276
ENSG00000159214,CCDC24,11,-0.5540,22,0.68115,18,0.64254,13,-0.1642,0,-4.9702
ENSG00000178028,DMAP1,36,-0.4171,73,0.73689,44,-0.1380,49,0.08428,48,0.07200
ENSG00000117419,ERI3,123,-0.3040,227,0.73074,164,0.36065,83,-0.8776,83,-0.8856
ENSG00000187147,RNF220,79,-0.2127,131,0.63578,96,0.23898,71,-0.3533,48,-0.9608
