Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000219481,NBPF1,16,0.33899,12,-0.1677,8,-0.6798,6,-1.2705,10,-0.4763,21,0.87265,8,-0.7509,18,0.45921
ENSG00000058453,CROCC,7,-0.9494,10,-0.4092,10,-0.4807,10,-0.4164,13,-0.1083,21,0.79603,10,-0.4523,21,0.67235
ENSG00000159363,ATP13A2,49,-2.1699,151,-0.4812,221,0.12784,195,-0.0739,312,0.71122,251,0.39703,209,0.04181,197,-0.0579
ENSG00000117118,SDHB,79,-0.3061,67,-0.5525,55,-0.8668,101,0.09416,115,0.30405,124,0.49311,83,-0.2236,112,0.26500
ENSG00000117115,PADI2,261,3.65865,45,-0.0605,28,-0.8113,26,-0.9382,11,-2.1229,14,-1.9437,20,-1.3287,3,-3.8478
ENSG00000179051,RCC2,13,-0.9106,15,-0.6835,39,0.83471,10,-1.2873,32,0.51715,40,1.04338,14,-0.8060,9,-1.3963
ENSG00000074964,ARHGEF10L,12,-0.5591,21,0.23339,17,-0.0577,23,0.39449,18,0.04283,16,-0.1880,28,0.74344,9,-1.0298
ENSG00000117154,IGSF21,8,-3.7845,76,-0.5826,161,0.63868,127,0.24016,71,-0.6974,74,-0.6874,136,0.35318,260,1.50954
ENSG00000159423,ALDH4A1,21,0.09737,24,0.34151,40,1.21073,32,0.83271,6,-1.6687,13,-0.6874,21,0.13726,5,-2.0422
ENSG00000127481,UBR4,10,-0.4401,8,-0.8799,6,-1.1820,15,0.07439,21,0.65902,14,0.02703,15,0.07053,23,0.78444
ENSG00000127463,EMC1,23,-0.3944,11,-1.4892,38,0.44031,28,-0.0761,30,0.03125,37,0.44052,35,0.28345,25,-0.2554
ENSG00000053372,MRTO4,21,-0.7930,26,-0.5193,33,-0.1436,38,0.08802,54,0.69073,37,0.08180,43,0.31046,32,-0.1812
ENSG00000053371,AKR7A2,66,0.96964,36,-0.0488,32,-0.2094,28,-0.4429,41,0.16862,23,-0.7863,47,0.41508,35,-0.0824
ENSG00000077549,CAPZB,144,-0.3463,138,-0.4172,169,-0.0915,146,-0.3194,209,0.25505,186,0.07735,207,0.23996,223,0.36636
ENSG00000173436,MICOS10,342,-0.0119,356,0.05273,346,0.00739,488,0.58152,282,-0.3217,305,-0.2225,382,0.17175,293,-0.2571
ENSG00000158747,NBL1,138,-0.7586,176,-0.3867,232,0.06228,210,-0.1007,282,0.38232,247,0.19051,242,0.12546,238,0.09961
ENSG00000169914,OTUD3,2,-2.6080,12,-0.3197,25,0.91749,13,-0.1706,21,0.59422,19,0.53493,11,-0.4736,8,-0.8748
ENSG00000162545,CAMK2N1,556,-0.9119,1091,0.15456,921,-0.1213,750,-0.4468,1331,0.48496,1731,1.14642,454,-1.2238,369,-1.5345
ENSG00000090432,MUL1,18,-0.2997,11,-1.0131,11,-1.0524,20,-0.1608,25,0.16009,25,0.18153,32,0.57210,34,0.69275
ENSG00000183114,FAM43B,22,0.14792,12,-0.8251,31,0.70513,18,-0.1428,3,-2.5286,5,-2.2399,23,0.26085,61,1.99753
ENSG00000158828,PINK1,251,-0.9765,394,-0.2749,516,0.16156,572,0.33334,485,0.05979,499,0.12530,481,0.04739,507,0.13427
ENSG00000244038,DDOST,20,-0.8109,18,-0.9622,49,0.59059,23,-0.6408,47,0.51462,37,0.16320,44,0.40629,32,-0.0984
ENSG00000117245,KIF17,8,-1.3406,11,-0.8296,44,1.38689,16,-0.3307,9,-1.1571,13,-0.6628,12,-0.7866,49,1.61572
ENSG00000189410,SH2D5,1,-4.8783,25,-0.5376,30,-0.2093,35,0.00580,51,0.63609,41,0.29234,49,0.58066,40,0.23240
ENSG00000127483,HP1BP3,145,0.13326,99,-0.4805,124,-0.1216,149,0.17792,146,0.14631,115,-0.2749,145,0.13696,164,0.34324
ENSG00000075151,EIF4G3,84,-0.6972,80,-0.7635,92,-0.5446,90,-0.5864,197,0.69203,161,0.40478,168,0.41967,139,0.10291
ENSG00000117298,ECE1,38,1.51106,9,-0.8002,20,0.37078,8,-1.0765,13,-0.3170,18,0.22904,10,-0.6179,8,-1.0248
ENSG00000076864,RAP1GAP,55,-1.8919,118,-0.7501,208,0.15797,184,-0.0445,202,0.11009,152,-0.3879,215,0.21190,415,1.36222
ENSG00000090686,USP48,52,0.63522,36,0.03421,26,-0.4833,28,-0.3416,40,0.18643,29,-0.3643,27,-0.4073,51,0.60534
ENSG00000070831,CDC42,145,-0.8430,151,-0.7764,218,-0.2045,171,-0.5841,408,0.84019,291,0.31029,313,0.38481,239,-0.0572
ENSG00000173372,C1QA,69,2.12539,35,0.78155,24,0.16618,13,-0.8084,12,-0.9458,14,-0.7182,9,-1.3924,5,-2.2146
ENSG00000159189,C1QC,62,2.64419,23,0.68416,10,-0.7162,10,-0.7027,7,-1.2280,5,-1.8153,7,-1.1194,10,-0.6898
ENSG00000173369,C1QB,111,2.10740,72,1.23693,33,-0.0847,28,-0.3751,13,-1.5168,12,-1.7505,21,-0.7794,13,-1.5478
ENSG00000004487,KDM1A,25,-0.9136,31,-0.5467,44,-0.0109,37,-0.2873,75,0.88059,37,-0.3449,31,-0.5840,83,1.07084
ENSG00000169641,LUZP1,11,-2.2949,30,-0.7922,44,-0.1735,77,0.73421,50,0.03253,76,0.85613,38,-0.3927,42,-0.2562
ENSG00000125944,HNRNPR,87,-0.1360,60,-0.7177,83,-0.2192,100,0.07453,87,-0.1434,88,-0.1503,150,0.76451,113,0.28778
ENSG00000125945,ZNF436,7,-0.8729,7,-0.9335,9,-0.5889,24,0.95442,16,0.32137,13,0.01993,16,0.28794,13,-0.0038
ENSG00000117318,ID3,155,4.20071,16,-0.6274,9,-1.4635,6,-2.1637,2,-3.2995,8,-1.8116,10,-1.3202,4,-2.4517
ENSG00000142676,RPL11,1304,1.83887,512,0.14472,484,0.05219,514,0.14963,250,-0.9881,264,-0.9954,316,-0.6233,309,-0.6580
ENSG00000011007,ELOA,13,0.03112,11,-0.1399,9,-0.4339,9,-0.5454,14,0.23806,10,-0.3786,8,-0.7020,27,1.34697
ENSG00000057757,PITHD1,96,-0.9864,134,-0.4764,136,-0.4531,222,0.33912,244,0.49776,202,0.21677,153,-0.2603,234,0.43107
ENSG00000011009,LYPLA2,18,-1.2461,29,-0.5466,42,0.02477,43,0.07752,33,-0.3531,44,0.09799,60,0.62362,58,0.57470
ENSG00000117308,GALE,4,-1.9770,13,-0.3739,14,-0.3233,16,-0.0316,15,-0.1895,21,0.45834,22,0.41487,24,0.58536
ENSG00000117305,HMGCL,20,0.15594,20,0.15716,17,-0.0490,25,0.53285,19,0.10894,16,-0.2425,15,-0.3317,15,-0.3236
ENSG00000179163,FUCA1,14,-0.0705,5,-1.6698,17,0.23308,6,-1.2470,20,0.53570,10,-0.5974,11,-0.4848,38,1.66209
ENSG00000189266,PNRC2,57,0.78334,30,-0.2610,31,-0.2234,36,0.04193,34,-0.0809,27,-0.4636,37,0.08022,39,0.17583
ENSG00000188529,SRSF10,40,0.09809,30,-0.3645,20,-0.9482,28,-0.4425,44,0.27510,36,-0.0496,39,0.08380,62,0.84845
ENSG00000001461,NIPAL3,114,1.05945,39,-0.7064,50,-0.3289,54,-0.2166,53,-0.2373,59,-0.0830,53,-0.2335,72,0.25921
ENSG00000133226,SRRM1,94,1.40034,35,-0.3102,21,-1.0704,29,-0.5814,31,-0.4776,37,-0.2309,36,-0.2470,58,0.53785
ENSG00000169504,CLIC4,163,3.69250,23,-0.3389,16,-0.9503,11,-1.4387,7,-2.1567,9,-1.8772,9,-1.7399,13,-1.1890
ENSG00000117614,SYF2,110,1.20559,41,-0.4391,40,-0.4720,44,-0.3437,44,-0.3367,49,-0.1846,43,-0.3561,68,0.37581
ENSG00000117616,RSRP1,56,0.45712,40,-0.0970,34,-0.3231,53,0.36771,41,-0.0518,31,-0.5494,30,-0.5182,64,0.69126
ENSG00000183726,TMEM50A,98,0.60263,42,-0.7474,43,-0.7317,67,-0.0242,98,0.60469,58,-0.2889,73,0.11875,75,0.16542
ENSG00000204178,MACO1,28,0.34756,16,-0.5260,13,-0.8545,32,0.59401,27,0.31090,20,-0.1822,14,-0.6913,31,0.52289
ENSG00000117643,MAN1C1,17,-1.4190,17,-1.3591,22,-1.0135,36,-0.2612,70,0.83614,71,1.05528,36,-0.2634,41,-0.0637
ENSG00000162430,SELENON,43,0.39322,35,0.04754,27,-0.3613,36,0.10004,29,-0.2724,33,-0.0375,48,0.55576,21,-0.7100
ENSG00000117640,MTFR1L,43,-0.6228,61,-0.0453,78,0.34350,61,-0.0699,46,-0.5011,67,0.12042,68,0.11229,78,0.33747
ENSG00000117632,STMN1,705,-0.8845,726,-0.8385,1363,0.15985,1296,0.07746,1463,0.27683,1259,0.03553,1467,0.28133,1582,0.40820
ENSG00000158008,EXTL1,17,-1.2331,44,0.27428,52,0.53876,32,-0.2414,38,0.02992,20,-1.0426,45,0.29967,68,1.00505
ENSG00000175087,PDIK1L,5,-1.4590,12,-0.2745,7,-1.1557,20,0.56532,15,0.08518,17,0.35465,19,0.46740,16,0.14747
ENSG00000142684,ZNF593,28,-0.3521,37,0.07842,43,0.36160,45,0.40006,23,-0.6655,35,-0.0167,32,-0.1136,37,0.08969
ENSG00000142669,SH3BGRL3,221,0.00843,242,0.15809,191,-0.2236,243,0.16569,136,-0.7508,159,-0.5753,344,0.75487,281,0.40492
ENSG00000158062,UBXN11,22,-0.3906,19,-0.6161,32,0.18331,35,0.30527,23,-0.3453,33,0.24977,44,0.71227,17,-0.8152
ENSG00000117682,DHDDS,9,-1.1049,15,-0.3363,21,0.11883,11,-0.8248,31,0.78723,18,-0.0922,22,0.18958,27,0.56419
ENSG00000198830,HMGN2,233,1.45677,105,0.05570,98,-0.0470,68,-0.6272,67,-0.6434,63,-0.8147,116,0.22218,96,-0.0811
ENSG00000117713,ARID1A,45,-0.0658,35,-0.4790,59,0.35469,43,-0.1488,47,0.00821,37,-0.4356,48,0.01499,74,0.74952
ENSG00000204160,ZDHHC18,10,-1.7051,19,-0.7777,25,-0.3121,29,-0.1268,44,0.58028,46,0.79272,33,0.10224,26,-0.2674
ENSG00000142751,GPN2,6,-1.2972,13,-0.1188,13,-0.1386,18,0.43132,15,0.08757,16,0.27922,11,-0.3014,17,0.32473
ENSG00000090273,NUDC,157,0.04845,142,-0.1059,180,0.27875,153,0.00707,117,-0.4252,146,-0.0705,168,0.15696,160,0.08172
ENSG00000253368,TRNP1,11,-2.8372,57,-0.4611,75,-0.0235,96,0.39899,104,0.52265,115,0.82610,70,-0.1212,39,-1.0478
ENSG00000090020,SLC9A1,3,-2.6992,16,-0.5632,7,-1.7749,15,-0.6269,39,0.88172,24,0.07967,55,1.51226,23,-0.0011
ENSG00000142784,WDTC1,30,0.25967,28,0.18851,22,-0.2195,18,-0.4918,25,-0.0308,24,-0.0662,27,0.13000,28,0.16378
ENSG00000186501,TMEM222,66,-0.1998,58,-0.3857,75,0.01451,77,0.04362,102,0.52106,76,0.04547,44,-0.8144,96,0.40627
ENSG00000158195,WASF2,94,2.48313,24,-0.0363,14,-0.8418,22,-0.2262,7,-1.9429,16,-0.7532,20,-0.3663,12,-1.1474
ENSG00000126705,AHDC1,12,-1.7021,25,-0.6140,39,0.07194,30,-0.3323,45,0.28404,33,-0.2290,45,0.28424,75,1.18117
