Feature ID,Feature Name,Feature count topic 1to5,Feature log2 fold change topic 1to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000183773,AIFM3,54,0.59626,34,-0.5228,38,-0.3043
ENSG00000099949,LZTR1,25,-0.2574,33,0.42962,24,-0.2021
ENSG00000184436,THAP7,37,0.31786,23,-0.7016,39,0.30986
ENSG00000185651,UBE2L3,116,-0.2832,144,0.23102,138,0.12529
ENSG00000161179,YDJC,28,0.10714,25,-0.2108,29,0.09903
ENSG00000128228,SDF2L1,19,0.08124,13,-0.7083,26,0.62401
ENSG00000100023,PPIL2,22,-0.6238,32,0.21338,39,0.59786
ENSG00000100027,YPEL1,41,-0.4385,52,0.14621,61,0.44346
ENSG00000100030,MAPK1,275,-1.0971,575,0.63347,609,0.65258
ENSG00000100034,PPM1F,24,-0.4948,41,0.75018,24,-0.3286
ENSG00000274422,AC245060.5,42,0.95566,13,-1.6446,35,0.17110
ENSG00000128266,GNAZ,84,-0.4283,127,0.55520,92,-0.1175
ENSG00000100228,RAB36,13,-0.4632,19,0.44541,16,0.09785
ENSG00000186716,BCR,83,-0.0534,76,-0.2251,102,0.34481
ENSG00000250479,CHCHD10,447,-0.0527,471,0.07167,452,-0.0126
ENSG00000099956,SMARCB1,31,-0.6248,41,0.04900,60,0.77377
ENSG00000133460,SLC2A11,31,0.21092,28,-0.1201,26,-0.1806
ENSG00000240972,MIF,1270,-0.0091,1120,-0.2585,1515,0.31970
ENSG00000133433,GSTT2B,39,-0.0777,48,0.38437,31,-0.4495
ENSG00000099977,DDT,168,0.34451,137,-0.1845,125,-0.3211
ENSG00000099991,CABIN1,62,-0.5122,89,0.34808,89,0.29626
ENSG00000100014,SPECC1L,13,-0.7818,25,0.64435,21,0.26574
ENSG00000100028,SNRPD3,35,-0.1324,32,-0.2749,48,0.50132
ENSG00000167037,SGSM1,17,-1.1095,52,1.52457,18,-0.7278
ENSG00000197077,KIAA1671,28,-0.3357,36,0.21951,36,0.21590
ENSG00000244752,CRYBB2,48,-0.0398,48,0.01099,50,0.04737
ENSG00000100077,GRK3,49,-0.8036,101,0.93056,63,-0.1281
ENSG00000100095,SEZ6L,87,-1.0663,159,0.34458,220,0.94157
ENSG00000128203,ASPHD2,31,-0.7345,44,0.10098,65,0.84363
ENSG00000100099,HPS4,20,-0.7246,38,0.71711,28,0.08568
ENSG00000100104,SRRD,18,-1.1655,34,0.27478,53,1.10826
ENSG00000100109,TFIP11,14,-0.4204,20,0.43325,17,0.05159
ENSG00000128294,TPST2,23,-0.6862,38,0.56334,34,0.24850
ENSG00000225783,MIAT,108,-0.4386,147,0.30725,145,0.24774
ENSG00000180957,PITPNB,62,-0.2515,81,0.39834,62,-0.1630
ENSG00000159873,CCDC117,10,-1.1394,25,1.10154,16,0.07737
ENSG00000100219,XBP1,11,-0.7591,21,0.64542,18,0.23440
ENSG00000183579,ZNRF3,16,0.08668,13,-0.3413,18,0.27472
ENSG00000186998,EMID1,28,-0.0221,14,-1.2093,49,1.09093
ENSG00000100263,RHBDD3,19,-0.0626,25,0.47721,13,-0.6527
ENSG00000182944,EWSR1,110,-0.3754,132,0.09065,159,0.42535
ENSG00000185340,GAS2L1,66,0.35324,51,-0.3033,53,-0.1748
ENSG00000100276,RASL10A,66,-0.3256,65,-0.2804,110,0.74556
ENSG00000100280,AP1B1,63,-0.5903,100,0.51433,87,0.18398
ENSG00000225465,RFPL1S,63,-0.4123,102,0.72577,57,-0.4335
ENSG00000100285,NEFH,31,-0.5009,68,1.43415,9,-2.2689
ENSG00000184117,NIPSNAP1,48,-0.3856,62,0.24234,64,0.25689
ENSG00000186575,NF2,37,0.28663,30,-0.2076,30,-0.1893
ENSG00000100319,ZMAT5,16,-0.4570,21,0.18604,24,0.42110
ENSG00000184076,UQCR10,640,0.41651,508,-0.1933,435,-0.4390
ENSG00000100330,MTMR3,18,-0.5492,29,0.49009,25,0.15954
ENSG00000099992,TBC1D10A,10,-0.7667,14,-0.0363,24,1.01137
ENSG00000099995,SF3A1,39,-0.6004,59,0.40099,59,0.34640
ENSG00000099999,RNF215,19,-0.3342,20,-0.1918,31,0.67185
ENSG00000100003,SEC14L2,43,-0.2873,32,-0.7161,81,1.06061
ENSG00000100029,PES1,20,-0.4843,28,0.27387,29,0.35150
ENSG00000184792,OSBP2,19,-0.0486,23,0.32258,16,-0.3977
ENSG00000253352,TUG1,19,-0.2442,19,-0.1958,28,0.56462
ENSG00000198832,SELENOM,233,0.03535,204,-0.2413,262,0.23866
ENSG00000185133,INPP5J,15,0.08885,22,0.86240,3,-2.3524
ENSG00000138942,RNF185,18,-0.7565,33,0.69269,27,0.16520
ENSG00000100100,PIK3IP1,23,-0.6089,28,-0.0379,45,0.84216
ENSG00000100105,PATZ1,12,-0.5912,18,0.24047,21,0.52765
ENSG00000185721,DRG1,37,-0.6383,65,0.69165,47,-0.0018
ENSG00000184708,EIF4ENIF1,26,-0.6378,42,0.50215,38,0.26529
ENSG00000241878,PISD,48,-0.5959,84,0.72976,56,-0.1262
ENSG00000183530,PRR14L,13,-0.9946,26,0.61720,27,0.55926
ENSG00000100150,DEPDC5,9,-1.1012,21,0.80002,18,0.45139
ENSG00000128245,YWHAH,1226,-0.7664,2176,0.60358,1949,0.30033
ENSG00000100220,RTCB,39,-0.5123,57,0.37892,55,0.25673
ENSG00000100225,FBXO7,30,-0.1511,32,-0.0003,36,0.22577
ENSG00000100234,TIMP3,47,-0.0806,21,-1.4849,93,1.30102
ENSG00000133424,LARGE1,63,-0.4198,114,1.01360,40,-1.0405
ENSG00000100284,TOM1,53,-0.1524,71,0.49781,42,-0.5095
ENSG00000100302,RASD2,32,-0.7916,56,0.52367,56,0.43501
ENSG00000100320,RBFOX2,120,-0.4026,159,0.27991,158,0.23287
ENSG00000128335,APOL2,30,-0.7747,61,0.85997,40,-0.0584
ENSG00000100345,MYH9,44,-0.1392,44,-0.0833,55,0.30602
ENSG00000100348,TXN2,70,-0.0416,72,0.02969,72,0.02587
ENSG00000100350,FOXRED2,45,-0.5412,69,0.48091,61,0.16085
ENSG00000100353,EIF3D,40,-0.3061,46,0.09114,53,0.33243
