Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000157916,RER1,78,0.45016,68,0.23941,66,0.17746,41,-0.5612,54,-0.1347,55,-0.1187,47,-0.3638,73,0.38573,47,-0.3641,47,-0.3634
ENSG00000157911,PEX10,45,0.78471,21,-0.4521,26,-0.0785,28,0.01126,26,-0.1274,23,-0.2953,28,0.03691,22,-0.3967,36,0.43124,28,0.00796
ENSG00000149527,PLCH2,9,-1.0471,40,1.39110,24,0.54260,27,0.68725,25,0.59967,4,-2.2325,6,-1.4554,16,-0.0820,6,-1.4685,16,-0.1205
ENSG00000157881,PANK4,7,-1.1782,19,0.36632,26,0.91421,10,-0.6304,11,-0.4527,17,0.20804,12,-0.2730,17,0.26833,19,0.37119,8,-0.9106
ENSG00000197921,HES5,4,-2.1755,13,-0.5244,19,-0.0035,15,-0.3704,28,0.63201,7,-1.4275,8,-1.2731,9,-1.1193,67,2.19875,28,0.62538
ENSG00000272449,AL139246.5,0,-7.5210,5,-0.5886,11,0.56239,7,-0.2409,16,1.16110,1,-2.9669,3,-1.3111,7,-0.0971,18,1.37812,10,0.41948
ENSG00000157873,TNFRSF14,2,-1.6494,19,1.48834,20,1.62861,4,-1.0021,7,-0.1262,1,-2.4582,1,-2.2769,8,-0.0040,6,-0.3404,7,-0.0219
ENSG00000157870,PRXL2B,21,-1.4140,83,0.69197,82,0.68327,53,-0.0361,39,-0.4900,44,-0.3229,48,-0.1970,68,0.41698,33,-0.7403,54,0.01051
ENSG00000177133,PRDM16-DT,4,-1.9747,9,-1.0540,11,-0.7649,19,0.10314,14,-0.3260,20,0.15991,9,-0.9914,5,-1.9462,75,2.59578,24,0.48973
ENSG00000158109,TPRG1L,41,-2.0033,153,0.00113,159,0.06011,165,0.11377,148,-0.0591,158,0.04756,216,0.55395,200,0.48087,103,-0.6110,144,-0.1024
ENSG00000116213,WRAP73,23,0.81267,10,-0.4286,12,-0.2218,7,-0.9276,6,-1.3125,22,0.76142,23,0.77840,15,0.10054,13,-0.0452,6,-1.2007
ENSG00000130764,LRRC47,48,-0.8691,108,0.40576,84,0.01075,64,-0.4197,82,-0.0243,86,0.05369,105,0.37045,109,0.47337,67,-0.3412,58,-0.5713
ENSG00000116198,CEP104,41,1.47369,16,-0.0739,10,-0.7546,12,-0.4873,12,-0.5372,31,0.98464,10,-0.7379,16,-0.1318,13,-0.4155,9,-0.9644
ENSG00000198912,C1orf174,10,-0.1446,8,-0.4659,12,0.10098,10,-0.2878,9,-0.2948,14,0.34021,13,0.12577,14,0.39667,14,0.24835,7,-0.6909
ENSG00000196581,AJAP1,18,-1.3288,54,0.36740,84,1.09342,21,-1.1218,45,0.08526,34,-0.3682,60,0.52779,57,0.51488,12,-1.9311,32,-0.4710
ENSG00000131697,NPHP4,5,-1.0312,12,0.41563,16,0.85586,7,-0.5010,11,0.21100,13,0.53603,14,0.62317,8,-0.2815,5,-0.8466,4,-1.0747
ENSG00000069424,KCNAB2,20,-3.1105,253,0.69160,198,0.29433,137,-0.2937,124,-0.4414,204,0.34226,183,0.16048,180,0.15027,150,-0.1528,187,0.19723
ENSG00000116254,CHD5,15,-2.9553,84,-0.3802,84,-0.3775,124,0.24175,237,1.33560,118,0.15181,143,0.47229,107,-0.0025,51,-1.1440,106,-0.0066
ENSG00000116251,RPL22,1122,1.34655,347,-0.5787,425,-0.2644,338,-0.6192,437,-0.2207,545,0.12788,399,-0.3631,380,-0.4779,628,0.35846,529,0.08041
ENSG00000116237,ICMT,22,-0.6517,53,0.71493,52,0.69587,24,-0.5496,29,-0.2584,46,0.48502,31,-0.1495,32,-0.0950,27,-0.3435,25,-0.4567
ENSG00000158292,GPR153,1,-2.5891,19,1.08833,11,0.27520,13,0.53033,23,1.44135,1,-2.6398,3,-1.6298,5,-1.0089,7,-0.3937,15,0.74235
ENSG00000097021,ACOT7,70,-2.0725,286,0.06276,329,0.29075,289,0.08074,284,0.05456,226,-0.3053,290,0.08543,455,0.95560,149,-0.9463,188,-0.5926
ENSG00000215788,TNFRSF25,1,-3.2009,23,0.94692,30,1.36833,9,-0.5493,8,-0.7897,11,-0.2920,18,0.52112,10,-0.3726,14,0.12427,8,-0.6996
ENSG00000171680,PLEKHG5,1,-4.5962,42,0.98976,46,1.13296,25,0.11595,21,-0.1377,11,-1.0373,15,-0.6484,26,0.18566,15,-0.6286,25,0.15700
ENSG00000162408,NOL9,20,-0.4705,34,0.39127,19,-0.5197,26,-0.0657,41,0.68868,17,-0.7363,27,0.01091,30,0.21739,33,0.30653,18,-0.5979
ENSG00000162413,KLHL21,36,0.36482,26,-0.1559,38,0.45658,41,0.57237,26,-0.1132,25,-0.2066,30,0.06091,24,-0.2653,26,-0.1467,17,-0.7608
ENSG00000116273,PHF13,14,-0.2974,17,0.02132,20,0.29298,19,0.21134,18,0.09039,26,0.71706,19,0.21666,14,-0.3603,15,-0.1913,9,-0.9225
ENSG00000041988,THAP3,27,0.33412,27,0.33570,29,0.44102,22,0.00966,15,-0.5416,21,-0.0680,14,-0.6667,24,0.18039,23,0.10146,13,-0.7446
ENSG00000007923,DNAJC11,13,-1.1256,20,-0.4129,25,-0.1025,29,0.11955,25,-0.0836,30,0.18924,40,0.65937,33,0.36223,19,-0.5295,27,0.00455
ENSG00000171735,CAMTA1,88,-1.0870,144,-0.3296,103,-0.8534,157,-0.1985,256,0.58803,295,0.82233,238,0.46764,182,0.04092,171,-0.0604,142,-0.3502
ENSG00000049245,VAMP3,158,2.99054,16,-1.0762,13,-1.3880,19,-0.8233,11,-1.6296,40,0.36450,26,-0.3190,9,-2.0210,37,0.24610,15,-1.1163
ENSG00000049246,PER3,24,0.16413,22,0.05599,23,0.07596,36,0.80190,32,0.64222,12,-0.8698,12,-0.8408,16,-0.4570,28,0.38458,16,-0.4848
ENSG00000116288,PARK7,284,-0.4792,449,0.24019,295,-0.4234,490,0.38090,340,-0.2005,477,0.33900,326,-0.2692,386,-0.0010,467,0.30327,350,-0.1568
ENSG00000116285,ERRFI1,16,-0.1920,17,-0.0745,16,-0.1565,15,-0.2675,15,-0.2451,22,0.27277,27,0.65749,23,0.44789,8,-1.2463,16,-0.2243
ENSG00000162426,SLC45A1,14,-0.9532,45,0.82716,26,-0.0733,28,0.06283,30,0.14283,17,-0.7279,19,-0.5323,43,0.83711,13,-1.1565,21,-0.3947
ENSG00000142599,RERE,77,-0.3738,101,0.06449,119,0.32360,129,0.45533,82,-0.2591,114,0.24571,102,0.07638,82,-0.2885,111,0.20850,70,-0.5040
ENSG00000074800,ENO1,431,-0.5469,519,-0.2589,585,-0.0690,513,-0.2767,520,-0.2553,754,0.33462,795,0.42297,598,-0.0400,900,0.62586,515,-0.2692
ENSG00000171612,SLC25A33,14,-1.3706,22,-0.7016,40,0.22806,34,-0.0543,41,0.27624,27,-0.3959,20,-0.8647,29,-0.3381,91,1.62234,37,0.09563
ENSG00000188807,TMEM201,12,0.18592,13,0.40223,8,-0.3735,10,-0.0131,13,0.41906,8,-0.3450,7,-0.4640,13,0.42489,10,-0.0763,5,-1.1057
ENSG00000171608,PIK3CD,1,-2.5716,1,-2.8031,0,-4.3424,12,0.37210,15,0.77693,18,1.00727,9,-0.1183,16,1.01882,10,0.11493,4,-1.1320
ENSG00000171603,CLSTN1,155,-2.1875,989,0.66551,707,0.11742,611,-0.1130,541,-0.3048,603,-0.1344,1126,0.88540,826,0.41659,437,-0.6332,400,-0.7675
ENSG00000178585,CTNNBIP1,51,0.46419,19,-1.0347,14,-1.4887,53,0.53510,45,0.26149,31,-0.3252,43,0.18682,43,0.21781,41,0.14648,35,-0.1420
ENSG00000162441,LZIC,72,1.36790,17,-0.9057,20,-0.6870,23,-0.4989,28,-0.1776,42,0.43797,31,-0.0339,27,-0.2592,29,-0.1494,32,-0.0019
ENSG00000130939,UBE4B,26,-0.5068,22,-0.7563,18,-1.0742,24,-0.6496,37,0.04062,56,0.71987,47,0.43873,47,0.48905,38,0.10317,33,-0.1189
ENSG00000054523,KIF1B,274,0.17076,187,-0.4252,162,-0.6454,248,0.01510,237,-0.0547,300,0.31747,374,0.68002,217,-0.2161,298,0.30676,190,-0.4038
ENSG00000142657,PGD,36,-0.4266,42,-0.1782,29,-0.7719,37,-0.3950,41,-0.2100,93,1.10920,86,0.97187,46,-0.0500,33,-0.5566,32,-0.5927
ENSG00000175279,CENPS,6,-0.6991,12,0.41865,10,0.12712,15,0.78763,16,0.84166,5,-0.9160,6,-0.6081,8,-0.1448,8,-0.2130,7,-0.4603
ENSG00000241563,CORT,3,-5.1892,53,-1.2019,45,-1.4604,78,-0.6286,111,-0.0694,821,4.14368,6,-4.3361,35,-1.9105,26,-2.2393,67,-0.8476
ENSG00000160049,DFFA,60,0.92308,30,-0.1801,21,-0.7534,29,-0.2168,22,-0.6483,35,0.04542,37,0.13509,28,-0.3254,53,0.73089,29,-0.2245
ENSG00000142655,PEX14,24,0.06375,31,0.48516,25,0.14239,13,-0.8071,20,-0.1861,25,0.10407,17,-0.4200,33,0.64337,14,-0.7932,17,-0.4205
ENSG00000120948,TARDBP,62,0.30005,65,0.36509,58,0.18024,52,-0.0016,41,-0.3407,59,0.20306,40,-0.3849,55,0.12016,51,-0.0155,29,-0.8787
ENSG00000116649,SRM,47,-0.9849,106,0.26747,97,0.12834,109,0.31989,100,0.18179,97,0.13232,65,-0.5062,91,0.02879,99,0.16319,82,-0.1432
ENSG00000171824,EXOSC10,24,0.27549,23,0.20265,19,-0.1483,21,0.00864,15,-0.4523,16,-0.3792,29,0.52581,18,-0.2134,23,0.18422,20,-0.0798
ENSG00000198793,MTOR,16,-1.2590,47,0.43078,37,0.02032,22,-0.7371,29,-0.3645,50,0.50179,47,0.42279,43,0.31300,27,-0.4252,37,0.02701
ENSG00000120942,UBIAD1,27,1.60763,7,-0.6530,12,0.29563,6,-0.6641,6,-0.7022,3,-1.8753,11,0.16309,9,-0.1597,15,0.59087,6,-0.7532
ENSG00000116661,FBXO2,172,-0.1915,254,0.43194,249,0.39990,192,-0.0178,145,-0.4594,134,-0.5806,103,-0.9794,197,0.02706,279,0.58396,215,0.15894
ENSG00000132879,FBXO44,34,-1.9053,153,0.39203,135,0.18347,136,0.20025,144,0.29523,109,-0.1510,119,-0.0087,167,0.60907,67,-0.9046,88,-0.4826
ENSG00000116670,MAD2L2,43,1.17504,29,0.52021,39,1.00374,7,-1.5275,13,-0.7699,17,-0.3295,11,-0.9413,15,-0.5817,24,0.17421,19,-0.1912
ENSG00000177674,AGTRAP,30,2.15473,3,-1.4464,3,-1.3157,4,-1.2270,1,-2.3568,3,-1.2522,8,-0.0224,4,-1.3109,23,1.67748,10,0.20417
ENSG00000177000,MTHFR,11,-0.2876,18,0.49238,10,-0.4001,8,-0.7567,13,-0.0369,18,0.44740,12,-0.1117,17,0.44401,9,-0.6268,13,-0.0485
ENSG00000011021,CLCN6,26,-0.8602,43,-0.1049,39,-0.2436,43,-0.0929,71,0.71318,39,-0.2705,41,-0.1898,59,0.45712,42,-0.1496,43,-0.1126
ENSG00000175206,NPPA,2,-2.2642,24,1.30014,38,2.18399,13,0.31067,10,-0.1056,0,-3.6801,5,-1.1388,8,-0.5741,3,-1.8557,8,-0.4949
ENSG00000116685,KIAA2013,47,0.59172,25,-0.4180,35,0.08604,25,-0.3972,38,0.25135,39,0.27983,36,0.13748,35,0.09662,30,-0.1263,15,-1.1466
ENSG00000083444,PLOD1,29,0.60063,22,0.11819,11,-0.9315,10,-1.0811,12,-0.8180,43,1.25249,22,0.15377,18,-0.2179,29,0.55015,9,-1.2212
ENSG00000116688,MFN2,59,-0.5243,90,0.13251,79,-0.0772,73,-0.1936,73,-0.1849,87,0.09100,123,0.64827,104,0.40775,67,-0.3173,49,-0.7909
ENSG00000116691,MIIP,17,0.20918,10,-0.6408,17,0.24206,16,0.11651,13,-0.1569,15,0.01697,16,0.18346,17,0.23966,14,-0.1050,10,-0.5618
ENSG00000048707,VPS13D,41,-0.2941,51,0.05269,37,-0.4473,65,0.44962,72,0.59871,33,-0.6226,46,-0.1022,67,0.56591,33,-0.6096,30,-0.7704
ENSG00000162496,DHRS3,20,0.80191,7,-0.7236,7,-0.8259,8,-0.6587,10,-0.3015,10,-0.3277,7,-0.7075,9,-0.4521,33,1.69658,12,-0.0087
ENSG00000116731,PRDM2,62,-0.3673,84,0.10998,64,-0.3018,92,0.26905,71,-0.1577,78,0.00349,101,0.42005,100,0.45385,47,-0.7931,59,-0.4372
ENSG00000189337,KAZN,76,0.68853,29,-0.8410,35,-0.5293,37,-0.4467,31,-0.7491,85,0.86291,64,0.40590,54,0.12442,44,-0.2014,40,-0.3416
ENSG00000142634,EFHD2,24,-2.7353,35,-2.1471,23,-2.7826,129,-0.2006,82,-0.9045,406,1.74028,466,2.01291,148,0.00985,87,-0.8203,70,-1.1321
ENSG00000132906,CASP9,12,0.56699,8,0.00111,8,-0.0101,5,-0.7237,7,-0.1680,4,-1.0560,10,0.30528,11,0.57746,7,-0.3264,6,-0.3642
ENSG00000116138,DNAJC16,16,-0.5569,23,0.00144,22,-0.1145,23,-0.0335,19,-0.3244,24,0.04046,32,0.51503,26,0.21348,25,0.11704,20,-0.2646
ENSG00000197312,DDI2,14,-0.6050,17,-0.3275,21,0.01804,15,-0.5017,32,0.64088,32,0.63797,22,0.03445,27,0.42448,13,-0.7287,13,-0.7130
ENSG00000116786,PLEKHM2,39,-0.7374,54,-0.2326,47,-0.4203,73,0.25287,57,-0.1487,52,-0.2815,70,0.19483,71,0.24759,69,0.15811,81,0.42534
ENSG00000065526,SPEN,61,0.97740,22,-0.6747,20,-0.7629,40,0.26393,47,0.55695,21,-0.7385,29,-0.2158,33,-0.0044,38,0.18093,24,-0.4906
ENSG00000116809,ZBTB17,23,0.73138,15,0.12385,17,0.25884,9,-0.6224,15,0.07863,10,-0.4561,9,-0.7363,17,0.27093,15,0.03536,10,-0.4771
ENSG00000185519,FAM131C,3,-2.1960,10,-0.6733,5,-1.4843,29,1.04523,20,0.41562,28,0.96298,10,-0.7003,17,0.19256,15,-0.0101,14,-0.1549
ENSG00000037637,FBXO42,14,-0.5125,25,0.39893,18,-0.1725,13,-0.6602,19,-0.0201,25,0.37400,23,0.22256,22,0.20001,21,0.12191,14,-0.4888
ENSG00000055070,SZRD1,49,1.45927,23,0.17902,18,-0.1647,13,-0.6433,21,0.03214,16,-0.3671,21,0.04950,9,-1.3734,26,0.35928,20,-0.0271
ENSG00000157191,NECAP2,38,1.80281,4,-1.7458,9,-0.5389,13,-0.0058,7,-0.8496,19,0.59229,8,-0.6975,5,-1.4066,27,1.17241,8,-0.7951
ENSG00000219481,NBPF1,25,1.47369,6,-0.7170,2,-2.0529,16,0.69063,8,-0.3407,13,0.38945,10,-0.0985,4,-1.4006,18,0.90324,6,-0.8325
ENSG00000058453,CROCC,7,-0.5641,14,0.34444,15,0.52115,14,0.35249,7,-0.5594,5,-1.1228,10,-0.1872,15,0.60533,10,-0.1890,7,-0.5537
ENSG00000238142,BX284668.5,8,-0.0776,6,-0.5632,10,0.31871,4,-1.1418,4,-1.1472,11,0.39895,7,-0.3713,8,-0.1921,21,1.44097,8,-0.0515
ENSG00000159363,ATP13A2,39,-1.7192,111,-0.1456,104,-0.2393,134,0.15111,122,0.00358,157,0.40984,111,-0.1472,182,0.75346,93,-0.4246,102,-0.2714
ENSG00000117118,SDHB,68,-0.4823,72,-0.4131,114,0.31299,109,0.24623,88,-0.0871,133,0.57458,81,-0.2300,106,0.21871,73,-0.3902,78,-0.2770
ENSG00000117115,PADI2,243,3.23351,13,-1.8518,23,-1.0504,32,-0.5204,21,-1.1530,26,-0.8446,25,-0.9089,7,-2.7589,67,0.63829,32,-0.5408
ENSG00000179051,RCC2,26,1.17346,16,0.38864,14,0.13477,14,0.09783,20,0.69260,5,-1.2514,6,-1.0316,11,-0.2759,7,-0.9173,10,-0.3412
ENSG00000074964,ARHGEF10L,18,0.26425,12,-0.3017,13,-0.1942,17,0.17286,14,-0.1016,18,0.28653,18,0.28974,12,-0.3269,17,0.25012,12,-0.2743
ENSG00000117154,IGSF21,18,-2.2718,116,0.53055,81,-0.0384,68,-0.3201,60,-0.5122,166,1.13554,159,1.06495,71,-0.2881,65,-0.3910,43,-1.0157
ENSG00000159423,ALDH4A1,41,0.70985,11,-1.2367,20,-0.4300,23,-0.2009,22,-0.2412,37,0.53043,21,-0.3516,10,-1.4886,64,1.48635,29,0.15955
ENSG00000169991,IFFO2,10,0.10484,7,-0.4598,7,-0.4930,8,-0.1951,8,-0.2104,11,0.21441,15,0.72736,11,0.31582,11,0.22583,4,-1.2067
ENSG00000127463,EMC1,19,-0.7018,34,0.22111,28,-0.0926,27,-0.1305,26,-0.2213,35,0.28128,42,0.55187,37,0.38478,25,-0.2806,17,-0.8642
ENSG00000053372,MRTO4,21,-0.7892,30,-0.2013,33,-0.0717,28,-0.3219,44,0.37733,25,-0.4745,44,0.37783,47,0.56439,31,-0.1416,29,-0.2658
ENSG00000053371,AKR7A2,63,0.48856,35,-0.4435,50,0.11961,39,-0.2589,44,-0.0823,50,0.11323,41,-0.2011,40,-0.2754,77,0.82536,32,-0.5539
ENSG00000040487,SLC66A1,6,-0.8242,7,-0.5749,9,-0.1645,5,-0.8446,4,-1.1203,22,1.30213,9,-0.1034,12,0.35808,14,0.51238,8,-0.2919
ENSG00000077549,CAPZB,136,-0.5710,183,-0.1102,231,0.25458,217,0.15452,196,-0.0014,200,0.02769,185,-0.0954,244,0.38734,186,-0.0842,141,-0.5225
ENSG00000173436,MICOS10,313,-0.0282,284,-0.1858,317,-0.0102,465,0.61093,328,0.04211,293,-0.1348,264,-0.3008,302,-0.0974,315,-0.0223,328,0.04532
ENSG00000158747,NBL1,74,-1.5115,206,0.05072,239,0.29064,277,0.53466,161,-0.3341,213,0.10663,219,0.15531,212,0.11092,192,-0.0613,186,-0.1093
ENSG00000169914,OTUD3,10,-0.4296,13,-0.0157,12,-0.2004,9,-0.6251,13,-0.0739,9,-0.5179,24,0.99072,20,0.76797,5,-1.3650,10,-0.4051
ENSG00000162545,CAMK2N1,879,-0.5277,2091,0.86758,2598,1.24592,1138,-0.1246,1190,-0.0551,585,-1.1477,871,-0.5408,934,-0.4749,936,-0.4307,1394,0.19780
ENSG00000090432,MUL1,28,0.16978,32,0.33890,30,0.24326,16,-0.7332,17,-0.6364,36,0.56809,30,0.28067,25,-0.0020,22,-0.1917,18,-0.5474
ENSG00000183114,FAM43B,3,-2.2109,5,-1.6910,4,-1.7304,21,0.55083,11,-0.5036,38,1.59413,27,0.97454,14,-0.0940,14,-0.0649,11,-0.4055
ENSG00000158828,PINK1,215,-0.8819,332,-0.2133,335,-0.2010,414,0.13258,398,0.07090,437,0.22108,461,0.30755,512,0.54387,255,-0.6236,314,-0.3009
ENSG00000244038,DDOST,22,-0.2138,32,0.35454,31,0.33524,26,0.06469,18,-0.4865,24,-0.0609,23,-0.1595,27,0.11962,28,0.15740,19,-0.4218
ENSG00000117245,KIF17,3,-2.6733,17,-0.4063,8,-1.4362,34,0.70303,29,0.40437,12,-0.8554,28,0.37069,43,1.28951,10,-1.1932,15,-0.6193
ENSG00000189410,SH2D5,3,-3.6523,42,0.33029,58,0.84630,24,-0.5796,29,-0.2701,27,-0.3513,45,0.42961,50,0.70840,21,-0.7241,28,-0.3257
ENSG00000127483,HP1BP3,174,0.26545,120,-0.3178,143,-0.0453,140,-0.0820,128,-0.2249,188,0.38536,172,0.24207,156,0.09764,151,0.03147,95,-0.6779
ENSG00000075151,EIF4G3,63,-0.9928,162,0.47288,75,-0.7244,109,-0.1566,139,0.22269,115,-0.0771,126,0.07244,183,0.77265,92,-0.4249,80,-0.6434
ENSG00000117298,ECE1,35,1.38438,10,-0.5980,13,-0.2396,7,-1.1494,10,-0.6134,10,-0.5695,12,-0.3912,10,-0.7008,40,1.66821,9,-0.8365
ENSG00000162551,ALPL,4,-1.4165,6,-0.9241,4,-1.3301,11,-0.0708,4,-1.3422,4,-1.6087,13,0.21408,21,1.19374,21,1.02667,13,0.28720
ENSG00000076864,RAP1GAP,39,-1.9490,152,0.11085,97,-0.5824,103,-0.4943,116,-0.3096,293,1.20913,244,0.89400,186,0.50127,64,-1.2147,76,-0.9670
ENSG00000090686,USP48,64,0.56736,37,-0.3008,45,-0.0179,43,-0.0654,30,-0.6045,50,0.16746,65,0.59650,46,0.01719,41,-0.1479,29,-0.6906
ENSG00000070831,CDC42,226,0.01393,238,0.09320,196,-0.2086,215,-0.0643,189,-0.2709,254,0.19889,295,0.44404,266,0.31002,184,-0.3095,136,-0.7791
