Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to8,Feature log2 fold change topic 2to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000116237,ICMT,43,0.40546,36,0.35100,32,-0.0377,9,-1.8754,29,-0.2265
ENSG00000097021,ACOT7,52,-2.3137,346,1.83131,116,-1.1287,105,-1.2704,106,-1.3451
ENSG00000215788,TNFRSF25,10,-1.4684,28,-0.0737,62,1.28724,22,-0.3593,25,-0.1853
ENSG00000171680,PLEKHG5,0,-8.1045,28,0.82100,16,-0.5264,15,-0.6173,24,0.05739
ENSG00000162408,NOL9,23,-0.6817,42,0.59887,18,-1.0864,18,-1.0875,40,0.18043
ENSG00000204859,ZBTB48,9,-0.6945,14,-0.0890,45,1.97141,0,-6.0840,9,-0.6306
ENSG00000162413,KLHL21,54,0.51479,36,-0.2565,88,1.35348,13,-1.6444,30,-0.4373
ENSG00000116273,PHF13,15,-0.1153,20,0.80680,16,-0.0204,4,-2.1634,11,-0.6890
ENSG00000041988,THAP3,12,-0.8173,24,0.39556,27,0.34443,6,-1.7562,22,0.06647
ENSG00000007923,DNAJC11,25,-0.3811,37,0.45278,6,-2.4598,41,0.35384,31,-0.0992
ENSG00000171735,CAMTA1,92,-0.7887,133,-0.4525,209,0.49446,150,-0.0302,229,0.72955
ENSG00000049245,VAMP3,151,2.11421,16,-2.3122,109,1.50869,65,0.62592,45,0.02529
ENSG00000049246,PER3,46,0.48892,28,-0.6003,42,0.32375,29,-0.2489,48,0.60744
ENSG00000116288,PARK7,370,0.00144,375,0.05248,437,0.26693,354,-0.0649,323,-0.2276
ENSG00000116285,ERRFI1,35,1.00576,19,0.18364,6,-1.7285,13,-0.5793,16,-0.2071
ENSG00000162426,SLC45A1,10,-1.7861,42,1.18648,36,0.16689,14,-1.3016,16,-1.1060
ENSG00000142599,RERE,87,-0.4534,111,-0.1571,130,0.17663,160,0.50054,122,0.07457
ENSG00000074800,ENO1,437,-0.8294,832,0.39734,1049,0.54010,382,-1.0312,645,-0.2540
ENSG00000171612,SLC25A33,42,0.18520,34,-0.2965,58,0.72013,16,-1.2705,46,0.38491
ENSG00000188807,TMEM201,18,-0.1429,21,0.23488,27,0.47228,16,-0.3158,14,-0.5310
ENSG00000171608,PIK3CD,3,-2.2689,23,1.49921,9,-0.9169,5,-1.6041,10,-0.7207
ENSG00000171603,CLSTN1,234,-1.3067,705,1.07857,506,-0.1306,228,-1.3415,350,-0.7545
ENSG00000178585,CTNNBIP1,52,0.33671,35,-0.5642,71,0.84836,52,0.33447,42,0.00524
ENSG00000162441,LZIC,101,1.47325,29,-1.0305,69,0.82281,44,0.07606,41,-0.0087
ENSG00000130939,UBE4B,43,0.13888,47,0.65285,15,-1.4799,21,-0.9875,35,-0.2263
ENSG00000054523,KIF1B,369,0.14573,346,0.09673,194,-0.8435,361,0.11054,346,0.04953
ENSG00000142657,PGD,75,0.07765,80,0.40714,80,0.17270,52,-0.5032,47,-0.7043
ENSG00000241563,CORT,5,-3.9128,100,1.85813,27,-1.4171,52,-0.4449,26,-1.5708
ENSG00000160049,DFFA,58,0.88521,28,-0.5104,51,0.68106,22,-0.6066,35,0.10496
ENSG00000142655,PEX14,15,-0.8815,32,0.78644,31,0.23352,10,-1.4407,18,-0.5959
ENSG00000120948,TARDBP,105,0.55552,69,-0.2491,70,-0.0809,104,0.53212,65,-0.2268
ENSG00000271895,AL109811.2,15,0.34231,13,0.31063,15,0.33466,2,-2.6159,10,-0.2421
ENSG00000116649,SRM,55,-1.1771,141,0.69161,127,0.10953,81,-0.5798,86,-0.5343
ENSG00000171824,EXOSC10,37,0.01459,39,0.21202,69,1.03909,21,-0.8195,20,-0.9995
ENSG00000198793,MTOR,37,-0.3614,51,0.28581,68,0.59380,56,0.28925,23,-1.1489
ENSG00000116661,FBXO2,551,0.63504,270,-0.9241,879,1.43466,251,-0.6030,441,0.30377
ENSG00000132879,FBXO44,49,-1.9854,232,1.02356,146,-0.3508,129,-0.5443,123,-0.6601
ENSG00000116670,MAD2L2,58,0.90215,31,-0.2318,17,-0.9938,39,0.26161,34,0.02421
ENSG00000177674,AGTRAP,45,1.38897,8,-2.1426,73,2.29497,10,-0.9569,25,0.44270
ENSG00000177000,MTHFR,9,-1.3292,24,0.27601,24,0.09099,15,-0.6171,26,0.24758
ENSG00000011021,CLCN6,51,-0.8118,99,0.50871,70,-0.3211,88,0.02014,69,-0.3856
ENSG00000116685,KIAA2013,55,0.57149,42,0.33933,38,1.71697,28,-0.4718,22,-0.8970
ENSG00000083444,PLOD1,36,0.44150,22,-0.6098,81,1.85505,20,-0.4843,17,-0.7981
ENSG00000116688,MFN2,88,-0.3159,132,0.83925,75,-0.5516,66,-0.7595,70,-0.7255
ENSG00000116691,MIIP,11,-0.7715,18,-0.0045,48,1.56548,10,-0.8606,12,-0.7365
ENSG00000048707,VPS13D,25,-1.1628,64,0.63745,65,0.30282,24,-1.1996,44,-0.3362
ENSG00000162496,DHRS3,61,1.09307,15,-1.7558,86,1.70358,29,-0.1047,45,0.64395
ENSG00000116731,PRDM2,32,-0.8589,66,0.72976,20,-1.5150,81,0.61023,33,-0.8379
ENSG00000189337,KAZN,77,0.67805,52,0.15923,77,0.67444,21,-1.3164,30,-0.8287
ENSG00000142634,EFHD2,31,-2.0176,144,0.73079,51,-1.2894,281,1.41326,34,-1.9830
ENSG00000116138,DNAJC16,26,0.08249,32,1.14659,6,-2.1087,5,-2.4306,17,-0.5675
ENSG00000197312,DDI2,10,-0.9975,23,0.71849,17,-0.1336,22,0.25825,9,-1.1145
ENSG00000116786,PLEKHM2,41,-0.7009,70,0.27579,59,-0.1447,60,-0.1329,65,-0.0114
ENSG00000065526,SPEN,51,0.84649,24,-0.6658,45,0.64081,24,-0.3272,36,0.31306
ENSG00000116809,ZBTB17,13,-0.5710,16,-0.5494,24,0.33659,46,1.41850,18,-0.1252
ENSG00000185519,FAM131C,26,0.49749,22,0.47361,16,-0.2765,0,-4.8638,18,-0.1468
ENSG00000288398,AL109627.1,5,-1.2928,8,-1.1908,22,0.89150,43,2.08497,12,-0.0549
ENSG00000037637,FBXO42,17,-0.5332,30,0.86969,20,-0.3277,5,-2.2694,20,-0.3468
ENSG00000055070,SZRD1,48,0.82212,19,-1.0806,54,1.03631,18,-0.6786,43,0.75483
ENSG00000157191,NECAP2,56,1.51119,16,-1.0168,45,1.10444,4,-2.3424,28,0.35892
ENSG00000219481,NBPF1,17,0.51083,13,0.08741,10,-0.2559,5,-1.2884,13,0.14124
ENSG00000058453,CROCC,14,-0.4206,20,0.17401,34,0.96860,0,-5.0617,19,0.03774
ENSG00000238142,BX284668.5,11,-0.2457,13,0.11564,0,-5.9832,7,-0.9985,22,0.96762
ENSG00000159363,ATP13A2,40,-2.0056,200,1.27211,109,-0.5008,103,-0.5861,80,-1.0399
ENSG00000117118,SDHB,80,-0.1152,102,0.68510,76,-0.1828,28,-1.6730,66,-0.4423
ENSG00000117115,PADI2,465,3.87560,14,-3.2936,54,-0.3462,76,0.18979,58,-0.2642
ENSG00000179051,RCC2,28,0.42494,22,0.10635,28,0.45103,15,-0.5592,15,-0.5328
ENSG00000074964,ARHGEF10L,25,0.47918,17,-0.2844,33,0.94243,2,-2.9840,21,0.25489
ENSG00000117154,IGSF21,30,-1.5711,104,0.77746,38,-1.2544,78,-0.1617,79,-0.1514
ENSG00000159423,ALDH4A1,40,0.44820,21,-0.9633,52,0.88955,21,-0.5377,48,0.87704
ENSG00000169991,IFFO2,15,-0.0667,19,0.76404,20,0.34299,2,-2.5696,9,-0.8845
ENSG00000127463,EMC1,26,-0.3533,36,0.24555,33,-0.0200,28,-0.2474,31,-0.1123
ENSG00000053372,MRTO4,13,-1.3649,38,0.58213,10,-1.8100,29,-0.1650,37,0.21729
ENSG00000053371,AKR7A2,50,-0.0397,42,-0.6577,110,1.24340,60,0.22439,54,0.08929
ENSG00000040487,SLC66A1,24,1.20157,11,-0.1457,4,-1.5202,0,-5.4103,16,0.62421
ENSG00000077549,CAPZB,127,-0.7721,235,0.43197,239,0.20331,154,-0.4761,176,-0.3025
ENSG00000173436,MICOS10,266,-0.0866,261,-0.2488,298,0.08996,478,0.85538,255,-0.1717
ENSG00000158747,NBL1,68,-1.5058,194,0.20590,217,0.26289,195,0.09873,181,-0.0240
ENSG00000169914,OTUD3,4,-1.8651,19,1.10497,7,-1.1106,8,-0.8308,12,-0.3463
ENSG00000162545,CAMK2N1,590,0.23168,547,0.25499,174,-1.6316,496,-0.0441,515,0.01857
ENSG00000090432,MUL1,21,-0.1414,25,0.23790,35,0.63415,12,-1.0296,19,-0.3603
ENSG00000183114,FAM43B,6,-1.8442,23,0.55671,3,-2.4654,27,0.46542,21,0.07953
ENSG00000158828,PINK1,264,-0.5766,440,0.53246,284,-0.4650,322,-0.2697,325,-0.2824
ENSG00000244038,DDOST,28,-0.3757,39,0.36340,60,0.85726,18,-1.0381,23,-0.7280
ENSG00000117245,KIF17,5,-2.1888,30,0.98420,13,-0.9315,39,0.77748,9,-1.5145
ENSG00000189410,SH2D5,1,-4.7900,60,1.31183,29,-0.6708,36,-0.3304,26,-0.8687
ENSG00000127483,HP1BP3,185,0.26813,154,-0.0544,117,-0.4508,179,0.21704,159,0.02679
ENSG00000075151,EIF4G3,76,-0.6149,143,0.94479,42,-1.4925,96,-0.2673,77,-0.6494
ENSG00000117298,ECE1,45,0.92538,6,-3.0428,172,3.79091,12,-1.1628,17,-0.6746
ENSG00000162551,ALPL,5,-2.1520,7,-2.5188,124,3.24932,61,1.71915,12,-1.0225
ENSG00000076864,RAP1GAP,53,-2.0034,274,1.41719,108,-0.9628,128,-0.7017,111,-0.9923
ENSG00000090686,USP48,59,0.54870,48,0.54310,9,-2.2966,34,-0.3288,31,-0.4733
ENSG00000070831,CDC42,294,0.23535,286,0.46237,267,0.08394,149,-0.8161,164,-0.7275
ENSG00000070886,EPHA8,1,-3.4821,19,2.44897,0,-5.9786,14,0.20665,0,-4.1390
ENSG00000173372,C1QA,19,-0.6367,7,-3.0930,149,2.98751,77,1.62037,29,-0.0024
ENSG00000159189,C1QC,21,-0.0805,2,-4.4201,108,2.86871,61,1.67998,31,0.61775
ENSG00000173369,C1QB,67,0.61622,12,-2.9400,186,2.49824,69,0.66570,70,0.79819
ENSG00000004487,KDM1A,21,-1.3861,63,0.78779,55,0.10739,43,-0.2808,31,-0.8443
ENSG00000169641,LUZP1,6,-2.3258,34,0.38487,12,-1.3460,57,1.00468,27,-0.2148
ENSG00000125944,HNRNPR,112,-0.1093,123,0.08491,156,0.40808,98,-0.3136,107,-0.1930
ENSG00000125945,ZNF436,13,-0.4118,21,0.82686,0,-7.0460,14,-0.3501,16,-0.1153
ENSG00000088280,ASAP3,42,2.29334,5,-1.7022,5,-1.1796,14,0.36098,17,0.72000
ENSG00000117318,ID3,212,1.52303,8,-4.5606,687,4.48125,18,-2.3246,25,-1.9565
ENSG00000142676,RPL11,1090,1.13559,368,-1.1111,881,0.77481,819,0.65214,591,0.14089
ENSG00000011007,ELOA,20,-0.0183,23,0.48094,9,-1.1637,10,-0.9736,21,0.06408
ENSG00000057757,PITHD1,117,-0.7513,247,1.13590,105,-0.9146,139,-0.4887,100,-1.0657
ENSG00000011009,LYPLA2,11,-2.2723,67,0.93816,33,-0.7270,32,-0.7823,48,-0.1713
ENSG00000117308,GALE,5,-1.7108,18,0.67149,16,0.03666,11,-0.4759,13,-0.3461
ENSG00000117305,HMGCL,25,0.34609,16,-0.7169,40,1.13779,25,0.36850,20,-0.0203
ENSG00000179163,FUCA1,9,-0.7069,14,-0.2275,37,1.44452,5,-1.6311,16,0.09308
ENSG00000189266,PNRC2,55,0.13864,43,-0.5357,81,0.76488,63,0.34448,55,0.13869
ENSG00000188529,SRSF10,40,-0.4563,58,0.22930,76,0.53734,35,-0.6722,47,-0.2268
ENSG00000001461,NIPAL3,142,1.80145,38,-0.7330,57,0.23835,44,-0.1727,38,-0.4118
ENSG00000133226,SRRM1,89,1.00583,40,-0.5563,43,-0.1794,78,0.78572,43,-0.2020
ENSG00000169504,CLIC4,347,3.54706,9,-3.6388,121,1.27529,54,-0.0483,41,-0.5171
ENSG00000117614,SYF2,64,0.15242,51,-0.4390,98,0.84582,73,0.36081,54,-0.1223
ENSG00000117616,RSRP1,81,0.38023,67,0.20975,80,0.36443,33,-1.0164,49,-0.4433
ENSG00000183726,TMEM50A,140,0.89687,65,-0.6441,138,0.88072,94,0.25334,68,-0.2785
ENSG00000204178,MACO1,41,1.02541,23,0.21851,8,-1.4982,4,-2.4209,23,0.09842
ENSG00000117643,MAN1C1,48,0.32816,47,0.67982,56,0.56302,16,-1.3739,12,-1.8186
ENSG00000162430,SELENON,80,0.67200,44,-0.5150,84,0.74477,39,-0.4577,58,0.17618
ENSG00000117640,MTFR1L,63,-0.1441,71,0.07446,50,-0.4979,87,0.35419,68,-0.0323
ENSG00000182749,PAQR7,8,-0.7115,14,0.08743,14,0.01168,11,-0.3739,17,0.32116
ENSG00000117632,STMN1,715,-0.7928,1526,1.05844,569,-1.1369,1563,0.42864,407,-1.7315
ENSG00000158008,EXTL1,4,-3.7267,66,1.07688,26,-1.0442,41,-0.3669,43,-0.3203
ENSG00000175087,PDIK1L,4,-1.6634,19,1.52158,3,-2.0638,9,-0.6357,8,-0.9338
ENSG00000142684,ZNF593,31,-0.0531,35,0.34620,16,-1.0727,47,0.64091,21,-0.6420
ENSG00000142669,SH3BGRL3,187,-0.6895,261,-0.3635,393,0.47111,519,0.93098,291,-0.0080
ENSG00000158062,UBXN11,6,-2.8053,47,0.79423,41,0.09473,51,0.43773,19,-1.1866
ENSG00000117682,DHDDS,10,-1.3158,33,1.11229,17,-0.6367,16,-0.6743,16,-0.7853
ENSG00000198830,HMGN2,289,1.08533,125,-0.5290,205,0.51375,132,-0.1860,140,-0.1030
ENSG00000117713,ARID1A,50,-0.2196,63,0.28785,71,0.31575,30,-1.0191,53,-0.1567
ENSG00000204160,ZDHHC18,28,-0.4370,41,0.39891,45,0.31795,32,-0.2355,25,-0.6222
ENSG00000142751,GPN2,17,-0.2198,22,0.54853,20,0.07725,4,-2.1294,17,-0.2051
ENSG00000090273,NUDC,139,-0.3430,182,0.18331,153,-0.1882,232,0.46579,139,-0.3723
ENSG00000253368,TRNP1,10,-2.8366,91,1.02870,37,-1.0180,106,0.63807,34,-1.2046
ENSG00000090020,SLC9A1,5,-2.5820,36,0.47756,48,0.62742,19,-0.7553,29,-0.1821
ENSG00000142784,WDTC1,29,-0.3905,35,-0.2557,47,0.35750,40,0.09723,46,0.34418
ENSG00000186501,TMEM222,82,0.01962,87,0.27599,64,-0.3691,63,-0.3979,76,-0.1098
ENSG00000142765,SYTL1,13,0.52404,6,-1.2297,0,-6.1561,0,-5.6667,29,2.36535
ENSG00000158195,WASF2,89,1.79793,12,-2.2172,96,1.93483,31,0.02835,34,0.18870
ENSG00000126705,AHDC1,26,-0.9666,59,0.78440,25,-0.9789,26,-0.9300,46,-0.0804
ENSG00000126709,IFI6,92,-0.6219,96,-1.0107,367,1.65033,230,0.82892,143,0.06694
ENSG00000009780,FAM76A,33,0.71643,20,-0.2088,13,-0.7371,36,0.83823,17,-0.4112
ENSG00000117758,STX12,97,-0.1114,111,0.25065,85,-0.3071,132,0.38057,77,-0.5086
ENSG00000117751,PPP1R8,53,0.96789,31,0.21691,9,-1.6653,8,-1.9275,31,0.11928
ENSG00000117748,RPA2,60,-0.1962,74,0.34284,120,0.92662,44,-0.6664,34,-1.1014
ENSG00000126698,DNAJC8,121,-0.1216,134,0.07045,99,-0.4435,223,0.85948,97,-0.5055
ENSG00000130770,ATP5IF1,161,-1.8123,659,0.87968,519,-0.0430,659,0.33672,225,-1.4022
ENSG00000130766,SESN2,14,-0.4436,23,0.94997,23,0.35298,3,-2.6617,10,-1.0320
ENSG00000242125,SNHG3,20,0.51124,15,0.27528,23,0.76805,3,-2.2456,9,-0.7916
ENSG00000180098,TRNAU1AP,13,-0.9060,24,0.18430,47,1.13767,14,-0.7652,17,-0.5218
ENSG00000197989,SNHG12,30,0.70422,15,-0.7072,21,0.15808,18,-0.1303,28,0.66350
ENSG00000120656,TAF12,8,-1.1018,19,0.69127,22,0.44917,0,-6.4452,15,-0.1291
ENSG00000198492,YTHDF2,55,-0.4542,89,0.73132,51,-0.5954,52,-0.5420,55,-0.5109
ENSG00000116350,SRSF4,45,-0.1890,51,-0.0249,71,0.51273,46,-0.1672,48,-0.0993
ENSG00000116353,MECR,38,0.06766,44,0.70130,13,-1.5732,35,-0.0502,24,-0.7259
ENSG00000060656,PTPRU,7,-1.8934,28,0.60029,23,-0.0624,10,-1.3723,27,0.15734
ENSG00000162511,LAPTM5,103,1.41760,20,-1.9374,73,0.82335,76,0.88167,67,0.77431
ENSG00000162512,SDC3,157,-0.4269,231,0.40954,229,0.15880,72,-1.6012,205,-0.0159
ENSG00000134644,PUM1,66,-1.1865,175,0.82001,71,-1.0755,80,-0.8991,139,-0.0510
ENSG00000060688,SNRNP40,32,0.68540,23,0.39297,8,-1.3562,23,0.13639,12,-0.8538
ENSG00000121766,ZCCHC17,40,-1.8068,148,0.40102,132,-0.0096,170,0.39579,108,-0.3446
ENSG00000121769,FABP3,24,-2.3504,169,2.05153,33,-1.8758,69,-0.7873,38,-1.7737
ENSG00000162517,PEF1,38,-1.1272,90,0.52260,79,0.00889,83,0.07143,57,-0.5369
ENSG00000084636,COL16A1,132,1.90945,28,-1.2202,56,0.41355,54,0.34448,41,-0.0855
ENSG00000121753,ADGRB2,57,-2.2179,324,1.12608,149,-0.8053,147,-0.8250,194,-0.4315
ENSG00000184007,PTP4A2,670,2.41965,117,-1.0684,55,-1.6984,167,-0.0269,167,-0.0354
ENSG00000121774,KHDRBS1,120,0.03147,127,0.28033,104,-0.1841,70,-0.7917,113,-0.0560
ENSG00000121775,TMEM39B,13,-0.4634,20,0.52222,3,-2.3859,32,0.94884,11,-0.7862
ENSG00000025800,KPNA6,30,-0.5150,47,0.42638,8,-2.3933,86,1.17305,25,-0.8461
ENSG00000084652,TXLNA,40,0.43214,33,0.30985,23,-0.4413,17,-0.8544,27,-0.2298
ENSG00000160050,CCDC28B,34,0.90166,16,-0.5159,9,-1.2090,14,-0.4597,31,0.81492
ENSG00000084623,EIF3I,65,-0.7033,107,0.15449,173,0.84164,61,-0.7900,91,-0.2036
ENSG00000116478,HDAC1,31,0.96664,8,-1.7873,56,2.06158,8,-1.1234,25,0.70164
ENSG00000175130,MARCKSL1,1222,2.43680,193,-1.2873,292,-0.0842,105,-1.6299,367,0.30486
ENSG00000160058,BSDC1,69,-0.0622,81,0.49362,50,-0.5504,44,-0.7384,63,-0.2222
ENSG00000176261,ZBTB8OS,31,-0.2394,38,0.15232,41,0.18271,22,-0.7468,38,0.08318
ENSG00000162521,RBBP4,86,0.13414,83,0.17682,94,0.26964,52,-0.6451,68,-0.2637
ENSG00000162522,KIAA1522,4,-1.7657,16,0.17295,15,0.03464,6,-1.2646,22,0.66030
ENSG00000134684,YARS,40,-1.3431,128,1.25132,66,-0.5907,58,-0.8016,52,-1.0211
ENSG00000116497,S100PBP,19,0.31530,14,-0.2436,31,1.13057,2,-2.9703,17,0.12557
ENSG00000121905,HPCA,28,-2.7006,224,1.16910,40,-2.2020,174,0.02026,127,-0.5054
ENSG00000121900,TMEM54,66,0.64579,36,-0.6140,69,0.72407,29,-0.6321,56,0.42596
ENSG00000116514,RNF19B,15,-0.6283,29,1.10051,12,-0.9354,16,-0.5072,12,-1.0365
ENSG00000004455,AK2,93,1.75206,18,-1.5633,74,1.32855,19,-0.8066,41,0.40040
ENSG00000142920,AZIN2,27,0.18052,26,0.32521,33,0.51619,12,-0.9863,16,-0.6830
ENSG00000160094,ZNF362,26,0.22601,20,-0.3937,48,1.23494,18,-0.3412,19,-0.2403
ENSG00000134686,PHC2,124,1.00778,70,0.15498,58,-0.2219,32,-1.1352,50,-0.4958
ENSG00000121904,CSMD2,9,-0.5728,16,0.71828,6,-1.3003,7,-1.0296,14,0.00240
ENSG00000163866,SMIM12,39,-0.8989,86,0.81188,99,0.53495,23,-1.6969,42,-0.8631
ENSG00000116544,DLGAP3,2,-4.2500,50,0.62666,14,-1.6437,15,-1.5164,65,0.75592
ENSG00000163867,ZMYM6,21,0.51071,18,0.52295,2,-2.8050,10,-0.6890,14,-0.1675
ENSG00000116560,SFPQ,212,0.37778,172,0.09106,165,-0.0247,135,-0.3303,147,-0.2228
ENSG00000146463,ZMYM4,29,-0.6221,48,0.29224,34,-0.3984,57,0.39605,37,-0.2817
ENSG00000142687,KIAA0319L,38,-0.5279,56,0.16100,64,0.27961,57,0.11785,45,-0.2810
ENSG00000020129,NCDN,71,-3.1053,755,1.25215,271,-1.1425,248,-1.2753,496,-0.2438
ENSG00000126067,PSMB2,92,-0.4299,151,0.93292,112,-0.1190,36,-1.8075,77,-0.7466
ENSG00000142686,C1orf216,17,-2.1063,85,0.83254,42,-0.7722,52,-0.4537,63,-0.1489
ENSG00000134698,AGO4,21,0.23978,16,-0.3729,24,0.42732,24,0.44028,18,-0.0191
ENSG00000092847,AGO1,42,0.40400,34,0.10315,27,-0.2956,35,0.08875,26,-0.3588
ENSG00000126070,AGO3,38,1.38483,14,-0.4059,0,-6.2230,22,0.46146,18,0.15296
ENSG00000116863,ADPRHL2,13,-0.7215,22,0.16766,32,0.69632,18,-0.1926,17,-0.3653
ENSG00000054116,TRAPPC3,53,-0.1438,65,0.41375,48,-0.2791,34,-0.7935,53,-0.1415
ENSG00000116871,MAP7D1,304,0.79159,204,0.35316,106,-0.8682,120,-0.6795,135,-0.5318
ENSG00000054118,THRAP3,67,0.12479,64,0.10109,50,-0.3202,66,0.08845,57,-0.1408
ENSG00000196182,STK40,20,-0.0517,21,0.00059,13,-0.6983,36,0.87617,17,-0.2984
