Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000116285,ERRFI1,33,0.71776,23,0.20606,37,0.93354,12,-0.9070,18,-0.2883,10,-1.0672,13,-0.7152
ENSG00000162426,SLC45A1,66,0.35815,61,0.29730,68,0.41222,47,-0.1751,62,0.29840,31,-0.8380,9,-2.5764
ENSG00000142599,RERE,99,0.00431,95,-0.0751,107,0.12614,85,-0.2455,103,0.07366,111,0.17976,96,-0.0549
ENSG00000074800,ENO1,1004,0.49544,890,0.39302,609,-0.3109,686,-0.1236,642,-0.2544,751,0.02169,408,-0.9306
ENSG00000171612,SLC25A33,14,-1.5491,35,-0.1700,16,-1.3043,34,-0.1787,65,0.99939,58,0.65705,28,-0.5007
ENSG00000188807,TMEM201,31,0.72638,14,-0.6194,18,-0.1456,21,0.07591,15,-0.5226,8,-1.2840,49,1.49601
ENSG00000171603,CLSTN1,1056,0.42615,1031,0.51849,743,-0.1424,719,-0.1955,860,0.10248,448,-0.9279,349,-1.3054
ENSG00000178585,CTNNBIP1,18,-1.3068,47,0.18119,58,0.45542,48,0.17613,46,0.10016,50,0.21249,26,-0.7780
ENSG00000162441,LZIC,4,-2.9839,25,-0.5093,25,-0.4245,18,-0.9538,58,1.11233,33,0.00553,58,0.91111
ENSG00000130939,UBE4B,27,-0.6266,49,0.41104,59,0.60223,48,0.24856,32,-0.4216,31,-0.4277,31,-0.4472
ENSG00000054523,KIF1B,260,-0.0152,237,-0.1997,274,0.07169,334,0.39539,310,0.31002,232,-0.1938,189,-0.5184
ENSG00000142657,PGD,67,0.05436,70,0.14851,67,0.06395,65,0.00475,62,-0.0718,44,-0.6095,71,0.15533
ENSG00000241563,CORT,773,3.75195,46,-1.8233,26,-2.3890,40,-1.7674,85,-0.7016,82,-0.7065,55,-1.3024
ENSG00000160049,DFFA,9,-1.9025,31,0.00662,15,-1.1234,29,-0.1106,25,-0.3681,52,0.85637,62,1.15725
ENSG00000142655,PEX14,23,-0.4459,40,0.63327,24,-0.3803,35,0.22450,34,0.21535,18,-0.8228,14,-1.1504
ENSG00000120948,TARDBP,78,0.14356,68,-0.0992,96,0.49061,91,0.39649,59,-0.3197,56,-0.3665,68,-0.0642
ENSG00000116649,SRM,114,-0.3381,193,0.69809,94,-0.6310,139,-0.0218,131,-0.1296,120,-0.2569,102,-0.5092
ENSG00000171824,EXOSC10,16,-0.7628,30,0.31487,20,-0.3796,17,-0.6782,20,-0.4063,29,0.16452,46,0.96041
ENSG00000198793,MTOR,36,-0.4020,65,0.73256,25,-0.9580,40,-0.2279,48,0.05875,43,-0.1264,31,-0.6348
ENSG00000116661,FBXO2,289,-0.0029,305,0.11231,168,-0.8457,222,-0.4139,204,-0.6067,596,1.22166,294,0.02488
ENSG00000132879,FBXO44,273,0.60436,207,0.19549,178,-0.0890,253,0.47988,173,-0.1501,139,-0.4762,75,-1.4261
ENSG00000116670,MAD2L2,60,1.50296,19,-0.5383,18,-0.5113,31,0.35664,17,-0.6334,31,0.36841,18,-0.5277
ENSG00000011021,CLCN6,80,0.29624,77,0.31495,74,0.16698,71,0.09846,51,-0.4721,68,0.02165,40,-0.7764
ENSG00000116685,KIAA2013,25,-0.9762,61,0.57492,62,0.45284,47,0.00544,37,-0.4179,31,-0.6291,47,-0.0015
ENSG00000083444,PLOD1,19,-0.8650,23,-0.7365,25,-0.4370,41,0.32920,42,0.39781,38,0.19990,60,0.96886
ENSG00000116688,MFN2,103,0.17310,112,0.40772,86,-0.1080,83,-0.1677,86,-0.1209,66,-0.5159,77,-0.2824
ENSG00000116691,MIIP,7,-1.8334,19,-0.4261,46,1.15172,22,-0.0665,25,0.11881,17,-0.4685,34,0.62388
ENSG00000048707,VPS13D,38,-0.3367,53,0.23355,50,0.07667,50,0.07386,53,0.21835,36,-0.4229,34,-0.5043
ENSG00000162496,DHRS3,26,-0.2442,25,-0.3637,43,0.57948,13,-1.2353,34,0.20675,47,0.73403,29,-0.0482
ENSG00000116731,PRDM2,76,0.12622,59,-0.3199,115,0.81764,91,0.43301,61,-0.2399,56,-0.3576,61,-0.2117
ENSG00000189337,KAZN,17,-1.5728,58,0.47343,50,0.09774,29,-0.7614,55,0.28238,30,-0.6747,59,0.36163
ENSG00000142634,EFHD2,54,-0.9548,44,-1.5070,538,3.36754,41,-1.3848,44,-1.3842,83,-0.2968,69,-0.5749
ENSG00000116138,DNAJC16,37,0.51761,32,0.39771,36,0.49543,16,-0.8257,17,-0.7866,19,-0.5189,29,0.13798
ENSG00000197312,DDI2,8,-1.3086,20,0.03910,39,1.17403,18,-0.1454,22,0.19750,13,-0.5498,13,-0.6469
ENSG00000116786,PLEKHM2,73,-0.4629,100,0.04117,101,0.03834,103,0.06558,121,0.38442,113,0.22544,51,-1.0248
ENSG00000065526,SPEN,30,0.04987,21,-0.6058,32,0.11003,54,1.00863,13,-1.3166,33,0.20399,54,1.00809
ENSG00000116809,ZBTB17,3,-2.5468,16,-0.1810,12,-0.5453,10,-0.8238,21,0.36778,20,0.20714,39,1.34071
ENSG00000185519,FAM131C,14,-0.8721,23,-0.0756,17,-0.5715,29,0.27144,26,0.13511,28,0.24019,33,0.48313
ENSG00000037637,FBXO42,28,0.22400,31,0.55134,38,0.74631,10,-1.3511,26,0.11559,13,-0.9537,8,-1.6967
ENSG00000055070,SZRD1,10,-1.5568,26,-0.2835,21,-0.5189,36,0.29175,19,-0.7833,33,0.16984,82,1.76103
ENSG00000058453,CROCC,7,-1.4933,22,0.32188,20,0.13600,17,-0.1234,13,-0.6276,19,0.00559,32,0.90485
ENSG00000238142,BX284668.5,20,0.26418,14,-0.3115,12,-0.5692,11,-0.7029,21,0.43192,24,0.59743,16,-0.0671
ENSG00000159363,ATP13A2,174,-0.4159,302,0.63487,124,-0.9349,177,-0.3912,323,0.67088,154,-0.6092,86,-1.4948
ENSG00000117118,SDHB,103,0.00382,128,0.45894,95,-0.1319,108,0.06575,95,-0.1390,87,-0.2668,65,-0.7186
ENSG00000117115,PADI2,4,-3.2480,10,-2.1600,10,-1.8970,3,-3.7481,10,-2.0482,71,1.09582,228,3.84483
ENSG00000179051,RCC2,16,-0.6976,37,0.88942,18,-0.5334,19,-0.4550,21,-0.3204,34,0.49031,11,-1.2295
ENSG00000074964,ARHGEF10L,16,-0.0880,17,0.01653,9,-1.0375,7,-1.2418,23,0.51881,30,0.92665,12,-0.5927
ENSG00000117154,IGSF21,50,-0.7425,82,0.01154,227,1.79204,44,-0.9510,74,-0.1653,57,-0.5677,42,-1.0239
ENSG00000159423,ALDH4A1,28,-0.4834,21,-1.0604,42,0.17080,29,-0.3943,59,0.85598,66,0.93412,30,-0.3509
ENSG00000127463,EMC1,29,-0.1294,38,0.43519,23,-0.4827,25,-0.3835,32,0.05421,24,-0.4347,34,0.10480
ENSG00000053372,MRTO4,28,-0.3918,41,0.29466,43,0.29493,45,0.37373,35,-0.0170,24,-0.5965,23,-0.6768
ENSG00000053371,AKR7A2,54,0.66186,37,0.06839,23,-0.7153,24,-0.6386,20,-0.9695,70,1.10382,38,0.07014
ENSG00000077549,CAPZB,191,-0.1728,240,0.25876,206,-0.0532,199,-0.1026,224,0.09134,174,-0.3160,188,-0.1935
ENSG00000173436,MICOS10,385,-0.1107,401,-0.0586,414,0.00577,331,-0.3491,469,0.23393,456,0.16289,399,-0.0530
ENSG00000158747,NBL1,211,-0.2235,275,0.26547,381,0.74082,213,-0.2111,176,-0.5560,261,0.11804,184,-0.4340
ENSG00000169914,OTUD3,6,-1.6209,17,-0.0215,21,0.27366,12,-0.5622,31,1.07558,15,-0.2719,9,-1.0620
ENSG00000162545,CAMK2N1,1078,-0.0642,1217,0.16904,304,-1.9952,1672,0.65504,1500,0.54497,934,-0.2922,587,-1.0097
ENSG00000090432,MUL1,15,-0.9420,31,0.17194,33,0.24122,56,1.15738,21,-0.4792,22,-0.3593,20,-0.4914
ENSG00000183114,FAM43B,8,-1.3471,11,-1.1586,94,2.89902,6,-1.8267,15,-0.5214,17,-0.3085,17,-0.2981
ENSG00000158828,PINK1,453,-0.1284,629,0.54424,498,0.02514,467,-0.0769,458,-0.1225,447,-0.1488,237,-1.1272
ENSG00000244038,DDOST,49,0.48381,47,0.55921,23,-0.7006,28,-0.3947,40,0.19238,27,-0.4551,14,-1.4388
ENSG00000189410,SH2D5,68,1.02181,35,-0.0842,30,-0.3122,60,0.79272,36,-0.0682,21,-0.8874,13,-1.6028
ENSG00000127483,HP1BP3,107,-0.3923,123,-0.2200,198,0.59863,170,0.34988,131,-0.0798,116,-0.2626,149,0.13665
ENSG00000075151,EIF4G3,130,0.08824,149,0.40090,137,0.16573,96,-0.3907,136,0.18339,56,-1.2139,95,-0.4092
ENSG00000117298,ECE1,11,-1.1385,17,-0.5691,19,-0.3223,37,0.80487,8,-1.6689,20,-0.1761,74,2.09070
ENSG00000076864,RAP1GAP,207,0.07008,235,0.37348,311,0.74867,212,0.10913,164,-0.3253,133,-0.6264,80,-1.3881
ENSG00000090686,USP48,46,0.13939,37,-0.2785,48,0.18183,40,-0.1002,42,-0.0202,26,-0.7377,70,0.81816
ENSG00000070831,CDC42,221,-0.2094,335,0.62806,206,-0.3185,125,-1.0861,291,0.26013,160,-0.7099,223,-0.1977
ENSG00000173372,C1QA,11,-1.8555,17,-1.4238,19,-1.0703,36,-0.0926,27,-0.5744,75,1.12078,135,2.27365
ENSG00000159189,C1QC,10,-1.5309,12,-1.4690,10,-1.5030,13,-1.1268,23,-0.3398,67,1.50358,94,2.20176
ENSG00000173369,C1QB,53,-0.3875,21,-2.0181,33,-1.1298,59,-0.2300,52,-0.4516,118,0.91619,248,2.36042
ENSG00000004487,KDM1A,31,-0.9616,86,0.87492,65,0.16763,69,0.27418,47,-0.3601,42,-0.4943,23,-1.3996
ENSG00000169641,LUZP1,31,-0.5948,63,0.72638,62,0.51545,26,-0.8547,49,0.11830,27,-0.8133,22,-1.1168
ENSG00000125944,HNRNPR,116,0.29444,102,0.11187,144,0.65320,105,0.12888,80,-0.3291,75,-0.4067,61,-0.7207
ENSG00000117318,ID3,44,-0.6620,10,-3.1282,8,-3.1176,23,-1.6108,9,-3.1258,124,1.02447,422,3.92367
ENSG00000142676,RPL11,320,-0.9973,392,-0.8337,516,-0.2566,447,-0.4832,514,-0.2935,909,0.66561,1672,1.77462
ENSG00000011007,ELOA,14,-0.3605,14,-0.4485,45,1.55273,26,0.56471,13,-0.5358,13,-0.4993,13,-0.4664
ENSG00000057757,PITHD1,291,0.44948,242,0.19850,210,-0.0751,270,0.32830,233,0.10236,136,-0.7593,105,-1.1535
ENSG00000011009,LYPLA2,72,0.45470,54,-0.0164,51,-0.1018,67,0.32661,61,0.20914,32,-0.8183,38,-0.5479
ENSG00000117308,GALE,50,1.14212,32,0.52871,11,-1.2391,11,-1.2316,27,0.14278,15,-0.7990,13,-0.9456
ENSG00000117305,HMGCL,12,-1.0839,24,0.00232,36,0.69220,22,-0.1431,24,-0.0048,24,-0.0014,25,0.10695
ENSG00000189266,PNRC2,59,0.53481,39,-0.1933,42,-0.0102,50,0.27190,39,-0.1541,33,-0.3861,47,0.14252
ENSG00000188529,SRSF10,50,-0.1399,72,0.58402,51,-0.1272,43,-0.3732,35,-0.7820,38,-0.5603,82,0.65504
ENSG00000001461,NIPAL3,53,-0.3568,70,0.08187,85,0.39229,52,-0.4064,52,-0.4334,72,0.10742,94,0.55570
ENSG00000133226,SRRM1,29,-0.5497,34,-0.3405,44,0.11710,46,0.18139,37,-0.1776,40,-0.0399,73,0.96823
ENSG00000169504,CLIC4,3,-3.4047,10,-2.0534,35,0.12038,6,-2.4919,13,-1.5256,47,0.60815,177,3.42551
ENSG00000117614,SYF2,46,-0.3123,62,0.22909,66,0.27367,47,-0.2639,37,-0.6767,59,0.08480,78,0.54781
ENSG00000117616,RSRP1,93,0.57892,51,-0.4786,80,0.32730,99,0.67858,37,-0.9522,50,-0.4193,103,0.75557
ENSG00000183726,TMEM50A,176,1.22842,86,0.02036,72,-0.2740,82,-0.0625,52,-0.8398,65,-0.4174,94,0.16503
ENSG00000204178,MACO1,24,-0.2355,31,0.19291,30,0.11767,43,0.67763,17,-0.8200,19,-0.5834,38,0.47027
ENSG00000117643,MAN1C1,124,1.51925,60,0.34970,18,-1.5994,35,-0.5703,48,-0.1054,27,-0.9685,29,-0.8532
ENSG00000162430,SELENON,53,0.15301,35,-0.5887,55,0.21531,46,-0.0510,34,-0.5705,68,0.57084,82,0.89670
ENSG00000117640,MTFR1L,68,-0.0364,76,0.17309,73,0.07152,97,0.52361,59,-0.2909,49,-0.5515,66,-0.0979
ENSG00000117632,STMN1,1820,0.57609,1639,0.54006,1317,0.04450,667,-1.0148,1300,0.02703,739,-0.8583,746,-0.8442
ENSG00000158008,EXTL1,54,0.11461,31,-0.8941,126,1.58135,67,0.46605,56,0.20305,33,-0.6366,16,-1.7273
ENSG00000142684,ZNF593,30,-0.3056,38,0.05160,38,0.02502,42,0.22045,42,0.22332,36,-0.0337,26,-0.5635
ENSG00000142669,SH3BGRL3,347,0.35052,250,-0.2291,371,0.45795,213,-0.4284,267,-0.0819,280,-0.0007,304,0.13094
ENSG00000158062,UBXN11,18,-0.5676,24,-0.1710,23,-0.1790,28,0.12286,34,0.51959,30,0.22786,20,-0.3876
ENSG00000117682,DHDDS,5,-2.0659,37,1.17163,8,-1.4786,28,0.35022,16,-0.5406,26,0.23042,13,-0.8370
ENSG00000198830,HMGN2,127,-0.2034,91,-0.8750,171,0.26937,119,-0.3053,127,-0.2304,176,0.31248,326,1.38626
ENSG00000117713,ARID1A,34,-0.5059,43,-0.1782,58,0.33314,55,0.26012,43,-0.1646,66,0.54665,42,-0.1591
ENSG00000204160,ZDHHC18,47,0.20976,57,0.69484,27,-0.6558,47,0.20326,25,-0.8482,35,-0.2714,38,-0.1498
ENSG00000142751,GPN2,16,-0.1874,20,0.27557,25,0.53083,20,0.19477,19,0.10545,10,-0.8871,9,-1.0853
ENSG00000090273,NUDC,171,-0.0551,155,-0.2654,218,0.34084,188,0.09971,180,0.03600,181,0.03578,185,0.07114
ENSG00000253368,TRNP1,57,-0.6569,112,0.58174,50,-0.8393,83,-0.0528,124,0.69067,66,-0.4084,20,-2.2116
ENSG00000090020,SLC9A1,35,0.44984,35,0.61947,20,-0.4196,27,-0.0016,22,-0.3141,14,-1.0062,20,-0.4590
ENSG00000142784,WDTC1,41,0.32794,18,-1.0977,47,0.56121,23,-0.5984,47,0.65599,27,-0.3212,46,0.51804
ENSG00000186501,TMEM222,68,-0.3758,87,0.02412,92,0.10153,106,0.33769,100,0.26679,62,-0.5134,73,-0.2674
ENSG00000158195,WASF2,17,-0.7930,11,-1.6478,18,-0.7247,44,0.66655,12,-1.4991,40,0.50250,115,2.52007
ENSG00000126705,AHDC1,51,0.21893,43,-0.0975,97,1.31301,59,0.45746,33,-0.5013,25,-0.8713,19,-1.2913
ENSG00000126709,IFI6,102,0.24763,78,-0.2406,126,0.59889,76,-0.2129,68,-0.4413,71,-0.3327,131,0.65838
ENSG00000117758,STX12,82,-0.2631,112,0.31927,143,0.64371,79,-0.3142,81,-0.3058,81,-0.2829,82,-0.2584
ENSG00000117751,PPP1R8,17,-0.6788,24,-0.2732,58,1.25753,29,0.07589,25,-0.1146,18,-0.6342,28,0.06600
ENSG00000117748,RPA2,29,-0.9882,76,0.75923,57,0.08856,30,-0.9122,38,-0.6276,53,-0.0303,69,0.39833
ENSG00000126698,DNAJC8,94,-0.3567,108,-0.1804,94,-0.3640,178,0.67375,127,0.12997,96,-0.3222,141,0.28582
ENSG00000130770,ATP5IF1,696,0.14662,822,0.56305,470,-0.4756,609,-0.0676,669,0.09358,501,-0.3766,276,-1.2883
ENSG00000180098,TRNAU1AP,13,-0.8091,19,-0.1982,34,0.78131,10,-1.1629,34,0.87535,16,-0.4646,15,-0.5213
ENSG00000120656,TAF12,2,-2.6870,19,0.32414,9,-0.9209,11,-0.5635,25,0.76202,14,-0.2302,21,0.35242
ENSG00000198492,YTHDF2,86,0.10266,109,0.67149,109,0.49102,107,0.47276,45,-0.9799,50,-0.7496,36,-1.2514
ENSG00000116350,SRSF4,68,0.58886,41,-0.2648,59,0.35415,44,-0.1044,48,0.03411,27,-0.8354,53,0.20354
ENSG00000116353,MECR,24,-0.5966,43,0.38723,34,-0.0861,18,-1.0579,44,0.39621,40,0.18153,24,-0.6188
ENSG00000060656,PTPRU,3,-2.6627,7,-1.8678,136,4.17779,10,-0.9860,6,-1.8670,4,-2.4704,14,-0.4990
ENSG00000162511,LAPTM5,34,-0.7107,23,-1.5729,64,0.25666,23,-1.3052,39,-0.5678,89,0.82013,187,2.22568
ENSG00000162512,SDC3,176,-0.1522,179,-0.1568,239,0.33683,236,0.32006,190,-0.0359,210,0.12985,159,-0.3126
ENSG00000134644,PUM1,192,0.54932,126,-0.1674,271,1.14595,162,0.27282,101,-0.5233,89,-0.6788,75,-0.9285
ENSG00000060688,SNRNP40,29,0.25850,16,-0.7971,20,-0.3286,35,0.58618,24,0.00745,30,0.32616,34,0.52079
ENSG00000121766,ZCCHC17,128,0.15578,113,-0.0528,90,-0.4058,223,1.09249,110,-0.1079,97,-0.2902,66,-0.8792
ENSG00000121769,FABP3,201,-0.2448,373,1.08965,68,-1.8981,185,-0.3787,287,0.36981,135,-0.8669,65,-1.9483
ENSG00000162517,PEF1,109,0.06950,114,0.20073,99,-0.0757,148,0.57388,114,0.16845,56,-0.9633,57,-0.9319
ENSG00000084636,COL16A1,66,0.60031,25,-1.0945,51,0.19158,68,0.64560,27,-0.8857,45,-0.0210,96,1.25959
ENSG00000121753,ADGRB2,529,0.94336,307,0.04660,390,0.42495,318,0.09106,272,-0.1764,189,-0.7248,112,-1.5182
ENSG00000184007,PTP4A2,142,-0.3434,144,-0.4022,166,-0.0977,139,-0.3795,138,-0.4295,164,-0.1143,446,1.60174
ENSG00000121774,KHDRBS1,119,0.19864,110,0.09262,84,-0.3413,144,0.51326,90,-0.2690,80,-0.4311,113,0.12082
ENSG00000121775,TMEM39B,38,1.08422,18,-0.2002,22,0.17593,34,0.88907,15,-0.4430,8,-1.4214,12,-0.7918
ENSG00000025800,KPNA6,64,0.72221,37,-0.2212,52,0.38920,61,0.64643,30,-0.5190,35,-0.2659,28,-0.6076
ENSG00000084652,TXLNA,11,-1.6020,35,0.15980,45,0.53729,12,-1.4597,38,0.29318,38,0.22530,37,0.20857
ENSG00000160050,CCDC28B,32,0.78560,14,-0.6203,13,-0.6468,16,-0.2769,18,-0.1284,27,0.49084,30,0.66509
ENSG00000084623,EIF3I,59,-1.1933,153,0.38401,120,-0.0902,131,0.03921,132,0.06870,128,0.00316,115,-0.1665
ENSG00000175130,MARCKSL1,53,-2.5487,203,-0.6794,210,-0.5001,168,-0.8435,232,-0.3794,480,0.84787,897,2.02400
ENSG00000160058,BSDC1,51,-0.6293,80,0.11521,77,0.02828,98,0.41485,81,0.12306,48,-0.7203,82,0.12353
ENSG00000176261,ZBTB8OS,55,0.00581,64,0.33341,47,-0.2445,44,-0.3369,52,-0.0832,59,0.13050,45,-0.2954
ENSG00000162521,RBBP4,134,0.59835,99,0.13455,94,0.01414,90,-0.0601,83,-0.2104,62,-0.6363,88,-0.0908
ENSG00000162522,KIAA1522,9,-1.0926,24,0.41301,10,-0.9704,34,0.87864,23,0.30000,17,-0.2310,8,-1.3403
ENSG00000134684,YARS,120,0.10977,146,0.57558,90,-0.3474,116,0.04698,115,0.04083,77,-0.5888,52,-1.1868
