Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000205090,TMEM240,1,-5.9377,103,0.46215,125,0.96502,55,-0.5400,53,-0.5981,88,0.19969,80,0.04639,68,-0.2068
ENSG00000160075,SSU72,66,-1.6709,332,0.89594,263,0.57579,146,-0.4633,154,-0.3751,165,-0.2722,142,-0.5047,227,0.24550
ENSG00000228594,FNDC10,60,0.13231,54,-0.0212,88,0.92891,50,-0.1506,5,-3.4461,58,0.06863,31,-0.9108,63,0.21541
ENSG00000197530,MIB2,1,-5.2189,66,0.58177,67,0.70485,48,0.03441,66,0.57318,12,-2.0174,22,-1.1883,71,0.70288
ENSG00000078369,GNB1,435,0.07683,587,0.57554,366,-0.2315,321,-0.4091,398,-0.0696,312,-0.4539,434,0.07108,518,0.36434
ENSG00000187730,GABRD,1,-6.6604,284,0.93477,285,1.14549,70,-1.3072,80,-1.1138,178,0.14161,106,-0.6825,180,0.15935
ENSG00000067606,PRKCZ,275,0.42799,280,0.45837,260,0.38980,227,0.11066,99,-1.1931,126,-0.8225,230,0.12751,153,-0.5201
ENSG00000162585,FAAP20,136,1.03750,4,-4.0648,84,0.23978,72,-0.0444,97,0.43846,88,0.28624,26,-1.6018,74,0.00338
ENSG00000157933,SKI,112,0.39875,97,0.16267,107,0.37084,74,-0.2778,67,-0.4309,104,0.27070,76,-0.2311,48,-0.9597
ENSG00000157916,RER1,158,1.31078,124,0.86347,61,-0.3394,52,-0.5538,71,-0.0623,86,0.24010,15,-2.3941,37,-1.0605
ENSG00000197921,HES5,10,-3.9712,18,-3.0900,60,-1.4299,73,-1.0267,161,0.22087,365,1.69060,209,0.65858,310,1.37242
ENSG00000157870,PRXL2B,59,-1.0105,222,1.15557,149,0.53357,91,-0.3457,93,-0.3089,103,-0.1459,119,0.08600,31,-1.9496
ENSG00000177133,PRDM16-DT,8,-2.5949,14,-1.8356,10,-2.4133,38,-0.3047,48,0.07070,141,2.02652,96,1.25022,50,0.13123
ENSG00000158109,TPRG1L,164,0.08008,269,0.91356,148,-0.0997,96,-0.7721,104,-0.6404,191,0.32477,129,-0.3048,158,0.02021
ENSG00000130764,LRRC47,1,-5.6702,108,0.87175,73,0.25905,42,-0.6523,79,0.34752,73,0.22074,30,-1.1570,96,0.66574
ENSG00000196581,AJAP1,60,0.32206,56,0.21885,74,0.80367,19,-1.4893,25,-1.0313,21,-1.2917,84,0.88813,30,-0.7682
ENSG00000069424,KCNAB2,218,-0.6171,562,0.94414,414,0.48639,172,-0.9787,217,-0.6209,175,-0.9579,388,0.30904,334,0.06377
ENSG00000116254,CHD5,74,-2.1591,432,0.58682,518,1.09831,285,-0.1014,148,-1.1239,272,-0.1760,289,-0.0785,194,-0.7076
ENSG00000116251,RPL22,403,0.01812,302,-0.4456,361,-0.1817,572,0.60007,534,0.48334,317,-0.3658,418,0.07594,321,-0.3471
ENSG00000097021,ACOT7,74,-1.1315,280,1.01883,220,0.70442,102,-0.6478,58,-1.5094,271,0.95907,65,-1.3356,93,-0.7853
ENSG00000171680,PLEKHG5,1,-5.4501,135,1.58546,70,0.46711,50,-0.1526,49,-0.1674,42,-0.4356,34,-0.7572,43,-0.4001
ENSG00000162408,NOL9,1,-5.6634,23,-1.5789,92,0.72406,69,0.13642,98,0.71637,63,-0.0076,87,0.50256,48,-0.4369
ENSG00000007923,DNAJC11,1,-5.5803,109,1.01135,63,0.08644,76,0.37690,34,-0.9065,116,1.11401,19,-1.7907,61,0.03314
ENSG00000171735,CAMTA1,222,-0.1755,238,-0.0620,281,0.23874,163,-0.6598,196,-0.3713,357,0.60693,189,-0.4300,301,0.32049
ENSG00000049245,VAMP3,36,-0.4524,0,-7.4268,25,-1.0946,68,0.58112,154,2.15096,43,-0.1677,55,0.23029,23,-1.1018
ENSG00000116288,PARK7,151,-0.4496,133,-0.6457,166,-0.3327,171,-0.2560,180,-0.1697,256,0.40721,257,0.41225,320,0.78953
ENSG00000142599,RERE,42,-1.8031,110,-0.3305,199,0.76050,75,-0.9292,120,-0.1934,157,0.23996,149,0.15134,168,0.35907
ENSG00000074800,ENO1,240,-1.7068,709,-0.0337,556,-0.4714,486,-0.6308,733,0.02130,1251,0.92738,835,0.23310,1147,0.77289
ENSG00000171603,CLSTN1,243,-1.2962,1126,1.20490,728,0.51139,320,-0.8775,240,-1.3163,596,0.10515,279,-1.0907,770,0.53146
ENSG00000162441,LZIC,4,-3.8647,5,-3.4423,49,-0.1471,48,-0.1810,68,0.39102,141,1.72038,50,-0.1005,67,0.36600
ENSG00000130939,UBE4B,70,0.62918,92,1.09382,65,0.57913,50,0.06634,31,-0.7064,15,-1.7720,9,-2.5552,37,-0.4243
ENSG00000054523,KIF1B,357,-0.3292,405,-0.1282,501,0.25447,394,-0.1703,454,0.05748,468,0.10692,423,-0.0584,441,0.00982
ENSG00000142657,PGD,1,-5.2147,58,0.35674,77,1.02641,43,-0.1206,47,0.01048,38,-0.3176,51,0.15845,26,-0.9131
ENSG00000160049,DFFA,1,-4.9478,2,-3.9200,44,0.21930,58,0.63618,50,0.38790,54,0.50954,56,0.55925,46,0.23604
ENSG00000120948,TARDBP,101,0.52779,79,0.11860,43,-0.9279,84,0.22917,139,1.09016,19,-2.0775,41,-0.8910,111,0.68514
ENSG00000116649,SRM,86,-0.5350,200,0.84334,153,0.44857,97,-0.3549,119,-0.0249,79,-0.6730,107,-0.1999,95,-0.3812
ENSG00000116661,FBXO2,22,-3.6805,261,-0.0022,243,-0.1369,253,-0.0569,245,-0.1037,238,-0.1548,550,1.28425,300,0.22305
ENSG00000132879,FBXO44,4,-5.5635,378,1.29506,307,1.11351,113,-0.7229,66,-1.5484,191,0.11404,149,-0.2929,92,-1.0357
ENSG00000011021,CLCN6,23,-2.0234,155,0.97169,75,-0.2874,42,-1.1517,95,0.13565,168,1.10912,74,-0.2634,81,-0.1240
ENSG00000116685,KIAA2013,152,1.82124,96,0.95153,30,-1.0077,46,-0.2737,29,-0.9715,52,-0.0906,32,-0.8447,25,-1.2250
ENSG00000116688,MFN2,86,-0.4661,225,1.13652,113,-0.0392,97,-0.2789,82,-0.5437,128,0.16326,43,-1.5301,153,0.46598
ENSG00000048707,VPS13D,290,2.00807,90,-0.1104,93,-0.0574,62,-0.6868,42,-1.2968,51,-0.9887,34,-1.5789,109,0.21025
ENSG00000162496,DHRS3,328,2.23143,33,-1.6933,15,-2.9677,46,-1.1636,80,-0.3247,252,1.66665,49,-1.0717,65,-0.6486
ENSG00000116731,PRDM2,81,0.09757,108,0.57776,122,0.94908,58,-0.4390,50,-0.6462,47,-0.7398,46,-0.7983,51,-0.6409
ENSG00000142634,EFHD2,84,0.62151,19,-1.7306,89,0.86941,90,0.72890,77,0.47647,65,0.19499,5,-3.6981,2,-4.6473
ENSG00000116786,PLEKHM2,15,-2.7076,86,-0.0609,103,0.26185,86,-0.0548,102,0.21938,122,0.51303,114,0.39793,74,-0.3061
ENSG00000065526,SPEN,287,2.01812,44,-1.1821,85,-0.1802,55,-0.8399,100,0.09672,58,-0.7658,52,-0.9248,82,-0.2212
ENSG00000055070,SZRD1,1,-4.9557,12,-1.7638,8,-2.4458,64,0.83429,101,1.68184,30,-0.4229,76,1.13452,50,0.39939
ENSG00000159363,ATP13A2,79,-0.8334,161,0.30883,150,0.21937,93,-0.5661,102,-0.4344,124,-0.1171,105,-0.3787,237,0.97460
ENSG00000117118,SDHB,1,-5.6363,60,-0.0765,83,0.55742,59,-0.0918,58,-0.1116,46,-0.4996,68,0.13271,104,0.86148
ENSG00000117115,PADI2,48,-0.4888,57,-0.2163,36,-0.9987,101,0.73409,82,0.38297,99,0.69727,62,-0.0747,64,-0.0301
ENSG00000117154,IGSF21,30,-1.3589,144,1.16185,135,1.28157,56,-0.4193,22,-1.8341,58,-0.3759,20,-1.9915,57,-0.3841
ENSG00000159423,ALDH4A1,1,-5.1960,1,-5.1019,5,-3.2875,40,-0.2337,28,-0.7742,212,3.04370,65,0.56892,57,0.33692
ENSG00000053372,MRTO4,16,-1.6834,83,0.89260,66,0.61054,28,-0.8789,39,-0.3658,71,0.62018,21,-1.3150,48,-0.0255
ENSG00000053371,AKR7A2,1,-5.2155,36,-0.4179,41,-0.2332,30,-0.6942,77,0.83556,63,0.49601,77,0.83772,54,0.24442
ENSG00000077549,CAPZB,220,-0.1900,334,0.49847,222,-0.1947,127,-1.0409,323,0.44060,408,0.84211,126,-1.0591,243,-0.0248
ENSG00000173436,MICOS10,67,-1.5718,278,0.66255,184,-0.0269,232,0.35730,207,0.17226,143,-0.4220,207,0.17137,177,-0.0877
ENSG00000158747,NBL1,636,1.47814,204,-0.4674,246,-0.1932,231,-0.2660,257,-0.1016,320,0.25691,187,-0.6027,133,-1.1207
ENSG00000162545,CAMK2N1,433,-1.1585,943,0.06003,1138,0.43344,754,-0.2986,816,-0.1735,568,-0.7429,1301,0.59831,1084,0.29057
ENSG00000158828,PINK1,238,-0.6609,502,0.54365,401,0.19774,319,-0.2004,330,-0.1458,335,-0.1216,317,-0.2107,409,0.20111
ENSG00000127483,HP1BP3,125,-0.7507,262,0.43298,174,-0.2633,140,-0.5814,250,0.35683,313,0.73651,163,-0.3407,212,0.08276
ENSG00000075151,EIF4G3,38,-1.5258,82,-0.3381,171,1.05817,67,-0.6493,58,-0.8781,64,-0.7381,114,0.19447,149,0.64017
ENSG00000076864,RAP1GAP,42,-1.9964,377,1.57194,240,0.88589,106,-0.5939,74,-1.1536,136,-0.2012,58,-1.5126,116,-0.4576
ENSG00000090686,USP48,165,1.95495,71,0.38417,35,-0.7924,42,-0.4653,54,-0.0645,46,-0.3232,49,-0.2178,7,-3.1334
ENSG00000070831,CDC42,237,0.13671,309,0.58141,250,0.25796,154,-0.5483,195,-0.1732,247,0.20514,166,-0.4304,152,-0.5715
ENSG00000169641,LUZP1,242,1.86992,110,0.41886,81,-0.0920,39,-1.1944,24,-1.9034,32,-1.5270,92,0.11478,67,-0.3932
ENSG00000125944,HNRNPR,60,-0.7522,112,0.23210,106,0.15429,88,-0.1642,170,0.94661,63,-0.6869,90,-0.1243,81,-0.2993
ENSG00000142676,RPL11,940,0.97434,271,-1.0523,357,-0.6946,681,0.41619,862,0.82092,344,-0.6846,592,0.18203,361,-0.6090
ENSG00000057757,PITHD1,1,-6.5952,110,-0.1585,226,1.28841,64,-0.9959,49,-1.3977,222,1.01627,133,0.14299,65,-0.9799
ENSG00000011009,LYPLA2,2,-4.8933,111,1.17303,80,0.69943,24,-1.2719,49,-0.2225,81,0.61433,49,-0.1929,27,-1.1355
ENSG00000189266,PNRC2,39,-0.7243,73,0.28244,49,-0.3989,60,-0.0568,97,0.75895,53,-0.2354,34,-0.9249,100,0.81203
ENSG00000188529,SRSF10,12,-1.9191,16,-1.5948,61,0.61336,42,-0.1097,39,-0.2046,39,-0.2045,53,0.29461,77,0.92346
ENSG00000001461,NIPAL3,70,0.21553,117,1.08698,53,-0.2625,86,0.55045,33,-0.9722,38,-0.7510,37,-0.7864,66,0.12173
ENSG00000133226,SRRM1,230,2.02652,13,-2.6361,56,-0.5279,65,-0.2323,61,-0.3360,84,0.16898,68,-0.1673,46,-0.7808
ENSG00000169504,CLIC4,389,3.28050,0,-8.1418,7,-3.6982,77,-0.0357,178,1.43143,4,-4.1911,40,-1.0378,3,-4.7714
ENSG00000117614,SYF2,58,-0.2633,79,0.24031,43,-0.8086,47,-0.5817,115,0.87957,69,0.03111,76,0.18545,83,0.32035
ENSG00000117616,RSRP1,154,1.42677,111,0.82725,25,-1.6781,36,-1.0046,54,-0.3713,73,0.11075,62,-0.1547,72,0.10282
ENSG00000183726,TMEM50A,177,0.75954,237,1.28131,82,-0.5538,68,-0.7949,195,0.92797,53,-1.1735,28,-2.0981,90,-0.3522
ENSG00000162430,SELENON,175,1.21040,94,0.13603,88,0.03491,54,-0.7336,101,0.26117,42,-1.1375,84,-0.0437,51,-0.8154
ENSG00000117640,MTFR1L,49,-0.9536,175,1.12039,83,-0.1603,56,-0.7692,58,-0.7041,115,0.38148,117,0.41115,82,-0.1710
ENSG00000117632,STMN1,270,-1.0335,1000,1.10926,756,0.72923,378,-0.5173,286,-0.9475,432,-0.3038,334,-0.7093,491,-0.0993
ENSG00000158008,EXTL1,9,-3.2042,111,0.60530,115,0.79061,57,-0.4727,70,-0.1628,107,0.53630,50,-0.6919,61,-0.3783
ENSG00000142669,SH3BGRL3,125,-0.7571,280,0.53647,192,-0.1027,148,-0.4952,275,0.50307,224,0.16360,207,0.03545,181,-0.1831
ENSG00000198830,HMGN2,205,0.41547,50,-1.7841,155,-0.0460,126,-0.3748,342,1.32195,125,-0.3885,134,-0.2752,141,-0.1937
ENSG00000117713,ARID1A,1,-5.8278,56,-0.3962,125,1.15518,46,-0.6949,79,0.16658,89,0.36520,62,-0.2347,60,-0.2899
ENSG00000090273,NUDC,115,-0.3030,209,0.67653,159,0.24901,131,-0.0936,148,0.09725,104,-0.4695,155,0.17136,74,-0.9952
ENSG00000253368,TRNP1,1,-5.0103,57,0.57170,39,-0.0468,41,0.04216,41,0.03897,47,0.25755,51,0.37293,46,0.20105
ENSG00000142784,WDTC1,196,1.53695,52,-0.7176,88,0.13907,74,-0.1638,24,-1.8826,93,0.21505,74,-0.1632,46,-0.8810
ENSG00000186501,TMEM222,36,-1.5313,113,0.23240,160,0.98030,86,-0.2109,48,-1.1261,161,0.83285,49,-1.0997,72,-0.5007
ENSG00000158195,WASF2,69,0.52809,24,-1.1512,28,-0.9562,44,-0.1805,100,1.18802,86,0.92534,25,-1.0393,43,-0.2443
ENSG00000126705,AHDC1,188,1.40634,87,0.06991,105,0.44001,46,-0.9401,35,-1.3327,85,0.01778,66,-0.3755,35,-1.3370
ENSG00000126709,IFI6,443,1.18287,171,-0.4231,149,-0.7069,202,-0.1547,515,1.46943,271,0.32725,63,-1.9311,38,-2.6654
ENSG00000117758,STX12,56,-0.8017,100,0.10899,87,-0.1412,93,-0.0066,64,-0.6075,114,0.32909,133,0.58832,108,0.23362
ENSG00000126698,DNAJC8,56,-1.1037,75,-0.6544,124,0.16678,88,-0.3956,99,-0.2136,130,0.23047,150,0.46654,172,0.70583
ENSG00000130770,ATP5IF1,272,0.41159,500,1.50272,153,-0.5775,140,-0.6528,150,-0.5519,98,-1.1968,283,0.47700,158,-0.4646
ENSG00000198492,YTHDF2,17,-2.0721,59,-0.1441,87,0.57503,57,-0.2116,54,-0.3086,78,0.30764,46,-0.5360,99,0.69705
ENSG00000116350,SRSF4,123,1.11203,21,-1.7391,99,0.85077,45,-0.5536,60,-0.1087,48,-0.4643,50,-0.4114,34,-0.9748
ENSG00000162512,SDC3,118,-1.1453,353,0.60508,188,-0.4755,199,-0.3369,226,-0.1296,443,1.00701,242,-0.0178,249,0.02784
ENSG00000134644,PUM1,77,-1.2207,264,0.73735,256,0.82043,128,-0.4472,143,-0.2708,190,0.18304,92,-0.9682,121,-0.5411
ENSG00000121766,ZCCHC17,2,-5.8127,117,0.19287,181,1.13535,91,-0.2109,44,-1.3288,103,-0.0114,81,-0.3933,136,0.44066
ENSG00000121769,FABP3,31,-1.2648,176,1.60140,100,0.67203,54,-0.4253,23,-1.7296,69,-0.0441,40,-0.8884,44,-0.7345
ENSG00000162517,PEF1,3,-4.5963,125,0.72545,97,0.33603,56,-0.5901,98,0.30886,49,-0.7852,87,0.11147,118,0.62025
ENSG00000121753,ADGRB2,93,-1.8364,417,0.51608,415,0.59819,238,-0.4014,180,-0.8352,350,0.22080,328,0.11440,314,0.04649
ENSG00000184007,PTP4A2,203,0.06694,211,0.12671,139,-0.6046,418,1.31838,217,0.17182,127,-0.6812,229,0.26249,74,-1.5052
ENSG00000121774,KHDRBS1,186,0.37940,192,0.43896,176,0.33281,79,-0.9725,167,0.20663,136,-0.1287,77,-1.0180,138,-0.1079
ENSG00000025800,KPNA6,25,-0.9256,71,0.73029,23,-1.1740,33,-0.4948,16,-1.5749,94,1.23001,53,0.23849,73,0.78402
ENSG00000084623,EIF3I,151,0.33522,107,-0.2271,154,0.42741,70,-0.8866,168,0.51382,121,-0.0207,123,0.00307,59,-1.1329
ENSG00000175130,MARCKSL1,11,-4.3279,30,-2.8561,142,-0.6031,227,0.20892,244,0.33459,511,1.67048,187,-0.1055,301,0.68560
ENSG00000160058,BSDC1,98,0.25412,76,-0.1703,97,0.27069,84,-0.0010,98,0.25201,59,-0.5508,55,-0.6827,93,0.15923
ENSG00000162521,RBBP4,87,-0.0385,47,-1.0063,88,-0.0308,57,-0.7016,145,0.81837,106,0.28422,55,-0.7464,129,0.61762
ENSG00000134684,YARS,139,0.79758,68,-0.3754,114,0.53468,39,-1.2314,57,-0.6583,77,-0.1921,67,-0.3944,102,0.27644
ENSG00000121905,HPCA,10,-4.2934,373,1.20563,281,0.83301,114,-0.7679,51,-1.9646,183,-0.0115,135,-0.5037,236,0.40288
ENSG00000121900,TMEM54,13,-1.6330,4,-3.3661,43,0.20546,52,0.48872,65,0.86447,19,-1.0833,57,0.64187,51,0.47406
ENSG00000134686,PHC2,244,1.60762,82,-0.2765,99,0.01656,62,-0.7182,131,0.48450,93,-0.0892,18,-2.5384,53,-0.9515
ENSG00000116544,DLGAP3,53,-1.4950,130,-0.0959,197,0.69464,104,-0.4495,80,-0.8585,110,-0.3612,165,0.29194,208,0.68017
ENSG00000116560,SFPQ,272,0.89484,141,-0.2052,138,-0.2674,100,-0.7443,222,0.54221,136,-0.2547,96,-0.7987,196,0.33812
ENSG00000146463,ZMYM4,79,0.68643,12,-2.2474,77,0.76764,43,-0.2943,21,-1.3977,65,0.34588,23,-1.2963,74,0.56785
ENSG00000142687,KIAA0319L,160,1.14506,137,0.85991,80,-0.0489,47,-0.8625,55,-0.6223,84,0.03866,40,-1.1248,55,-0.6312
ENSG00000020129,NCDN,187,-1.6693,1335,1.56149,793,0.72122,246,-1.2561,326,-0.8260,347,-0.7287,254,-1.2082,671,0.32542
ENSG00000126067,PSMB2,77,-0.7492,214,0.93372,125,0.02987,88,-0.5400,129,0.07584,104,-0.2745,77,-0.7394,170,0.53475
ENSG00000142686,C1orf216,52,-0.8157,253,1.92730,93,0.12121,41,-1.1777,19,-2.2965,91,0.07724,77,-0.2033,65,-0.4702
ENSG00000092847,AGO1,71,0.47864,9,-2.6754,90,1.08094,61,0.21831,37,-0.5467,54,0.03209,21,-1.4208,44,-0.3024
ENSG00000054116,TRAPPC3,150,1.21248,87,0.26696,92,0.42774,28,-1.4886,19,-2.0610,107,0.60890,53,-0.5250,37,-1.0955
ENSG00000116871,MAP7D1,276,0.32563,247,0.14184,286,0.45141,128,-0.8912,214,-0.0867,157,-0.5799,131,-0.8557,310,0.52240
ENSG00000054118,THRAP3,1,-5.8998,104,0.53450,118,0.90237,64,-0.2518,120,0.78328,42,-0.9241,61,-0.3397,49,-0.6720
ENSG00000116898,MRPS15,1,-4.9782,51,0.39964,37,-0.1378,38,-0.0689,54,0.50536,20,-1.0600,51,0.42634,68,0.91551
ENSG00000163875,MEAF6,1,-5.8084,241,1.66993,117,0.43269,55,-0.8307,55,-0.8303,41,-1.2839,96,0.03478,119,0.39552
ENSG00000197982,C1orf122,155,-0.7518,111,-1.2602,255,0.04478,257,0.04900,272,0.14020,277,0.17099,275,0.16110,386,0.73365
ENSG00000116954,RRAGC,86,0.58429,104,0.91894,41,-0.6725,33,-0.9288,16,-2.0354,151,1.62292,16,-1.9861,54,-0.1822
ENSG00000174574,AKIRIN1,26,-2.0011,126,0.43072,152,0.89537,51,-0.9950,156,0.78853,89,-0.1485,55,-0.8917,68,-0.5742
ENSG00000168653,NDUFS5,213,-1.0218,525,0.41444,428,0.08600,395,-0.0533,457,0.18472,252,-0.7634,298,-0.5018,680,0.85973
ENSG00000127603,MACF1,802,1.71405,114,-1.5290,199,-0.7570,266,-0.2246,270,-0.2026,314,0.04398,343,0.18522,247,-0.3408
ENSG00000090621,PABPC4,200,1.12158,153,0.65302,79,-0.4907,78,-0.4511,146,0.56590,68,-0.6527,50,-1.1213,79,-0.4277
ENSG00000116983,HPCAL4,68,-2.8813,516,0.21287,699,0.86934,358,-0.3746,200,-1.2748,412,-0.1517,377,-0.2951,747,0.84321
ENSG00000168389,MFSD2A,64,0.08096,23,-1.4945,47,-0.4456,41,-0.6063,231,2.53398,44,-0.5000,2,-4.8581,47,-0.4093
ENSG00000131236,CAP1,292,1.03081,263,0.83969,126,-0.4253,110,-0.5811,103,-0.6863,158,-0.0154,172,0.12317,85,-0.9891
ENSG00000131238,PPT1,157,0.09689,185,0.36853,130,-0.2423,76,-1.0346,172,0.24873,113,-0.4307,181,0.32937,188,0.39487
ENSG00000084073,ZMPSTE24,73,0.36850,30,-1.0220,70,0.33644,37,-0.7187,81,0.54322,77,0.46451,5,-3.4597,82,0.55251
ENSG00000084070,SMAP2,200,0.78053,236,1.06861,132,0.08461,70,-0.9085,41,-1.7057,202,0.79129,57,-1.2428,63,-1.0853
ENSG00000117016,RIMS3,14,-2.8009,105,0.20765,126,0.60016,101,0.14986,64,-0.5870,70,-0.4299,131,0.58726,93,0.01859
ENSG00000066136,NFYC,1,-5.1550,63,0.57023,74,1.02432,32,-0.5160,46,0.03734,24,-0.9422,36,-0.3305,51,0.21674
ENSG00000198815,FOXJ3,152,0.96443,175,1.21511,94,0.16799,42,-1.1080,60,-0.5671,39,-1.2198,44,-1.0328,73,-0.2541
ENSG00000065978,YBX1,400,2.41769,40,-1.5686,69,-0.8339,116,0.07316,124,0.19037,55,-1.0792,64,-0.8682,60,-0.9699
ENSG00000117394,SLC2A1,690,1.77601,7,-5.2122,45,-2.7880,132,-1.0365,1266,3.29026,79,-1.7981,21,-3.7229,12,-4.4961
ENSG00000142949,PTPRF,59,-1.7181,252,0.56304,239,0.55519,131,-0.5009,97,-0.9714,207,0.23206,203,0.20373,189,0.08232
ENSG00000126091,ST3GAL3,3,-4.1967,42,-0.5103,119,1.53684,56,-0.0685,71,0.32757,27,-1.1974,51,-0.2128,36,-0.7733
ENSG00000117408,IPO13,136,0.59380,131,0.52648,63,-0.7233,90,-0.0922,99,0.06770,64,-0.6349,116,0.32291,95,-0.0062
ENSG00000117410,ATP6V0B,104,-1.7218,567,0.98738,395,0.42283,238,-0.4598,168,-0.9940,430,0.50375,152,-1.1458,404,0.39961
ENSG00000117411,B4GALT2,39,-1.5644,87,-0.3288,96,-0.1910,146,0.51817,126,0.26868,81,-0.4280,181,0.89173,108,0.02407
ENSG00000117419,ERI3,89,-1.0409,273,0.76345,178,0.05473,106,-0.7727,147,-0.2583,244,0.56865,201,0.24253,141,-0.3236
ENSG00000187147,RNF220,158,0.67976,67,-0.7024,155,0.77719,74,-0.5608,69,-0.6529,106,0.01666,36,-1.6266,123,0.26019
ENSG00000142937,RPS8,851,0.60513,369,-0.7470,375,-0.8027,730,0.34479,1085,1.03248,431,-0.5029,488,-0.3101,623,0.08295
ENSG00000126088,UROD,15,-2.2619,78,0.27159,31,-1.2776,48,-0.5052,97,0.61891,138,1.26238,76,0.21264,83,0.36744
ENSG00000117450,PRDX1,346,-0.2344,346,-0.2375,265,-0.7292,272,-0.6165,510,0.39838,476,0.28360,576,0.60269,551,0.52735
ENSG00000085998,POMGNT1,19,-2.0145,53,-0.5242,121,1.01362,77,0.08956,105,0.60182,84,0.23311,33,-1.2339,45,-0.7587
ENSG00000132128,LRRC41,32,-1.2004,88,0.38714,94,0.58612,43,-0.7408,12,-2.6493,67,-0.0559,46,-0.6586,150,1.32037
ENSG00000173660,UQCRH,144,-1.1098,480,0.82889,315,0.13119,250,-0.2562,271,-0.1281,113,-1.4834,259,-0.1986,494,0.87816
ENSG00000123472,ATPAF1,7,-4.2902,91,-0.5241,116,-0.1658,139,0.14751,126,-0.0121,132,0.06287,203,0.79276,211,0.86360
ENSG00000159658,EFCAB14,62,-0.8116,55,-1.0008,97,-0.1108,130,0.37951,189,1.02302,86,-0.3001,140,0.49823,75,-0.5073
ENSG00000162368,CMPK1,106,-0.0990,138,0.32248,74,-0.7494,140,0.35348,110,-0.0362,194,0.91635,94,-0.2968,87,-0.4202
ENSG00000162374,ELAVL4,26,-2.8935,172,-0.0470,382,1.69155,122,-0.5905,89,-1.0755,164,-0.1162,114,-0.6952,140,-0.3756
ENSG00000123091,RNF11,174,-1.4381,658,0.67246,594,0.58459,371,-0.2722,403,-0.1417,329,-0.4625,450,0.03832,385,-0.2131
ENSG00000085832,EPS15,29,-2.5042,117,-0.4032,210,0.65564,107,-0.5444,111,-0.4858,201,0.48566,188,0.37087,179,0.29170
ENSG00000078618,NRDC,83,0.03548,142,0.94115,105,0.49063,59,-0.5107,58,-0.5386,39,-1.1482,55,-0.6281,87,0.10261
ENSG00000169213,RAB3B,26,-2.6634,136,-0.1954,320,1.59127,138,-0.1722,35,-2.2516,170,0.16939,184,0.29928,52,-1.6772
ENSG00000134717,BTF3L4,1,-5.6729,94,0.55973,83,0.41697,47,-0.5450,86,0.40766,87,0.42196,50,-0.4665,71,0.10208
ENSG00000162378,ZYG11B,77,-1.2934,300,0.90199,275,0.89451,107,-0.7810,100,-0.8939,170,-0.0516,111,-0.7263,169,-0.0682
