Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000048707,VPS13D,112,1.76746,27,-0.5594,22,-0.8936,51,0.47070,7,-2.4070,49,0.36149,35,-0.1510,29,-0.4398,34,-0.2216
ENSG00000162496,DHRS3,112,2.46667,42,0.72263,18,-0.6064,23,-0.2321,6,-2.2770,11,-1.3755,33,0.32404,13,-1.1512,18,-0.6341
ENSG00000116731,PRDM2,112,1.11475,35,-0.7061,32,-0.8854,66,0.29338,35,-0.7124,51,-0.1397,27,-1.0846,47,-0.2742,87,0.79243
ENSG00000189337,KAZN,112,0.98545,55,-0.1478,31,-1.0547,56,-0.1318,166,1.67570,34,-0.8685,58,-0.0707,27,-1.2756,66,0.15491
ENSG00000142634,EFHD2,112,-0.1256,156,0.40088,31,-2.1187,228,1.15886,270,1.30891,27,-2.2218,3,-5.1568,2,-6.0106,242,1.28594
ENSG00000132906,CASP9,112,3.33416,8,-1.2570,9,-1.1332,10,-1.0018,5,-1.7831,13,-0.5716,13,-0.5071,14,-0.4557,12,-0.6991
ENSG00000116138,DNAJC16,112,2.25124,15,-1.0191,14,-1.1653,20,-0.6875,48,0.75222,22,-0.4342,35,0.25882,30,0.01169,14,-1.2012
ENSG00000197312,DDI2,112,2.89455,13,-0.7807,13,-0.7955,13,-0.8613,1,-4.0194,20,-0.1134,21,-0.1047,13,-0.7844,20,-0.1438
ENSG00000116786,PLEKHM2,112,0.70322,58,-0.3186,70,-0.0472,71,-0.0218,67,-0.1011,62,-0.2183,70,-0.0334,63,-0.2277,78,0.14886
ENSG00000065526,SPEN,112,2.25189,21,-0.5100,13,-1.3629,22,-0.4881,11,-1.4221,15,-1.0682,22,-0.4307,29,-0.0449,40,0.48963
ENSG00000116809,ZBTB17,112,3.17930,16,-0.3120,11,-0.9331,9,-1.2341,5,-2.0736,9,-1.1040,8,-1.2343,15,-0.3975,17,-0.2077
ENSG00000185519,FAM131C,112,2.65128,18,-0.5049,19,-0.4162,17,-0.5979,42,0.84567,6,-2.1289,33,0.47321,16,-0.7172,3,-3.0458
ENSG00000037637,FBXO42,112,2.79808,4,-2.6001,11,-1.1727,12,-1.0737,20,-0.2106,13,-0.9068,10,-1.2473,23,0.02620,25,0.12545
ENSG00000055070,SZRD1,112,2.61715,44,0.89240,19,-0.4630,23,-0.1374,13,-1.0158,11,-1.1574,5,-2.3037,12,-1.1742,17,-0.6693
ENSG00000157191,NECAP2,112,3.41773,28,0.73120,10,-0.8749,9,-1.1156,9,-1.0244,7,-1.3704,9,-1.0010,7,-1.5094,8,-1.2895
ENSG00000219481,NBPF1,112,3.35436,20,0.14489,9,-1.0431,3,-2.5112,16,-0.1698,13,-0.5089,14,-0.3778,10,-0.9947,9,-1.1575
ENSG00000238142,BX284668.5,112,2.86974,21,-0.0792,16,-0.5333,22,0.00087,12,-0.9687,11,-1.1047,13,-0.7667,15,-0.6324,7,-1.6994
ENSG00000159363,ATP13A2,112,-0.6253,68,-1.3736,136,-0.3526,163,-0.0534,161,-0.0668,196,0.24576,348,1.18486,169,0.01579,181,0.12733
ENSG00000117118,SDHB,112,0.17798,97,-0.0427,76,-0.4404,92,-0.1326,85,-0.2383,111,0.16612,134,0.46248,130,0.46550,80,-0.3687
ENSG00000117115,PADI2,112,2.61369,83,2.00762,20,-0.3289,27,0.12965,1,-4.3075,0,-5.6184,10,-1.3957,6,-2.1834,7,-1.9887
ENSG00000179051,RCC2,112,2.95817,17,-0.3318,13,-0.8550,5,-2.1274,1,-4.4919,6,-1.9546,38,0.92309,19,-0.1783,16,-0.4998
ENSG00000074964,ARHGEF10L,112,3.11755,13,-0.6083,11,-0.9606,12,-0.8149,16,-0.3138,8,-1.4213,15,-0.4289,18,-0.1357,7,-1.6137
ENSG00000117154,IGSF21,112,0.39889,49,-0.8580,37,-1.3602,80,-0.1250,105,0.30233,88,0.02914,114,0.43177,20,-2.2473,191,1.49305
ENSG00000159423,ALDH4A1,112,2.49272,29,0.11601,29,0.14507,35,0.50158,7,-1.9877,5,-2.2878,3,-3.1105,8,-1.8422,22,-0.2753
ENSG00000127481,UBR4,112,3.06611,11,-0.8630,4,-2.3221,7,-1.6585,37,0.91624,16,-0.3376,15,-0.4398,17,-0.2837,9,-1.2719
ENSG00000127463,EMC1,112,2.11224,14,-1.2318,13,-1.3649,24,-0.5005,49,0.67102,36,0.16239,19,-0.7742,33,0.02440,24,-0.4693
ENSG00000053372,MRTO4,112,1.83481,13,-1.5134,23,-0.7656,32,-0.2319,23,-0.7467,35,-0.1079,32,-0.2464,41,0.16056,38,0.04763
ENSG00000053371,AKR7A2,112,1.42927,66,0.54712,30,-0.7076,59,0.40358,68,0.59885,34,-0.4891,42,-0.1524,27,-0.8539,25,-0.9715
ENSG00000077549,CAPZB,112,-0.9389,175,-0.2606,138,-0.6668,223,0.12674,295,0.56755,299,0.58885,189,-0.1411,184,-0.1917,263,0.42335
ENSG00000173436,MICOS10,112,-1.4773,397,0.46076,358,0.32911,311,0.08157,343,0.23058,325,0.14465,364,0.32172,252,-0.2726,235,-0.3852
ENSG00000158747,NBL1,112,-0.7209,160,-0.1704,129,-0.5430,269,0.72452,229,0.38853,236,0.43993,170,-0.0828,60,-1.7263,251,0.59975
ENSG00000162545,CAMK2N1,112,-3.1572,510,-0.9224,1122,0.32189,467,-1.1216,452,-1.1035,1014,0.13246,1515,0.77777,2066,1.50878,601,-0.7216
ENSG00000090432,MUL1,112,2.29552,26,-0.1974,12,-1.4346,19,-0.6760,5,-2.5467,50,0.86001,32,0.12420,17,-0.8688,30,0.03983
ENSG00000183114,FAM43B,112,1.60620,29,-0.5724,10,-2.1559,32,-0.4548,150,2.15706,17,-1.3956,2,-4.0177,1,-4.6453,76,1.05551
ENSG00000158828,PINK1,112,-1.9781,338,-0.3214,330,-0.3873,424,0.03227,468,0.18539,702,0.83779,506,0.30724,304,-0.5215,584,0.59838
ENSG00000244038,DDOST,112,1.91041,31,-0.2131,18,-1.1325,29,-0.3165,10,-1.8476,52,0.58535,38,0.08182,32,-0.1594,31,-0.2130
ENSG00000117245,KIF17,112,2.48336,12,-1.1317,11,-1.3865,20,-0.4913,8,-1.7044,27,-0.0062,29,0.11393,10,-1.4963,39,0.64296
ENSG00000189410,SH2D5,112,2.39256,12,-1.2267,16,-0.8930,19,-0.5797,16,-0.7948,43,0.69481,11,-1.4360,29,0.04415,20,-0.5397
ENSG00000127483,HP1BP3,112,0.08229,119,0.18117,79,-0.4907,115,0.14175,95,-0.1671,92,-0.2202,120,0.19682,102,-0.0641,124,0.26958
ENSG00000075151,EIF4G3,112,-0.1948,75,-0.8039,63,-1.1325,106,-0.3030,123,-0.0416,123,-0.0488,170,0.46232,154,0.33841,200,0.81378
ENSG00000117298,ECE1,112,3.20848,25,0.41644,10,-1.0650,17,-0.2217,7,-1.5587,7,-1.3852,17,-0.2118,10,-1.0200,5,-2.0477
ENSG00000162551,ALPL,112,2.91214,18,-0.2771,12,-0.9644,45,1.32736,4,-2.3985,9,-1.3246,0,-5.6284,2,-3.4904,12,-0.9453
ENSG00000076864,RAP1GAP,112,-0.5259,87,-0.9014,74,-1.2134,156,-0.0078,204,0.40948,191,0.30952,189,0.28856,140,-0.1997,260,0.90835
ENSG00000090686,USP48,112,1.84392,45,0.30610,16,-1.2867,24,-0.7027,40,0.11016,37,0.00891,31,-0.2799,30,-0.3588,38,0.04768
ENSG00000070831,CDC42,112,-0.9842,166,-0.3833,139,-0.7023,204,-0.0710,167,-0.3710,331,0.70191,375,0.90816,228,0.11909,237,0.18639
ENSG00000173372,C1QA,112,1.27808,128,1.52270,55,0.13713,53,0.08452,58,0.19327,24,-1.1559,17,-1.5909,19,-1.5831,34,-0.6589
ENSG00000159189,C1QC,112,1.55107,73,0.83098,55,0.41944,54,0.36950,37,-0.2407,6,-2.8266,16,-1.4891,21,-1.1568,30,-0.6001
ENSG00000173369,C1QB,112,0.87214,187,1.76459,77,0.30503,75,0.26220,38,-0.7919,8,-3.0722,28,-1.2600,40,-0.7862,42,-0.7134
ENSG00000004487,KDM1A,112,1.39747,34,-0.4943,25,-1.0074,34,-0.5461,43,-0.1446,48,0.02676,68,0.56700,46,-0.0579,50,0.10471
ENSG00000169641,LUZP1,112,1.78839,25,-0.6349,21,-0.9450,43,0.20114,22,-0.8616,30,-0.3669,58,0.67076,28,-0.4891,32,-0.2826
ENSG00000125944,HNRNPR,112,0.44196,73,-0.2270,60,-0.5507,90,0.10648,67,-0.3553,101,0.28361,63,-0.4529,96,0.21688,95,0.19862
ENSG00000125945,ZNF436,112,2.90954,11,-1.0777,8,-1.4759,13,-0.8136,1,-4.5330,19,-0.2448,10,-1.1414,20,-0.1281,25,0.20777
ENSG00000117318,ID3,112,3.00045,114,3.04534,10,-1.1139,2,-3.2493,14,-0.6492,0,-9.0983,4,-2.2770,3,-2.6690,0,-7.8270
ENSG00000142676,RPL11,112,-1.7912,999,1.66978,431,0.27864,393,0.11774,358,-0.0351,233,-0.6985,440,0.28628,246,-0.6584,242,-0.6810
ENSG00000011007,ELOA,112,3.00428,18,-0.2274,8,-1.4867,13,-0.8264,9,-1.3147,18,-0.2655,3,-2.8102,14,-0.6460,23,0.12893
ENSG00000057757,PITHD1,112,-0.6016,84,-1.0243,123,-0.4958,182,0.16185,171,0.05438,239,0.58728,176,0.10148,187,0.20947,192,0.25868
ENSG00000011009,LYPLA2,112,1.34770,31,-0.6753,26,-1.0155,31,-0.7243,55,0.17499,81,0.80814,50,0.04951,36,-0.5177,60,0.35224
ENSG00000117308,GALE,112,2.96620,4,-2.2671,6,-1.9785,17,-0.3879,23,0.08230,16,-0.4749,17,-0.3397,23,0.13177,8,-1.5898
ENSG00000117305,HMGCL,112,2.93333,28,0.39537,14,-0.6545,14,-0.7061,27,0.35669,14,-0.6348,17,-0.4028,6,-2.0238,8,-1.5359
ENSG00000179163,FUCA1,112,3.04973,5,-1.9051,7,-1.7296,7,-1.6692,20,-0.0645,22,0.06974,18,-0.2312,14,-0.6210,18,-0.1878
ENSG00000189266,PNRC2,112,1.65264,40,-0.0476,22,-0.9967,30,-0.5280,41,-0.0209,54,0.41920,20,-1.0903,36,-0.1967,46,0.18779
ENSG00000188529,SRSF10,112,1.27682,34,-0.6000,36,-0.5626,32,-0.7358,83,0.78157,57,0.18916,32,-0.6872,48,-0.1013,55,0.12701
ENSG00000001460,STPG1,112,3.17752,5,-2.0152,6,-1.7462,4,-2.3922,14,-0.4767,8,-1.3180,20,0.05510,19,-0.0452,19,-0.0804
ENSG00000001461,NIPAL3,112,1.13867,55,0.00121,29,-1.0160,53,-0.0614,48,-0.2019,36,-0.6663,55,-0.0014,35,-0.7221,88,0.82436
ENSG00000133226,SRRM1,112,1.43783,51,0.14686,38,-0.3492,38,-0.3457,18,-1.4477,17,-1.4876,59,0.38441,47,0.03352,51,0.14909
ENSG00000169504,CLIC4,112,2.95643,96,2.61155,10,-1.2406,10,-1.1527,7,-1.7014,2,-3.1994,3,-2.9272,6,-1.9289,4,-2.4427
ENSG00000117614,SYF2,112,1.36995,71,0.61353,39,-0.3386,44,-0.1628,10,-2.2728,61,0.35784,51,0.09029,53,0.15167,25,-1.0385
ENSG00000117616,RSRP1,112,1.74942,36,-0.1210,23,-0.8784,21,-1.0024,22,-0.8466,14,-1.5142,17,-1.2045,48,0.36876,61,0.78932
ENSG00000183726,TMEM50A,112,0.64824,64,-0.2272,39,-1.0221,54,-0.5356,84,0.19888,99,0.45616,90,0.29928,95,0.43720,69,-0.1125
ENSG00000204178,MACO1,112,2.63161,12,-1.0950,16,-0.7341,21,-0.2712,14,-0.8799,19,-0.3852,8,-1.6260,20,-0.3246,22,-0.2070
ENSG00000117643,MAN1C1,112,1.87169,16,-1.1894,15,-1.4222,6,-2.7044,0,-5.8007,34,-0.1128,52,0.56994,81,1.48661,28,-0.4188
ENSG00000162430,SELENON,112,1.74881,45,0.23878,24,-0.8156,30,-0.4267,64,0.79042,4,-3.1009,24,-0.7592,21,-0.9834,54,0.56679
ENSG00000117640,MTFR1L,112,1.07584,53,-0.1317,36,-0.7338,62,0.13486,50,-0.1976,46,-0.3445,92,0.75038,59,0.05715,38,-0.6539
ENSG00000117632,STMN1,112,-3.4594,962,-0.2736,861,-0.4782,962,-0.2948,1372,0.28221,2367,1.17823,1776,0.69757,872,-0.4567,1467,0.42991
ENSG00000158008,EXTL1,112,1.47716,42,-0.1020,29,-0.7105,45,-0.0073,23,-1.0523,45,-0.0233,7,-2.6796,38,-0.3123,68,0.72827
