data_type_short,gene_name,cell_type_anno,n,enviro,reg,enviro2
SpX,NRG3,Oligo.3,1,Oligo.3_Vasc,up,Oligo.3_Vasc
SpX,P2RY12,Macro,1,Macro_Vasc,down,Macro_Vasc
SpX,PLCE1,Astro.2,1,Astro.2_L6,down,Astro.2_L6
SpX,SLC24A2,Oligo.3,1,Oligo.3_L5,down,Oligo.3_L5
SpX,SLC4A4,Oligo.3,1,Oligo.3_L5,up,Oligo.3_L5
SpX,UGT8,Oligo.3,1,Oligo.3_L5,down,Oligo.3_L5
cell_type,CNDP1,Oligo.3,1,Oligo.3,down,Oligo.3
cell_type,CNDP1,Inhib.Vip,1,Inhib.Vip,down,Inhib.Vip
cell_type,ENC1,Oligo.3,1,Oligo.3,up,Oligo.3
cell_type,FZD8,Astro.2,1,Astro.2,up,Astro.2
cell_type,LAMA2,Astro.2,1,Astro.2,down,Astro.2
cell_type,MBP,Astro.3,1,Astro.3,down,Astro.3
cell_type,NPTXR,Astro.1,1,Astro.1,up,Astro.1
cell_type,NPTXR,Oligo.3,1,Oligo.3,up,Oligo.3
cell_type,P2RY12,Macro,1,Macro,down,Macro
cell_type,PTPRD,Oligo.3,1,Oligo.3,down,Oligo.3
cell_type,SLC17A7,Oligo.3,1,Oligo.3,up,Oligo.3
cell_type,SLC24A2,Astro.3,1,Astro.3,down,Astro.3
cell_type,SLC24A2,Oligo.3,1,Oligo.3,down,Oligo.3
cell_type,TESPA1,Oligo.3,1,Oligo.3,up,Oligo.3
cell_type,TRIL,Astro.2,1,Astro.2,up,Astro.2
cell_type,VWC2L,Excit.L2_5.2,1,Excit.L2_5.2,up,Excit.L2_5.2
