Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to9,Feature log2 fold change topic 2to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000215790,SLC35E2A,19,-0.3755,24,-0.0984,25,0.08440,32,0.43433
ENSG00000008130,NADK,12,-0.9102,24,0.55313,13,-0.8632,25,0.16679
ENSG00000078369,GNB1,216,-1.0496,459,0.42136,435,0.03053,376,-0.2015
ENSG00000187730,GABRD,6,-4.4696,166,1.43998,65,-1.1368,111,-0.3353
ENSG00000067606,PRKCZ,99,-0.8625,188,0.52484,132,-0.4198,161,-0.1050
ENSG00000162585,FAAP20,66,0.67290,37,-0.7425,73,0.83980,46,0.09018
ENSG00000157933,SKI,43,0.47661,29,-0.4974,39,0.34018,39,0.32954
ENSG00000157916,RER1,78,0.45016,59,0.06103,47,-0.3641,47,-0.3634
ENSG00000157911,PEX10,45,0.78471,24,-0.5670,36,0.43124,28,0.00796
ENSG00000149527,PLCH2,9,-1.0471,20,0.92147,6,-1.4685,16,-0.1205
ENSG00000157881,PANK4,7,-1.1782,16,0.51954,19,0.37119,8,-0.9106
ENSG00000197921,HES5,4,-2.1755,14,-1.2413,67,2.19875,28,0.62538
ENSG00000272449,AL139246.5,0,-7.5210,7,-0.3593,18,1.37812,10,0.41948
ENSG00000157873,TNFRSF14,2,-1.6494,8,0.64200,6,-0.3404,7,-0.0219
ENSG00000157870,PRXL2B,21,-1.4140,61,0.73227,33,-0.7403,54,0.01051
ENSG00000177133,PRDM16-DT,4,-1.9747,11,-1.5576,75,2.59578,24,0.48973
ENSG00000158109,TPRG1L,41,-2.0033,175,0.86242,103,-0.6110,144,-0.1024
ENSG00000116213,WRAP73,23,0.81267,14,-0.0484,13,-0.0452,6,-1.2007
ENSG00000130764,LRRC47,48,-0.8691,93,0.69455,67,-0.3412,58,-0.5713
ENSG00000116198,CEP104,41,1.47369,16,-0.4313,13,-0.4155,9,-0.9644
ENSG00000198912,C1orf174,10,-0.1446,12,0.18951,14,0.24835,7,-0.6909
ENSG00000196581,AJAP1,18,-1.3288,51,1.31317,12,-1.9311,32,-0.4710
ENSG00000131697,NPHP4,5,-1.0312,11,1.14890,5,-0.8466,4,-1.0747
ENSG00000069424,KCNAB2,20,-3.1105,182,0.61374,150,-0.1528,187,0.19723
ENSG00000116254,CHD5,15,-2.9553,125,1.12690,51,-1.1440,106,-0.0066
ENSG00000116251,RPL22,1122,1.34655,406,-0.9018,628,0.35846,529,0.08041
ENSG00000116237,ICMT,22,-0.6517,37,0.57769,27,-0.3435,25,-0.4567
ENSG00000158292,GPR153,1,-2.5891,10,0.32497,7,-0.3937,15,0.74235
ENSG00000097021,ACOT7,70,-2.0725,327,1.26786,149,-0.9463,188,-0.5926
ENSG00000215788,TNFRSF25,1,-3.2009,15,0.90301,14,0.12427,8,-0.6996
ENSG00000171680,PLEKHG5,1,-4.5962,26,0.92238,15,-0.6286,25,0.15700
ENSG00000162408,NOL9,20,-0.4705,28,0.25309,33,0.30653,18,-0.5979
ENSG00000162413,KLHL21,36,0.36482,29,0.14958,26,-0.1467,17,-0.7608
ENSG00000116273,PHF13,14,-0.2974,18,0.53243,15,-0.1913,9,-0.9225
ENSG00000041988,THAP3,27,0.33412,22,0.05553,23,0.10146,13,-0.7446
ENSG00000007923,DNAJC11,13,-1.1256,29,0.58693,19,-0.5295,27,0.00455
ENSG00000171735,CAMTA1,88,-1.0870,195,0.53851,171,-0.0604,142,-0.3502
ENSG00000049245,VAMP3,158,2.99054,18,-1.9577,37,0.24610,15,-1.1163
ENSG00000049246,PER3,24,0.16413,21,-0.0733,28,0.38458,16,-0.4848
ENSG00000116288,PARK7,284,-0.4792,394,0.10080,467,0.30327,350,-0.1568
ENSG00000116285,ERRFI1,16,-0.1920,20,0.58689,8,-1.2463,16,-0.2243
ENSG00000162426,SLC45A1,14,-0.9532,31,0.94819,13,-1.1565,21,-0.3947
ENSG00000142599,RERE,77,-0.3738,102,0.23929,111,0.20850,70,-0.5040
ENSG00000074800,ENO1,431,-0.5469,610,-0.0118,900,0.62586,515,-0.2692
ENSG00000171612,SLC25A33,14,-1.3706,30,-0.6420,91,1.62234,37,0.09563
ENSG00000188807,TMEM201,12,0.18592,11,0.30250,10,-0.0763,5,-1.1057
ENSG00000171608,PIK3CD,1,-2.5716,11,1.00004,10,0.11493,4,-1.1320
ENSG00000171603,CLSTN1,155,-2.1875,778,1.23365,437,-0.6332,400,-0.7675
ENSG00000178585,CTNNBIP1,51,0.46419,36,-0.2198,41,0.14648,35,-0.1420
ENSG00000162441,LZIC,72,1.36790,27,-0.7004,29,-0.1494,32,-0.0019
ENSG00000130939,UBE4B,26,-0.5068,37,0.19258,38,0.10317,33,-0.1189
ENSG00000054523,KIF1B,274,0.17076,243,-0.0633,298,0.30676,190,-0.4038
ENSG00000142657,PGD,36,-0.4266,52,0.62963,33,-0.5566,32,-0.5927
ENSG00000175279,CENPS,6,-0.6991,10,0.53856,8,-0.2130,7,-0.4603
ENSG00000241563,CORT,3,-5.1892,148,2.18644,26,-2.2393,67,-0.8476
ENSG00000160049,DFFA,60,0.92308,29,-0.7122,53,0.73089,29,-0.2245
ENSG00000142655,PEX14,24,0.06375,25,0.42187,14,-0.7932,17,-0.4205
ENSG00000120948,TARDBP,62,0.30005,53,0.16055,51,-0.0155,29,-0.8787
ENSG00000116649,SRM,47,-0.9849,94,0.31337,99,0.16319,82,-0.1432
ENSG00000171824,EXOSC10,24,0.27549,20,-0.1680,23,0.18422,20,-0.0798
ENSG00000198793,MTOR,16,-1.2590,40,0.56804,27,-0.4252,37,0.02701
ENSG00000120942,UBIAD1,27,1.60763,8,-0.9521,15,0.59087,6,-0.7532
ENSG00000116661,FBXO2,172,-0.1915,184,-0.2695,279,0.58396,215,0.15894
ENSG00000132879,FBXO44,34,-1.9053,141,1.16240,67,-0.9046,88,-0.4826
ENSG00000116670,MAD2L2,43,1.17504,18,-0.6232,24,0.17421,19,-0.1912
ENSG00000177674,AGTRAP,30,2.15473,4,-2.3319,23,1.67748,10,0.20417
ENSG00000177000,MTHFR,11,-0.2876,14,0.37164,9,-0.6268,13,-0.0485
ENSG00000011021,CLCN6,26,-0.8602,49,0.41461,42,-0.1496,43,-0.1126
ENSG00000175206,NPPA,2,-2.2642,13,1.54990,3,-1.8557,8,-0.4949
ENSG00000116685,KIAA2013,47,0.59172,33,0.10820,30,-0.1263,15,-1.1466
ENSG00000083444,PLOD1,29,0.60063,19,-0.1962,29,0.55015,9,-1.2212
ENSG00000116688,MFN2,59,-0.5243,92,0.64030,67,-0.3173,49,-0.7909
ENSG00000116691,MIIP,17,0.20918,15,0.15350,14,-0.1050,10,-0.5618
ENSG00000048707,VPS13D,41,-0.2941,55,0.65555,33,-0.6096,30,-0.7704
ENSG00000162496,DHRS3,20,0.80191,8,-1.3206,33,1.69658,12,-0.0087
ENSG00000116731,PRDM2,62,-0.3673,86,0.62794,47,-0.7931,59,-0.4372
ENSG00000189337,KAZN,76,0.68853,49,-0.1368,44,-0.2014,40,-0.3416
ENSG00000142634,EFHD2,24,-2.7353,180,1.57166,87,-0.8203,70,-1.1321
ENSG00000132906,CASP9,12,0.56699,8,-0.0163,7,-0.3264,6,-0.3642
ENSG00000116138,DNAJC16,16,-0.5569,25,0.26116,25,0.11704,20,-0.2646
ENSG00000197312,DDI2,14,-0.6050,24,0.81109,13,-0.7287,13,-0.7130
ENSG00000116786,PLEKHM2,39,-0.7374,62,-0.0190,69,0.15811,81,0.42534
ENSG00000065526,SPEN,61,0.97740,31,-0.4113,38,0.18093,24,-0.4906
ENSG00000116809,ZBTB17,23,0.73138,14,-0.2088,15,0.03536,10,-0.4771
ENSG00000185519,FAM131C,3,-2.1960,17,0.63878,15,-0.0101,14,-0.1549
ENSG00000037637,FBXO42,14,-0.5125,21,0.32683,21,0.12191,14,-0.4888
ENSG00000055070,SZRD1,49,1.45927,16,-0.9418,26,0.35928,20,-0.0271
ENSG00000157191,NECAP2,38,1.80281,9,-1.3981,27,1.17241,8,-0.7951
ENSG00000219481,NBPF1,25,1.47369,8,-0.9971,18,0.90324,6,-0.8325
ENSG00000058453,CROCC,7,-0.5641,12,0.51584,10,-0.1890,7,-0.5537
ENSG00000238142,BX284668.5,8,-0.0776,7,-0.7580,21,1.44097,8,-0.0515
ENSG00000159363,ATP13A2,39,-1.7192,138,0.81881,93,-0.4246,102,-0.2714
ENSG00000117118,SDHB,68,-0.4823,101,0.46250,73,-0.3902,78,-0.2770
ENSG00000117115,PADI2,243,3.23351,19,-2.5270,67,0.63829,32,-0.5408
ENSG00000179051,RCC2,26,1.17346,12,-0.2437,7,-0.9173,10,-0.3412
ENSG00000074964,ARHGEF10L,18,0.26425,14,-0.1224,17,0.25012,12,-0.2743
ENSG00000117154,IGSF21,18,-2.2718,99,1.22474,65,-0.3910,43,-1.0157
ENSG00000159423,ALDH4A1,41,0.70985,19,-1.1831,64,1.48635,29,0.15955
ENSG00000169991,IFFO2,10,0.10484,10,0.22177,11,0.22583,4,-1.2067
ENSG00000127463,EMC1,19,-0.7018,33,0.71418,25,-0.2806,17,-0.8642
ENSG00000053372,MRTO4,21,-0.7892,37,0.45675,31,-0.1416,29,-0.2658
ENSG00000053371,AKR7A2,63,0.48856,42,-0.4409,77,0.82536,32,-0.5539
ENSG00000040487,SLC66A1,6,-0.8242,10,0.14079,14,0.51238,8,-0.2919
ENSG00000077549,CAPZB,136,-0.5710,212,0.45892,186,-0.0842,141,-0.5225
ENSG00000173436,MICOS10,313,-0.0282,319,0.00180,315,-0.0223,328,0.04532
ENSG00000158747,NBL1,74,-1.5115,217,0.52988,192,-0.0613,186,-0.1093
ENSG00000169914,OTUD3,10,-0.4296,15,0.80511,5,-1.3650,10,-0.4051
ENSG00000162545,CAMK2N1,879,-0.5277,1293,0.27318,936,-0.4307,1394,0.19780
ENSG00000090432,MUL1,28,0.16978,26,0.20351,22,-0.1917,18,-0.5474
ENSG00000183114,FAM43B,3,-2.2109,17,0.78634,14,-0.0649,11,-0.4055
ENSG00000158828,PINK1,215,-0.8819,425,0.70048,255,-0.6236,314,-0.3009
ENSG00000244038,DDOST,22,-0.2138,26,0.17626,28,0.15740,19,-0.4218
ENSG00000117245,KIF17,3,-2.6733,27,1.48069,10,-1.1932,15,-0.6193
ENSG00000189410,SH2D5,3,-3.6523,41,1.21755,21,-0.7241,28,-0.3257
ENSG00000127483,HP1BP3,174,0.26545,150,0.10253,151,0.03147,95,-0.6779
ENSG00000075151,EIF4G3,63,-0.9928,136,0.79883,92,-0.4249,80,-0.6434
ENSG00000117298,ECE1,35,1.38438,10,-1.4220,40,1.66821,9,-0.8365
ENSG00000162551,ALPL,4,-1.4165,10,-0.2883,21,1.02667,13,0.28720
ENSG00000076864,RAP1GAP,39,-1.9490,172,1.52596,64,-1.2147,76,-0.9670
ENSG00000090686,USP48,64,0.56736,45,0.01856,41,-0.1479,29,-0.6906
ENSG00000070831,CDC42,226,0.01393,240,0.39887,184,-0.3095,136,-0.7791
ENSG00000173372,C1QA,43,1.55021,9,-1.9779,49,1.77693,22,0.37189
ENSG00000159189,C1QC,39,1.47089,9,-1.8713,42,1.62887,22,0.51693
ENSG00000173369,C1QB,54,1.57889,12,-1.8951,49,1.39721,34,0.74970
ENSG00000133216,EPHB2,10,-0.3571,13,0.51427,10,-0.2610,8,-0.6861
ENSG00000004487,KDM1A,30,-0.4889,45,0.43637,35,-0.2684,34,-0.3273
ENSG00000169641,LUZP1,10,-2.2607,52,1.14398,25,-0.8859,36,-0.3383
ENSG00000125944,HNRNPR,110,0.09806,109,0.26972,102,-0.0287,58,-0.8872
ENSG00000125945,ZNF436,10,-0.7624,19,1.14914,4,-1.9152,11,-0.5694
ENSG00000249087,ZNF436-AS1,5,-0.7509,9,0.05515,7,-0.3200,14,0.64167
ENSG00000204219,TCEA3,11,0.43138,6,-1.2193,21,1.50181,12,0.53584
ENSG00000117318,ID3,80,3.37819,1,-4.8024,53,2.37921,9,-0.6271
ENSG00000142676,RPL11,914,1.55662,276,-1.1327,525,0.58805,375,0.04061
ENSG00000011007,ELOA,25,0.59698,17,0.09022,14,-0.2566,9,-0.8699
ENSG00000057757,PITHD1,117,-0.7576,215,0.76389,121,-0.7090,141,-0.4684
ENSG00000011009,LYPLA2,11,-1.7541,39,0.71487,27,-0.3479,32,-0.1185
ENSG00000117308,GALE,6,-1.2331,17,0.77850,11,-0.4099,11,-0.4413
ENSG00000117305,HMGCL,28,0.49332,20,-0.1794,25,0.34462,14,-0.5970
ENSG00000179163,FUCA1,4,-1.6664,15,0.84157,15,0.17531,6,-1.2242
ENSG00000189266,PNRC2,68,0.23195,58,-0.0219,60,0.05495,49,-0.2705
ENSG00000188529,SRSF10,50,0.02822,51,0.25939,50,0.03390,29,-0.8332
ENSG00000001460,STPG1,5,-1.0229,11,0.81274,7,-0.3773,6,-0.7117
ENSG00000001461,NIPAL3,151,1.22182,72,-0.0352,48,-0.6440,22,-1.7784
ENSG00000133226,SRRM1,132,1.29726,55,-0.4740,54,-0.1863,43,-0.5381
ENSG00000169504,CLIC4,250,4.02692,12,-2.9412,39,0.11179,10,-1.9647
ENSG00000117614,SYF2,126,1.01105,62,-0.4286,78,0.21802,47,-0.5604
ENSG00000117616,RSRP1,70,1.12835,33,-0.3583,34,-0.0447,22,-0.7293
ENSG00000183726,TMEM50A,116,0.59934,82,0.14813,63,-0.3770,44,-0.9328
ENSG00000204178,MACO1,28,0.16306,24,-0.1004,30,0.30209,21,-0.2756
ENSG00000117643,MAN1C1,10,-1.8999,46,1.50735,17,-1.1988,20,-0.9660
ENSG00000162430,SELENON,54,1.06441,24,-0.6681,36,0.38988,26,-0.1142
ENSG00000117640,MTFR1L,33,-0.9626,66,0.38231,66,0.09724,53,-0.2416
ENSG00000117632,STMN1,953,-0.7522,1763,0.86755,1015,-0.6551,930,-0.7881
ENSG00000158008,EXTL1,6,-2.6835,43,1.16069,23,-0.6833,28,-0.4167
ENSG00000175087,PDIK1L,10,-0.4384,14,0.43892,9,-0.5595,12,-0.1169
ENSG00000142684,ZNF593,22,-0.2129,25,0.00467,26,0.02611,28,0.15588
ENSG00000142669,SH3BGRL3,198,-0.2989,248,0.18431,229,-0.0732,227,-0.0848
ENSG00000158062,UBXN11,11,-1.0317,22,0.16747,20,-0.1231,28,0.44189
ENSG00000117682,DHDDS,7,-1.2826,18,0.94743,13,-0.3175,8,-0.9555
ENSG00000198830,HMGN2,257,1.39943,88,-0.9989,180,0.77375,90,-0.3309
ENSG00000117713,ARID1A,66,0.13284,63,0.16730,57,-0.0992,44,-0.4975
ENSG00000060642,PIGV,4,-1.0980,10,-0.0215,18,1.01636,6,-0.5770
ENSG00000204160,ZDHHC18,14,-0.5882,23,0.72592,14,-0.6393,14,-0.5940
ENSG00000142751,GPN2,11,-0.5974,19,0.75024,8,-1.1299,14,-0.2694
ENSG00000198746,GPATCH3,14,0.56908,10,0.14045,6,-0.6115,6,-0.5671
ENSG00000090273,NUDC,165,-0.1043,183,0.21977,156,-0.1866,151,-0.2472
ENSG00000253368,TRNP1,12,-2.0655,52,0.57459,45,-0.0817,48,0.01008
ENSG00000090020,SLC9A1,3,-2.5281,24,1.51808,9,-1.1562,12,-0.7590
ENSG00000142784,WDTC1,38,0.53463,25,-0.4123,39,0.57004,23,-0.2588
ENSG00000186501,TMEM222,48,-0.4215,65,0.15412,70,0.17363,56,-0.1778
ENSG00000158195,WASF2,135,2.60666,15,-2.2599,73,1.36277,21,-0.6665
ENSG00000126705,AHDC1,21,-1.2810,58,1.06416,30,-0.7707,31,-0.7214
ENSG00000126709,IFI6,195,0.83367,111,-0.2299,133,0.20270,65,-0.8961
ENSG00000009780,FAM76A,12,-0.0636,13,0.07485,18,0.54391,6,-0.9883
ENSG00000117758,STX12,80,-0.3912,109,0.29542,109,0.08537,76,-0.4711
ENSG00000117751,PPP1R8,43,0.71564,28,0.14156,22,-0.3644,12,-1.2418
ENSG00000117748,RPA2,43,-0.8061,81,0.69311,66,-0.1381,40,-0.8995
ENSG00000126698,DNAJC8,146,0.15780,135,0.07656,117,-0.1963,119,-0.1687
ENSG00000130770,ATP5IF1,202,-1.4283,573,0.68407,412,-0.3463,455,-0.1921
ENSG00000130766,SESN2,8,-0.5713,12,0.14998,18,0.74590,5,-1.0547
ENSG00000204138,PHACTR4,40,1.87685,8,-1.7827,35,1.62036,9,-0.6579
ENSG00000242125,SNHG3,12,0.30190,10,0.08572,11,0.22834,5,-1.0363
ENSG00000180098,TRNAU1AP,21,0.36815,15,-0.3071,25,0.67964,11,-0.5352
ENSG00000197989,SNHG12,20,0.76979,10,-0.7561,25,1.15934,8,-0.6597
ENSG00000120656,TAF12,19,0.30520,16,0.08948,10,-0.6530,16,-0.0012
ENSG00000198492,YTHDF2,50,-0.6851,89,0.85635,57,-0.4897,40,-1.0342
ENSG00000116350,SRSF4,59,0.40440,46,0.00436,45,-0.0174,33,-0.5167
ENSG00000116353,MECR,13,-1.3685,38,0.95805,23,-0.5457,22,-0.6374
ENSG00000060656,PTPRU,10,-0.7546,21,1.44260,5,-1.7862,7,-1.3755
ENSG00000162511,LAPTM5,86,1.49024,22,-1.6835,88,1.52866,40,0.20184
ENSG00000162512,SDC3,138,-0.0847,137,-0.2844,254,0.91222,110,-0.4325
ENSG00000134644,PUM1,85,-0.7656,158,0.78358,104,-0.4576,85,-0.7683
ENSG00000060688,SNRNP40,33,0.95199,18,-0.1913,18,-0.0583,10,-0.9231
ENSG00000121766,ZCCHC17,75,-0.7961,140,0.69106,87,-0.5700,98,-0.3893
ENSG00000121769,FABP3,26,-2.3356,148,1.18982,64,-1.0456,104,-0.2912
ENSG00000162517,PEF1,40,-1.0436,91,0.98696,41,-0.9768,55,-0.5368
ENSG00000084636,COL16A1,66,1.33737,26,-0.5044,34,0.22609,13,-1.2329
ENSG00000121753,ADGRB2,59,-1.8994,241,1.09089,132,-0.6949,148,-0.5147
ENSG00000184007,PTP4A2,680,2.37248,134,-1.1965,149,-0.3063,92,-1.0448
ENSG00000121774,KHDRBS1,84,-0.3848,114,0.32998,121,0.19737,66,-0.7595
ENSG00000121775,TMEM39B,15,0.31389,13,0.49548,6,-0.9572,6,-0.9088
ENSG00000025800,KPNA6,51,0.08732,50,0.26450,37,-0.3991,38,-0.3793
ENSG00000084652,TXLNA,20,0.40270,15,-0.1157,18,0.17583,12,-0.3952
ENSG00000160050,CCDC28B,16,-0.2334,18,-0.3468,30,0.73896,21,0.17574
ENSG00000084623,EIF3I,68,-0.5099,101,0.42522,97,0.05085,61,-0.6780
ENSG00000175130,MARCKSL1,1199,2.59455,162,-1.9511,474,0.80903,210,-0.4960
ENSG00000160058,BSDC1,68,0.04045,69,0.30299,57,-0.2152,44,-0.6337
ENSG00000160062,ZBTB8A,14,0.54465,10,0.06127,8,-0.4134,7,-0.4720
ENSG00000176261,ZBTB8OS,44,-0.0217,43,-0.1497,50,0.20021,49,0.16905
ENSG00000162521,RBBP4,106,0.26101,91,0.09817,95,0.09580,55,-0.7565
ENSG00000162522,KIAA1522,1,-3.0647,14,-0.0506,18,0.33325,25,0.88668
ENSG00000134684,YARS,54,-1.1194,127,0.80162,85,-0.4360,79,-0.5431
ENSG00000116497,S100PBP,24,1.16356,10,-0.7583,17,0.59396,9,-0.3241
ENSG00000160097,FNDC5,2,-3.6712,29,1.48785,12,-1.0725,17,-0.5302
ENSG00000121905,HPCA,14,-4.1752,290,1.13302,135,-0.9287,246,-0.0053
ENSG00000121900,TMEM54,37,0.05123,35,-0.1498,50,0.53151,29,-0.3311
ENSG00000116514,RNF19B,8,-1.9152,33,0.58037,34,0.23935,22,-0.4299
ENSG00000004455,AK2,80,1.92279,20,-1.1075,29,0.14760,21,-0.3601
ENSG00000142920,AZIN2,27,0.20878,27,0.71907,5,-2.3376,16,-0.5839
ENSG00000160094,ZNF362,15,-0.3590,19,-0.0153,28,0.61516,14,-0.4168
ENSG00000134686,PHC2,98,0.99245,51,-0.2514,44,-0.2929,39,-0.4726
ENSG00000163866,SMIM12,23,-1.2666,60,0.82982,34,-0.6769,43,-0.2932
ENSG00000116544,DLGAP3,3,-3.4409,37,0.14576,35,-0.0464,62,0.88342
ENSG00000163867,ZMYM6,10,-0.5766,15,0.32499,18,0.35826,8,-0.8108
ENSG00000116560,SFPQ,170,0.21382,148,-0.0267,165,0.15990,118,-0.3660
ENSG00000146463,ZMYM4,18,-0.7980,32,0.23027,35,0.19263,29,-0.1009
ENSG00000142687,KIAA0319L,47,-0.2712,63,0.66826,32,-0.8908,39,-0.5670
ENSG00000020129,NCDN,71,-2.8006,551,1.42303,210,-1.1922,335,-0.4866
ENSG00000126067,PSMB2,95,-0.2555,122,0.56184,89,-0.3580,65,-0.8399
ENSG00000142686,C1orf216,13,-2.4377,83,1.77898,15,-2.1952,43,-0.6730
ENSG00000134698,AGO4,19,0.75729,10,-0.4099,13,0.20451,11,-0.1131
ENSG00000092847,AGO1,27,0.23881,24,0.08562,22,-0.1171,18,-0.3845
ENSG00000126070,AGO3,34,1.12525,16,-0.3914,17,0.00221,11,-0.6582
ENSG00000116863,ADPRHL2,25,0.30102,22,0.15613,20,-0.0815,13,-0.7598
ENSG00000054116,TRAPPC3,31,-0.8060,58,0.62547,32,-0.7508,49,-0.0998
ENSG00000116871,MAP7D1,222,0.50311,162,-0.0122,127,-0.3871,141,-0.2163
ENSG00000054118,THRAP3,59,0.18540,54,0.21209,41,-0.3612,40,-0.4047
ENSG00000196182,STK40,12,-0.5265,17,0.08376,23,0.55400,12,-0.4450
ENSG00000181817,LSM10,33,-0.4649,45,0.03098,50,0.19244,48,0.12588
ENSG00000116885,OSCP1,0,-5.1700,19,0.81086,19,0.22522,13,-0.4392
ENSG00000116898,MRPS15,29,-0.7637,52,0.40994,50,0.06077,37,-0.4088
ENSG00000163873,GRIK3,7,-2.4213,45,2.22801,9,-2.0675,12,-1.5744
ENSG00000163875,MEAF6,56,-0.8612,110,0.80387,62,-0.6980,71,-0.4873
ENSG00000163877,SNIP1,13,-0.0113,14,0.48307,10,-0.3882,7,-0.9171
ENSG00000134697,GNL2,22,0.36217,18,0.23600,12,-0.6203,13,-0.4884
ENSG00000116922,C1orf109,6,-1.2049,13,0.07791,20,0.65751,12,-0.1188
ENSG00000183317,EPHA10,0,-4.1417,11,1.25277,4,-1.2711,9,-0.0062
ENSG00000185090,MANEAL,6,-2.3812,36,1.04635,23,-0.4796,23,-0.4566
ENSG00000196449,YRDC,10,-0.5847,16,0.48862,14,-0.0525,10,-0.6362
ENSG00000197982,C1orf122,435,1.21553,174,-0.8077,238,0.20500,241,0.22228
ENSG00000188786,MTF1,30,1.67539,9,-0.6336,12,0.10438,3,-1.7613
ENSG00000183431,SF3A3,23,-0.5537,37,0.69569,27,-0.3310,18,-0.9084
ENSG00000183386,FHL3,6,-0.5067,9,0.25967,10,0.20239,6,-0.4192
ENSG00000183520,UTP11,22,-0.4923,33,0.46985,17,-0.8942,32,0.08089
ENSG00000185668,POU3F1,2,-2.2496,11,1.38944,0,-5.4472,10,0.18907
ENSG00000116954,RRAGC,42,-0.0646,46,0.37464,46,0.10856,19,-1.2724
ENSG00000174574,AKIRIN1,63,-0.4359,94,0.74848,56,-0.6079,48,-0.8642
ENSG00000168653,NDUFS5,411,-0.7295,698,0.35567,546,-0.2893,680,0.05523
ENSG00000127603,MACF1,135,0.44182,96,-0.3357,152,0.63755,76,-0.4770
ENSG00000090621,PABPC4,115,1.35218,42,-0.8512,68,0.44658,45,-0.1973
ENSG00000116983,HPCAL4,55,-2.0859,241,0.64064,186,-0.2466,223,0.03871
ENSG00000084072,PPIE,28,-0.1450,31,-0.0189,36,0.24618,29,-0.0808
ENSG00000168389,MFSD2A,18,0.76950,10,-0.4052,17,0.70482,5,-1.0512
ENSG00000131236,CAP1,146,0.01871,150,0.19214,141,-0.0377,105,-0.4923
ENSG00000131238,PPT1,90,-0.3941,121,0.24590,121,0.07017,95,-0.3123
ENSG00000117000,RLF,13,0.33354,12,0.35786,7,-0.6842,6,-0.7565
ENSG00000259943,AL050341.2,16,0.05132,16,0.33635,11,-0.4770,11,-0.4530
ENSG00000084073,ZMPSTE24,48,0.60723,33,-0.0137,29,-0.1863,22,-0.6063
ENSG00000049089,COL9A2,72,3.17873,6,-2.4246,20,0.63748,8,-0.6913
ENSG00000084070,SMAP2,31,-1.9085,127,0.94938,66,-0.7957,100,-0.1589
ENSG00000117016,RIMS3,7,-3.8135,107,0.76369,84,-0.1934,98,0.04346
ENSG00000066136,NFYC,11,-1.7054,38,0.71541,38,0.16263,21,-0.7668
ENSG00000179862,CITED4,18,-0.1555,23,0.93173,4,-2.3441,14,-0.5826
ENSG00000171793,CTPS1,5,-1.0230,10,0.32267,9,-0.0963,11,0.12352
ENSG00000010803,SCMH1,4,-1.5600,13,0.69764,10,-0.1616,9,-0.3461
ENSG00000127124,HIVEP3,7,-1.4923,21,0.21705,24,0.28241,23,0.17060
