Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000116254,CHD5,146,0.32191,11,-3.5813,174,1.70664,36,-1.8589,19,-2.7640
ENSG00000116251,RPL22,146,-2.2244,1270,1.21856,416,-1.0910,1118,0.98631,1016,0.81551
ENSG00000116237,ICMT,146,2.07871,49,0.08080,34,-0.8611,28,-0.8010,26,-0.8921
ENSG00000097021,ACOT7,146,-0.7011,88,-1.4733,319,1.47178,93,-1.3926,131,-0.8717
ENSG00000171680,PLEKHG5,146,2.31674,22,-1.0266,38,-0.2754,6,-2.9200,13,-1.8230
ENSG00000162408,NOL9,146,1.92086,44,-0.2282,41,-0.5878,18,-1.6011,40,-0.3608
ENSG00000162413,KLHL21,146,2.28818,45,0.10290,27,-1.1999,8,-2.4689,49,0.23303
ENSG00000007923,DNAJC11,146,1.91028,23,-1.2073,50,-0.0567,28,-0.8956,9,-2.5999
ENSG00000171735,CAMTA1,146,-0.0022,92,-0.7316,166,0.44661,76,-1.0226,173,0.26970
ENSG00000049245,VAMP3,146,1.35999,124,1.05840,22,-2.4835,104,0.74977,117,0.94679
ENSG00000049246,PER3,146,2.37561,8,-2.3656,21,-1.6217,35,-0.2373,73,0.98315
ENSG00000116288,PARK7,146,-1.1816,233,-0.4624,357,0.48197,241,-0.4091,401,0.41387
ENSG00000162426,SLC45A1,146,2.41794,32,-0.3504,33,-0.5762,3,-3.5835,16,-1.4459
ENSG00000142599,RERE,146,1.02186,44,-0.9493,78,-0.0704,37,-1.1797,102,0.39307
ENSG00000074800,ENO1,146,-2.2647,628,-0.0389,710,0.34242,428,-0.6446,1036,0.80261
ENSG00000142583,SLC2A5,146,1.91494,32,-0.7156,25,-1.7211,61,0.30505,91,1.00205
ENSG00000171612,SLC25A33,146,1.91376,14,-1.9323,31,-1.2444,13,-2.0591,125,1.59135
ENSG00000171603,CLSTN1,146,-1.6676,117,-1.9990,589,1.33749,132,-1.8269,536,0.35983
ENSG00000178585,CTNNBIP1,146,1.69998,48,-0.2483,52,-0.2098,25,-1.2490,23,-1.3548
ENSG00000162441,LZIC,146,2.01394,48,0.00806,32,-1.0809,56,0.26000,22,-1.2110
ENSG00000130939,UBE4B,146,2.06762,32,-0.6214,35,-0.7826,31,-0.6277,36,-0.4217
ENSG00000054523,KIF1B,146,-0.5592,41,-2.4768,252,0.71969,183,-0.2064,242,0.24533
ENSG00000142657,PGD,146,1.73100,44,-0.3667,40,-0.8930,48,-0.2060,59,0.10206
ENSG00000241563,CORT,146,1.08720,0,-7.1189,89,0.49061,14,-2.6070,92,0.28227
ENSG00000160049,DFFA,146,2.34960,1,-4.7311,27,-1.1162,21,-1.0368,69,0.84144
ENSG00000142655,PEX14,146,2.73203,18,-1.0440,23,-1.1511,14,-1.4420,27,-0.4277
ENSG00000120948,TARDBP,146,1.43697,32,-1.0672,51,-0.6395,61,-0.0863,81,0.38496
ENSG00000116649,SRM,146,0.48455,110,0.01962,123,0.42610,68,-0.7534,42,-1.4812
ENSG00000171824,EXOSC10,146,2.34576,35,-0.2673,21,-1.6089,17,-1.3283,67,0.80545
ENSG00000198793,MTOR,146,2.32826,14,-1.6194,40,-0.1541,0,-7.1601,17,-1.3962
ENSG00000116661,FBXO2,146,-1.1781,146,-1.1785,236,-0.7740,394,0.38937,932,1.99354
ENSG00000132879,FBXO44,146,-0.0297,13,-3.6619,213,1.62737,60,-1.4120,56,-1.5134
ENSG00000116670,MAD2L2,146,2.71382,34,-0.0622,15,-1.9571,43,0.31894,20,-0.8682
ENSG00000011021,CLCN6,146,1.74476,20,-1.5233,51,-0.2347,16,-1.8861,57,0.05984
ENSG00000116685,KIAA2013,146,1.86262,60,0.24576,36,-0.9464,34,-0.6621,43,-0.3074
ENSG00000083444,PLOD1,146,2.04660,93,1.13962,21,-1.9491,15,-1.7539,70,0.64203
ENSG00000116688,MFN2,146,1.02978,18,-2.2254,86,0.23894,65,-0.3212,60,-0.4523
ENSG00000048707,VPS13D,146,1.65839,46,-0.3405,45,-0.7053,33,-0.8717,67,0.24876
ENSG00000162496,DHRS3,146,1.29375,72,0.06722,38,-1.5010,82,0.28009,132,1.10169
ENSG00000116731,PRDM2,146,1.54091,46,-0.4474,54,-0.3704,54,-0.1941,32,-0.9894
ENSG00000189337,KAZN,146,1.66397,34,-0.8199,40,-0.9814,52,-0.1372,83,0.61237
ENSG00000142634,EFHD2,146,0.26841,12,-3.5151,157,0.92370,115,-0.1253,58,-1.1842
ENSG00000116786,PLEKHM2,146,0.91424,52,-0.7873,77,-0.3002,59,-0.5726,123,0.61327
ENSG00000065526,SPEN,146,2.02070,88,1.03000,25,-1.5941,31,-0.6786,41,-0.2538
ENSG00000185519,FAM131C,146,2.90815,15,-1.2309,22,-1.1258,16,-1.1523,14,-1.3123
ENSG00000055070,SZRD1,146,1.84751,105,1.19807,20,-2.1449,34,-0.6503,81,0.74026
ENSG00000159363,ATP13A2,146,0.02779,36,-2.0944,192,1.18906,40,-1.9674,113,-0.3861
ENSG00000117118,SDHB,146,1.07047,89,0.21850,76,-0.0864,31,-1.4049,56,-0.5371
ENSG00000117115,PADI2,146,1.01812,38,-1.1781,17,-3.1480,302,2.51412,149,1.04873
ENSG00000074964,ARHGEF10L,146,2.29207,69,0.79932,27,-1.1723,23,-0.9419,9,-2.3610
ENSG00000117154,IGSF21,146,1.51861,14,-2.2261,65,0.19230,30,-1.0982,37,-0.8012
ENSG00000159423,ALDH4A1,146,1.85563,47,-0.1568,29,-1.4818,31,-0.8096,99,1.10562
ENSG00000127463,EMC1,146,2.35899,71,0.90039,23,-1.4789,14,-1.6050,26,-0.7090
ENSG00000053372,MRTO4,146,1.61473,52,-0.1841,46,-0.6536,38,-0.6950,58,-0.0221
ENSG00000053371,AKR7A2,146,1.21343,54,-0.4694,46,-1.1896,70,-0.0504,150,1.26288
ENSG00000077549,CAPZB,146,-0.7186,291,0.38267,252,0.29795,155,-0.6260,225,-0.0378
ENSG00000173436,MICOS10,146,-0.8375,256,0.04674,276,0.36270,232,-0.1166,225,-0.1628
ENSG00000158747,NBL1,146,-0.8514,512,1.22466,268,0.22028,103,-1.3840,159,-0.7195
ENSG00000162545,CAMK2N1,146,-2.4674,46,-4.1608,1037,1.51208,517,-0.5644,744,0.01390
ENSG00000090432,MUL1,146,2.16251,70,0.73505,28,-1.1900,9,-2.4336,37,-0.2962
ENSG00000158828,PINK1,146,-1.4738,212,-0.9141,485,0.98575,345,-0.1504,277,-0.4993
ENSG00000244038,DDOST,146,1.83881,77,0.63473,33,-1.1721,10,-2.4973,71,0.49795
ENSG00000189410,SH2D5,146,2.62087,0,-6.0662,36,-0.0933,6,-2.6665,1,-4.7473
ENSG00000127483,HP1BP3,146,-0.0516,130,-0.2441,140,-0.2291,136,-0.1671,246,0.81890
ENSG00000075151,EIF4G3,146,0.79130,35,-1.4551,102,0.38647,72,-0.3812,58,-0.7179
ENSG00000076864,RAP1GAP,146,0.40093,41,-1.5666,142,0.81469,61,-0.9913,73,-0.7027
ENSG00000090686,USP48,146,2.21803,0,-5.9318,37,-0.5117,21,-1.1468,43,-0.0213
ENSG00000070831,CDC42,146,-0.5432,240,0.24924,209,0.05044,158,-0.4190,263,0.40464
ENSG00000173372,C1QA,146,-0.5342,1056,3.41615,63,-2.5861,162,-0.3710,163,-0.3645
ENSG00000159189,C1QC,146,-0.4016,719,2.55496,76,-2.1020,316,0.87365,132,-0.5589
ENSG00000173369,C1QB,146,-1.2737,1426,2.87047,123,-2.2673,434,0.44439,363,0.14976
ENSG00000004487,KDM1A,146,2.16412,14,-1.7835,46,0.05883,12,-2.0061,4,-3.6133
ENSG00000169641,LUZP1,146,2.04917,78,0.82797,38,-0.6110,8,-2.6666,3,-3.9402
ENSG00000125944,HNRNPR,146,0.68909,111,0.21860,84,-0.4071,60,-0.7476,131,0.50611
ENSG00000142676,RPL11,146,-2.4977,1852,1.58765,421,-1.4712,1520,1.20889,1155,0.71575
ENSG00000057757,PITHD1,146,0.02363,67,-1.1902,186,1.00217,73,-1.0628,83,-0.8637
ENSG00000011009,LYPLA2,146,1.63354,92,0.77580,48,-0.5409,12,-2.3406,30,-1.0201
ENSG00000117305,HMGCL,146,2.48034,25,-0.7098,29,-0.8597,17,-1.2479,21,-0.9638
ENSG00000189266,PNRC2,146,1.57476,78,0.43118,40,-1.0761,23,-1.4651,91,0.70147
ENSG00000188529,SRSF10,146,2.02801,29,-0.7839,39,-0.5964,30,-0.7124,30,-0.7053
ENSG00000001461,NIPAL3,146,1.37827,1,-5.5219,53,-0.6464,110,0.85883,73,0.16922
ENSG00000133226,SRRM1,146,1.23183,47,-0.6633,40,-1.4727,116,0.80692,135,1.08798
ENSG00000169504,CLIC4,146,0.81282,368,2.72267,12,-3.9513,107,0.27933,131,0.62244
ENSG00000117614,SYF2,146,1.13000,148,1.15501,47,-1.2377,84,0.17873,66,-0.2174
ENSG00000117616,RSRP1,146,2.11729,33,-0.5420,24,-1.6151,34,-0.4609,81,0.96599
ENSG00000183726,TMEM50A,146,1.23836,91,0.39656,43,-1.2994,41,-0.8556,148,1.25306
ENSG00000117643,MAN1C1,146,2.43830,40,0.01416,24,-1.2621,0,-6.4185,50,0.38083
ENSG00000162430,SELENON,146,1.30134,145,1.28648,34,-1.6801,55,-0.3443,100,0.61385
ENSG00000117640,MTFR1L,146,1.11059,77,0.00924,75,-0.0637,57,-0.4728,33,-1.2953
ENSG00000117632,STMN1,146,-2.5937,76,-3.5552,1187,1.87156,612,-0.4353,463,-0.8710
ENSG00000158008,EXTL1,146,1.83740,25,-1.1619,56,0.22798,20,-1.4899,0,-6.3297
ENSG00000142684,ZNF593,146,1.40245,47,-0.5188,51,-0.7076,25,-1.4764,115,0.95304
ENSG00000142669,SH3BGRL3,146,-1.0002,497,0.99352,297,0.23898,192,-0.5832,172,-0.7563
ENSG00000158062,UBXN11,146,2.79893,5,-2.8242,25,-0.9104,30,-0.2319,6,-2.4852
ENSG00000117682,DHDDS,146,2.24249,38,-0.2126,26,-1.3151,6,-2.9284,71,0.81661
ENSG00000198830,HMGN2,146,-0.4693,427,1.34665,119,-1.3074,213,0.12794,390,1.17594
ENSG00000117713,ARID1A,146,1.92532,29,-0.8492,46,-0.2686,20,-1.3895,26,-1.0105
ENSG00000204160,ZDHHC18,146,2.37460,49,0.28151,28,-0.9924,16,-1.4800,17,-1.3717
ENSG00000090273,NUDC,146,0.10325,143,0.06427,147,0.22896,111,-0.3335,101,-0.4950
ENSG00000253368,TRNP1,146,1.32400,3,-4.4124,91,1.19499,7,-3.4128,1,-5.3045
ENSG00000090020,SLC9A1,146,2.90931,0,-5.9110,28,-0.4777,1,-4.6761,10,-1.7535
ENSG00000142784,WDTC1,146,2.08564,36,-0.3969,34,-0.8887,29,-0.7487,39,-0.2622
ENSG00000186501,TMEM222,146,0.73961,140,0.66461,85,-0.2900,75,-0.3611,57,-0.7827
ENSG00000158195,WASF2,146,1.08957,192,1.60120,24,-2.5461,99,0.40704,137,0.96770
ENSG00000126705,AHDC1,146,1.72097,37,-0.6325,57,0.07410,10,-2.4962,21,-1.4519
ENSG00000126709,IFI6,146,0.14450,193,0.60781,110,-0.5694,148,0.16485,167,0.36258
ENSG00000117758,STX12,146,0.86496,33,-1.4966,98,0.38092,74,-0.2632,46,-1.0118
ENSG00000117751,PPP1R8,146,2.52354,16,-1.3473,27,-0.9945,27,-0.5501,24,-0.7135
ENSG00000117748,RPA2,146,1.47926,32,-1.0579,48,-0.7528,56,-0.1791,90,0.60355
ENSG00000126698,DNAJC8,146,0.26460,199,0.78706,103,-0.5562,73,-0.8444,188,0.68618
ENSG00000130770,ATP5IF1,146,-1.4331,137,-1.5328,502,1.31754,177,-1.1495,345,-0.1070
ENSG00000198492,YTHDF2,146,1.30652,20,-1.8680,74,0.26661,40,-0.8368,40,-0.8529
ENSG00000116350,SRSF4,146,1.79234,64,0.28803,36,-1.0366,31,-0.8711,59,0.16408
ENSG00000116353,MECR,146,2.18505,28,-0.7034,42,-0.1894,16,-1.5503,0,-5.6839
ENSG00000162511,LAPTM5,146,0.12459,211,0.73917,67,-1.7087,320,1.50139,207,0.70644
ENSG00000162512,SDC3,146,-0.4555,137,-0.5537,212,0.29420,144,-0.4756,264,0.50126
ENSG00000134644,PUM1,146,0.69217,51,-1.0121,118,0.76194,37,-1.4798,44,-1.2100
ENSG00000121766,ZCCHC17,146,0.42010,63,-0.9237,140,0.80017,51,-1.2536,61,-0.9727
ENSG00000121769,FABP3,146,0.27983,35,-1.9300,175,1.58045,10,-3.6723,42,-1.6692
ENSG00000162517,PEF1,146,0.94595,116,0.54687,81,-0.0991,38,-1.2356,47,-0.9048
ENSG00000084636,COL16A1,146,1.32784,53,-0.3932,37,-1.5240,88,0.42163,140,1.23937
ENSG00000121753,ADGRB2,146,-0.4975,66,-1.7132,296,1.87539,78,-1.4656,31,-2.7981
ENSG00000184007,PTP4A2,146,-0.4921,154,-0.4148,137,-1.0120,662,2.22228,146,-0.4922
ENSG00000121774,KHDRBS1,146,0.37781,93,-0.3589,108,-0.2295,43,-1.5277,224,1.12234
ENSG00000025800,KPNA6,146,1.97835,28,-0.8620,42,-0.4553,34,-0.5846,23,-1.1939
ENSG00000084652,TXLNA,146,1.94056,74,0.66256,28,-1.4295,31,-0.7428,56,0.18088
ENSG00000160050,CCDC28B,146,2.82284,30,-0.2342,19,-1.4211,6,-2.4660,29,-0.2644
ENSG00000084623,EIF3I,146,0.45116,184,0.84059,105,-0.1926,74,-0.6340,74,-0.6409
ENSG00000175130,MARCKSL1,146,-0.8630,17,-4.0460,188,-0.8301,438,0.92667,738,1.93481
ENSG00000160058,BSDC1,146,1.67285,3,-4.1355,54,-0.1784,37,-0.6810,57,-0.0046
ENSG00000176261,ZBTB8OS,146,1.83408,27,-1.0174,43,-0.6033,44,-0.2840,42,-0.3544
ENSG00000162521,RBBP4,146,0.98156,38,-1.2050,67,-0.5680,58,-0.5431,158,1.12436
ENSG00000134684,YARS,146,0.94065,51,-0.7785,102,0.73683,30,-1.6013,17,-2.3859
ENSG00000160097,FNDC5,146,2.91211,0,-5.3151,30,-0.2898,1,-4.5254,0,-6.7672
ENSG00000121905,HPCA,146,-0.6275,30,-2.9949,334,2.19742,71,-1.7298,42,-2.4805
ENSG00000121900,TMEM54,146,1.57041,21,-1.5934,55,-0.2693,64,0.10145,33,-0.9160
ENSG00000004455,AK2,146,2.04776,51,0.11907,22,-1.8039,73,0.71226,45,-0.0741
ENSG00000142920,AZIN2,146,2.94471,0,-5.8927,25,-0.7731,22,-0.6105,2,-3.7235
ENSG00000134686,PHC2,146,0.59890,205,1.19526,72,-0.9580,104,0.03660,104,0.02911
ENSG00000163866,SMIM12,146,1.47779,155,1.58428,49,-0.7039,4,-3.9598,15,-2.1728
ENSG00000116544,DLGAP3,146,1.45370,14,-2.2415,74,0.55513,34,-0.9786,6,-3.3549
ENSG00000116560,SFPQ,146,-0.0262,264,0.97443,129,-0.4347,159,0.10830,126,-0.2639
ENSG00000146463,ZMYM4,146,2.54917,0,-6.1079,26,-1.0425,18,-1.1421,50,0.43336
ENSG00000142687,KIAA0319L,146,1.53854,54,-0.1778,50,-0.5789,41,-0.6256,57,-0.1133
ENSG00000020129,NCDN,146,-1.4188,111,-1.8385,546,1.97442,120,-1.7205,178,-1.1261
ENSG00000126067,PSMB2,146,0.53448,49,-1.1826,115,0.27319,55,-1.0353,129,0.32438
ENSG00000142686,C1orf216,146,0.89016,24,-1.9701,114,1.13714,28,-1.7246,8,-3.4565
ENSG00000092847,AGO1,146,2.65995,8,-2.2502,21,-1.3654,55,0.67975,13,-1.6013
ENSG00000054116,TRAPPC3,146,1.51399,25,-1.4067,68,0.34149,31,-1.0516,12,-2.4709
ENSG00000116871,MAP7D1,146,-0.1850,114,-0.5848,174,0.20159,145,-0.2025,202,0.33613
ENSG00000054118,THRAP3,146,1.02639,150,1.07293,62,-0.7209,74,-0.1272,39,-1.1069
ENSG00000181817,LSM10,146,1.76990,45,-0.3092,45,-0.5417,29,-0.9598,42,-0.3893
ENSG00000116898,MRPS15,146,1.53217,34,-0.8957,53,-0.4078,53,-0.2166,49,-0.3507
ENSG00000163875,MEAF6,146,0.86330,108,0.33927,91,0.11677,33,-1.4956,47,-0.9620
ENSG00000185090,MANEAL,146,2.64969,0,-6.0506,35,-0.1682,3,-3.3675,6,-2.6180
ENSG00000197982,C1orf122,146,-0.8808,185,-0.5207,226,-0.3831,329,0.41274,518,1.20946
ENSG00000183431,SF3A3,146,1.99710,46,-0.0756,37,-0.7409,37,-0.4085,20,-1.3382
ENSG00000183520,UTP11,146,2.36898,59,0.58568,23,-1.4209,20,-1.0985,28,-0.5984
ENSG00000116954,RRAGC,146,1.76048,87,0.78472,48,-0.3753,14,-2.0681,2,-4.4697
ENSG00000174574,AKIRIN1,146,1.08183,70,-0.1715,75,-0.1086,41,-0.9826,66,-0.2605
ENSG00000168653,NDUFS5,146,-1.7621,319,-0.5779,595,1.04554,361,-0.3828,326,-0.5427
ENSG00000127603,MACF1,146,0.12371,186,0.52046,104,-0.7423,116,-0.2437,251,1.04423
ENSG00000090621,PABPC4,146,0.75199,138,0.65366,60,-1.1804,146,0.74800,112,0.29281
ENSG00000116983,HPCAL4,146,-0.8573,28,-3.2758,366,1.73301,118,-1.1837,146,-0.8574
ENSG00000084072,PPIE,146,2.24525,43,-0.0314,36,-0.5673,18,-1.3106,5,-3.2066
ENSG00000131236,CAP1,146,-0.0267,203,0.51695,146,-0.0661,120,-0.3369,140,-0.0956
ENSG00000131238,PPT1,146,0.53084,122,0.22261,83,-0.7060,57,-0.9811,217,1.22692
ENSG00000084073,ZMPSTE24,146,2.01298,38,-0.3729,28,-1.3376,11,-2.1540,95,1.16062
ENSG00000084070,SMAP2,146,0.32041,87,-0.5088,140,0.55478,127,0.08631,21,-2.6396
ENSG00000117016,RIMS3,146,1.23839,25,-1.5769,81,0.46493,21,-1.8837,42,-0.8181
ENSG00000066136,NFYC,146,2.35886,36,-0.1989,33,-0.6705,6,-2.7434,19,-1.1621
ENSG00000179862,CITED4,146,2.37465,78,1.08287,18,-1.9677,17,-1.3266,40,-0.0504
ENSG00000198815,FOXJ3,146,1.77433,23,-1.2997,51,-0.1567,12,-2.2875,48,-0.1923
ENSG00000177181,RIMKLA,146,2.70488,1,-4.6646,34,-0.1927,4,-3.0551,2,-3.8033
ENSG00000127125,PPCS,146,1.23835,74,0.05406,71,0.00903,52,-0.5018,12,-2.6768
ENSG00000065978,YBX1,146,0.00167,449,2.04623,70,-1.7679,117,-0.3591,252,0.91734
ENSG00000164008,C1orf50,146,2.53534,43,0.17910,23,-1.2778,38,-0.0194,2,-4.3922
ENSG00000177868,SVBP,146,2.14809,32,-0.5393,31,-1.0351,12,-2.0317,64,0.56158
ENSG00000117394,SLC2A1,146,-0.4844,1252,4.22120,41,-3.2615,31,-2.7851,152,-0.4277
ENSG00000117395,EBNA1BP2,146,1.10556,38,-1.0750,80,0.13287,34,-1.2736,72,-0.0961
ENSG00000179178,TMEM125,146,2.48695,0,-6.1446,9,-3.0998,123,2.08125,40,0.02741
ENSG00000066322,ELOVL1,146,1.11965,93,0.33523,23,-2.6210,206,1.77649,124,0.82670
ENSG00000178922,HYI,146,2.34108,88,1.29072,18,-1.9301,21,-1.0444,27,-0.6472
ENSG00000142949,PTPRF,146,0.40470,22,-2.4699,131,0.47980,33,-1.9211,174,0.69745
ENSG00000126091,ST3GAL3,146,1.72209,51,-0.1218,48,-0.4105,24,-1.2986,36,-0.6886
ENSG00000117408,IPO13,146,1.11971,27,-1.5939,55,-0.8899,90,0.28300,145,1.10408
ENSG00000117410,ATP6V0B,146,-1.4477,316,-0.2600,453,0.74033,132,-1.5974,488,0.44950
ENSG00000117411,B4GALT2,146,0.82659,79,-0.2037,93,0.14326,77,-0.2430,36,-1.4013
ENSG00000178028,DMAP1,146,1.31669,63,-0.1281,64,-0.1998,56,-0.3185,29,-1.3201
ENSG00000117419,ERI3,146,-0.2649,60,-1.6348,221,0.97107,127,-0.4877,116,-0.6233
ENSG00000187147,RNF220,146,0.48016,118,0.11797,102,-0.2151,126,0.23388,84,-0.4205
ENSG00000142937,RPS8,146,-3.1715,3145,1.73018,820,-1.0153,1558,0.44256,1779,0.66969
ENSG00000070785,EIF2B3,146,2.77037,16,-1.1931,26,-0.7917,21,-0.7885,0,-6.8415
ENSG00000126088,UROD,146,0.69513,136,0.57391,83,-0.4592,94,-0.0469,79,-0.3264
ENSG00000117450,PRDX1,146,-1.3522,358,0.03951,310,-0.3559,372,0.10562,713,1.23083
ENSG00000117448,AKR1A1,146,1.40188,115,0.95374,46,-0.9696,69,0.09170,29,-1.2593
ENSG00000132780,NASP,146,1.71465,49,-0.1913,32,-1.3780,69,0.35103,74,0.47652
ENSG00000159592,GPBP1L1,146,2.35710,70,0.88868,22,-1.5283,17,-1.3860,27,-0.6520
ENSG00000086015,MAST2,146,2.54901,45,0.26884,20,-1.6235,22,-0.8667,32,-0.2708
ENSG00000085998,POMGNT1,146,1.21319,44,-0.7660,51,-0.9272,81,0.19739,120,0.85927
ENSG00000132128,LRRC41,146,1.71180,73,0.43888,43,-0.7369,14,-2.0623,54,-0.0616
ENSG00000173660,UQCRH,146,-1.4248,240,-0.6704,482,1.12091,252,-0.5926,247,-0.6230
ENSG00000117480,FAAH,146,2.03549,8,-2.6878,34,-0.8953,45,-0.0763,58,0.31074
ENSG00000079277,MKNK1,146,2.69467,25,-0.5583,21,-1.3799,12,-1.6353,36,0.00325
ENSG00000123472,ATPAF1,146,0.31810,44,-1.5432,133,0.35038,71,-0.8352,156,0.43006
ENSG00000159658,EFCAB14,146,1.22119,65,-0.1527,33,-1.8419,102,0.57864,167,1.47155
ENSG00000162368,CMPK1,146,0.70770,83,-0.2318,87,-0.2839,121,0.38759,75,-0.3891
ENSG00000162373,BEND5,146,2.87545,0,-5.9239,28,-0.5151,7,-2.4169,9,-2.0112
ENSG00000162374,ELAVL4,146,0.44917,2,-5.7895,163,1.79900,32,-1.9215,6,-4.1591
ENSG00000185104,FAF1,146,2.43675,26,-0.6555,32,-0.6189,26,-0.6627,0,-7.0010
ENSG00000123091,RNF11,146,-1.1809,110,-1.6127,450,1.68460,202,-0.6876,100,-1.7538
ENSG00000085832,EPS15,146,0.18879,13,-3.4098,154,0.60799,138,0.09515,106,-0.3363
ENSG00000078618,NRDC,146,1.17434,40,-0.9431,72,-0.0670,53,-0.5211,63,-0.2562
ENSG00000169213,RAB3B,146,0.30879,0,-7.7661,172,1.55296,54,-1.2440,32,-2.0419
ENSG00000134717,BTF3L4,146,1.45582,49,-0.4012,66,0.12968,32,-1.0495,13,-2.3693
ENSG00000157077,ZFYVE9,146,2.61959,3,-3.5732,32,-0.4213,21,-0.8594,2,-3.9709
ENSG00000162378,ZYG11B,146,0.58031,4,-4.7330,132,0.96294,32,-1.8122,88,-0.2608
ENSG00000116171,SCP2,146,0.76737,51,-0.9436,70,-0.7686,74,-0.3542,210,1.42465
ENSG00000162384,CZIB,146,1.32338,97,0.59708,53,-0.6970,28,-1.3848,74,0.14807
ENSG00000162385,MAGOH,146,2.41442,53,0.43742,29,-0.8967,5,-3.0336,14,-1.6381
ENSG00000157193,LRP8,146,2.09027,0,-6.3904,40,-0.4139,24,-1.0207,46,-0.0305
ENSG00000081870,HSPB11,146,1.95987,64,0.43048,38,-0.7511,26,-0.9862,19,-1.4714
ENSG00000116209,TMEM59,146,-0.1734,131,-0.3437,139,-0.4689,141,-0.2333,353,1.33619
