Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000132879,FBXO44,177,-0.1299,233,0.36725,198,0.04625,116,-0.8000,181,-0.0928,197,0.05573
ENSG00000116670,MAD2L2,39,1.11708,17,-0.3400,26,0.42964,16,-0.4086,20,-0.0041,16,-0.4973
ENSG00000011021,CLCN6,53,-0.3701,120,1.18982,58,-0.2204,55,-0.3067,33,-1.1040,55,-0.4087
ENSG00000116685,KIAA2013,53,0.63802,46,0.44975,52,0.59057,26,-0.5253,36,-0.0204,23,-0.9252
ENSG00000083444,PLOD1,19,-0.3543,32,0.48895,24,-0.0286,13,-1.0177,19,-0.3873,27,0.23322
ENSG00000116688,MFN2,99,0.33983,110,0.61972,75,-0.1028,61,-0.4445,79,-0.0315,63,-0.5017
ENSG00000116691,MIIP,15,-0.7339,26,0.15373,51,1.28407,21,-0.1942,16,-0.6516,20,-0.3387
ENSG00000048707,VPS13D,54,0.14647,59,0.35845,70,0.58135,37,-0.4339,44,-0.1943,40,-0.4377
ENSG00000162496,DHRS3,45,0.53059,9,-2.1147,61,1.07178,33,0.01479,17,-1.0283,40,0.45827
ENSG00000116731,PRDM2,69,0.24401,65,0.18232,60,0.01946,34,-0.8804,53,-0.1847,62,0.11397
ENSG00000189337,KAZN,22,-1.0250,50,0.31473,41,-0.0328,37,-0.1981,39,-0.1197,47,0.22989
ENSG00000142634,EFHD2,2,-6.1387,112,-0.6846,404,1.56892,131,-0.3685,3,-5.8421,242,0.92105
ENSG00000116138,DNAJC16,25,0.42239,31,0.93723,20,0.08817,12,-0.7417,13,-0.5727,13,-0.6747
ENSG00000197312,DDI2,19,-0.2973,25,0.17183,24,0.10263,9,-1.3152,12,-0.9597,30,0.63821
ENSG00000116786,PLEKHM2,96,0.25190,85,0.06790,77,-0.1012,76,-0.1199,92,0.19092,75,-0.1707
ENSG00000065526,SPEN,17,-0.4902,29,0.41175,27,0.25703,21,-0.1731,26,0.18164,20,-0.2991
ENSG00000116809,ZBTB17,10,-0.8154,23,0.50853,24,0.54995,22,0.40997,21,0.34370,11,-0.9057
ENSG00000185519,FAM131C,39,1.35424,12,-0.7142,24,0.44960,14,-0.4281,21,0.28677,13,-0.6130
ENSG00000055070,SZRD1,22,-0.2057,18,-0.5449,55,1.37890,29,0.28204,16,-0.6989,21,-0.2939
ENSG00000058453,CROCC,14,-0.2346,24,0.77582,18,0.19059,10,-0.7568,15,-0.1283,14,-0.3688
ENSG00000159363,ATP13A2,265,0.67378,223,0.44120,196,0.16289,113,-0.7144,174,-0.0302,134,-0.5723
ENSG00000117118,SDHB,75,0.12071,75,0.14538,59,-0.2665,57,-0.3092,75,0.11960,70,0.01007
ENSG00000117115,PADI2,13,-1.1872,10,-1.6906,128,2.87211,61,1.24575,9,-1.7312,11,-1.8224
ENSG00000179051,RCC2,35,1.36943,10,-0.7351,23,0.61685,14,-0.1258,28,0.99513,7,-1.5450
ENSG00000074964,ARHGEF10L,29,0.79271,15,-0.3298,26,0.58499,12,-0.5884,13,-0.5078,17,-0.0785
ENSG00000117154,IGSF21,20,-1.7695,102,0.90317,85,0.43165,66,0.02077,45,-0.5722,55,-0.3481
ENSG00000159423,ALDH4A1,22,-0.5401,9,-1.9884,55,0.96077,37,0.31022,28,-0.1565,39,0.55185
ENSG00000127463,EMC1,24,-0.1629,39,0.71812,37,0.52851,11,-1.3914,31,0.22948,20,-0.5560
ENSG00000053372,MRTO4,42,0.15808,52,0.60796,43,0.20009,31,-0.3118,23,-0.7536,33,-0.3046
ENSG00000053371,AKR7A2,32,0.24451,22,-0.3876,35,0.40645,30,0.14748,25,-0.1873,27,-0.0275
ENSG00000077549,CAPZB,179,-0.0659,259,0.64802,192,0.05504,144,-0.4072,183,-0.0264,153,-0.4081
ENSG00000173436,MICOS10,201,-0.6562,298,-0.0391,309,0.02815,404,0.47004,254,-0.2907,324,0.14226
ENSG00000158747,NBL1,115,-1.1305,290,0.37930,338,0.58971,185,-0.3988,118,-1.0963,267,0.26234
ENSG00000162545,CAMK2N1,1785,1.36892,692,-0.2907,384,-1.1720,627,-0.4138,1378,0.89292,585,-0.6639
ENSG00000090432,MUL1,30,0.13283,39,0.69767,35,0.41321,14,-0.9933,16,-0.8463,24,-0.2498
ENSG00000183114,FAM43B,4,-2.8192,14,-1.1252,53,1.17999,19,-0.5164,0,-5.3859,45,1.36396
ENSG00000158828,PINK1,452,0.09461,523,0.39013,340,-0.3608,317,-0.4726,343,-0.3466,446,0.10043
ENSG00000244038,DDOST,37,0.94276,26,0.39174,34,0.77213,10,-1.2022,13,-0.7456,15,-0.6883
ENSG00000117245,KIF17,9,-1.7203,36,0.49607,23,-0.2595,18,-0.6402,5,-2.4587,40,0.91459
ENSG00000189410,SH2D5,35,-0.1222,56,0.76365,32,-0.2509,26,-0.5935,28,-0.4790,36,-0.1108
ENSG00000127483,HP1BP3,118,0.20839,124,0.34029,131,0.38930,92,-0.1920,93,-0.1649,83,-0.4456
ENSG00000075151,EIF4G3,144,0.59527,140,0.65339,71,-0.5430,65,-0.6838,86,-0.2396,85,-0.3329
ENSG00000117298,ECE1,15,-0.5391,18,-0.3382,53,1.54393,18,-0.3211,17,-0.4159,19,-0.2728
ENSG00000162551,ALPL,4,-2.3544,5,-1.9835,46,1.55350,23,0.31032,5,-1.9912,27,0.85941
ENSG00000076864,RAP1GAP,236,0.36071,258,0.60138,200,0.09212,114,-0.8016,88,-1.1987,183,-0.0665
ENSG00000090686,USP48,37,0.38001,36,0.44007,25,-0.2224,18,-0.7453,35,0.31421,24,-0.3620
ENSG00000070831,CDC42,236,0.15893,298,0.64337,233,0.13556,116,-0.9604,184,-0.2472,188,-0.2736
ENSG00000173372,C1QA,9,-1.0718,7,-1.5660,74,2.64444,23,0.40385,6,-1.5637,13,-0.7052
ENSG00000173369,C1QB,5,-1.8505,4,-2.2119,59,2.23601,52,1.98890,13,-0.4482,6,-1.8441
ENSG00000004487,KDM1A,167,1.44191,80,0.17607,72,-0.0298,34,-1.1687,66,-0.1513,52,-0.6666
ENSG00000169641,LUZP1,46,0.36694,35,-0.0887,35,-0.0820,14,-1.4862,26,-0.5525,47,0.54937
ENSG00000125944,HNRNPR,72,-0.2747,93,0.14859,108,0.37414,72,-0.2844,44,-1.0363,97,0.26844
ENSG00000125945,ZNF436,34,1.04259,32,1.13783,5,-2.0186,8,-1.2302,14,-0.4222,13,-0.6363
ENSG00000142676,RPL11,324,-0.4520,254,-0.9187,739,0.91908,722,0.87656,394,-0.1401,393,-0.1863
ENSG00000057757,PITHD1,239,0.08449,291,0.48432,160,-0.5572,114,-1.0694,150,-0.6535,265,0.35032
ENSG00000011009,LYPLA2,99,0.86337,65,0.16637,71,0.30457,39,-0.6582,38,-0.6931,52,-0.2705
ENSG00000117305,HMGCL,21,0.22527,12,-0.6967,27,0.63152,14,-0.4176,19,0.10001,20,0.14919
ENSG00000189266,PNRC2,23,-0.2206,40,0.82756,18,-0.6342,21,-0.3426,38,0.59356,19,-0.6337
ENSG00000188529,SRSF10,47,0.08505,62,0.65885,37,-0.3038,17,-1.4262,42,-0.0754,44,-0.0241
ENSG00000001461,NIPAL3,56,-0.0026,69,0.40921,85,0.68730,72,0.41310,28,-1.0556,41,-0.6078
ENSG00000133226,SRRM1,45,0.74636,24,-0.2981,32,0.15628,28,-0.0601,23,-0.3550,27,-0.0891
ENSG00000169504,CLIC4,3,-2.5065,5,-1.7596,54,2.15190,48,1.89800,12,-0.4781,7,-1.5788
ENSG00000117614,SYF2,39,0.14215,38,0.09888,41,0.20104,34,-0.0851,36,0.01871,32,-0.2153
ENSG00000117616,RSRP1,55,0.33217,54,0.36304,59,0.45000,39,-0.2039,31,-0.5880,37,-0.4000
ENSG00000183726,TMEM50A,55,0.11907,76,0.78133,55,0.12531,27,-0.9724,64,0.37878,35,-0.7314
ENSG00000204178,MACO1,15,-0.4682,22,0.10910,28,0.49359,7,-1.6129,35,0.87423,19,-0.1798
ENSG00000117643,MAN1C1,58,1.52665,32,0.55238,9,-1.5234,7,-1.8282,36,0.65548,14,-1.0021
ENSG00000162430,SELENON,63,0.50855,38,-0.3722,70,0.69229,40,-0.2205,35,-0.4413,44,-0.0942
ENSG00000117640,MTFR1L,92,0.37784,67,-0.1515,74,0.01656,45,-0.7625,75,0.05310,79,0.16994
ENSG00000117632,STMN1,698,-0.6576,1398,0.54380,1135,0.11673,739,-0.5687,772,-0.4992,1123,0.13351
ENSG00000158008,EXTL1,78,0.54654,58,0.06209,99,0.96993,41,-0.4843,30,-0.9763,46,-0.3811
ENSG00000142684,ZNF593,50,-0.2367,58,-0.0125,83,0.57891,61,0.06383,48,-0.2987,56,-0.0992
ENSG00000142669,SH3BGRL3,71,-2.1178,342,0.34626,364,0.40433,307,0.12350,53,-2.5472,362,0.55105
ENSG00000158062,UBXN11,23,-0.1725,32,0.37275,24,-0.1134,34,0.42021,34,0.40922,19,-0.6560
ENSG00000117682,DHDDS,26,0.35473,19,-0.1265,18,-0.2323,17,-0.3138,19,-0.1212,23,0.19568
ENSG00000198830,HMGN2,110,0.11839,64,-0.8058,166,0.81432,139,0.50979,84,-0.3208,97,-0.1021
ENSG00000117713,ARID1A,45,0.09906,61,0.70083,32,-0.4516,28,-0.6645,41,-0.0620,38,-0.2154
ENSG00000204160,ZDHHC18,47,0.57298,44,0.53136,20,-0.8156,25,-0.4755,36,0.14396,28,-0.3568
ENSG00000090273,NUDC,180,0.37253,131,-0.1694,166,0.23657,145,0.01645,117,-0.3212,140,-0.0441
ENSG00000253368,TRNP1,77,0.27909,74,0.25108,40,-0.7712,54,-0.3030,91,0.56272,58,-0.2330
ENSG00000090020,SLC9A1,28,-0.3159,74,1.69944,18,-1.0016,14,-1.3600,16,-1.1824,27,-0.4346
ENSG00000142784,WDTC1,41,-0.0406,33,-0.4034,46,0.17298,38,-0.1645,27,-0.6688,52,0.51808
ENSG00000186501,TMEM222,107,0.43290,95,0.26978,132,0.79346,75,-0.1494,64,-0.3854,57,-0.7211
ENSG00000158195,WASF2,11,-0.7671,10,-1.0590,69,2.41792,25,0.44985,16,-0.2557,9,-1.2886
ENSG00000126705,AHDC1,52,0.33531,57,0.58589,46,0.12888,28,-0.6398,33,-0.4138,36,-0.3386
ENSG00000126709,IFI6,30,-2.0930,164,0.62547,174,0.62696,122,0.03545,90,-0.4398,109,-0.1823
ENSG00000117758,STX12,65,-0.6835,119,0.32486,124,0.33916,81,-0.3403,76,-0.4503,107,0.13233
ENSG00000117751,PPP1R8,15,-0.3820,24,0.36280,23,0.27452,16,-0.3092,18,-0.1718,19,-0.0812
ENSG00000117748,RPA2,34,-0.0155,48,0.63777,42,0.34364,25,-0.5151,38,0.18715,25,-0.6607
ENSG00000126698,DNAJC8,103,0.24892,96,0.14968,106,0.28818,76,-0.2493,95,0.10632,75,-0.3353
ENSG00000130770,ATP5IF1,536,0.27804,470,0.07134,276,-0.7776,293,-0.6864,515,0.21325,503,0.23768
ENSG00000180098,TRNAU1AP,33,1.23986,12,-0.4830,26,0.81457,17,0.13046,12,-0.4211,10,-0.8566
ENSG00000198492,YTHDF2,74,0.03702,105,0.72902,69,-0.0775,33,-1.1993,41,-0.8825,75,0.06818
ENSG00000116350,SRSF4,49,0.18190,47,0.13180,71,0.79912,19,-1.2840,27,-0.7773,45,0.05562
ENSG00000116353,MECR,37,-0.0787,50,0.51515,46,0.30954,37,-0.0672,37,-0.0380,29,-0.5469
ENSG00000060656,PTPRU,0,-8.5765,18,-0.6111,56,1.38604,24,-0.0795,0,-6.5806,37,0.93513
ENSG00000162511,LAPTM5,9,-1.2167,5,-2.0508,58,1.90931,49,1.55265,22,0.15344,10,-1.2412
ENSG00000162512,SDC3,259,1.29259,110,-0.1904,103,-0.2723,111,-0.1532,124,0.02393,95,-0.5260
ENSG00000134644,PUM1,83,-0.6996,182,0.68445,137,0.10407,88,-0.6045,93,-0.5091,131,0.03480
ENSG00000060688,SNRNP40,26,0.20788,22,-0.0780,34,0.61961,19,-0.2667,13,-0.8562,24,0.04952
ENSG00000121766,ZCCHC17,132,0.12657,162,0.54933,83,-0.6214,88,-0.5206,90,-0.4878,128,0.09385
ENSG00000121769,FABP3,307,0.17533,390,0.67977,144,-1.0235,147,-0.9846,287,0.05994,273,-0.0236
ENSG00000162517,PEF1,103,0.16737,122,0.52551,83,-0.1679,60,-0.6728,89,-0.0650,85,-0.1820
ENSG00000084636,COL16A1,28,-0.8501,33,-0.6787,122,1.60911,61,0.37314,32,-0.6580,43,-0.2576
ENSG00000121753,ADGRB2,325,-0.0163,437,0.55454,278,-0.2704,181,-0.9394,228,-0.5810,357,0.18371
ENSG00000184007,PTP4A2,128,-0.2657,118,-0.4460,296,1.15046,258,0.90355,124,-0.3119,106,-0.7088
ENSG00000121774,KHDRBS1,91,0.03988,125,0.67546,88,-0.0102,55,-0.7375,79,-0.1744,78,-0.2713
ENSG00000121775,TMEM39B,32,1.09671,20,0.32224,35,1.26897,8,-1.0251,14,-0.3165,7,-1.5566
ENSG00000025800,KPNA6,57,1.16585,37,0.49052,15,-1.0138,14,-1.0827,35,0.31904,21,-0.6189
ENSG00000084652,TXLNA,34,0.24726,46,0.88869,22,-0.4865,26,-0.1982,15,-0.9990,25,-0.3212
ENSG00000084623,EIF3I,173,0.50025,157,0.39220,123,-0.0602,90,-0.5675,118,-0.1336,111,-0.2923
ENSG00000175130,MARCKSL1,251,0.29515,77,-1.6700,541,1.68471,389,1.05496,200,-0.0702,116,-1.1352
ENSG00000160058,BSDC1,66,0.02927,62,-0.0989,62,-0.0828,39,-0.8198,66,0.02314,77,0.36599
ENSG00000176261,ZBTB8OS,50,0.58458,35,0.01880,13,-1.5526,33,-0.0930,44,0.38296,35,-0.0104
ENSG00000162521,RBBP4,134,0.79067,83,-0.0136,108,0.42810,44,-1.0136,85,0.02631,72,-0.3169
ENSG00000162522,KIAA1522,25,0.59419,17,-0.0800,11,-0.6742,17,-0.0698,33,1.05866,12,-0.6407
ENSG00000134684,YARS,157,0.89724,108,0.28969,61,-0.6515,43,-1.1955,72,-0.3883,94,0.04093
ENSG00000160097,FNDC5,14,-0.6276,18,-0.3241,26,0.31145,23,0.13210,24,0.20841,23,0.15968
ENSG00000121905,HPCA,300,0.23358,294,0.22925,237,-0.1519,189,-0.5129,226,-0.2255,268,0.06048
ENSG00000121900,TMEM54,36,-0.1098,38,-0.0523,48,0.34322,44,0.22090,37,-0.0620,36,-0.1596
ENSG00000116514,RNF19B,48,1.79994,12,-0.6014,11,-0.7009,5,-1.8081,23,0.44234,15,-0.3114
ENSG00000004455,AK2,9,-1.0987,16,-0.2305,30,0.83729,33,0.99097,23,0.36308,12,-0.7517
ENSG00000142920,AZIN2,24,0.22418,32,0.85789,27,0.46193,23,0.17581,11,-0.9550,12,-0.9978
ENSG00000160094,ZNF362,32,1.16509,16,0.01134,22,0.51330,11,-0.5212,15,-0.0588,10,-0.8359
ENSG00000134686,PHC2,85,0.40698,78,0.30488,72,0.13106,58,-0.2056,75,0.20569,50,-0.5638
ENSG00000163866,SMIM12,58,0.11495,68,0.45101,39,-0.4865,36,-0.6278,44,-0.3330,57,0.12515
ENSG00000116544,DLGAP3,73,-0.1066,76,-0.0407,86,0.15964,76,-0.0329,83,0.10209,77,-0.0288
ENSG00000116560,SFPQ,163,0.57440,111,-0.0659,168,0.62739,100,-0.2328,98,-0.2560,95,-0.3919
ENSG00000146463,ZMYM4,50,1.02251,36,0.52799,16,-0.8086,21,-0.4279,27,0.00760,20,-0.6435
ENSG00000142687,KIAA0319L,57,0.17790,64,0.41536,47,-0.1447,30,-0.8224,41,-0.3485,53,0.06367
ENSG00000020129,NCDN,791,0.55055,778,0.61734,454,-0.3578,228,-1.4193,606,0.10710,491,-0.3034
ENSG00000126067,PSMB2,132,0.24411,158,0.65211,142,0.36891,51,-1.2439,96,-0.2709,95,-0.3755
ENSG00000142686,C1orf216,131,0.15805,159,0.55601,90,-0.4483,58,-1.1110,93,-0.3997,127,0.14871
ENSG00000092847,AGO1,38,0.51078,27,-0.0514,40,0.59317,21,-0.4662,22,-0.3679,25,-0.2033
ENSG00000116863,ADPRHL2,35,0.66486,28,0.34486,24,0.03700,7,-1.8862,26,0.16715,21,-0.2300
ENSG00000054116,TRAPPC3,88,1.02530,60,0.41383,24,-1.0546,30,-0.7363,50,0.07268,40,-0.3715
ENSG00000116871,MAP7D1,260,0.61381,190,0.10547,148,-0.3030,139,-0.4066,198,0.15945,163,-0.1974
ENSG00000054118,THRAP3,67,0.28732,55,-0.0390,90,0.79899,46,-0.3080,43,-0.4209,49,-0.2615
ENSG00000181817,LSM10,36,-0.3849,41,-0.2168,31,-0.6357,23,-1.0322,57,0.35438,61,0.68399
ENSG00000116885,OSCP1,52,1.58383,28,0.55878,14,-0.6377,12,-0.8408,10,-1.1590,15,-0.6739
ENSG00000116898,MRPS15,36,-0.3887,56,0.34314,34,-0.4734,46,-0.0023,52,0.18372,46,-0.0285
ENSG00000163873,GRIK3,3,-3.2846,26,-0.4126,54,0.82988,15,-1.2216,2,-3.7410,57,1.39895
ENSG00000163875,MEAF6,79,-0.2771,124,0.54809,58,-0.7414,70,-0.4607,96,0.04147,97,0.07524
ENSG00000183317,EPHA10,35,0.74280,35,0.90330,7,-1.7950,6,-1.9440,16,-0.5409,22,0.00033
ENSG00000185090,MANEAL,66,0.36875,80,0.81188,29,-0.9340,15,-1.8557,53,0.00988,51,-0.0847
ENSG00000197982,C1orf122,202,-7.4762,134,-0.7245,257,0.39785,284,0.56730,154,-0.4362,218,0.16502
ENSG00000183431,SF3A3,37,0.02041,46,0.46825,55,0.69493,8,-2.1747,27,-0.4479,35,-0.0543
ENSG00000183520,UTP11,18,-0.5768,37,0.67966,25,-0.0482,16,-0.7907,29,0.16502,24,-0.1505
ENSG00000116954,RRAGC,47,0.41690,65,1.18315,51,0.55535,22,-0.7659,38,0.06600,13,-1.8189
ENSG00000174574,AKIRIN1,90,0.27023,79,0.07304,70,-0.1418,40,-1.0040,74,-0.0506,85,0.23078
ENSG00000168653,NDUFS5,681,0.03558,631,-0.0979,591,-0.1930,605,-0.1533,550,-0.3052,768,0.31962
ENSG00000127603,MACF1,77,-0.3350,102,0.14663,151,0.79114,67,-0.5445,94,-0.0063,86,-0.2079
ENSG00000090621,PABPC4,67,0.34087,46,-0.2772,65,0.30000,66,0.33519,61,0.18658,45,-0.3739
