Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000162545,CAMK2N1,3,-7.0950,776,0.82086,354,-0.4441,374,-0.3899,171,-1.5410,972,1.21184,454,-0.0545,484,0.04818,505,0.11458,699,0.64412
ENSG00000158828,PINK1,305,0.76825,255,0.47130,158,-0.2855,113,-0.8751,70,-1.5160,88,-1.1878,193,0.02056,268,0.55655,335,0.93168,193,0.02733
ENSG00000127483,HP1BP3,380,1.81874,161,0.31206,145,0.15156,65,-1.1670,56,-1.2984,180,0.50054,217,0.80853,45,-1.6237,68,-1.0176,70,-0.9811
ENSG00000075151,EIF4G3,265,1.91974,167,1.06048,67,-0.4064,28,-1.8187,1,-5.6895,111,0.37509,63,-0.5205,29,-1.6715,104,0.27021,100,0.20815
ENSG00000076864,RAP1GAP,3,-4.0708,349,3.59139,17,-1.8451,62,0.13881,55,-0.0856,23,-1.3997,24,-1.3103,26,-1.1926,0,-7.2299,12,-2.3002
ENSG00000070831,CDC42,359,0.77181,332,0.63909,134,-0.7968,64,-2.0213,224,0.00261,379,0.86343,440,1.11871,57,-2.0559,196,-0.2069,213,-0.0792
ENSG00000125944,HNRNPR,164,1.00903,68,-0.4079,64,-0.4983,38,-1.3738,19,-2.2730,99,0.17539,172,1.09459,65,-0.4919,170,1.06969,78,-0.2074
ENSG00000117318,ID3,274,2.05232,4,-4.4370,111,0.42968,18,-2.4161,60,-0.5350,1,-6.0459,78,-0.1308,15,-2.6038,347,2.56184,5,-3.9647
ENSG00000142676,RPL11,1052,-0.1116,226,-2.4260,532,-1.1585,270,-2.2877,980,-0.2225,1044,-0.1239,1866,0.82195,1512,0.47163,2362,1.23138,2304,1.18716
ENSG00000057757,PITHD1,321,1.84347,151,0.50991,73,-0.6339,34,-1.9046,66,-0.7873,159,0.59630,207,1.03869,34,-1.7876,60,-0.9295,73,-0.6442
ENSG00000189266,PNRC2,259,1.90970,44,-1.0401,69,-0.3447,25,-1.9605,119,0.52689,36,-1.3181,167,1.10422,20,-2.2039,105,0.32022,75,-0.2050
ENSG00000001461,NIPAL3,3,-4.6030,27,-1.7132,3,-4.6922,14,-2.7314,1,-5.6119,292,2.21550,111,0.45418,169,1.17505,102,0.32906,179,1.27263
ENSG00000133226,SRRM1,3,-4.3663,85,0.28436,52,-0.4880,43,-0.8392,34,-1.1286,134,1.04762,158,1.33843,16,-2.2076,85,0.29253,127,0.95516
ENSG00000169504,CLIC4,3,-5.2439,1,-7.0143,107,-0.3123,13,-3.4838,226,0.90375,312,1.47741,361,1.75154,111,-0.2538,151,0.23811,132,0.02594
ENSG00000117614,SYF2,254,1.43267,44,-1.3607,123,0.19940,39,-1.6513,133,0.33005,105,-0.0483,237,1.30683,30,-1.9232,96,-0.1925,91,-0.2704
ENSG00000117616,RSRP1,277,1.92875,132,0.59800,68,-0.4636,11,-3.2101,42,-1.1743,128,0.54589,176,1.08280,20,-2.2519,96,0.08980,40,-1.2493
ENSG00000183726,TMEM50A,3,-4.7930,125,0.43643,126,0.44802,27,-2.0068,149,0.72839,168,0.92979,276,1.83635,24,-2.0818,35,-1.5163,86,-0.1507
ENSG00000162430,SELENON,521,3.28280,94,-0.0300,61,-0.6948,33,-1.7226,1,-5.8161,48,-1.0517,114,0.28283,67,-0.5625,43,-1.2185,37,-1.4443
ENSG00000117640,MTFR1L,3,-3.4623,107,1.77189,71,1.03600,31,-0.3612,1,-4.4816,37,-0.0383,73,1.07132,25,-0.6094,2,-4.0541,35,-0.1163
ENSG00000117632,STMN1,6,-6.2459,890,1.03510,154,-1.7123,90,-2.6314,54,-3.2429,1329,1.76720,1516,2.02886,261,-0.9259,235,-1.0829,602,0.37900
ENSG00000142669,SH3BGRL3,586,1.29288,172,-0.6992,246,-0.1473,74,-2.0848,392,0.60077,222,-0.3080,449,0.83060,192,-0.5324,419,0.71134,148,-0.9314
ENSG00000198830,HMGN2,259,0.77923,62,-1.4432,176,0.14283,44,-2.0606,97,-0.7809,137,-0.2538,464,1.82604,129,-0.3438,180,0.18093,175,0.13684
ENSG00000117713,ARID1A,3,-3.9281,97,1.01104,61,0.23681,21,-1.4384,1,-4.9456,85,0.79631,193,2.32404,30,-0.8251,41,-0.3579,19,-1.5117
ENSG00000090273,NUDC,1049,3.29941,216,0.19094,143,-0.4571,35,-2.6692,2,-6.3858,109,-0.8734,151,-0.3782,163,-0.2549,116,-0.7732,90,-1.1611
ENSG00000186501,TMEM222,3,-4.4901,200,1.62320,40,-1.0064,57,-0.5008,2,-5.1862,197,1.58849,135,0.92058,20,-2.0263,58,-0.4334,77,3.87493
ENSG00000158195,WASF2,3,-4.5330,5,-3.9961,69,-0.2230,24,-1.9244,78,-0.0360,162,1.18238,292,2.31584,29,-1.5231,76,-0.0728,113,0.56120
ENSG00000126709,IFI6,1406,2.25618,178,-1.2257,295,-0.4588,96,-2.2581,474,0.29046,21,-4.3583,309,-0.3863,59,-2.8462,1370,2.20111,43,-3.3226
ENSG00000117758,STX12,238,1.79779,94,0.19005,116,0.52691,27,-1.8314,1,-5.6210,105,0.36907,122,0.61677,16,-2.4380,118,0.56007,54,-0.6753
ENSG00000126698,DNAJC8,388,2.03083,191,0.73581,103,-0.2571,50,-1.4428,117,-0.0505,124,0.03492,91,-0.4533,60,-1.0705,30,-2.0809,129,0.09957
ENSG00000130770,ATP5IF1,718,2.13593,278,0.42753,220,0.04486,47,-2.3874,97,-1.2062,104,-1.1062,431,1.16655,106,-1.0774,138,-0.6734,160,-0.4461
ENSG00000116350,SRSF4,3,-3.5219,61,0.70424,72,0.99783,21,-1.0042,1,-4.5411,36,-0.1576,86,1.30120,30,-0.3943,53,0.47367,47,0.27852
ENSG00000162512,SDC3,3,-4.4176,191,1.62703,170,1.41436,49,-0.6898,75,0.03349,51,-0.5697,20,-1.9703,68,-0.1084,104,0.55893,27,-1.5202
ENSG00000134644,PUM1,271,1.86907,237,1.61354,42,-1.1984,52,-0.9501,50,-0.9361,86,-0.0949,18,-2.4217,41,-1.2445,114,0.35108,46,-1.0520
ENSG00000121766,ZCCHC17,3,-4.4991,257,2.10195,61,-0.3713,48,-0.7937,121,0.71590,21,-1.9336,41,-0.9944,77,-0.0059,117,0.66934,58,-0.4617
ENSG00000121769,FABP3,3,-3.7957,376,4.63102,6,-2.9480,42,-0.2264,1,-4.8134,8,-2.5589,16,-1.6548,10,-2.2637,2,-4.5188,17,-1.5866
ENSG00000162517,PEF1,3,-3.8719,154,1.94307,20,-1.3531,27,-1.0471,12,-2.0808,99,1.11530,112,1.34010,10,-2.4226,72,0.57652,16,-1.7201
ENSG00000084636,COL16A1,316,2.65849,77,0.06454,26,-1.5669,21,-2.0196,1,-5.3839,199,1.69282,79,0.10059,1,-5.4533,32,-1.2860,39,-0.9724
ENSG00000121753,ADGRB2,3,-4.5420,411,3.12249,36,-1.2338,117,0.70441,1,-5.5579,45,-0.8921,40,-1.0696,15,-2.5076,59,-0.4712,35,-1.2510
ENSG00000184007,PTP4A2,3,-6.7596,80,-2.3279,101,-1.9841,102,-2.0796,54,-2.8948,724,1.10269,429,0.22614,522,0.54566,675,0.98000,1304,2.22149
ENSG00000121774,KHDRBS1,479,2.36320,219,0.88275,96,-0.4462,38,-1.9451,104,-0.3306,141,0.15774,165,0.41037,29,-2.2135,51,-1.4028,46,-1.5608
ENSG00000084623,EIF3I,3,-4.0445,135,1.45862,92,0.78346,23,-1.4585,1,-5.0616,19,-1.6358,201,2.24480,22,-1.4146,71,0.36153,32,-0.8959
ENSG00000175130,MARCKSL1,3,-7.2369,161,-1.7757,378,-0.4920,133,-2.1789,65,-3.0979,1903,2.32223,1781,2.18126,258,-1.0749,243,-1.1677,644,0.34813
ENSG00000160058,BSDC1,3,-3.6551,130,1.90034,45,0.06152,33,-0.4415,1,-4.6736,66,0.67473,39,-0.1723,4,-3.2653,69,0.74809,51,0.27618
ENSG00000162521,RBBP4,315,2.23326,87,-0.0298,75,-0.2653,44,-1.1658,87,-0.0427,100,0.19022,147,0.82024,22,-2.1267,18,-2.4063,41,-1.1837
ENSG00000134684,YARS,3,-3.7824,145,1.93857,79,0.84704,25,-1.0714,82,0.90585,59,0.35257,64,0.49274,9,-2.3784,16,-1.6625,12,-2.0411
ENSG00000121905,HPCA,3,-4.7646,681,4.28404,42,-1.2060,89,-0.0718,46,-1.0953,8,-3.5232,0,-7.4604,37,-1.3906,19,-2.4062,10,-3.2631
ENSG00000121900,TMEM54,3,-3.4725,28,-0.4811,102,1.67735,29,-0.4545,1,-4.4919,33,-0.2262,80,1.23197,58,0.68812,20,-0.9534,34,-0.1802
ENSG00000134686,PHC2,3,-4.5107,78,-0.0070,70,-0.1660,30,-1.5365,151,1.08727,177,1.36707,119,0.67591,30,-1.4676,82,0.08309,89,0.20594
ENSG00000116544,DLGAP3,3,-2.9270,152,3.44878,30,0.20298,35,0.52852,1,-3.9491,0,-6.5429,0,-5.6344,31,0.27115,0,-6.1027,0,-7.8177
ENSG00000116560,SFPQ,3,-5.5187,105,-0.6315,110,-0.5535,54,-1.7350,455,1.82870,220,0.54234,348,1.32952,34,-2.3096,249,0.74442,99,-0.7133
ENSG00000020129,NCDN,3,-5.3042,835,3.65760,95,-0.5612,97,-0.5731,58,-1.3104,61,-1.2169,139,0.03710,32,-2.1799,55,-1.3683,21,-2.7948
ENSG00000126067,PSMB2,3,-4.3608,123,0.90617,100,0.56155,28,-1.4816,42,-0.7940,38,-0.9531,286,2.53356,12,-2.6777,50,-0.5185,65,-0.1240
ENSG00000116871,MAP7D1,3,-5.5803,273,0.83183,56,-1.6273,66,-1.4859,69,-1.3250,542,2.09435,407,1.53566,28,-2.6406,83,-1.0551,213,0.41816
ENSG00000054118,THRAP3,431,3.16725,110,0.46282,35,-1.2912,18,-2.4106,1,-5.6025,53,-0.6759,90,0.13759,23,-1.9464,69,-0.2747,58,-0.5345
ENSG00000163875,MEAF6,3,-4.0107,185,2.11442,40,-0.5117,23,-1.4064,143,1.60469,95,0.89014,63,0.20346,10,-2.5037,0,-7.1735,23,-1.3426
ENSG00000197982,C1orf122,3,-6.3191,179,-0.6644,221,-0.3376,159,-0.9094,180,-0.6525,473,0.89234,604,1.32289,276,0.01118,257,-0.1039,505,1.00472
ENSG00000174574,AKIRIN1,49,-0.2258,67,0.27654,66,0.25780,25,-1.2973,1,-5.0522,65,0.21919,196,2.20382,26,-1.1542,35,-0.7381,63,0.17183
ENSG00000168653,NDUFS5,449,0.45333,385,0.20439,439,0.41702,155,-1.2875,123,-1.5480,428,0.37558,506,0.65024,244,-0.5106,377,0.16846,466,0.51257
ENSG00000127603,MACF1,245,0.80030,146,-0.0413,225,0.65655,77,-1.1130,138,-0.1342,224,0.64889,166,0.15871,71,-1.1393,183,0.31463,99,-0.6406
ENSG00000090621,PABPC4,3,-4.0952,79,0.47010,33,-0.8909,31,-1.0377,134,1.38521,31,-0.9695,132,1.35325,11,-2.4218,93,0.75052,66,0.18622
ENSG00000116983,HPCAL4,3,-4.9205,568,3.29338,103,-0.0173,92,-0.2193,91,-0.2137,30,-1.8793,37,-1.5709,81,-0.3874,43,-1.3295,4,-4.7285
ENSG00000131236,CAP1,3,-4.7212,80,-0.1950,116,0.40409,56,-0.8049,110,0.31145,125,0.51710,194,1.27283,39,-1.2825,151,0.83843,64,-0.5290
ENSG00000131238,PPT1,464,2.58304,161,0.58511,150,0.46616,46,-1.4399,22,-2.4632,32,-1.8995,197,0.91938,7,-4.0530,71,-0.7166,39,-1.6218
ENSG00000049089,COL9A2,13,-2.3901,0,-8.7617,23,-1.5425,15,-2.3421,1,-5.2548,272,2.61220,134,1.20553,78,0.30344,66,0.03168,95,0.62768
ENSG00000065978,YBX1,478,1.02178,58,-2.2503,190,-0.4770,55,-2.4442,895,2.20643,115,-1.2330,222,-0.2335,176,-0.5918,373,0.60239,213,-0.2949
ENSG00000117394,SLC2A1,33,-2.8220,20,-3.5841,334,0.67623,70,-1.8597,443,1.16089,10,-4.5122,98,-1.2406,33,-2.8277,1299,3.52767,12,-4.2771
ENSG00000066322,ELOVL1,3,-5.5827,25,-2.7870,62,-1.4763,12,-3.9550,16,-3.4803,686,2.60316,595,2.28610,50,-1.8028,59,-1.5600,289,0.92393
ENSG00000142949,PTPRF,75,-0.4988,328,2.01569,61,-0.8027,125,0.33921,1,-5.9264,75,-0.4898,171,0.82543,40,-1.4447,82,-0.3606,52,-1.0530
ENSG00000126091,ST3GAL3,3,-2.8396,64,1.63275,31,0.35250,38,0.81701,1,-3.8615,22,-0.1678,0,-5.3182,59,1.45403,10,-1.3436,2,-3.1800
ENSG00000117408,IPO13,136,0.19936,85,-0.5328,43,-1.5586,34,-2.0207,40,-1.6814,408,2.15191,236,1.11800,53,-1.2561,43,-1.5722,210,0.91490
ENSG00000117410,ATP6V0B,27,-3.3713,1009,2.47639,175,-0.5910,130,-1.1258,172,-0.6213,356,0.53099,630,1.52348,25,-3.4379,52,-2.4048,112,-1.2643
ENSG00000117411,B4GALT2,3,-3.9436,86,0.79024,67,0.38230,62,0.29806,1,-4.9611,113,1.26399,114,1.28227,5,-3.3852,27,-1.0195,39,-0.4726
ENSG00000117419,ERI3,3,-4.8453,291,1.86509,92,-0.1018,94,-0.0835,123,0.34613,158,0.76729,75,-0.4326,31,-1.7385,77,-0.3857,47,-1.1360
ENSG00000187147,RNF220,196,0.84102,128,0.13775,43,-1.5088,25,-2.4119,4,-4.9234,314,1.68396,197,0.85137,40,-1.6203,104,-0.1843,211,0.96418
ENSG00000142937,RPS8,2168,0.26037,650,-1.5926,1011,-0.9292,366,-2.5645,2271,0.33598,2139,0.23849,2288,0.34764,2194,0.27941,3457,1.04021,3355,0.98835
ENSG00000126088,UROD,3,-3.3098,37,0.12401,69,1.15694,31,-0.1735,2,-3.6851,69,1.18011,94,1.73313,15,-1.1918,12,-1.5127,10,-1.8457
ENSG00000117450,PRDX1,1272,1.84908,414,-0.0831,579,0.45617,223,-1.1140,283,-0.6740,498,0.21320,786,0.96990,111,-2.0722,173,-1.4127,235,-0.9546
ENSG00000085998,POMGNT1,235,1.56839,131,0.54980,84,-0.1674,37,-1.5106,52,-0.8930,185,1.13148,112,0.29497,17,-2.5238,69,-0.4800,67,-0.5155
ENSG00000173660,UQCRH,1083,2.07905,548,0.82321,342,0.05302,109,-1.7988,148,-1.2319,285,-0.2353,200,-0.7802,255,-0.4078,294,-0.1882,268,-0.3302
ENSG00000123472,ATPAF1,326,2.24214,114,0.33913,150,0.79199,59,-0.7575,59,-0.6763,53,-0.8617,65,-0.5325,47,-1.0188,33,-1.5370,47,-1.0285
ENSG00000159658,EFCAB14,36,-1.7147,94,-0.2526,106,-0.0697,37,-1.7743,96,-0.2291,147,0.45675,353,2.02405,53,-1.1368,83,-0.4504,177,0.76093
ENSG00000162368,CMPK1,480,2.21619,80,-0.8273,111,-0.3292,46,-1.7630,90,-0.6614,161,0.25464,145,0.09177,86,-0.7254,152,0.16454,112,-0.3224
ENSG00000162374,ELAVL4,3,-4.1788,434,4.09618,29,-1.1834,89,0.66864,1,-5.1956,0,-7.7849,0,-6.8770,7,-3.2524,30,-1.1015,0,-6.2322
ENSG00000123091,RNF11,3,-5.5604,699,2.68291,168,0.05344,97,-0.8599,115,-0.5321,100,-0.7476,95,-0.8321,120,-0.4638,137,-0.2636,152,-0.1030
ENSG00000085832,EPS15,11,-3.0383,146,0.79522,130,0.60319,42,-1.2405,1,-5.7170,151,0.86047,178,1.13919,28,-1.7721,111,0.34831,143,0.76006
ENSG00000078618,NRDC,3,-3.3673,156,2.71864,35,-0.0206,24,-0.6570,1,-4.3875,63,0.94515,0,-5.4837,0,-6.3051,40,0.19948,42,0.26828
ENSG00000169213,RAB3B,3,-4.0027,242,2.72776,53,-0.0520,145,2.03891,1,-5.0198,0,-7.6095,0,-6.7017,3,-4.1253,11,-2.3231,0,-8.8838
ENSG00000134717,BTF3L4,3,-3.9384,91,0.89298,14,-1.9324,29,-0.9950,124,1.43801,101,1.07420,120,1.38725,20,-1.4566,14,-2.0227,33,-0.7147
ENSG00000162378,ZYG11B,3,-4.4034,394,3.26630,57,-0.3635,54,-0.4886,1,-5.4171,0,-7.7475,110,0.66584,25,-1.6382,56,-0.4079,44,-0.7764
ENSG00000116171,SCP2,373,1.74149,87,-0.6734,136,0.00551,45,-1.7784,215,0.75422,88,-0.6645,277,1.19270,50,-1.5034,85,-0.7224,85,-0.7152
ENSG00000162384,CZIB,3,-4.0969,39,-0.6405,86,0.62457,16,-2.0230,158,1.68904,106,0.96929,94,0.76925,76,0.41179,19,-1.6971,31,-0.9885
ENSG00000116209,TMEM59,191,-0.4186,258,0.05399,251,0.01312,45,-2.6859,195,-0.3823,528,1.25201,784,1.99869,117,-1.1612,169,-0.6060,158,-0.7071
ENSG00000157216,SSBP3,243,1.53656,233,1.45975,57,-0.8237,42,-1.3826,74,-0.4265,107,0.13632,125,0.39119,45,-1.2025,85,-0.2101,23,-2.1542
ENSG00000116133,DHCR24,3,-5.7022,323,0.97061,18,-3.3619,60,-1.7733,47,-2.0086,695,2.44700,436,1.50907,23,-3.0342,43,-2.1334,257,0.58619
ENSG00000162407,PLPP3,242,0.62078,106,-0.6854,867,3.18586,139,-0.2977,79,-1.1284,103,-0.7352,22,-3.0028,56,-1.6394,40,-2.1361,22,-2.9744
ENSG00000177606,JUN,1174,4.03452,109,-0.7007,104,-0.7698,27,-2.8813,76,-1.2396,18,-3.3773,164,-0.0649,4,-5.3624,155,-0.1591,27,-2.7848
ENSG00000162599,NFIA,386,0.96624,34,-2.7692,221,0.04641,102,-1.2264,363,0.86047,133,-0.7371,397,1.01626,161,-0.4509,286,0.46467,174,-0.3271
ENSG00000162434,JAK1,179,1.81829,107,0.88662,106,0.87021,15,-2.2146,1,-5.1950,29,-1.1651,105,0.86285,18,-1.8884,103,0.81769,5,-3.7116
ENSG00000162433,AK4,120,1.86764,100,1.52571,109,1.68425,39,-0.0824,1,-4.5845,0,-7.1754,0,-5.6580,12,-1.7983,12,-1.8324,13,-1.6773
