Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000116251,RPL22,408,-0.6896,490,-0.3021,864,0.71809,1129,1.18854
ENSG00000116237,ICMT,54,0.32789,46,-0.0830,35,-0.4619,39,-0.2858
ENSG00000158292,GPR153,17,0.27370,14,-0.1397,16,0.07539,11,-0.5196
ENSG00000097021,ACOT7,483,0.97506,296,-0.3259,176,-1.0260,115,-1.6637
ENSG00000215788,TNFRSF25,27,-0.0865,33,0.45081,21,-0.4280,17,-0.7677
ENSG00000171680,PLEKHG5,35,0.58025,28,0.02492,19,-0.5862,7,-1.9606
ENSG00000162408,NOL9,31,-0.1583,38,0.36477,35,0.09924,19,-0.8584
ENSG00000162413,KLHL21,42,0.17371,39,-0.0085,33,-0.2514,33,-0.2244
ENSG00000116273,PHF13,17,-0.1613,21,0.35895,15,-0.2544,15,-0.3458
ENSG00000041988,THAP3,25,-0.0992,30,0.28334,26,-0.0542,19,-0.5224
ENSG00000007923,DNAJC11,42,-0.1700,57,0.59982,28,-0.7345,28,-0.7306
ENSG00000171735,CAMTA1,149,-0.3877,211,0.46120,181,0.04096,144,-0.3284
ENSG00000049245,VAMP3,14,-1.6687,21,-0.9430,47,0.56157,145,2.75328
ENSG00000049246,PER3,10,-1.1644,18,-0.0149,21,0.23439,48,1.64310
ENSG00000116288,PARK7,406,-0.0543,446,0.17445,403,-0.0468,343,-0.3044
ENSG00000116285,ERRFI1,26,0.50026,21,0.00559,10,-1.0672,13,-0.7152
ENSG00000162426,SLC45A1,62,0.40952,60,0.31618,31,-0.8380,9,-2.5764
ENSG00000142599,RERE,96,-0.0636,99,0.01282,111,0.17976,96,-0.0549
ENSG00000074800,ENO1,918,0.55921,645,-0.3207,751,0.02169,408,-0.9306
ENSG00000171612,SLC25A33,30,-0.5530,45,0.38660,58,0.65705,28,-0.5007
ENSG00000188807,TMEM201,19,-0.1618,17,-0.3441,8,-1.2840,49,1.49601
ENSG00000171603,CLSTN1,1037,0.64434,796,-0.0512,448,-0.9279,349,-1.3054
ENSG00000178585,CTNNBIP1,40,-0.1828,49,0.32508,50,0.21249,26,-0.7780
ENSG00000162441,LZIC,20,-1.0366,40,0.47849,33,0.00553,58,0.91111
ENSG00000130939,UBE4B,44,0.17908,43,0.10877,31,-0.4277,31,-0.4472
ENSG00000054523,KIF1B,243,-0.1778,307,0.40395,232,-0.1938,189,-0.5184
ENSG00000142657,PGD,69,0.15178,64,-0.0209,44,-0.6095,71,0.15533
ENSG00000241563,CORT,228,1.85946,59,-1.5484,82,-0.7065,55,-1.3024
ENSG00000160049,DFFA,25,-0.4378,23,-0.6093,52,0.85637,62,1.15725
ENSG00000142655,PEX14,36,0.43897,32,0.11044,18,-0.8228,14,-1.1504
ENSG00000120948,TARDBP,70,-0.0296,76,0.17545,56,-0.3665,68,-0.0642
ENSG00000116649,SRM,174,0.53258,124,-0.2980,120,-0.2569,102,-0.5092
ENSG00000171824,EXOSC10,26,0.05499,19,-0.6216,29,0.16452,46,0.96041
ENSG00000198793,MTOR,58,0.54739,40,-0.3249,43,-0.1264,31,-0.6348
ENSG00000116661,FBXO2,301,0.09805,200,-0.8047,596,1.22166,294,0.02488
ENSG00000132879,FBXO44,224,0.43314,195,0.07545,139,-0.4762,75,-1.4261
ENSG00000116670,MAD2L2,29,0.39625,21,-0.4000,31,0.36841,18,-0.5277
ENSG00000011021,CLCN6,78,0.39887,62,-0.1833,68,0.02165,40,-0.7764
ENSG00000116685,KIAA2013,52,0.25520,46,-0.0605,31,-0.6291,47,-0.0015
ENSG00000083444,PLOD1,22,-0.9084,37,0.27275,38,0.19990,60,0.96886
ENSG00000116688,MFN2,109,0.43359,85,-0.1804,66,-0.5159,77,-0.2824
ENSG00000116691,MIIP,16,-0.8349,30,0.62777,17,-0.4685,34,0.62388
ENSG00000048707,VPS13D,49,0.09510,52,0.20717,36,-0.4229,34,-0.5043
ENSG00000162496,DHRS3,25,-0.4002,31,0.06807,47,0.73403,29,-0.0482
ENSG00000116731,PRDM2,63,-0.2217,82,0.40535,56,-0.3576,61,-0.2117
ENSG00000189337,KAZN,48,0.05425,47,0.00563,30,-0.6747,59,0.36163
ENSG00000142634,EFHD2,46,-1.5519,166,1.55737,83,-0.2968,69,-0.5749
ENSG00000116138,DNAJC16,33,0.57399,21,-0.4959,19,-0.5189,29,0.13798
ENSG00000197312,DDI2,17,-0.3166,25,0.66892,13,-0.5498,13,-0.6469
ENSG00000116786,PLEKHM2,94,-0.1174,111,0.31075,113,0.22544,51,-1.0248
ENSG00000065526,SPEN,24,-0.4834,28,-0.1152,33,0.20399,54,1.00809
ENSG00000116809,ZBTB17,13,-0.6860,16,-0.1598,20,0.20714,39,1.34071
ENSG00000185519,FAM131C,21,-0.3314,24,0.01936,28,0.24019,33,0.48313
ENSG00000037637,FBXO42,30,0.58863,25,0.07161,13,-0.9537,8,-1.6967
ENSG00000055070,SZRD1,22,-0.6595,23,-0.5122,33,0.16984,82,1.76103
ENSG00000058453,CROCC,18,-0.0798,16,-0.3678,19,0.00559,32,0.90485
ENSG00000238142,BX284668.5,16,-0.1555,16,-0.0860,24,0.59743,16,-0.0671
ENSG00000159363,ATP13A2,270,0.44898,237,0.10581,154,-0.6092,86,-1.4948
ENSG00000117118,SDHB,122,0.41711,98,-0.1135,87,-0.2668,65,-0.7186
ENSG00000117115,PADI2,9,-2.6001,8,-2.6809,71,1.09582,228,3.84483
ENSG00000179051,RCC2,32,0.62346,19,-0.5486,34,0.49031,11,-1.2295
ENSG00000074964,ARHGEF10L,17,-0.0177,15,-0.2454,30,0.92665,12,-0.5927
ENSG00000117154,IGSF21,74,-0.2204,105,0.66867,57,-0.5677,42,-1.0239
ENSG00000159423,ALDH4A1,23,-1.0458,47,0.58871,66,0.93412,30,-0.3509
ENSG00000127463,EMC1,36,0.34832,28,-0.2562,24,-0.4347,34,0.10480
ENSG00000053372,MRTO4,37,0.13486,39,0.26002,24,-0.5965,23,-0.6768
ENSG00000053371,AKR7A2,42,0.35107,22,-1.0527,70,1.10382,38,0.07014
ENSG00000077549,CAPZB,228,0.17056,213,0.00493,174,-0.3160,188,-0.1935
ENSG00000173436,MICOS10,397,-0.0917,420,0.04671,456,0.16289,399,-0.0530
ENSG00000158747,NBL1,259,0.16005,236,-0.0633,261,0.11804,184,-0.4340
ENSG00000169914,OTUD3,15,-0.4254,24,0.77841,15,-0.2719,9,-1.0620
ENSG00000162545,CAMK2N1,1182,0.12656,1244,0.25627,934,-0.2922,587,-1.0097
ENSG00000090432,MUL1,27,-0.1195,33,0.39290,22,-0.3593,20,-0.4914
ENSG00000183114,FAM43B,10,-1.3890,32,1.36456,17,-0.3085,17,-0.2981
ENSG00000158828,PINK1,585,0.45139,470,-0.0991,447,-0.1488,237,-1.1272
ENSG00000244038,DDOST,47,0.70938,33,-0.2194,27,-0.4551,14,-1.4388
ENSG00000189410,SH2D5,44,0.42298,40,0.21412,21,-0.8874,13,-1.6028
ENSG00000127483,HP1BP3,119,-0.3270,158,0.34990,116,-0.2626,149,0.13665
ENSG00000075151,EIF4G3,144,0.39432,126,0.06028,56,-1.2139,95,-0.4092
ENSG00000117298,ECE1,15,-0.8341,18,-0.5220,20,-0.1761,74,2.09070
ENSG00000076864,RAP1GAP,228,0.36208,213,0.18233,133,-0.6264,80,-1.3881
ENSG00000090686,USP48,39,-0.1821,43,0.02164,26,-0.7377,70,0.81816
ENSG00000070831,CDC42,307,0.50482,228,-0.2329,160,-0.7099,223,-0.1977
ENSG00000173372,C1QA,16,-1.7280,27,-0.7182,75,1.12078,135,2.27365
ENSG00000159189,C1QC,12,-1.6915,17,-0.9916,67,1.50358,94,2.20176
ENSG00000173369,C1QB,29,-1.6624,49,-0.7109,118,0.91619,248,2.36042
ENSG00000004487,KDM1A,72,0.55063,57,-0.0456,42,-0.4943,23,-1.3996
ENSG00000169641,LUZP1,55,0.48918,46,0.05023,27,-0.8133,22,-1.1168
ENSG00000125944,HNRNPR,106,0.21628,102,0.13734,75,-0.4067,61,-0.7207
ENSG00000117318,ID3,18,-2.3971,12,-3.0274,124,1.02447,422,3.92367
ENSG00000142676,RPL11,374,-1.0265,498,-0.4488,909,0.66561,1672,1.77462
ENSG00000011007,ELOA,14,-0.5115,24,0.78180,13,-0.4993,13,-0.4664
ENSG00000057757,PITHD1,254,0.36178,237,0.17496,136,-0.7593,105,-1.1535
ENSG00000011009,LYPLA2,59,0.17695,60,0.23895,32,-0.8183,38,-0.5479
ENSG00000117308,GALE,37,1.04466,19,-0.5934,15,-0.7990,13,-0.9456
ENSG00000117305,HMGCL,21,-0.3072,26,0.25504,24,-0.0014,25,0.10695
ENSG00000189266,PNRC2,44,0.06755,43,0.00664,33,-0.3861,47,0.14252
ENSG00000188529,SRSF10,66,0.48537,41,-0.6493,38,-0.5603,82,0.65504
ENSG00000001461,NIPAL3,66,-0.0489,60,-0.2400,72,0.10742,94,0.55570
ENSG00000133226,SRRM1,33,-0.4798,41,0.00282,40,-0.0399,73,0.96823
ENSG00000169504,CLIC4,8,-2.5225,16,-1.3525,47,0.60815,177,3.42551
ENSG00000117614,SYF2,58,0.09854,47,-0.3825,59,0.08480,78,0.54781
ENSG00000117616,RSRP1,62,-0.1362,63,-0.0739,50,-0.4193,103,0.75557
ENSG00000183726,TMEM50A,109,0.64002,64,-0.6177,65,-0.4174,94,0.16503
ENSG00000204178,MACO1,29,0.08987,27,-0.1058,19,-0.5834,38,0.47027
ENSG00000117643,MAN1C1,76,1.13861,37,-0.6820,27,-0.9685,29,-0.8532
ENSG00000162430,SELENON,40,-0.4254,42,-0.2752,68,0.57084,82,0.89670
ENSG00000117640,MTFR1L,74,0.14018,72,0.07150,49,-0.5515,66,-0.0979
ENSG00000117632,STMN1,1684,0.73527,1146,-0.2579,739,-0.8583,746,-0.8442
ENSG00000158008,EXTL1,37,-0.6735,76,1.20646,33,-0.6366,16,-1.7273
ENSG00000142684,ZNF593,36,-0.0600,41,0.24938,36,-0.0337,26,-0.5635
ENSG00000142669,SH3BGRL3,274,-0.0492,280,-0.0015,280,-0.0007,304,0.13094
ENSG00000158062,UBXN11,22,-0.3370,30,0.36022,30,0.22786,20,-0.3876
ENSG00000117682,DHDDS,29,0.68342,17,-0.5756,26,0.23042,13,-0.8370
ENSG00000198830,HMGN2,100,-0.7961,136,-0.1442,176,0.31248,326,1.38626
ENSG00000117713,ARID1A,41,-0.3253,49,0.13459,66,0.54665,42,-0.1591
ENSG00000204160,ZDHHC18,54,0.72042,31,-0.6290,35,-0.2714,38,-0.1498
ENSG00000142751,GPN2,19,0.18111,21,0.37163,10,-0.8871,9,-1.0853
ENSG00000090273,NUDC,159,-0.2486,192,0.20056,181,0.03578,185,0.07114
ENSG00000253368,TRNP1,98,0.33389,95,0.25297,66,-0.4084,20,-2.2116
ENSG00000090020,SLC9A1,35,0.75126,23,-0.3462,14,-1.0062,20,-0.4590
ENSG00000142784,WDTC1,24,-0.7121,41,0.53778,27,-0.3212,46,0.51804
ENSG00000186501,TMEM222,83,-0.1066,100,0.35871,62,-0.5134,73,-0.2674
ENSG00000158195,WASF2,13,-1.5970,21,-0.6776,40,0.50250,115,2.52007
ENSG00000126705,AHDC1,45,0.00302,56,0.57811,25,-0.8713,19,-1.2913
ENSG00000126709,IFI6,84,-0.1046,85,-0.0785,71,-0.3327,131,0.65838
ENSG00000117758,STX12,105,0.19689,96,-0.0110,81,-0.2829,82,-0.2584
ENSG00000117751,PPP1R8,22,-0.4583,34,0.59829,18,-0.6342,28,0.06600
ENSG00000117748,RPA2,64,0.43166,41,-0.6327,53,-0.0303,69,0.39833
ENSG00000126698,DNAJC8,104,-0.2812,131,0.26530,96,-0.3222,141,0.28582
ENSG00000130770,ATP5IF1,790,0.56891,605,-0.1186,501,-0.3766,276,-1.2883
ENSG00000180098,TRNAU1AP,18,-0.4263,28,0.71223,16,-0.4646,15,-0.5213
ENSG00000120656,TAF12,15,-0.2067,18,0.13760,14,-0.2302,21,0.35242
ENSG00000198492,YTHDF2,103,0.65577,76,-0.1142,50,-0.7496,36,-1.2514
ENSG00000116350,SRSF4,48,0.03660,50,0.13021,27,-0.8354,53,0.20354
ENSG00000116353,MECR,38,0.16442,35,-0.0423,40,0.18153,24,-0.6188
ENSG00000060656,PTPRU,6,-2.2579,40,2.45444,4,-2.4704,14,-0.4990
ENSG00000162511,LAPTM5,25,-1.5117,41,-0.6064,89,0.82013,187,2.22568
ENSG00000162512,SDC3,179,-0.1917,214,0.24240,210,0.12985,159,-0.3126
ENSG00000134644,PUM1,142,0.09597,159,0.37612,89,-0.6788,75,-0.9285
ENSG00000060688,SNRNP40,19,-0.5347,26,0.14930,30,0.32616,34,0.52079
ENSG00000121766,ZCCHC17,117,0.01511,133,0.33751,97,-0.2902,66,-0.8792
ENSG00000121769,FABP3,330,0.94896,206,-0.2964,135,-0.8669,65,-1.9483
ENSG00000162517,PEF1,113,0.20435,119,0.33404,56,-0.9633,57,-0.9319
ENSG00000084636,COL16A1,35,-0.5605,43,-0.1221,45,-0.0210,96,1.25959
ENSG00000121753,ADGRB2,362,0.48612,313,0.10023,189,-0.7248,112,-1.5182
ENSG00000184007,PTP4A2,144,-0.4668,145,-0.4411,164,-0.1143,446,1.60174
ENSG00000121774,KHDRBS1,112,0.15916,102,-0.0644,80,-0.4311,113,0.12082
ENSG00000121775,TMEM39B,23,0.36729,22,0.22245,8,-1.4214,12,-0.7918
ENSG00000025800,KPNA6,44,0.14132,44,0.14135,35,-0.2659,28,-0.6076
ENSG00000084652,TXLNA,29,-0.2509,34,0.07288,38,0.22530,37,0.20857
ENSG00000160050,CCDC28B,19,-0.1288,16,-0.3952,27,0.49084,30,0.66509
ENSG00000084623,EIF3I,129,0.03005,129,0.02826,128,0.00316,115,-0.1665
ENSG00000175130,MARCKSL1,165,-1.1603,210,-0.6903,480,0.84787,897,2.02400
ENSG00000160058,BSDC1,73,-0.0965,85,0.26508,48,-0.7203,82,0.12353
ENSG00000176261,ZBTB8OS,61,0.30135,49,-0.2606,59,0.13050,45,-0.2954
ENSG00000162521,RBBP4,108,0.37651,87,-0.1528,62,-0.6363,88,-0.0908
ENSG00000162522,KIAA1522,20,0.07674,23,0.34578,17,-0.2310,8,-1.3403
ENSG00000134684,YARS,139,0.56659,109,-0.0733,77,-0.5888,52,-1.1868
ENSG00000160097,FNDC5,47,0.96974,29,-0.3100,21,-0.7309,7,-2.3538
ENSG00000121905,HPCA,384,0.48625,352,0.25086,157,-1.0899,79,-2.1078
ENSG00000121900,TMEM54,50,-0.1351,55,0.05607,68,0.38234,46,-0.2326
ENSG00000116514,RNF19B,30,0.32766,28,0.14993,13,-1.1084,18,-0.5557
ENSG00000004455,AK2,25,-0.2488,19,-0.8053,28,-0.0186,75,1.70276
ENSG00000142920,AZIN2,40,0.56670,27,-0.3955,15,-1.1542,39,0.28552
ENSG00000160094,ZNF362,23,0.12234,22,0.03458,16,-0.4369,21,-0.0345
ENSG00000134686,PHC2,65,-0.3570,72,-0.1375,76,-0.0029,138,0.98712
ENSG00000163866,SMIM12,73,0.43696,56,-0.1895,42,-0.5829,54,-0.2097
ENSG00000116544,DLGAP3,51,-0.6724,87,0.60427,89,0.41988,50,-0.5114
ENSG00000116560,SFPQ,122,-0.5249,188,0.50941,143,-0.1217,160,0.06009
ENSG00000146463,ZMYM4,38,0.24576,38,0.19616,34,-0.0379,9,-1.9569
ENSG00000142687,KIAA0319L,63,-0.1701,78,0.36548,53,-0.3788,59,-0.2181
ENSG00000020129,NCDN,925,0.78453,679,-0.0453,292,-1.3338,213,-1.8068
ENSG00000126067,PSMB2,136,0.47844,110,-0.0519,82,-0.5015,61,-0.9527
ENSG00000142686,C1orf216,133,0.43631,120,0.18128,67,-0.7947,39,-1.6133
ENSG00000092847,AGO1,24,-0.8589,51,0.93207,28,-0.4307,35,-0.0784
ENSG00000116863,ADPRHL2,27,0.28785,23,-0.1038,18,-0.4276,22,-0.1305
ENSG00000054116,TRAPPC3,70,0.39968,54,-0.2553,51,-0.2420,53,-0.2067
ENSG00000116871,MAP7D1,202,0.19759,187,0.00209,163,-0.2195,148,-0.3680
ENSG00000054118,THRAP3,43,-0.3521,59,0.41994,43,-0.2406,50,-0.0077
ENSG00000196182,STK40,19,-0.2622,22,0.16194,23,0.15543,22,0.08438
ENSG00000181817,LSM10,71,0.28506,63,-0.0001,48,-0.4393,48,-0.4324
ENSG00000116885,OSCP1,36,1.07206,18,-0.6708,14,-0.8095,15,-0.7589
ENSG00000116898,MRPS15,68,0.06755,65,-0.0513,47,-0.5415,84,0.37968
ENSG00000163873,GRIK3,11,-1.5492,43,1.90740,13,-0.9016,10,-1.2723
ENSG00000163875,MEAF6,140,0.53899,119,0.11417,70,-0.7638,31,-1.9788
ENSG00000185090,MANEAL,69,0.83721,45,-0.2595,27,-0.9545,22,-1.2549
ENSG00000196449,YRDC,30,0.64745,21,-0.2139,7,-1.7242,21,-0.1391
ENSG00000197982,C1orf122,212,-0.4949,267,0.02671,312,0.27044,413,0.73676
ENSG00000183431,SF3A3,32,-0.0829,37,0.27082,24,-0.4790,31,-0.0971
ENSG00000183520,UTP11,39,0.52791,24,-0.5545,26,-0.2669,36,0.19950
ENSG00000116954,RRAGC,53,0.53269,40,-0.1441,19,-1.2253,37,-0.2140
ENSG00000174574,AKIRIN1,119,1.03397,52,-0.9575,66,-0.3379,71,-0.2315
ENSG00000168653,NDUFS5,779,0.08442,819,0.20831,646,-0.2435,489,-0.6771
ENSG00000127603,MACF1,123,-0.0076,110,-0.2626,126,0.03175,176,0.57565
ENSG00000090621,PABPC4,50,-0.3001,49,-0.3399,68,0.28829,106,1.02372
ENSG00000116983,HPCAL4,232,-0.0579,291,0.51688,200,-0.2803,89,-1.5089
ENSG00000084072,PPIE,40,-0.0815,45,0.15265,36,-0.2323,42,0.02283
ENSG00000131236,CAP1,146,0.29527,118,-0.2197,115,-0.1974,127,-0.0384
ENSG00000131238,PPT1,168,0.55425,123,-0.2334,119,-0.2191,76,-0.8964
ENSG00000084073,ZMPSTE24,42,0.28793,39,0.13970,28,-0.4367,19,-1.0189
ENSG00000084070,SMAP2,193,0.75361,131,-0.2597,78,-0.9697,87,-0.8136
ENSG00000117016,RIMS3,98,0.22510,94,0.12143,69,-0.4153,58,-0.6819
ENSG00000066136,NFYC,60,0.66810,38,-0.4612,28,-0.7670,45,-0.0313
ENSG00000179862,CITED4,30,0.99194,17,-0.4741,6,-1.7782,15,-0.4698
ENSG00000171793,CTPS1,25,0.45330,22,0.10583,13,-0.7528,9,-1.2987
ENSG00000127124,HIVEP3,19,-0.0230,22,0.35355,17,-0.1448,10,-1.0033
ENSG00000198815,FOXJ3,69,0.41983,61,0.10894,31,-0.9769,33,-0.8811
ENSG00000177181,RIMKLA,44,0.41715,38,0.05183,24,-0.6633,20,-0.9374
ENSG00000127125,PPCS,77,0.45030,54,-0.3815,63,-0.0300,56,-0.2277
ENSG00000171960,PPIH,23,-0.0519,31,0.70077,14,-0.7684,6,-1.9841
ENSG00000065978,YBX1,50,-1.1725,78,-0.2668,136,0.71588,230,1.66744
ENSG00000164008,C1orf50,31,0.35051,24,-0.2592,33,0.28969,17,-0.7196
ENSG00000177868,SVBP,56,0.29794,46,-0.2045,34,-0.5884,57,0.21534
ENSG00000117394,SLC2A1,45,-1.2964,48,-1.1840,74,-0.2337,406,3.01592
ENSG00000117395,EBNA1BP2,101,0.36691,95,0.22700,43,-1.0738,43,-1.0997
ENSG00000066322,ELOVL1,8,-2.6547,8,-2.6908,59,0.77479,240,4.06900
ENSG00000159479,MED8,29,0.47286,26,0.15128,10,-1.2579,12,-1.0899
ENSG00000178922,HYI,18,-0.5392,16,-0.7756,32,0.48454,64,1.74012
ENSG00000142949,PTPRF,157,0.50779,121,-0.1531,113,-0.2071,65,-1.0553
ENSG00000126091,ST3GAL3,45,-0.2529,66,0.70777,27,-0.9396,33,-0.6713
ENSG00000117408,IPO13,50,-0.7278,71,0.04475,69,-0.0030,143,1.22092
ENSG00000117410,ATP6V0B,706,0.59189,517,-0.1983,357,-0.7132,382,-0.6107
ENSG00000117411,B4GALT2,74,-0.2088,89,0.23244,108,0.46280,50,-0.7450
ENSG00000159214,CCDC24,29,0.69863,21,-0.1331,16,-0.4752,6,-1.9348
ENSG00000178028,DMAP1,67,0.26228,54,-0.2520,55,-0.1402,63,0.08165
ENSG00000117419,ERI3,241,0.29053,210,-0.0525,196,-0.1488,147,-0.5962
ENSG00000187147,RNF220,142,0.01715,141,-0.0047,115,-0.3270,164,0.24803
ENSG00000142937,RPS8,848,-0.4808,824,-0.5432,1470,0.55153,2340,1.36736
ENSG00000070785,EIF2B3,45,1.23219,21,-0.7120,23,-0.3513,6,-2.4217
ENSG00000126107,HECTD3,19,0.42960,14,-0.1906,12,-0.3962,13,-0.3478
ENSG00000126088,UROD,99,0.25049,91,0.04025,73,-0.3186,62,-0.5801
ENSG00000117450,PRDX1,353,-0.2678,377,-0.1188,521,0.44459,523,0.45119
ENSG00000117448,AKR1A1,50,0.12070,41,-0.3433,57,0.29889,54,0.22650
ENSG00000132780,NASP,22,-0.4778,30,0.21961,31,0.20434,35,0.37250
ENSG00000159592,GPBP1L1,35,0.04025,25,-0.6847,33,-0.0386,70,1.19252
ENSG00000159596,TMEM69,27,0.76026,18,-0.2351,9,-1.2753,13,-0.6962
ENSG00000086015,MAST2,39,0.37187,33,-0.0848,32,-0.1171,19,-0.8528
ENSG00000085998,POMGNT1,80,0.13333,76,-0.0108,61,-0.3464,75,-0.0150
ENSG00000132128,LRRC41,70,0.51195,54,-0.1615,49,-0.2430,31,-0.9786
ENSG00000173660,UQCRH,887,0.37077,791,0.07592,640,-0.2850,312,-1.3858
ENSG00000117480,FAAH,37,-0.1969,39,-0.1033,42,0.03824,60,0.63229
ENSG00000079277,MKNK1,39,0.80440,25,-0.3878,25,-0.2514,11,-1.4476
ENSG00000123472,ATPAF1,128,-0.0342,136,0.11015,134,0.05719,108,-0.2845
ENSG00000159658,EFCAB14,38,-0.6480,47,-0.1813,75,0.62729,94,1.02893
ENSG00000186377,CYP4X1,43,1.18850,23,-0.5049,9,-1.6503,12,-1.3028
ENSG00000162368,CMPK1,106,0.06930,109,0.13487,71,-0.5872,100,-0.0500
ENSG00000162373,BEND5,54,1.10910,28,-0.5992,25,-0.5942,13,-1.5722
ENSG00000162374,ELAVL4,210,0.64580,163,-0.0224,95,-0.8616,58,-1.5914
ENSG00000185104,FAF1,38,-0.0237,42,0.26059,27,-0.5322,34,-0.1932
ENSG00000123091,RNF11,530,0.29376,535,0.32213,230,-1.1127,220,-1.1769
ENSG00000085832,EPS15,181,0.15630,185,0.21596,132,-0.3963,101,-0.8128
ENSG00000117859,OSBPL9,12,-0.5467,11,-0.6347,30,1.11120,30,1.10299
ENSG00000078618,NRDC,106,0.50966,80,-0.1885,62,-0.5269,63,-0.5102
ENSG00000169213,RAB3B,150,0.24966,162,0.46896,87,-0.6858,18,-3.0406
ENSG00000117862,TXNDC12,34,0.01395,32,-0.0977,29,-0.2463,43,0.40401
ENSG00000134717,BTF3L4,84,0.40872,69,-0.0795,59,-0.2916,43,-0.7886
ENSG00000157077,ZFYVE9,27,-0.0253,33,0.50294,19,-0.5861,13,-1.0931
ENSG00000134748,PRPF38A,18,-0.2390,15,-0.5979,25,0.36715,42,1.24017
ENSG00000162377,COA7,22,0.03869,26,0.45159,11,-1.1096,15,-0.6142
ENSG00000162378,ZYG11B,133,-0.0412,180,0.75170,68,-1.0633,37,-1.9746
ENSG00000116171,SCP2,99,0.44254,67,-0.4935,84,0.01109,85,0.04136
ENSG00000162384,CZIB,74,0.11270,67,-0.1221,64,-0.1702,79,0.17375
