Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000197785,ATAD3A,8,-0.8521,5,-1.4982,6,-1.2455,10,-0.5656,26,1.20005,8,-0.8198,10,-0.4645,28,1.13232,13,-0.0794
ENSG00000205090,TMEM240,31,-0.3081,29,-0.3795,27,-0.5202,51,0.52186,41,0.19077,41,0.13853,35,-0.1130,37,-0.0178,40,0.10032
ENSG00000160075,SSU72,155,-0.0370,96,-0.7857,177,0.18311,123,-0.3937,179,0.22811,162,0.03410,147,-0.1228,177,0.17488,189,0.28241
ENSG00000228594,FNDC10,23,-0.2758,24,-0.1626,16,-0.7799,60,1.32456,30,0.15933,19,-0.5843,30,0.15556,18,-0.5992,22,-0.3254
ENSG00000272106,AL691432.2,19,-0.3857,18,-0.5193,19,-0.3991,20,-0.3436,35,0.64847,48,1.09924,18,-0.5398,21,-0.2525,15,-0.7661
ENSG00000197530,MIB2,11,-1.3362,20,-0.3994,16,-0.7634,28,0.10810,35,0.55666,28,0.13382,26,0.02095,14,-0.8909,46,0.94698
ENSG00000248333,CDK11B,24,0.88984,12,-0.2305,6,-1.1702,17,0.34689,15,0.11222,9,-0.6062,17,0.36102,9,-0.6435,14,-0.0024
ENSG00000189339,SLC35E2B,21,0.33002,13,-0.3505,11,-0.5853,28,0.83375,13,-0.3816,12,-0.4673,23,0.46885,11,-0.6579,22,0.40924
ENSG00000008128,CDK11A,14,0.50887,9,-0.1559,6,-0.7021,23,1.41125,10,-0.0117,10,0.01080,4,-1.1822,7,-0.5465,6,-0.7000
ENSG00000215790,SLC35E2A,18,-0.1729,20,-0.0587,19,-0.1318,28,0.49889,19,-0.1752,21,0.03907,18,-0.1751,28,0.45683,17,-0.3446
ENSG00000008130,NADK,28,0.24894,12,-1.0001,19,-0.3480,24,0.03432,25,0.09637,33,0.52016,20,-0.2950,34,0.57805,17,-0.4622
ENSG00000078369,GNB1,326,-0.3790,317,-0.4212,305,-0.4814,391,-0.0899,405,-0.0377,502,0.31246,462,0.17634,455,0.15328,571,0.52444
ENSG00000187730,GABRD,51,-1.4011,40,-1.7685,112,-0.2040,83,-0.6630,213,1.00737,159,0.36468,129,0.02462,150,0.26222,122,-0.0695
ENSG00000067606,PRKCZ,156,-0.3009,134,-0.5359,140,-0.4706,253,0.47754,214,0.23359,182,-0.0605,209,0.16683,160,-0.2596,224,0.27623
ENSG00000162585,FAAP20,52,0.37202,48,0.23333,33,-0.3377,48,0.24921,20,-1.2169,23,-0.8853,74,0.96723,37,-0.1681,58,0.53885
ENSG00000157933,SKI,32,-0.0096,33,0.02420,31,-0.0336,32,-0.0032,32,-0.0039,30,-0.1219,19,-0.7884,49,0.68135,31,-0.0407
ENSG00000157916,RER1,72,0.31716,40,-0.6309,68,0.22998,48,-0.3408,72,0.34703,44,-0.4649,62,0.07649,65,0.14394,51,-0.2486
ENSG00000157911,PEX10,14,-0.5735,23,0.17610,21,0.01498,16,-0.4460,20,-0.0958,23,0.17618,17,-0.3399,27,0.38079,28,0.48311
ENSG00000149527,PLCH2,12,-0.1297,2,-2.2633,15,0.31146,12,-0.0944,14,0.17673,2,-2.3503,32,1.55929,12,-0.0792,11,-0.2350
ENSG00000157881,PANK4,9,-0.8620,12,-0.4495,13,-0.3559,13,-0.2905,18,0.15089,28,0.87290,19,0.27045,18,0.13375,15,-0.1538
ENSG00000197921,HES5,2,-2.6432,18,0.35524,20,0.49496,19,0.38920,4,-2.0697,6,-1.3024,35,1.47436,21,0.59252,17,0.25323
ENSG00000157870,PRXL2B,64,-0.1753,42,-0.8047,68,-0.0624,72,0.01946,100,0.63910,54,-0.4242,77,0.11952,67,-0.1031,68,-0.0807
ENSG00000177133,PRDM16-DT,7,-1.0291,26,1.06423,35,1.54727,10,-0.5152,1,-3.2314,11,-0.3578,22,0.74725,14,-0.0262,11,-0.3286
ENSG00000158109,TPRG1L,142,-0.2337,87,-0.9902,145,-0.1925,196,0.29005,224,0.58614,167,0.02790,157,-0.0684,160,-0.0426,139,-0.2646
ENSG00000130764,LRRC47,69,-0.0356,37,-1.0233,46,-0.6635,84,0.26087,79,0.18780,69,-0.0452,97,0.51193,57,-0.3452,93,0.44364
ENSG00000116198,CEP104,12,-0.0042,16,0.48801,11,-0.0716,29,1.52436,12,-0.0250,12,-0.0335,1,-2.9871,6,-1.0255,8,-0.6324
ENSG00000198912,C1orf174,16,0.58837,8,-0.4502,4,-1.5862,19,0.88276,14,0.42339,10,-0.0933,4,-1.4547,9,-0.2945,12,0.13111
ENSG00000196581,AJAP1,20,-1.2549,17,-1.5320,30,-0.6662,35,-0.4150,61,0.49783,55,0.27473,62,0.46021,59,0.38941,64,0.51612
ENSG00000069424,KCNAB2,125,-0.8068,106,-1.0464,240,0.22583,152,-0.5035,254,0.36270,264,0.37928,186,-0.1870,222,0.09657,286,0.51362
ENSG00000116254,CHD5,67,-0.8932,102,-0.2366,105,-0.2032,227,1.08090,134,0.22167,78,-0.6574,103,-0.2255,112,-0.0879,126,0.09521
ENSG00000116251,RPL22,823,0.77565,606,0.26319,610,0.27322,332,-0.6897,337,-0.7316,505,-0.0324,538,0.07072,629,0.32492,433,-0.2736
ENSG00000116237,ICMT,34,0.01308,20,-0.8111,36,0.09412,25,-0.4356,50,0.74759,37,0.13274,35,0.05446,29,-0.2495,22,-0.6878
ENSG00000158292,GPR153,18,0.46851,9,-0.4793,7,-0.9790,10,-0.3561,16,0.31945,19,0.63661,13,-0.0461,11,-0.3059,12,-0.0821
ENSG00000097021,ACOT7,188,-0.6908,116,-1.4216,220,-0.4409,308,0.08690,451,0.84082,279,-0.0687,269,-0.1262,276,-0.0880,357,0.32870
ENSG00000171680,PLEKHG5,11,-1.2909,11,-1.2030,28,0.14866,23,-0.1356,39,0.82694,35,0.53736,20,-0.3830,30,0.30978,16,-0.7161
ENSG00000162408,NOL9,52,1.05036,19,-0.5859,28,0.03814,32,0.23594,25,-0.1820,22,-0.3664,27,-0.0219,23,-0.2659,23,-0.3006
ENSG00000162413,KLHL21,30,0.35626,25,0.07893,18,-0.4406,17,-0.4996,29,0.34545,22,-0.1140,35,0.63080,12,-0.9951,21,-0.2008
ENSG00000116273,PHF13,16,0.08454,11,-0.4611,16,0.12155,16,0.08127,18,0.28994,14,-0.1336,9,-0.7736,22,0.63431,11,-0.5030
ENSG00000041988,THAP3,17,-0.2592,8,-1.3225,22,0.15730,21,0.09613,19,-0.1049,23,0.27358,31,0.71381,16,-0.3124,22,0.19460
ENSG00000007923,DNAJC11,14,-0.9239,20,-0.3578,24,-0.0724,32,0.36521,24,-0.0868,31,0.35956,24,-0.0784,26,0.07642,32,0.41106
ENSG00000171735,CAMTA1,134,-0.0953,142,-0.0057,91,-0.7047,260,1.00752,106,-0.5119,145,0.03076,168,0.27308,129,-0.1540,141,-0.0085
ENSG00000049245,VAMP3,60,1.60137,31,0.45352,20,-0.2438,18,-0.4062,10,-1.3964,19,-0.3335,25,0.07926,23,-0.0532,20,-0.2934
ENSG00000049246,PER3,30,0.44160,16,-0.4760,20,-0.2069,20,-0.2022,22,-0.0614,25,0.17037,37,0.79712,17,-0.4609,17,-0.3913
ENSG00000116288,PARK7,336,-0.2110,359,-0.1082,420,0.14547,195,-1.0508,387,0.01396,365,-0.0807,522,0.50233,415,0.12495,453,0.26706
ENSG00000116285,ERRFI1,31,0.60827,17,-0.3436,10,-1.0555,26,0.30700,23,0.11796,25,0.24690,15,-0.5722,17,-0.2959,26,0.30403
ENSG00000162426,SLC45A1,11,-1.0963,9,-1.4068,16,-0.5264,33,0.56469,34,0.72572,26,0.21148,23,-0.0160,18,-0.3940,26,0.21405
ENSG00000142599,RERE,106,0.12559,80,-0.3261,68,-0.5682,88,-0.1756,81,-0.3331,110,0.17391,133,0.48576,141,0.58093,96,-0.0476
ENSG00000074800,ENO1,549,-0.3181,485,-0.5115,694,0.05300,577,-0.2418,839,0.41384,767,0.21337,480,-0.5288,763,0.20613,722,0.11688
ENSG00000142583,SLC2A5,6,-0.6878,18,1.04332,6,-0.5480,8,-0.1434,3,-1.5789,9,0.00240,17,0.99039,14,0.64229,7,-0.3316
ENSG00000171612,SLC25A33,34,0.19851,50,0.81176,31,0.01114,38,0.35498,18,-0.8355,41,0.48466,43,0.57318,16,-0.9823,14,-1.2027
ENSG00000188807,TMEM201,3,-1.6975,7,-0.5324,9,-0.0145,23,1.46479,6,-0.6585,10,0.03445,15,0.68541,8,-0.3059,8,-0.1896
ENSG00000171603,CLSTN1,416,-0.6088,297,-1.1262,365,-0.8112,670,0.14282,915,0.76693,640,0.06915,640,0.06962,653,0.10158,619,0.01666
ENSG00000178585,CTNNBIP1,12,-1.0271,29,0.30565,21,-0.2428,52,1.27094,15,-0.8204,10,-1.3193,35,0.59379,26,0.14152,27,0.16609
ENSG00000162441,LZIC,29,0.14016,33,0.37072,24,-0.1163,27,0.04507,19,-0.5726,25,-0.0647,19,-0.5165,35,0.44219,33,0.37958
ENSG00000130939,UBE4B,34,0.10905,23,-0.4897,20,-0.7224,45,0.56359,45,0.64999,25,-0.4034,33,0.02532,21,-0.6529,28,-0.1914
ENSG00000054523,KIF1B,209,-0.0330,226,0.09281,165,-0.4078,316,0.64317,197,-0.1384,161,-0.4489,247,0.23803,220,0.04854,196,-0.1386
ENSG00000142657,PGD,52,0.57848,33,-0.1754,32,-0.2180,51,0.52313,38,0.05757,18,-1.0786,44,0.27949,34,-0.1204,27,-0.4500
ENSG00000175279,CENPS,8,-0.7243,5,-1.3847,17,0.46957,11,-0.1886,13,0.14443,14,0.16694,25,1.18134,8,-0.5853,9,-0.4262
ENSG00000241563,CORT,65,-0.2039,47,-0.7172,15,-2.4171,311,2.69565,8,-3.3740,9,-3.1713,240,2.10354,18,-2.1431,19,-2.0383
ENSG00000160049,DFFA,64,1.20249,26,-0.3177,21,-0.5911,34,0.12886,23,-0.5140,29,-0.1304,34,0.14436,31,-0.0086,27,-0.2121
ENSG00000142655,PEX14,25,0.16585,14,-0.7434,22,-0.0785,27,0.24769,24,0.09115,27,0.26224,31,0.47570,14,-0.6963,20,-0.1806
ENSG00000120948,TARDBP,76,0.43724,37,-0.6833,50,-0.2252,51,-0.2212,63,0.14418,49,-0.2822,62,0.11248,53,-0.1389,77,0.44785
ENSG00000116649,SRM,77,-0.2856,59,-0.7076,73,-0.3667,55,-0.7910,119,0.47397,92,-0.0082,150,0.80664,57,-0.7512,121,0.44292
ENSG00000171824,EXOSC10,13,-0.5514,13,-0.5486,6,-1.5580,18,-0.0091,23,0.46592,15,-0.2639,27,0.64689,20,0.16235,22,0.33568
ENSG00000198793,MTOR,26,-0.5469,17,-1.2004,41,0.13681,30,-0.3478,50,0.52287,31,-0.3056,48,0.38297,48,0.38701,35,-0.1012
ENSG00000116661,FBXO2,242,0.02955,244,0.04275,291,0.32805,184,-0.4021,229,-0.0620,182,-0.4195,270,0.20670,256,0.12097,247,0.06475
ENSG00000132879,FBXO44,129,-0.1659,65,-1.2232,91,-0.7061,135,-0.0937,226,0.88211,166,0.24440,74,-1.0180,197,0.52180,121,-0.2571
ENSG00000116670,MAD2L2,10,-1.2093,17,-0.4646,18,-0.3256,9,-1.3258,31,0.58750,40,0.92916,26,0.18667,27,0.26368,18,-0.3914
ENSG00000177674,AGTRAP,26,1.72220,16,0.88297,7,-0.4604,7,-0.4519,4,-1.3977,7,-0.4353,15,0.67500,6,-0.7738,3,-1.5096
ENSG00000177000,MTHFR,9,-0.4699,13,0.12489,8,-0.7240,31,1.59464,9,-0.4978,11,-0.1720,7,-0.8031,7,-0.8755,18,0.62443
ENSG00000011021,CLCN6,26,-0.7105,30,-0.4778,21,-1.0326,76,1.01794,61,0.75155,25,-0.7756,42,0.01407,30,-0.4905,40,-0.0653
ENSG00000116685,KIAA2013,38,0.46545,20,-0.5030,16,-0.8385,32,0.21526,37,0.50685,23,-0.2776,30,0.12147,21,-0.4626,26,-0.1158
ENSG00000083444,PLOD1,28,1.10855,14,-0.0410,9,-0.7192,18,0.32227,18,0.43179,8,-0.8495,10,-0.5420,11,-0.3432,9,-0.7404
ENSG00000116688,MFN2,63,-0.3790,46,-0.8644,60,-0.4682,93,0.22828,87,0.14415,76,-0.0866,82,0.02509,106,0.44096,105,0.43279
ENSG00000116691,MIIP,13,-0.1149,10,-0.4514,6,-1.1076,14,0.07320,20,0.73537,19,0.50740,9,-0.5437,11,-0.3007,13,-0.0946
ENSG00000028137,TNFRSF1B,169,3.46710,41,0.50087,17,-0.9063,8,-1.8997,4,-2.9397,18,-0.8222,11,-1.5096,23,-0.4293,7,-2.2080
ENSG00000048707,VPS13D,46,0.13010,26,-0.7734,36,-0.2635,70,0.81497,44,0.06520,30,-0.5423,42,-0.0353,40,-0.0779,47,0.16897
ENSG00000162496,DHRS3,33,1.15735,25,0.67492,11,-0.5324,27,0.83342,7,-1.4514,12,-0.4959,18,0.20278,5,-1.7630,18,0.18643
ENSG00000116731,PRDM2,63,-0.2497,77,0.05328,51,-0.5979,91,0.33085,103,0.61093,85,0.21910,37,-1.0847,69,-0.1051,64,-0.2414
ENSG00000189337,KAZN,47,0.53367,19,-0.8469,14,-1.3257,79,1.47210,22,-0.7057,15,-1.1690,63,1.06079,22,-0.6457,30,-0.1553
ENSG00000142634,EFHD2,129,0.80171,69,-0.2150,41,-1.0317,305,2.48399,36,-1.2991,9,-3.1960,59,-0.4715,36,-1.2015,72,-0.1498
ENSG00000116138,DNAJC16,16,-0.2735,9,-1.0974,12,-0.6865,29,0.63019,28,0.67058,21,0.14580,19,-0.0601,16,-0.3101,16,-0.3062
ENSG00000197312,DDI2,18,-0.1552,16,-0.3090,8,-1.3085,32,0.75039,30,0.74917,13,-0.7106,13,-0.6470,22,0.15559,18,-0.1553
ENSG00000116786,PLEKHM2,39,-0.3205,57,0.28260,43,-0.1699,47,-0.0310,46,-0.0758,53,0.15199,46,-0.0720,51,0.10227,52,0.11637
ENSG00000065526,SPEN,47,0.86935,45,0.78444,15,-0.8995,42,0.68446,27,-0.0283,22,-0.3668,18,-0.7118,11,-1.3898,23,-0.3053
ENSG00000116809,ZBTB17,14,0.17436,12,0.03407,11,-0.1974,11,-0.1153,16,0.54374,9,-0.5090,10,-0.2677,10,-0.3260,12,-0.0057
ENSG00000185519,FAM131C,12,-0.2852,13,-0.1418,14,-0.0196,24,0.78344,5,-1.8099,11,-0.3915,43,1.86192,7,-1.1734,13,-0.2336
ENSG00000037637,FBXO42,7,-1.3058,9,-0.9735,12,-0.5711,30,0.89994,22,0.42780,18,0.07791,12,-0.5687,23,0.41296,19,0.10785
ENSG00000055070,SZRD1,17,-0.1438,32,0.86484,21,0.17036,17,-0.1435,10,-0.9880,18,-0.1170,26,0.47905,22,0.21048,16,-0.2598
ENSG00000157191,NECAP2,13,0.17225,15,0.41814,12,0.09300,14,0.32706,5,-1.2167,13,0.20118,18,0.68627,12,0.05655,7,-0.6640
ENSG00000159363,ATP13A2,54,-0.9731,57,-0.8791,79,-0.3844,142,0.55569,103,0.03291,60,-0.7991,153,0.68748,98,-0.0472,160,0.75673
ENSG00000117118,SDHB,90,-0.0148,59,-0.6719,95,0.08506,66,-0.4916,108,0.32218,103,0.20625,97,0.11866,92,0.02008,87,-0.0586
ENSG00000117115,PADI2,72,1.07329,79,1.23222,41,0.12137,32,-0.2532,16,-1.4302,36,-0.0949,30,-0.3552,40,0.07460,17,-1.1842
ENSG00000179051,RCC2,7,-0.7142,11,-0.0581,16,0.56545,16,0.53027,12,0.11924,11,0.01830,8,-0.5820,12,0.06703,8,-0.5052
ENSG00000074964,ARHGEF10L,4,-1.2058,13,0.69957,10,0.25030,9,0.07023,5,-0.9766,6,-0.4457,8,-0.1403,14,0.72576,13,0.61037
ENSG00000117154,IGSF21,35,-0.6521,41,-0.4198,27,-1.0257,92,0.89392,70,0.49807,45,-0.2569,48,-0.1611,56,0.07961,50,-0.1173
ENSG00000159423,ALDH4A1,9,-1.3097,45,1.29334,30,0.56191,14,-0.5791,20,-0.0916,15,-0.5323,21,0.03602,18,-0.2164,17,-0.3148
ENSG00000127463,EMC1,28,0.07878,16,-0.8022,20,-0.4472,38,0.56272,34,0.47094,21,-0.3633,28,0.07684,21,-0.3933,26,-0.0159
ENSG00000053372,MRTO4,37,-0.2059,26,-0.7421,28,-0.6128,53,0.36585,56,0.53459,39,-0.1321,30,-0.5456,34,-0.3299,62,0.63319
ENSG00000053371,AKR7A2,42,-0.1803,51,0.13122,57,0.29461,44,-0.1032,43,-0.1449,47,-0.0140,44,-0.1212,50,0.08748,50,0.10457
ENSG00000077549,CAPZB,218,-0.0691,167,-0.4869,180,-0.3719,189,-0.2944,244,0.12551,260,0.20818,203,-0.1863,286,0.36557,288,0.38090
ENSG00000173436,MICOS10,220,-0.5680,339,0.11442,466,0.63678,213,-0.6204,293,-0.1364,297,-0.0963,363,0.22532,356,0.19237,319,0.01800
ENSG00000158747,NBL1,155,-0.1498,161,-0.0887,123,-0.5014,242,0.57792,172,0.02560,141,-0.2895,202,0.28274,106,-0.7391,224,0.44856
ENSG00000169914,OTUD3,8,-1.3175,12,-0.8147,22,0.17799,23,0.19309,28,0.65323,33,0.82102,13,-0.6269,18,-0.1835,14,-0.5398
ENSG00000162545,CAMK2N1,865,-0.9988,945,-0.8636,2202,0.47932,674,-1.3755,2314,0.65039,2849,0.91813,1081,-0.6559,1876,0.21581,1298,-0.3717
ENSG00000090432,MUL1,21,0.08202,16,-0.2776,14,-0.4901,32,0.80336,22,0.22986,18,-0.1099,20,0.01450,10,-0.9566,20,-0.0005
ENSG00000158828,PINK1,331,0.05519,262,-0.3146,280,-0.2109,371,0.23769,341,0.11669,253,-0.3739,333,0.06297,448,0.55002,240,-0.4560
ENSG00000244038,DDOST,22,-0.0089,14,-0.7330,18,-0.3259,18,-0.3516,38,1.01382,21,-0.0991,21,-0.1495,23,0.03634,12,-0.9726
ENSG00000117245,KIF17,7,-1.3355,8,-1.1461,6,-1.4428,30,1.00003,18,0.15696,5,-1.8556,23,0.52248,11,-0.6082,39,1.47194
ENSG00000189410,SH2D5,24,-0.6002,17,-1.1096,29,-0.2855,33,-0.0933,52,0.74273,37,0.08760,34,-0.0487,44,0.34994,29,-0.2904
ENSG00000127483,HP1BP3,170,0.20859,121,-0.3396,85,-0.8789,208,0.53275,145,-0.0584,144,-0.0641,160,0.10360,171,0.21750,149,-0.0110
ENSG00000075151,EIF4G3,106,-0.1355,66,-0.8714,107,-0.1165,127,0.15851,140,0.36511,116,0.01710,117,0.02452,105,-0.1499,127,0.15935
ENSG00000117298,ECE1,82,2.87167,12,-0.5809,10,-0.8541,7,-1.4573,8,-1.3167,7,-1.4691,23,0.39170,17,-0.0819,6,-1.6787
ENSG00000076864,RAP1GAP,98,-0.4064,54,-1.3129,59,-1.1673,172,0.50488,185,0.72052,97,-0.4253,118,-0.1173,111,-0.2090,187,0.64158
ENSG00000090686,USP48,55,0.63771,27,-0.5266,34,-0.1354,47,0.37849,41,0.16645,30,-0.3490,31,-0.2840,33,-0.1986,34,-0.1382
ENSG00000070831,CDC42,281,0.42586,135,-0.7378,172,-0.3605,281,0.42679,236,0.16007,152,-0.5572,200,-0.1230,201,-0.1186,268,0.35045
ENSG00000173372,C1QA,268,3.09454,71,0.41483,41,-0.4409,25,-1.2040,6,-3.3589,41,-0.4535,40,-0.4970,42,-0.4102,7,-3.0320
ENSG00000159189,C1QC,208,2.64417,68,0.48764,42,-0.2682,22,-1.2718,11,-2.3883,47,-0.1264,28,-0.8978,50,-0.0121,16,-1.6859
ENSG00000173369,C1QB,310,2.37484,135,0.77586,75,-0.1812,29,-1.6174,25,-1.9777,77,-0.1437,61,-0.5046,77,-0.1485,30,-1.5917
ENSG00000004487,KDM1A,49,-0.0313,28,-0.8860,45,-0.1624,37,-0.4537,51,0.03027,64,0.39287,59,0.25313,57,0.21428,59,0.26881
ENSG00000169641,LUZP1,9,-1.7971,27,-0.2044,22,-0.5064,49,0.73341,36,0.24864,32,0.05102,36,0.23343,29,-0.0909,34,0.15906
ENSG00000125944,HNRNPR,104,0.05880,62,-0.7529,63,-0.7218,115,0.23280,110,0.18066,115,0.22297,134,0.47177,88,-0.2077,99,-0.0170
ENSG00000125945,ZNF436,8,-1.8323,9,-1.6563,12,-1.1654,24,-0.1409,43,0.92266,43,0.76022,32,0.27193,25,-0.0805,28,0.05777
ENSG00000204219,TCEA3,46,2.50892,11,-0.0161,8,-0.5383,15,0.35115,3,-2.0231,3,-1.7381,13,0.17259,5,-1.1664,8,-0.5676
ENSG00000117318,ID3,236,4.90774,31,0.04052,6,-2.2506,4,-2.9903,2,-4.1365,4,-3.0043,7,-2.1394,8,-1.9004,3,-3.4119
ENSG00000142676,RPL11,981,1.55074,475,0.28244,410,0.04392,263,-0.6517,278,-0.6251,329,-0.3079,431,0.12250,345,-0.2319,201,-1.0670
ENSG00000011007,ELOA,14,-0.1400,11,-0.5808,13,-0.3348,29,1.00830,19,0.31960,8,-1.0052,16,0.03170,16,0.07479,12,-0.3812
ENSG00000057757,PITHD1,163,-0.0889,88,-1.0394,126,-0.4877,202,0.25571,211,0.37687,145,-0.2753,217,0.37786,137,-0.3604,221,0.40966
ENSG00000011009,LYPLA2,45,0.16732,12,-1.8551,40,-0.0141,26,-0.7146,65,0.91041,28,-0.5524,35,-0.2149,62,0.70006,27,-0.6446
ENSG00000117308,GALE,6,-1.4941,11,-0.6145,6,-1.5600,7,-1.2051,20,0.36791,26,0.77345,27,0.85662,14,-0.2045,25,0.70244
ENSG00000117305,HMGCL,5,-1.5955,21,0.56877,17,0.22926,13,-0.2244,12,-0.3808,16,0.11456,14,-0.0548,13,-0.1928,25,0.85448
ENSG00000179163,FUCA1,14,0.06492,6,-1.1485,8,-0.7571,18,0.52766,16,0.41819,9,-0.5880,15,0.22574,16,0.29548,12,-0.0959
ENSG00000189266,PNRC2,92,0.94779,44,-0.2383,46,-0.1808,50,-0.0506,46,-0.1951,49,-0.0722,50,-0.0469,45,-0.2169,48,-0.1315
ENSG00000188529,SRSF10,57,0.22005,44,-0.2161,25,-1.0377,49,-0.0364,51,0.04537,52,0.07017,37,-0.4694,80,0.77877,53,0.07967
ENSG00000001461,NIPAL3,62,0.40638,42,-0.2046,23,-1.1037,115,1.48780,45,-0.1134,32,-0.6314,26,-0.9380,34,-0.5234,56,0.23639
ENSG00000133226,SRRM1,96,0.62081,99,0.66743,33,-1.0446,91,0.53042,60,-0.1734,57,-0.2367,57,-0.2132,54,-0.3154,51,-0.4010
ENSG00000169504,CLIC4,215,3.71227,50,0.55452,4,-3.0938,25,-0.5339,8,-2.3788,1,-5.1541,16,-1.2615,14,-1.4138,17,-1.0961
ENSG00000117614,SYF2,97,0.55705,62,-0.1744,50,-0.4908,61,-0.1998,77,0.18962,72,0.06629,64,-0.1273,74,0.11495,57,-0.3039
ENSG00000117616,RSRP1,28,-0.4160,16,-1.2232,15,-1.3406,35,-0.0668,39,0.10628,94,1.61015,31,-0.2765,46,0.34611,24,-0.6379
ENSG00000183726,TMEM50A,111,0.49614,54,-0.6567,62,-0.4471,55,-0.6324,93,0.21932,98,0.29057,75,-0.1348,118,0.58606,63,-0.4234
ENSG00000204178,MACO1,60,1.21632,15,-0.9765,18,-0.6915,32,0.16794,26,-0.1867,29,-0.0176,23,-0.3832,27,-0.1130,34,0.23085
ENSG00000117643,MAN1C1,14,-1.5132,9,-2.0616,38,0.01092,13,-1.5353,56,0.77051,70,1.03827,29,-0.3710,56,0.65638,32,-0.2380
ENSG00000162430,SELENON,45,0.74099,31,0.15543,24,-0.2953,28,-0.0499,31,0.17893,38,0.45408,27,-0.1019,15,-1.0123,15,-0.9441
ENSG00000117640,MTFR1L,98,0.78512,36,-0.8111,58,-0.0886,66,0.14101,58,-0.0770,65,0.10180,74,0.31628,48,-0.3726,47,-0.4073
ENSG00000117632,STMN1,1062,-0.5178,884,-0.8016,1117,-0.4393,1279,-0.2265,1925,0.49859,672,-1.2185,2062,0.54836,1582,0.11258,2242,0.68978
ENSG00000158008,EXTL1,14,-1.3925,25,-0.5725,43,0.29581,40,0.16910,41,0.26727,44,0.33930,18,-1.0244,47,0.45509,43,0.29929
