Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to13,Feature log2 fold change topic 7to13
ENSG00000221978,CCNL2,40,-0.3336,54,0.12825,37,-0.4394,23,-1.1584,45,-0.1567,58,0.48620
ENSG00000224870,MRPL20-AS1,2,-2.2413,13,0.51680,6,-0.5357,1,-3.2589,9,-0.0447,11,0.75586
ENSG00000242485,MRPL20,45,-2.0951,200,0.13465,224,0.31229,124,-0.6040,185,0.01079,204,0.34144
ENSG00000235098,ANKRD65,43,0.81168,63,1.46524,21,-0.3003,0,-5.2039,23,-0.1745,23,-0.3323
ENSG00000179403,VWA1,2,-4.8269,350,3.40408,101,0.90738,15,-1.9964,54,-0.0798,24,-1.9986
ENSG00000197785,ATAD3A,2,-3.2639,11,-0.8218,36,0.98198,31,0.74573,9,-1.1356,22,0.39883
ENSG00000205090,TMEM240,2,-3.6763,7,-1.8447,20,-0.3453,2,-3.7242,29,0.20741,35,1.20904
ENSG00000160075,SSU72,2,-6.1913,97,-0.6492,128,-0.2207,241,0.78782,138,-0.1141,168,0.43548
ENSG00000228594,FNDC10,2,-3.6910,4,-2.6790,10,-1.4284,20,-0.4018,27,0.08932,35,1.20741
ENSG00000272106,AL691432.2,2,-3.5204,19,-0.2561,27,0.27909,40,0.86543,18,-0.4113,25,0.26492
ENSG00000197530,MIB2,47,0.42650,20,-0.8464,63,0.89149,16,-1.2398,39,0.12796,35,-0.0996
ENSG00000189339,SLC35E2B,2,-3.9047,18,-0.7413,19,-0.6897,29,-0.0565,30,-0.0250,38,0.81284
ENSG00000215790,SLC35E2A,2,-3.6594,17,-0.6374,26,0.04619,59,1.38265,21,-0.2708,26,0.08993
ENSG00000008130,NADK,2,-3.5625,21,-0.1918,42,0.92611,13,-0.8910,23,-0.0181,26,0.32111
ENSG00000078369,GNB1,216,-0.8965,259,-0.6208,274,-0.5365,334,-0.2302,347,-0.1883,467,0.65474
ENSG00000187730,GABRD,2,-5.5109,2,-5.3651,14,-2.7334,65,-0.5277,61,-0.6611,141,2.02482
ENSG00000067606,PRKCZ,72,-1.4127,80,-1.2573,74,-1.3714,221,0.29167,159,-0.2418,231,0.85799
ENSG00000162585,FAAP20,2,-4.4753,71,0.61616,81,0.82890,19,-1.3799,57,0.28165,48,0.02070
ENSG00000157933,SKI,2,-3.4343,32,0.61801,18,-0.2713,1,-4.2724,33,0.75569,23,0.21483
ENSG00000157916,RER1,2,-5.2838,93,0.26841,112,0.56598,118,0.64977,55,-0.5779,83,0.19969
ENSG00000157911,PEX10,43,0.33891,46,0.43826,52,0.64744,81,1.38332,24,-0.5750,26,-0.8050
ENSG00000149527,PLCH2,2,-3.1644,27,0.67104,2,-2.9139,2,-2.9100,16,-0.1877,24,1.09814
ENSG00000157881,PANK4,2,-3.3977,8,-1.4966,8,-1.3772,0,-4.7245,12,-0.9511,33,2.20553
ENSG00000157870,PRXL2B,127,1.49101,14,-1.8961,26,-1.0155,49,-0.0749,44,-0.2613,52,0.03045
ENSG00000177133,PRDM16-DT,60,2.51638,4,-1.8490,12,-0.2083,0,-4.3672,24,0.92785,8,-1.2687
ENSG00000158109,TPRG1L,90,-0.8650,46,-1.8526,64,-1.3833,112,-0.5454,133,-0.2966,213,1.13863
ENSG00000116213,WRAP73,2,-2.3656,15,0.58919,17,0.77000,0,-3.9228,12,0.24045,11,0.16061
ENSG00000130764,LRRC47,74,-0.1718,63,-0.4248,38,-1.1595,157,1.02879,58,-0.5990,90,0.26831
ENSG00000116198,CEP104,2,-2.9832,36,1.34392,14,-0.2215,17,0.12312,16,0.00982,15,-0.1627
ENSG00000198912,C1orf174,2,-2.2718,14,0.60993,2,-2.1094,2,-2.3996,11,0.28782,12,0.69656
ENSG00000196581,AJAP1,52,0.72616,17,-0.9509,5,-2.8117,10,-1.6978,18,-0.9365,44,1.09747
ENSG00000069424,KCNAB2,234,0.42398,22,-3.0885,99,-0.9047,93,-1.0029,173,-0.0558,219,0.72381
ENSG00000116254,CHD5,79,-0.3224,5,-4.1798,31,-1.7132,200,1.17048,84,-0.2495,111,0.46896
ENSG00000116251,RPL22,659,0.47143,977,1.12215,689,0.54300,291,-0.7965,616,0.40152,359,-0.8364
ENSG00000116237,ICMT,2,-3.8801,21,-0.5420,13,-1.1958,31,0.10176,25,-0.2981,38,0.96057
ENSG00000097021,ACOT7,54,-2.5249,55,-2.4948,140,-1.1179,276,-0.0861,173,-0.8486,416,1.51829
ENSG00000215788,TNFRSF25,2,-2.7847,1,-3.0320,1,-3.2931,4,-1.8310,17,0.34681,19,1.43148
ENSG00000171680,PLEKHG5,38,0.68672,1,-4.6270,5,-2.2401,11,-1.1977,17,-0.6260,33,1.14438
ENSG00000162408,NOL9,61,1.24335,14,-1.0890,29,0.06117,44,0.69613,29,0.03749,23,-0.5625
ENSG00000162413,KLHL21,2,-3.8241,45,0.73373,36,0.36756,26,-0.1477,26,-0.1674,30,0.16108
ENSG00000116273,PHF13,2,-2.7737,8,-0.7342,2,-2.5433,30,1.29604,10,-0.5161,16,0.62965
ENSG00000041988,THAP3,2,-3.2422,17,-0.1901,10,-0.9596,34,0.93611,20,0.12364,20,0.23885
ENSG00000007923,DNAJC11,75,1.34396,14,-1.2567,17,-0.9723,46,0.53076,26,-0.4002,32,-0.0929
ENSG00000171735,CAMTA1,2,-6.1138,102,-0.6145,193,0.38053,219,0.58296,164,0.12898,161,0.19889
ENSG00000049245,VAMP3,2,-4.5135,243,3.02289,114,1.49532,18,-1.4344,34,-0.4912,22,-1.7474
ENSG00000049246,PER3,2,-3.3840,44,1.21068,41,1.09556,8,-1.4802,22,0.06134,19,-0.2756
ENSG00000116288,PARK7,271,-0.4677,347,-0.0895,432,0.25470,515,0.53605,367,-0.0037,354,-0.1138
ENSG00000116285,ERRFI1,2,-3.5829,27,0.19949,23,-0.0367,57,1.40575,15,-0.7225,24,0.07008
ENSG00000162426,SLC45A1,35,-0.1525,8,-2.3027,13,-1.5635,111,1.77593,19,-1.0994,42,0.27881
ENSG00000142599,RERE,143,0.77939,70,-0.3454,85,-0.0538,78,-0.1836,83,-0.0965,86,-0.0762
ENSG00000074800,ENO1,551,-0.3558,435,-0.7166,1020,0.61582,615,-0.1848,562,-0.3495,752,0.26804
ENSG00000142583,SLC2A5,72,2.60939,18,0.16193,36,1.29875,1,-3.7193,24,0.70064,5,-2.4785
ENSG00000171612,SLC25A33,44,-0.0075,41,-0.0866,96,1.27280,13,-1.7913,56,0.44163,37,-0.4448
ENSG00000188807,TMEM201,2,-2.6055,12,0.06271,24,1.08479,9,-0.4857,7,-0.7554,13,0.37953
ENSG00000171608,PIK3CD,2,-2.5818,4,-1.6037,0,-7.5058,16,0.42963,12,-0.0937,17,1.08790
ENSG00000171603,CLSTN1,1056,0.77548,151,-2.1945,428,-0.6438,614,-0.0891,372,-0.9112,780,0.64443
ENSG00000178585,CTNNBIP1,41,0.10539,40,0.08295,32,-0.2721,41,0.12375,40,0.08306,37,-0.0644
ENSG00000162441,LZIC,2,-3.8400,76,1.59503,52,0.94313,37,0.40159,32,0.21284,20,-0.9177
ENSG00000162444,RBP7,2,-3.3080,161,4.25585,22,0.18070,22,0.18697,11,-0.9751,4,-3.0990
ENSG00000130939,UBE4B,2,-4.2664,34,-0.2477,47,0.24845,69,0.87995,28,-0.5971,44,0.36115
ENSG00000054523,KIF1B,125,-1.0103,307,0.37186,318,0.42712,259,0.10348,227,-0.1127,241,-0.0139
ENSG00000142657,PGD,19,-1.5227,43,-0.3323,59,0.16189,85,0.74835,42,-0.3866,57,0.24070
ENSG00000241563,CORT,2,-8.2667,12,-5.6986,49,-3.7701,7498,7.21940,67,-3.4299,57,-4.4706
ENSG00000160049,DFFA,2,-4.0688,42,0.34698,86,1.53305,32,-0.0894,30,-0.1776,31,-0.2582
ENSG00000142655,PEX14,138,2.53461,17,-0.9343,16,-0.9982,21,-0.6254,21,-0.7203,26,-0.5591
ENSG00000120948,TARDBP,2,-4.7874,71,0.37754,38,-0.5768,101,0.96252,52,-0.1180,58,0.14426
ENSG00000116649,SRM,156,0.55345,45,-1.3525,91,-0.2857,99,-0.1543,95,-0.2470,121,0.32015
ENSG00000171824,EXOSC10,2,-3.8108,29,0.04525,37,0.43359,29,0.06084,19,-0.6485,33,0.54449
ENSG00000198793,MTOR,8,-2.4923,18,-1.2614,64,0.66877,23,-0.8816,32,-0.4464,52,0.82443
ENSG00000120942,UBIAD1,2,-2.1160,21,1.42713,26,1.80418,0,-3.6761,8,-0.0813,6,-0.6908
ENSG00000116661,FBXO2,32,-2.9088,237,0.06714,433,1.04319,161,-0.5293,284,0.38767,217,-0.1333
ENSG00000132879,FBXO44,2,-5.6922,33,-1.7372,76,-0.4846,56,-0.9379,97,-0.1269,142,1.23737
ENSG00000116670,MAD2L2,2,-3.4708,50,1.31912,27,0.28271,12,-0.9358,26,0.29973,21,-0.2007
ENSG00000177674,AGTRAP,2,-2.7010,34,1.59033,78,3.31249,0,-4.2551,17,0.45099,3,-2.9596
ENSG00000177000,MTHFR,2,-2.6282,9,-0.4141,12,-0.0020,34,1.68466,13,0.12272,11,-0.3697
ENSG00000011021,CLCN6,39,-0.4147,36,-0.5458,22,-1.2408,171,2.03881,31,-0.8120,48,-0.1982
ENSG00000116685,KIAA2013,70,0.90028,69,0.88312,37,-0.1058,1,-5.0846,34,-0.2431,39,-0.0797
ENSG00000083444,PLOD1,2,-3.6462,38,0.67672,74,1.79565,8,-1.6724,29,0.25507,21,-0.5254
ENSG00000116688,MFN2,70,-0.3108,63,-0.4656,96,0.17472,136,0.73855,63,-0.4961,89,0.11325
ENSG00000116691,MIIP,2,-3.0479,12,-0.4677,29,0.90920,0,-4.5994,15,-0.1990,20,0.71987
ENSG00000048707,VPS13D,39,-0.1002,31,-0.4641,42,-0.0022,16,-1.4723,34,-0.3226,50,0.59520
ENSG00000162496,DHRS3,2,-4.0772,30,-0.1729,147,2.56956,5,-2.8329,38,0.19146,26,-0.7367
ENSG00000116731,PRDM2,37,-0.7695,38,-0.7160,56,-0.1318,19,-1.7704,63,0.04007,74,0.69035
ENSG00000189337,KAZN,64,0.48501,61,0.42862,32,-0.5724,51,0.15249,36,-0.4071,46,-0.0126
ENSG00000142634,EFHD2,130,0.02191,16,-3.0639,76,-0.7946,140,0.13439,136,0.10249,147,0.47872
ENSG00000132906,CASP9,68,2.57038,15,-0.0201,22,0.53584,0,-4.5127,9,-0.8329,11,-0.8742
ENSG00000116138,DNAJC16,2,-3.8184,20,-0.5253,38,0.46807,93,2.00182,13,-1.2424,27,-0.1390
ENSG00000197312,DDI2,2,-3.4524,17,-0.3508,9,-1.3405,21,-0.0634,11,-1.0193,30,1.30978
ENSG00000116786,PLEKHM2,124,0.90486,34,-1.1152,30,-1.3072,32,-1.1740,79,0.18543,77,0.29351
ENSG00000065526,SPEN,2,-3.6595,50,1.09629,49,1.05339,0,-5.1123,26,0.03567,25,-0.0184
ENSG00000116809,ZBTB17,2,-2.5344,25,1.24562,5,-1.2249,0,-4.0172,21,1.05631,11,-0.1825
ENSG00000185519,FAM131C,35,0.86826,58,1.74144,10,-1.0369,20,-0.0323,17,-0.2504,15,-0.7887
ENSG00000037637,FBXO42,2,-3.2457,14,-0.4862,18,-0.0860,34,0.93722,12,-0.7512,22,0.52846
ENSG00000055070,SZRD1,33,0.30650,58,1.22994,66,1.44660,33,0.32810,27,-0.0119,15,-1.3733
ENSG00000157191,NECAP2,2,-2.9563,43,1.67732,47,1.84887,0,-4.2384,16,0.01565,11,-0.8774
ENSG00000219481,NBPF1,2,-2.8993,27,0.96625,16,0.16656,1,-3.8084,12,-0.3965,18,0.58351
ENSG00000058453,CROCC,2,-2.6750,13,0.08770,7,-0.7704,18,0.52038,7,-0.9656,16,0.78139
ENSG00000159363,ATP13A2,111,-0.5521,36,-2.2005,74,-1.1639,255,0.75702,133,-0.2914,188,0.60624
ENSG00000117118,SDHB,42,-1.4275,96,-0.1785,141,0.42233,178,0.79617,95,-0.2143,108,0.00322
ENSG00000117115,PADI2,2,-4.4154,311,3.89236,98,1.34117,0,-5.9270,42,-0.0145,9,-3.1691
ENSG00000179051,RCC2,2,-2.7292,16,0.29683,5,-1.2601,5,-1.4482,18,0.54058,15,0.49808
ENSG00000074964,ARHGEF10L,80,2.54151,10,-0.8725,9,-1.1015,16,-0.1887,13,-0.6084,14,-0.7015
ENSG00000117154,IGSF21,2,-4.9387,12,-2.4355,88,0.46316,77,0.24756,69,0.10298,76,0.51876
ENSG00000159423,ALDH4A1,2,-3.5280,18,-0.3623,90,2.33337,24,0.08615,36,0.79371,13,-1.3414
ENSG00000127463,EMC1,2,-3.6538,22,-0.2013,26,0.07913,31,0.33690,21,-0.2751,29,0.47824
ENSG00000053372,MRTO4,2,-3.7781,12,-1.2777,16,-0.7674,0,-5.3255,29,0.11563,38,1.34276
ENSG00000053371,AKR7A2,157,1.76400,64,0.25257,142,1.58653,6,-3.1097,51,-0.1067,34,-1.2122
ENSG00000040487,SLC66A1,64,2.46258,8,-0.9054,19,0.30092,8,-0.9267,5,-1.5828,13,-0.5099
ENSG00000077549,CAPZB,28,-2.6309,155,-0.1044,225,0.48462,135,-0.3220,167,0.01036,183,0.32112
ENSG00000173436,MICOS10,282,-0.1200,246,-0.3326,315,0.05005,225,-0.4663,327,0.12097,320,0.15675
ENSG00000158747,NBL1,173,-0.2282,44,-2.2815,173,-0.2315,467,1.38749,184,-0.1424,197,-0.0488
ENSG00000169914,OTUD3,2,-2.5341,3,-1.7684,14,0.36542,0,-4.0536,8,-0.4768,16,1.32020
ENSG00000162545,CAMK2N1,766,0.05683,544,-0.4722,168,-2.2200,426,-0.8432,710,-0.0678,897,0.69474
ENSG00000090432,MUL1,2,-3.5882,25,0.08596,13,-0.9013,7,-1.8396,19,-0.3941,32,1.17512
ENSG00000183114,FAM43B,2,-3.9099,1,-4.4574,24,-0.3426,162,3.05974,26,-0.2329,21,-0.8975
ENSG00000158828,PINK1,114,-1.9049,139,-1.6108,271,-0.6153,543,0.46688,376,-0.1221,491,0.69392
ENSG00000244038,DDOST,2,-3.7035,20,-0.3819,26,-0.0073,13,-1.0515,26,0.00140,32,0.76261
ENSG00000117245,KIF17,166,3.19116,0,-10.398,1,-4.9474,27,-0.1043,16,-0.9602,22,-0.7614
ENSG00000189410,SH2D5,2,-3.4204,1,-3.6283,5,-2.1480,6,-1.9356,21,-0.0276,32,1.72802
ENSG00000127483,HP1BP3,151,0.19263,151,0.18864,179,0.46091,81,-0.7633,117,-0.2330,135,0.02425
ENSG00000075151,EIF4G3,205,0.75388,76,-0.7937,62,-1.0963,29,-2.1912,97,-0.4648,157,0.72866
ENSG00000117298,ECE1,3,-2.2729,26,0.97683,68,2.78089,0,-4.3819,15,0.10915,8,-1.3763
ENSG00000076864,RAP1GAP,240,0.57170,21,-3.0629,97,-0.8245,163,-0.0372,125,-0.4782,200,0.63545
ENSG00000090686,USP48,2,-4.3627,63,0.66172,81,1.07797,69,0.82651,28,-0.6207,38,-0.2490
ENSG00000070831,CDC42,113,-1.0837,239,0.05728,205,-0.1824,236,0.03696,149,-0.7222,272,0.58229
ENSG00000173372,C1QA,111,1.32311,78,0.72299,92,1.00898,7,-2.8058,96,1.23847,23,-1.8000
ENSG00000159189,C1QC,2,-3.8119,81,1.21785,104,1.66027,2,-4.2396,88,1.59006,18,-1.6932
ENSG00000173369,C1QB,117,0.81430,145,1.17409,190,1.64779,7,-3.2667,123,1.00624,30,-1.9594
ENSG00000004487,KDM1A,9,-2.3811,24,-0.9740,30,-0.6190,45,0.00906,38,-0.2843,58,0.89716
ENSG00000169641,LUZP1,124,1.69540,7,-2.7125,16,-1.4903,16,-1.5582,43,-0.0763,47,0.19308
ENSG00000125944,HNRNPR,16,-2.4980,117,0.44315,104,0.25002,64,-0.4908,64,-0.5256,103,0.51710
ENSG00000125945,ZNF436,39,1.43621,8,-1.0776,16,-0.0373,0,-4.5422,9,-0.8456,18,0.40751
ENSG00000117318,ID3,100,1.27132,117,1.54303,280,3.40371,8,-2.4743,36,-0.3900,2,-5.1462
ENSG00000142676,RPL11,754,0.81435,883,1.07709,460,0.02220,372,-0.3066,569,0.39519,327,-0.8765
ENSG00000011007,ELOA,3,-2.4108,23,0.58383,22,0.52216,0,-4.4494,17,0.13914,17,0.33873
ENSG00000057757,PITHD1,14,-3.9436,140,-0.5709,85,-1.3229,427,1.20923,139,-0.6291,242,0.62347
ENSG00000011009,LYPLA2,59,0.64835,13,-1.6269,41,0.05821,17,-1.2327,33,-0.2810,45,0.44702
ENSG00000117308,GALE,2,-2.7683,4,-1.7593,2,-2.7069,16,0.30073,11,-0.3935,19,1.26136
ENSG00000117305,HMGCL,2,-3.3342,23,0.21414,37,0.97484,12,-0.7907,18,-0.1660,22,0.22855
ENSG00000179163,FUCA1,95,2.73398,6,-1.6614,21,0.02304,14,-0.5077,9,-1.2594,15,-0.7257
ENSG00000189266,PNRC2,40,-0.0997,59,0.50721,42,-0.0319,32,-0.4234,56,0.48957,38,-0.3106
ENSG00000188529,SRSF10,51,-0.1367,60,0.12030,94,0.82942,35,-0.7006,29,-1.0545,61,0.29222
ENSG00000001460,STPG1,2,-2.2211,9,0.03618,15,0.73904,0,-3.4724,9,-0.0617,11,0.51952
ENSG00000001461,NIPAL3,2,-5.0119,178,1.66873,31,-1.1207,129,1.10919,53,-0.3230,57,-0.3853
ENSG00000133226,SRRM1,2,-4.6571,70,0.51633,63,0.34950,87,0.86581,51,0.01881,48,-0.1829
ENSG00000169504,CLIC4,156,1.60338,294,2.87571,139,1.38915,2,-4.5179,42,-0.5669,14,-3.0122
ENSG00000117614,SYF2,42,-0.4098,101,0.99517,79,0.59977,17,-1.6926,57,0.08967,50,-0.2272
ENSG00000117616,RSRP1,75,0.46724,91,0.77521,45,-0.3333,71,0.38811,43,-0.4458,51,-0.2585
ENSG00000183726,TMEM50A,2,-5.4303,144,0.78971,182,1.17926,65,-0.4553,53,-0.8251,92,0.14327
ENSG00000204178,MACO1,73,1.47003,28,-0.0908,17,-0.8046,34,0.20913,18,-0.7660,28,-0.1653
ENSG00000157978,LDLRAP1,2,-1.9625,55,3.77644,27,2.13123,0,-3.5246,4,-1.0529,1,-3.5474
ENSG00000117643,MAN1C1,2,-3.8153,19,-0.5644,25,-0.1944,0,-5.1820,13,-1.2669,42,1.78080
ENSG00000162430,SELENON,2,-3.8486,34,0.26006,74,1.55059,2,-3.6241,34,0.26109,28,-0.0972
ENSG00000117640,MTFR1L,2,-4.8293,38,-0.6254,34,-0.8128,108,1.00549,57,-0.0093,65,0.38789
ENSG00000117632,STMN1,473,-1.6240,1540,0.16922,1216,-0.1999,1430,0.05228,755,-0.9873,1687,0.71414
ENSG00000158008,EXTL1,36,-0.0514,5,-2.7969,13,-1.5175,44,0.24393,36,-0.0525,45,0.64822
ENSG00000175087,PDIK1L,2,-3.0866,10,-0.7579,12,-0.5015,94,3.10452,5,-1.9301,13,-0.6603
ENSG00000142684,ZNF593,2,-4.5402,39,-0.2909,60,0.40433,55,0.25086,47,0.01012,51,0.29287
ENSG00000142669,SH3BGRL3,83,-1.6799,261,0.05248,272,0.11159,283,0.17650,290,0.23900,258,0.06574
ENSG00000158062,UBXN11,2,-3.0284,6,-1.5266,13,-0.3108,2,-2.7632,17,0.12057,22,1.15207
ENSG00000117682,DHDDS,66,1.88752,9,-1.3480,0,-4.6674,23,0.13402,16,-0.4808,21,-0.0472
ENSG00000198830,HMGN2,108,-0.3841,290,1.19538,236,0.84615,203,0.59918,125,-0.1792,103,-0.8134
ENSG00000117713,ARID1A,2,-4.4552,68,0.68380,48,0.13311,44,-0.0054,47,0.12646,45,0.07969
ENSG00000060642,PIGV,2,-2.1880,13,0.63640,14,0.70880,0,-3.6043,11,0.40562,9,0.04718
ENSG00000204160,ZDHHC18,2,-3.6710,10,-1.3653,9,-1.4470,77,1.84550,17,-0.6858,28,0.36559
ENSG00000142751,GPN2,2,-2.9856,15,-0.0721,14,-0.2110,17,0.13788,8,-1.0368,20,0.88896
ENSG00000090273,NUDC,141,-0.1620,157,-0.0013,140,-0.1731,128,-0.3104,145,-0.1284,169,0.23987
ENSG00000253368,TRNP1,2,-4.8068,5,-3.4970,13,-2.2146,92,0.77484,50,-0.1946,74,1.07070
ENSG00000090020,SLC9A1,4,-2.1878,5,-1.9108,0,-8.1737,15,-0.4345,16,-0.3302,29,1.56720
ENSG00000142784,WDTC1,2,-3.3644,23,0.14581,21,0.02259,32,0.71890,25,0.35410,20,-0.1050
ENSG00000186501,TMEM222,2,-4.9034,59,-0.0372,75,0.34822,26,-1.2898,58,-0.0744,72,0.64535
ENSG00000158195,WASF2,20,-0.7403,123,2.25742,103,1.91846,0,-5.5817,34,0.06071,16,-1.6803
ENSG00000126705,AHDC1,2,-4.1290,11,-1.7442,30,-0.2454,41,0.25510,32,-0.1405,44,0.82069
ENSG00000126709,IFI6,10,-3.5162,77,-0.5574,219,1.10688,162,0.60815,106,-0.0646,108,-0.0710
ENSG00000009780,FAM76A,51,1.75679,17,-0.0564,25,0.58653,30,0.83088,9,-0.9638,12,-0.9256
ENSG00000117758,STX12,114,0.23195,111,0.19827,83,-0.2582,26,-1.9584,94,-0.0792,108,0.30642
ENSG00000117751,PPP1R8,95,1.98761,32,0.15224,83,1.72968,0,-5.4050,21,-0.5725,18,-1.1831
ENSG00000117748,RPA2,2,-4.6414,46,-0.1393,32,-0.6693,17,-1.5898,39,-0.4054,68,1.20451
ENSG00000126698,DNAJC8,77,-0.6719,152,0.38684,141,0.26459,82,-0.5699,104,-0.2272,126,0.20453
ENSG00000130770,ATP5IF1,578,0.04202,204,-1.5368,311,-0.9067,682,0.30376,455,-0.3538,661,0.56209
ENSG00000204138,PHACTR4,33,1.97385,25,1.47535,10,0.03688,0,-3.8349,11,0.14577,6,-1.3549
ENSG00000180098,TRNAU1AP,2,-3.0399,20,0.30915,12,-0.5102,46,1.68624,19,0.28319,13,-0.5208
ENSG00000197989,SNHG12,2,-2.2050,14,0.70577,3,-1.6875,1,-3.2980,15,0.84171,10,0.26227
ENSG00000120656,TAF12,2,-3.0409,22,0.46114,37,1.32742,13,-0.2995,16,-0.0163,15,-0.2321
ENSG00000198492,YTHDF2,2,-5.0475,42,-0.7129,57,-0.2498,72,0.12563,51,-0.4481,85,0.88284
ENSG00000116350,SRSF4,2,-4.4957,60,0.44098,51,0.19379,55,0.30440,38,-0.2900,49,0.27240
ENSG00000116353,MECR,2,-4.1314,11,-1.6729,14,-1.4091,40,0.18278,36,0.06393,45,0.95396
ENSG00000060656,PTPRU,2,-3.1217,11,-0.6656,3,-2.5151,12,-0.5095,20,0.26475,22,0.94313
ENSG00000162511,LAPTM5,2,-3.6163,86,1.67734,80,1.54816,2,-3.6724,74,1.63797,12,-2.0568
ENSG00000162512,SDC3,112,-0.5513,103,-0.6797,319,1.11852,147,-0.1276,162,0.02396,154,-0.1263
ENSG00000134644,PUM1,3,-5.1185,72,-0.4967,93,-0.1157,88,-0.1855,74,-0.4961,127,0.91826
ENSG00000060688,SNRNP40,2,-3.3575,42,1.14167,51,1.49145,0,-4.6489,17,-0.2529,19,-0.1582
ENSG00000121766,ZCCHC17,36,-1.5320,76,-0.4350,71,-0.5320,166,0.79603,82,-0.3433,114,0.40897
ENSG00000121769,FABP3,2,-6.2950,22,-3.0520,36,-2.3552,313,0.95214,107,-0.7840,238,1.27630
ENSG00000162517,PEF1,53,-0.5258,55,-0.4675,68,-0.1571,70,-0.1150,68,-0.1740,85,0.41492
ENSG00000084636,COL16A1,2,-3.8720,55,0.99114,22,-0.4425,8,-1.8380,44,0.71358,29,0.02055
ENSG00000121753,ADGRB2,117,-0.9017,45,-2.3024,48,-2.2277,180,-0.2415,173,-0.3277,286,1.21861
ENSG00000184007,PTP4A2,105,-0.8696,606,2.00838,293,0.72999,100,-0.9464,177,-0.0796,136,-0.8337
ENSG00000121774,KHDRBS1,112,0.17959,108,0.11135,170,0.84200,45,-1.2098,84,-0.2970,100,-0.0054
ENSG00000121775,TMEM39B,2,-2.5376,10,-0.2713,15,0.39058,28,1.41409,7,-0.7940,12,0.04471
ENSG00000025800,KPNA6,2,-4.2301,29,-0.3833,31,-0.2853,77,1.14192,30,-0.3965,42,0.33156
ENSG00000084652,TXLNA,3,-2.6612,28,0.57509,29,0.58964,5,-1.9614,17,-0.2760,22,0.44499
ENSG00000160050,CCDC28B,2,-2.8507,13,-0.1613,17,0.23298,0,-4.3754,20,0.60713,16,0.41775
ENSG00000084623,EIF3I,2,-5.7608,102,-0.1583,145,0.39614,118,0.06525,92,-0.3458,131,0.51335
ENSG00000116478,HDAC1,2,-1.9656,25,1.97646,32,2.43024,0,-3.5277,10,0.52061,3,-2.1498
ENSG00000175130,MARCKSL1,160,-1.1359,1932,3.22825,741,1.27908,132,-1.4244,247,-0.5219,134,-2.0972
ENSG00000160058,BSDC1,2,-4.8722,66,0.16666,47,-0.3410,79,0.46863,52,-0.2154,67,0.42964
ENSG00000176261,ZBTB8OS,30,-0.4358,38,-0.0488,38,-0.0721,38,-0.0570,44,0.19024,40,0.05546
ENSG00000162521,RBBP4,99,0.23982,108,0.37272,97,0.21105,48,-0.8779,66,-0.4167,89,0.13605
ENSG00000162520,SYNC,2,-2.5012,12,0.17241,23,1.14201,7,-0.7421,11,-0.0544,11,0.05457
ENSG00000162522,KIAA1522,2,-2.5065,3,-1.8524,0,-7.3610,26,1.31807,13,0.26628,13,0.42910
ENSG00000134684,YARS,23,-2.3106,43,-1.3896,93,-0.2240,170,0.73608,64,-0.8336,134,0.80978
