cluster,n_donor,datatype,contrast,group
Excit.L2,24,sn_fine,NA,All
Excit.L2_5.1,30,sn_fine,NA,All
Excit.L2_5.2,14,sn_fine,NA,All
Excit.L5.1,24,sn_fine,NA,All
Excit.L5.2,9,sn_fine,NA,All
Excit.L6_CT,16,sn_fine,NA,All
Excit.L6b,18,sn_fine,NA,All
Inhib.Chandelier,14,sn_fine,NA,All
Inhib.Lamp5_Lhx6,26,sn_fine,NA,All
Inhib.Pvalb,26,sn_fine,NA,All
Inhib.Sst,26,sn_fine,NA,All
Inhib.Vip,30,sn_fine,NA,All
Astro.1,15,sn_fine,carrier_AA,AA
Astro.1,14,sn_fine,carrier_EA,EA
Astro.2,16,sn_fine,carrier_AA,AA
Astro.2,14,sn_fine,carrier_EA,EA
Astro.3,16,sn_fine,carrier_AA,AA
Astro.3,14,sn_fine,carrier_EA,EA
Astro.4,12,sn_fine,carrier_AA,AA
Astro.4,13,sn_fine,carrier_EA,EA
Astro.5,13,sn_fine,carrier_AA,AA
Astro.5,14,sn_fine,carrier_EA,EA
Macro,8,sn_fine,carrier_AA,AA
Macro,10,sn_fine,carrier_EA,EA
Micro.1,15,sn_fine,carrier_AA,AA
Micro.1,13,sn_fine,carrier_EA,EA
Micro.2,16,sn_fine,carrier_AA,AA
Micro.2,14,sn_fine,carrier_EA,EA
Micro.3,13,sn_fine,carrier_AA,AA
Micro.3,13,sn_fine,carrier_EA,EA
Micro.4,14,sn_fine,carrier_AA,AA
Micro.4,13,sn_fine,carrier_EA,EA
Micro.5,14,sn_fine,carrier_AA,AA
Micro.5,11,sn_fine,carrier_EA,EA
OPC.1,16,sn_fine,carrier_AA,AA
OPC.1,14,sn_fine,carrier_EA,EA
OPC.2,16,sn_fine,carrier_AA,AA
OPC.2,14,sn_fine,carrier_EA,EA
OPC.3,16,sn_fine,carrier_AA,AA
OPC.3,14,sn_fine,carrier_EA,EA
OPC.4,16,sn_fine,carrier_AA,AA
OPC.4,14,sn_fine,carrier_EA,EA
OPC.5,6,sn_fine,carrier_AA,AA
OPC.5,7,sn_fine,carrier_EA,EA
Oligo.1,16,sn_fine,carrier_AA,AA
Oligo.1,14,sn_fine,carrier_EA,EA
Oligo.2,15,sn_fine,carrier_AA,AA
Oligo.2,14,sn_fine,carrier_EA,EA
Oligo.3,16,sn_fine,carrier_AA,AA
Oligo.3,14,sn_fine,carrier_EA,EA
Oligo.4,16,sn_fine,carrier_AA,AA
Oligo.4,14,sn_fine,carrier_EA,EA
Oligo.5,16,sn_fine,carrier_AA,AA
Oligo.5,14,sn_fine,carrier_EA,EA
Vasc.Endo,14,sn_fine,carrier_AA,AA
Vasc.Endo,13,sn_fine,carrier_EA,EA
Vasc.VLMC,11,sn_fine,carrier_AA,AA
Vasc.VLMC,11,sn_fine,carrier_EA,EA
Excit.L2,12,sn_fine,carrier_AA,AA
Excit.L2,12,sn_fine,carrier_EA,EA
Excit.L2_5.1,16,sn_fine,carrier_AA,AA
Excit.L2_5.1,14,sn_fine,carrier_EA,EA
Excit.L2_5.2,7,sn_fine,carrier_AA,AA
Excit.L2_5.2,7,sn_fine,carrier_EA,EA
Excit.L5.1,12,sn_fine,carrier_AA,AA
Excit.L5.1,12,sn_fine,carrier_EA,EA
Excit.L5.2,4,sn_fine,carrier_AA,AA
Excit.L5.2,5,sn_fine,carrier_EA,EA
Excit.L6_CT,8,sn_fine,carrier_AA,AA
Excit.L6_CT,8,sn_fine,carrier_EA,EA
Excit.L6b,10,sn_fine,carrier_AA,AA
Excit.L6b,8,sn_fine,carrier_EA,EA
Inhib.Chandelier,8,sn_fine,carrier_AA,AA
Inhib.Chandelier,6,sn_fine,carrier_EA,EA
Inhib.Lamp5_Lhx6,14,sn_fine,carrier_AA,AA
Inhib.Lamp5_Lhx6,12,sn_fine,carrier_EA,EA
Inhib.Pvalb,14,sn_fine,carrier_AA,AA
Inhib.Pvalb,12,sn_fine,carrier_EA,EA
Inhib.Sst,13,sn_fine,carrier_AA,AA
Inhib.Sst,13,sn_fine,carrier_EA,EA
Inhib.Vip,16,sn_fine,carrier_AA,AA
Inhib.Vip,14,sn_fine,carrier_EA,EA
