cluster,mod,n_gene,n_FDR05,nUP,nDown,model,file,datatype,cell_type_broad,contrast,n_donor
OPC,NA,17290,1,1,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_EA,14
Vasc,NA,8801,1,0,1,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_AA,15
Vasc,NA,8801,1,1,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_EA,14
Excit,NA,25772,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_AA,16
Excit,NA,25772,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_EA,14
Inhib,NA,21076,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_AA,16
Inhib,NA,21076,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_EA,14
Astro.1,NA,16867,19,16,3,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,15
Astro.1,NA,16867,2,0,2,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Astro.2,NA,9994,2,0,2,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
Astro.2,NA,9994,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Astro.3,NA,10634,2,1,1,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
Astro.3,NA,10634,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Astro.4,NA,8135,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,12
Astro.4,NA,8135,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,13
Astro.5,NA,1793,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,13
Astro.5,NA,1793,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Macro,NA,2931,2,2,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,8
Macro,NA,2931,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,10
Micro.1,NA,10158,18,14,4,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,15
Micro.1,NA,10158,1,1,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,13
Micro.2,NA,8763,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
Micro.2,NA,8763,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Micro.3,NA,7923,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,13
Micro.3,NA,7923,4,4,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,13
Micro.4,NA,6620,4,2,2,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,14
Micro.4,NA,6620,3,2,1,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,13
Micro.5,NA,2327,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,14
Micro.5,NA,2327,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,11
OPC.1,NA,13131,1,1,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
OPC.1,NA,13131,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
OPC.2,NA,10614,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
OPC.2,NA,10614,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
OPC.3,NA,14268,1,1,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
OPC.3,NA,14268,1,1,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
OPC.4,NA,11598,3,1,2,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
OPC.4,NA,11598,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
OPC.5,NA,1841,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,6
OPC.5,NA,1841,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,7
Oligo.1,NA,13280,7,6,1,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
Oligo.1,NA,13280,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Oligo.2,NA,13983,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,15
Oligo.2,NA,13983,2,2,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Oligo.3,NA,11496,533,376,157,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
Oligo.3,NA,11496,233,175,58,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Oligo.4,NA,12055,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
Oligo.4,NA,12055,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Oligo.5,NA,9670,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
Oligo.5,NA,9670,1,1,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Vasc.Endo,NA,5058,1,0,1,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,14
Vasc.Endo,NA,5058,37,14,23,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,13
Vasc.VLMC,NA,6644,3,0,3,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,11
Vasc.VLMC,NA,6644,1,1,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,11
Excit.L2,NA,20080,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,12
Excit.L2,NA,20080,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,12
Excit.L2_5.1,NA,22201,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
Excit.L2_5.1,NA,22201,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Excit.L2_5.2,NA,13455,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,7
Excit.L2_5.2,NA,13455,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,7
Excit.L5.1,NA,17720,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,12
Excit.L5.1,NA,17720,1,1,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,12
Excit.L5.2,NA,11952,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,4
Excit.L5.2,NA,11952,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,5
Excit.L6_CT,NA,14031,3,2,1,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,8
Excit.L6_CT,NA,14031,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,8
Excit.L6b,NA,15739,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,10
Excit.L6b,NA,15739,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,8
Inhib.Lamp5_Lhx6,NA,13528,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,14
Inhib.Lamp5_Lhx6,NA,13528,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,12
Inhib.Pvalb,NA,15219,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,14
Inhib.Pvalb,NA,15219,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,12
Inhib.Vip,NA,19549,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,16
Inhib.Vip,NA,19549,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,14
Inhib.Chandelier,NA,10214,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,8
Inhib.Chandelier,NA,10214,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,6
Inhib.Sst,NA,12194,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_AA,13
Inhib.Sst,NA,12194,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_fine.csv,sn_fine,NA,carrier_EA,13
Inhib~Sp09D09,interaction Age,12722,1,1,0,interaction_Age,vlmf_model_summary_interaction_Age_Visium.csv,Visium,NA,NA,30
Vasc~Sp09D08,interaction Age,9014,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_Visium.csv,Visium,NA,NA,30
L1~Sp09D05,interaction Age,11594,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_Visium.csv,Visium,NA,NA,30
L2.3~Sp09D01,interaction Age,14006,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_Visium.csv,Visium,NA,NA,30
LD~Sp09D02,interaction Age,15053,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_Visium.csv,Visium,NA,NA,30
L5~Sp09D03,interaction Age,14322,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_Visium.csv,Visium,NA,NA,30
L6~Sp09D04,interaction Age,13930,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_Visium.csv,Visium,NA,NA,30
WM.uf~Sp09D07,interaction Age,3172,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_Visium.csv,Visium,NA,NA,30
WM~Sp09D06,interaction Age,9409,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_Visium.csv,Visium,NA,NA,30
L5~Sp09D03,interaction Anc,14322,1,0,1,interaction_Anc,vlmf_model_summary_interaction_Anc_Visium.csv,Visium,NA,NA,30
Vasc~Sp09D08,interaction Anc,9014,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_Visium.csv,Visium,NA,NA,30
L1~Sp09D05,interaction Anc,11594,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_Visium.csv,Visium,NA,NA,30
L2.3~Sp09D01,interaction Anc,14006,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_Visium.csv,Visium,NA,NA,30
LD~Sp09D02,interaction Anc,15053,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_Visium.csv,Visium,NA,NA,30
Inhib~Sp09D09,interaction Anc,12207,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_Visium.csv,Visium,NA,NA,30
L6~Sp09D04,interaction Anc,13930,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_Visium.csv,Visium,NA,NA,30
WM.uf~Sp09D07,interaction Anc,3172,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_Visium.csv,Visium,NA,NA,30
WM~Sp09D06,interaction Anc,9409,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_Visium.csv,Visium,NA,NA,30
Astro,interaction Age,18320,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_broad.csv,sn_broad,NA,NA,30
Macro,interaction Age,2931,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_broad.csv,sn_broad,NA,NA,18
Micro,interaction Age,14350,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_broad.csv,sn_broad,NA,NA,30
Oligo,interaction Age,21175,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_broad.csv,sn_broad,NA,NA,30
OPC,interaction Age,17884,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_broad.csv,sn_broad,NA,NA,30
Vasc,interaction Age,9533,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_broad.csv,sn_broad,NA,NA,29
Excit,interaction Age,25772,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_broad.csv,sn_broad,NA,NA,30
Inhib,interaction Age,21076,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_broad.csv,sn_broad,NA,NA,30
Astro,interaction Anc,18320,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_broad.csv,sn_broad,NA,NA,30
Macro,interaction Anc,2931,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_broad.csv,sn_broad,NA,NA,18
Micro,interaction Anc,14350,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_broad.csv,sn_broad,NA,NA,30
Oligo,interaction Anc,21175,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_broad.csv,sn_broad,NA,NA,30
OPC,interaction Anc,17290,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_broad.csv,sn_broad,NA,NA,30
Vasc,interaction Anc,8801,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_broad.csv,sn_broad,NA,NA,29
Excit,interaction Anc,25772,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_broad.csv,sn_broad,NA,NA,30
Inhib,interaction Anc,21076,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_broad.csv,sn_broad,NA,NA,30
Excit.L5.2,interaction Age,11952,7,7,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,9
Excit.L2_5.1,interaction Age,22170,3,1,2,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
OPC.3,interaction Age,14349,1,0,1,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
Astro.1,interaction Age,16867,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,29
Astro.2,interaction Age,10083,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
Astro.3,interaction Age,10569,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
Astro.4,interaction Age,8135,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,25
Astro.5,interaction Age,1793,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,27
Macro,interaction Age,2931,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,18
Micro.1,interaction Age,10199,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,28
Micro.2,interaction Age,8990,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
Micro.3,interaction Age,8114,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,26
Micro.4,interaction Age,6768,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,27
Micro.5,interaction Age,2285,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,25
OPC.1,interaction Age,13474,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
OPC.2,interaction Age,10555,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
OPC.4,interaction Age,11670,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
OPC.5,interaction Age,1362,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,13
Oligo.1,interaction Age,13970,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
Oligo.2,interaction Age,14226,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,29
Oligo.3,interaction Age,11482,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
