Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000148411,NACC2,16,-3.5355,204,0.30960,192,0.19150,188,0.21698
ENSG00000172889,EGFL7,1284,1.22493,339,-1.0749,173,-2.1368,842,0.86768
ENSG00000196642,RABL6,16,-3.7752,204,-0.0022,256,0.43826,225,0.26369
ENSG00000054148,PHPT1,16,-4.0644,270,0.15125,257,0.05814,293,0.45156
ENSG00000107223,EDF1,16,-5.8322,2506,2.76048,366,-1.4213,459,-1.3251
ENSG00000107317,PTGDS,218,-3.3812,253,-3.3345,3589,1.15884,2632,0.73518
ENSG00000107331,ABCA2,642,0.04650,487,-0.4458,201,-1.8888,900,1.15612
ENSG00000107281,NPDC1,16,-4.5804,738,1.58313,335,-0.1099,259,-0.7374
ENSG00000176978,DPP7,16,-3.5722,204,0.26168,245,0.62739,171,-0.0950
ENSG00000176884,GRIN1,16,-5.7771,2871,3.67612,566,-0.6400,105,-3.7065
ENSG00000176101,SSNA1,16,-3.5267,204,0.32266,142,-0.3477,210,0.56874
ENSG00000212864,RNF208,16,-3.4499,410,2.14457,247,0.82411,34,-2.9367
ENSG00000188229,TUBB4B,16,-4.5396,659,1.36229,202,-0.9353,343,-0.0190
ENSG00000165802,NSMF,16,-4.4804,769,1.89495,609,1.27110,53,-3.3851
ENSG00000182154,MRPL41,16,-3.8836,312,0.68998,303,0.62635,183,-0.4456
ENSG00000067057,PFKP,16,-3.3362,432,2.61466,194,0.49050,22,-3.5248
ENSG00000057608,GDI2,16,-3.5252,204,0.32383,153,-0.2059,204,0.47970
ENSG00000048740,CELF2,16,-3.8506,721,3.35451,224,0.08202,6,-5.8004
ENSG00000123240,OPTN,16,-3.6804,483,2.16393,80,-1.4636,144,-0.6672
ENSG00000065809,FAM107B,16,-4.0434,218,-0.2116,52,-2.5211,413,1.88513
ENSG00000148468,FAM171A1,16,-3.1211,204,0.89905,167,0.48626,103,-0.5559
ENSG00000026025,VIM,16,-6.1634,230,-2.4929,811,-0.4827,1864,2.14958
ENSG00000150867,PIP4K2A,16,-4.6285,204,-1.0211,123,-1.8202,659,2.29247
ENSG00000107863,ARHGAP21,54,-2.6615,326,0.07716,195,-0.8304,430,0.97087
ENSG00000170759,KIF5B,16,-4.7994,204,-1.2137,209,-1.1749,720,2.09405
ENSG00000237949,LINC00844,16,-5.2313,229,-1.5054,244,-1.4056,1013,2.39430
ENSG00000151150,ANK3,16,-3.4994,343,1.52174,123,-0.5687,143,-0.4034
ENSG00000096746,HNRNPH3,16,-3.3531,204,0.56114,182,0.33246,146,-0.1035
ENSG00000156515,HK1,16,-3.6164,520,2.58058,230,0.44398,32,-3.2183
ENSG00000180817,PPA1,16,-4.0680,268,0.13613,185,-0.5355,331,0.84100
ENSG00000107738,VSIR,16,-4.1591,211,-0.4098,222,-0.3243,377,1.09141
ENSG00000197746,PSAP,562,-0.9490,1667,0.98234,1250,0.37678,711,-0.8473
ENSG00000107742,SPOCK2,396,-0.3879,612,0.36723,377,-0.5253,543,0.19418
ENSG00000168209,DDIT4,16,-4.4328,212,-0.7324,230,-0.5893,497,1.46224
ENSG00000107758,PPP3CB,16,-4.4106,1178,4.07156,227,-0.5884,4,-6.8736
ENSG00000156113,KCNMA1,16,-3.7580,687,3.44228,192,-0.0907,10,-5.0952
ENSG00000138326,RPS24,725,-1.7619,330,-3.0921,985,-1.4181,4263,2.66594
ENSG00000165424,ZCCHC24,16,-5.7920,1973,2.00400,264,-1.8918,724,-0.3098
ENSG00000122378,PRXL2A,16,-3.6808,398,1.58836,294,0.86426,80,-1.8071
ENSG00000165678,GHITM,16,-4.5250,555,0.97778,273,-0.4026,352,0.07201
ENSG00000173267,SNCG,16,-3.7212,545,2.48949,221,0.22230,55,-2.4911
ENSG00000148671,ADIRF,585,0.14989,204,-1.6217,438,-0.3574,734,0.97275
ENSG00000148672,GLUD1,16,-3.9821,205,-0.2507,596,2.16884,125,-1.3712
ENSG00000171862,PTEN,16,-3.5806,204,0.25003,179,0.00287,206,0.39976
ENSG00000197430,OPALIN,406,0.35738,288,-0.2348,94,-2.0528,443,0.92003
ENSG00000187122,SLIT1,16,-4.2917,1182,4.97853,112,-1.6084,5,-6.6486
ENSG00000171314,PGAM1,389,0.14119,712,1.47841,443,0.41699,128,-2.0760
ENSG00000099194,SCD,16,-6.0826,507,-1.1755,434,-1.4270,1784,2.23183
ENSG00000166136,NDUFB8,16,-4.4785,308,-0.1363,338,0.03624,419,0.67869
ENSG00000107829,FBXW4,16,-3.7519,388,1.39534,64,-1.8880,221,0.26457
ENSG00000198408,OGA,16,-3.6569,456,2.02642,213,0.23981,84,-1.6778
ENSG00000059915,PSD,16,-4.6881,871,1.83707,717,1.32002,63,-3.3302
ENSG00000138107,ACTR1A,16,-3.8157,685,3.20555,128,-0.8621,61,-2.4152
ENSG00000173915,ATP5MD,16,-5.0533,521,0.10352,412,-0.3215,638,0.75976
ENSG00000107957,SH3PXD2A,16,-3.4316,333,1.57081,90,-0.9997,146,-0.2364
ENSG00000148700,ADD3,16,-4.0735,204,-0.3720,422,1.06666,246,-0.0412
ENSG00000119950,MXI1,16,-3.6594,240,0.46646,129,-0.6620,235,0.63601
ENSG00000187164,SHTN1,16,-5.0591,372,-0.5097,165,-1.8358,840,1.94584
ENSG00000198825,INPP5F,16,-4.6616,1029,2.44252,175,-1.3017,239,-1.0199
ENSG00000066468,FGFR2,16,-3.6176,221,0.36262,80,-1.3948,257,1.04812
ENSG00000166033,HTRA1,16,-5.1106,208,-1.5251,1043,1.52931,524,0.05642
