BrNum,perm,neighbor,Z,scale,reference,id
Br5415,3,Vasc.PC,8.503203244488907,200,Astro.1,NA
Br5415,1,Vasc.VLMC,-11.259807393058367,200,Astro.1,NA
Br5415,2,Vasc.VLMC,-11.338051073935198,200,Astro.1,NA
Br5415,3,Vasc.VLMC,-11.531605787425944,200,Astro.1,NA
Br5415,1,Excit.L2,-3.58657865410321,200,Astro.1,NA
Br5415,2,Excit.L2,-3.2107233736680407,200,Astro.1,NA
Br5415,3,Excit.L2,-2.953152304466631,200,Astro.1,NA
Br5415,1,Excit.L2_5.1,-6.907057450518292,200,Astro.1,NA
Br5415,2,Excit.L2_5.1,-5.8789284724068605,200,Astro.1,NA
Br5415,3,Excit.L2_5.1,-6.600518975670369,200,Astro.1,NA
Br5415,1,Excit.L2_5.2,-7.466159276689392,200,Astro.1,NA
Br5415,2,Excit.L2_5.2,-8.239923118492499,200,Astro.1,NA
Br5415,3,Excit.L2_5.2,-8.359046306998492,200,Astro.1,NA
Br5415,1,Excit.L5.1,-13.525750534582551,200,Astro.1,NA
Br5415,2,Excit.L5.1,-13.02585676260523,200,Astro.1,NA
Br5415,3,Excit.L5.1,-13.26089506836691,200,Astro.1,NA
Br5415,1,Excit.L5.2,1.4702771820074951,200,Astro.1,NA
Br5415,2,Excit.L5.2,0.4375449102809274,200,Astro.1,NA
Br5415,3,Excit.L5.2,2.3761919743005877,200,Astro.1,NA
Br5415,1,Excit.L6_CT,6.6677398711717455,200,Astro.1,NA
Br5415,2,Excit.L6_CT,6.6677398711717455,200,Astro.1,NA
Br5415,3,Excit.L6_CT,6.6677398711717455,200,Astro.1,NA
Br5415,1,Excit.L6b,-2.758708845805462,200,Astro.1,NA
Br5415,2,Excit.L6b,-4.240160602704057,200,Astro.1,NA
Br5415,3,Excit.L6b,-2.68595911319647,200,Astro.1,NA
Br5415,1,Inhib.Chandelier,3.7887667891989794,200,Astro.1,NA
Br5415,2,Inhib.Chandelier,3.7887667891989794,200,Astro.1,NA
Br5415,3,Inhib.Chandelier,3.3863050662805105,200,Astro.1,NA
Br5415,1,Inhib.Lamp5_Lhx6,-0.7553583483092707,200,Astro.1,NA
Br5415,2,Inhib.Lamp5_Lhx6,-0.0746319858083509,200,Astro.1,NA
Br5415,3,Inhib.Lamp5_Lhx6,0.6962300311269112,200,Astro.1,NA
Br5415,1,Inhib.Pax6,-7.0948019344980775,200,Astro.1,NA
Br5415,2,Inhib.Pax6,-6.801198140531247,200,Astro.1,NA
Br5415,3,Inhib.Pax6,-6.5586473129765395,200,Astro.1,NA
Br5415,1,Inhib.Pvalb,-12.633539273084805,200,Astro.1,NA
Br5415,2,Inhib.Pvalb,-12.295021205995793,200,Astro.1,NA
Br5415,3,Inhib.Pvalb,-12.900071471963702,200,Astro.1,NA
Br5415,1,Inhib.Sst,-6.913079848514707,200,Astro.1,NA
Br5415,2,Inhib.Sst,-6.913079848514707,200,Astro.1,NA
Br5415,3,Inhib.Sst,-7.511208075436071,200,Astro.1,NA
Br5415,1,Inhib.Vip,8.544025115784075,200,Astro.1,NA
Br5415,2,Inhib.Vip,8.246693629510418,200,Astro.1,NA
Br5415,3,Inhib.Vip,7.675219503829506,200,Astro.1,NA
Br5415,1,Astro.1,2.2091821290395086,500,Astro.1,NA
Br5415,2,Astro.1,2.9181979430111036,500,Astro.1,NA
