BrNum,region,perm,neighbor,Z,scale,reference,id
Br5517,GM,3,Micro.2,-3.9800191991189044,75,Astro.1,NA
Br5517,GM,1,Micro.5,2.9484489313253506,75,Astro.1,NA
Br5517,GM,2,Micro.5,3.305909505584085,75,Astro.1,NA
Br5517,GM,3,Micro.5,2.9484489313253506,75,Astro.1,NA
Br5517,GM,1,OPC.1,-0.9114703461162124,75,Astro.1,NA
Br5517,GM,2,OPC.1,-0.9114703461162124,75,Astro.1,NA
Br5517,GM,3,OPC.1,NA,75,Astro.1,NA
Br5517,GM,1,OPC.2,2.7770079618033234,75,Astro.1,NA
Br5517,GM,2,OPC.2,2.7770079618033234,75,Astro.1,NA
Br5517,GM,3,OPC.2,2.7770079618033234,75,Astro.1,NA
Br5517,GM,1,OPC.4,2.910078167193424,75,Astro.1,NA
Br5517,GM,2,OPC.4,2.910078167193424,75,Astro.1,NA
Br5517,GM,3,OPC.4,2.910078167193424,75,Astro.1,NA
Br5517,GM,1,OPC.5,3.7496529724124645,75,Astro.1,NA
Br5517,GM,2,OPC.5,3.4027884404550943,75,Astro.1,NA
Br5517,GM,3,OPC.5,3.7496529724124645,75,Astro.1,NA
Br5517,GM,1,Oligo.1,-0.7269577389978983,75,Astro.1,NA
Br5517,GM,2,Oligo.1,-0.44784276267496853,75,Astro.1,NA
Br5517,GM,3,Oligo.1,-0.978926146884194,75,Astro.1,NA
Br5517,GM,1,Oligo.2,-1.507178160125089,75,Astro.1,NA
Br5517,GM,2,Oligo.2,-1.9972139585744866,75,Astro.1,NA
Br5517,GM,3,Oligo.2,-2.147546199570345,75,Astro.1,NA
Br5517,GM,1,Oligo.3,5.366006137336859,75,Astro.1,NA
Br5517,GM,2,Oligo.3,5.5559528190602805,75,Astro.1,NA
Br5517,GM,3,Oligo.3,5.5559528190602805,75,Astro.1,NA
Br5517,GM,1,Oligo.4,1.6462898820543237,75,Astro.1,NA
Br5517,GM,2,Oligo.4,1.8528315815729945,75,Astro.1,NA
Br5517,GM,3,Oligo.4,1.0702811079917551,75,Astro.1,NA
Br5517,GM,1,Oligo.5,-2.586389605039102,75,Astro.1,NA
Br5517,GM,2,Oligo.5,-3.0247091053217603,75,Astro.1,NA
Br5517,GM,3,Oligo.5,-2.88526823807441,75,Astro.1,NA
Br5517,GM,1,Vasc.Endo,-2.127587899348942,75,Astro.1,NA
Br5517,GM,2,Vasc.Endo,-1.2014270883845062,75,Astro.1,NA
Br5517,GM,3,Vasc.Endo,-0.8423617162009066,75,Astro.1,NA
Br5517,GM,1,Vasc.PC,2.6303500008379666,75,Astro.1,NA
Br5517,GM,2,Vasc.PC,2.6303500008379666,75,Astro.1,NA
Br5517,GM,3,Vasc.PC,2.6303500008379666,75,Astro.1,NA
Br5517,GM,1,Vasc.VLMC,-1.8246694177913467,75,Astro.1,NA
Br5517,GM,2,Vasc.VLMC,-2.741342382899417,75,Astro.1,NA
Br5517,GM,3,Vasc.VLMC,-2.8905457889516857,75,Astro.1,NA
Br5517,GM,1,Excit.L2,7.9528829875438785,75,Astro.1,NA
Br5517,GM,2,Excit.L2,8.056013542519464,75,Astro.1,NA
Br5517,GM,3,Excit.L2,8.36992720548653,75,Astro.1,NA
Br5517,GM,1,Excit.L2_5.1,6.18822425972423,75,Astro.1,NA
Br5517,GM,2,Excit.L2_5.1,5.9626131872812165,75,Astro.1,NA
Br5517,GM,3,Excit.L2_5.1,5.9626131872812165,75,Astro.1,NA
Br5517,GM,1,Excit.L2_5.2,2.2272558442335866,75,Astro.1,NA
Br5517,GM,2,Excit.L2_5.2,2.2272558442335866,75,Astro.1,NA
Br5517,GM,3,Excit.L2_5.2,2.778230740449835,75,Astro.1,NA
Br5517,GM,1,Excit.L5.1,-5.911373669484002,75,Astro.1,NA
Br5517,GM,2,Excit.L5.1,-6.479217584468073,75,Astro.1,NA
Br5517,GM,3,Excit.L5.1,-6.201061362600339,75,Astro.1,NA
Br5517,GM,1,Excit.L5.2,2.0167719863192346,75,Astro.1,NA
Br5517,GM,2,Excit.L5.2,1.8550559277719878,75,Astro.1,NA
Br5517,GM,3,Excit.L5.2,1.3918499699047555,75,Astro.1,NA
Br5517,GM,1,Excit.L6_CT,-0.9114703461162124,75,Astro.1,NA
Br5517,GM,2,Excit.L6_CT,-0.9114703461162124,75,Astro.1,NA
Br5517,GM,3,Excit.L6_CT,NA,75,Astro.1,NA
Br5517,GM,1,Excit.L6b,0.741885393283802,75,Astro.1,NA
Br5517,GM,2,Excit.L6b,1.55304369388032,75,Astro.1,NA
Br5517,GM,3,Excit.L6b,1.55304369388032,75,Astro.1,NA
Br5517,GM,1,Inhib.Chandelier,-4.16774313997764,75,Astro.1,NA
Br5517,GM,2,Inhib.Chandelier,-4.94819097287695,75,Astro.1,NA
