Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000162441,LZIC,46,0.42101,34,-0.0852,32,-0.2156,28,-0.3736,43,0.33786
ENSG00000130939,UBE4B,23,-0.8824,65,0.86282,39,-0.1405,40,-0.0603,32,-0.4168
ENSG00000054523,KIF1B,139,-1.1859,373,0.39481,287,-0.1161,296,-0.0213,342,0.23600
ENSG00000142657,PGD,46,-0.1078,68,0.59836,41,-0.4520,55,0.19274,49,0.00378
ENSG00000241563,CORT,25,-2.4395,38,-1.9381,46,-2.0478,989,4.59533,36,-2.0189
ENSG00000160049,DFFA,33,-0.0257,30,-0.1613,26,-0.5965,31,-0.0945,56,0.97386
ENSG00000142655,PEX14,16,-1.0060,38,0.29893,34,0.18565,42,0.44329,23,-0.5524
ENSG00000120948,TARDBP,85,0.28436,86,0.32251,66,-0.2051,55,-0.3990,72,0.02023
ENSG00000116649,SRM,69,-0.9385,127,-0.0078,143,0.33442,127,-0.0058,116,-0.1541
ENSG00000171824,EXOSC10,30,0.30696,30,0.33642,18,-0.8088,48,1.07322,24,-0.0710
ENSG00000198793,MTOR,38,-0.3179,51,0.15484,58,0.65232,26,-0.8928,28,-0.8575
ENSG00000116661,FBXO2,201,-0.3041,206,-0.2953,245,0.00941,238,-0.0405,305,0.40197
ENSG00000132879,FBXO44,98,-0.7326,204,0.46486,166,0.12597,153,-0.0514,125,-0.3987
ENSG00000116670,MAD2L2,15,-0.8461,31,0.31986,25,-0.0650,18,-0.5696,32,0.37435
ENSG00000177000,MTHFR,22,0.41398,15,-0.1714,17,-0.0009,21,0.31022,14,-0.2997
ENSG00000011021,CLCN6,32,-1.1919,96,0.60363,61,-0.2917,90,0.43204,69,-0.0009
ENSG00000116685,KIAA2013,49,0.40012,48,0.43720,26,-0.8335,66,0.89415,37,-0.0493
ENSG00000083444,PLOD1,34,0.59763,22,-0.0904,19,-0.4961,21,-0.2071,32,0.54436
ENSG00000116688,MFN2,55,-0.8032,116,0.39819,87,-0.1727,128,0.50893,87,-0.1212
ENSG00000116691,MIIP,30,1.08818,21,0.54891,11,-0.8432,13,-0.2817,16,0.04159
ENSG00000048707,VPS13D,43,-0.1350,54,0.24419,48,0.03426,49,0.06252,40,-0.2969
ENSG00000162496,DHRS3,70,1.62335,14,-1.0259,14,-1.3586,10,-1.4255,57,1.49378
ENSG00000116731,PRDM2,48,-0.4648,97,0.75769,58,-0.2827,54,-0.2847,63,-0.0478
ENSG00000189337,KAZN,32,-0.1176,61,1.08263,24,-0.8284,47,0.49706,29,-0.3043
ENSG00000142634,EFHD2,36,-1.0214,170,1.80689,19,-2.5214,92,0.42624,105,0.73810
ENSG00000116138,DNAJC16,14,-0.9384,36,0.54744,22,-0.3787,61,1.39652,15,-0.9023
ENSG00000197312,DDI2,13,-0.4870,33,1.16524,14,-0.5906,15,-0.2298,16,-0.1592
ENSG00000116786,PLEKHM2,90,-0.0427,74,-0.3872,101,0.24673,125,0.48327,75,-0.3730
ENSG00000065526,SPEN,47,0.23634,48,0.27915,33,-0.4811,40,-0.0296,49,0.33693
ENSG00000116809,ZBTB17,19,0.01429,17,-0.2071,16,-0.4072,36,1.06454,19,0.05893
ENSG00000037637,FBXO42,9,-1.0218,24,0.64339,19,0.30692,8,-1.1879,13,-0.3813
ENSG00000055070,SZRD1,51,0.64999,30,-0.1945,29,-0.4362,40,0.26111,40,0.28961
ENSG00000219481,NBPF1,16,-0.2963,18,-0.1408,19,-0.1152,15,-0.4572,28,0.61744
ENSG00000058453,CROCC,16,-0.0626,26,0.86463,15,-0.2490,14,-0.2066,12,-0.5394
ENSG00000159363,ATP13A2,106,-0.5449,176,0.27760,150,-0.0036,232,0.70739,107,-0.5808
ENSG00000117118,SDHB,73,-0.4304,86,-0.1875,110,0.38868,101,0.07934,79,-0.3287
ENSG00000117115,PADI2,51,0.66948,17,-1.0894,18,-1.3267,30,-0.1636,81,1.80372
ENSG00000179051,RCC2,12,-0.7598,20,0.05403,21,0.25750,26,0.46297,14,-0.4901
ENSG00000117154,IGSF21,11,-2.5799,125,1.25768,47,-0.7509,73,0.17460,73,0.20533
ENSG00000159423,ALDH4A1,25,-0.6819,24,-0.7892,40,0.07223,24,-0.7435,65,0.97522
ENSG00000127463,EMC1,41,0.43095,41,0.48947,28,-0.3032,32,0.03614,25,-0.3634
ENSG00000053372,MRTO4,22,-0.6478,34,0.00226,42,0.55105,26,-0.4092,26,-0.4709
ENSG00000053371,AKR7A2,85,0.88003,33,-0.6673,50,0.02304,24,-1.0790,60,0.32806
ENSG00000077549,CAPZB,311,0.59288,235,0.15766,198,-0.2118,180,-0.2848,208,-0.0571
ENSG00000173436,MICOS10,350,-0.2045,285,-0.5728,424,0.16555,484,0.31015,432,0.14042
ENSG00000158747,NBL1,580,1.62307,255,0.23524,132,-1.1793,236,0.08561,236,0.09897
ENSG00000169914,OTUD3,9,-1.1869,26,0.57904,22,0.43340,16,-0.2994,11,-0.9361
ENSG00000162545,CAMK2N1,579,-1.3708,1103,-0.4279,2008,1.12552,965,-0.5964,885,-0.7910
ENSG00000090432,MUL1,19,-0.2967,32,0.59098,20,-0.3657,24,0.03277,24,0.06288
ENSG00000158828,PINK1,229,-0.9733,460,0.12211,460,0.18913,531,0.34052,371,-0.2527
ENSG00000244038,DDOST,30,0.14305,29,0.08849,30,0.24948,27,-0.0238,19,-0.6743
ENSG00000117245,KIF17,8,-1.1389,29,0.98885,17,-0.0775,11,-0.6498,14,-0.3400
ENSG00000189410,SH2D5,22,-0.2514,34,0.50785,26,0.10473,32,0.36402,13,-1.0690
ENSG00000127483,HP1BP3,177,0.01418,184,0.08392,152,-0.3587,279,0.75647,173,-0.0252
ENSG00000075151,EIF4G3,71,-0.9240,193,0.73552,131,0.02684,124,-0.0691,95,-0.5262
ENSG00000117298,ECE1,51,1.77706,16,-0.1740,12,-0.9307,16,-0.1283,19,0.09858
ENSG00000076864,RAP1GAP,95,-0.7342,259,0.98861,141,-0.2078,139,-0.1596,115,-0.4975
ENSG00000090686,USP48,26,-0.7409,43,0.04649,47,0.30233,31,-0.4602,42,0.00476
ENSG00000070831,CDC42,274,0.20299,279,0.25877,240,-0.0159,253,0.07770,185,-0.4552
ENSG00000173372,C1QA,144,2.68041,9,-2.0730,21,-1.0021,29,-0.2340,34,0.05006
ENSG00000159189,C1QC,112,2.60391,5,-2.6548,15,-1.2047,24,-0.1776,35,0.51537
ENSG00000173369,C1QB,216,2.88710,17,-1.5992,31,-0.8924,17,-1.4952,41,-0.1970
ENSG00000004487,KDM1A,35,-0.5923,62,0.33816,52,0.01325,62,0.28475,43,-0.2981
ENSG00000169641,LUZP1,22,-0.7860,49,0.55774,31,-0.4098,71,1.10253,27,-0.4917
ENSG00000125944,HNRNPR,81,-0.3279,117,0.27540,95,-0.1212,95,-0.0784,107,0.11468
ENSG00000125945,ZNF436,12,-0.9717,35,0.70560,23,-0.0195,21,-0.1956,20,-0.2879
ENSG00000117318,ID3,317,3.88725,6,-3.0856,12,-2.6484,27,-0.8748,55,0.24742
ENSG00000142676,RPL11,1678,1.34028,372,-1.1724,664,-0.3232,589,-0.3889,986,0.48696
ENSG00000011007,ELOA,31,0.59604,31,0.69291,17,-0.5690,20,-0.1137,19,-0.2210
ENSG00000057757,PITHD1,105,-0.9453,246,0.44049,196,0.04441,268,0.52725,139,-0.5625
ENSG00000011009,LYPLA2,38,-0.6889,58,-0.0324,77,0.79458,36,-0.7526,38,-0.7601
ENSG00000117308,GALE,10,-0.8378,22,0.46062,16,-0.2329,25,0.58913,16,-0.1467
ENSG00000117305,HMGCL,30,1.11301,13,-0.2017,9,-1.0424,5,-1.6820,29,1.22560
ENSG00000179163,FUCA1,12,-0.3224,16,0.16961,16,0.24071,14,-0.0786,11,-0.4092
ENSG00000189266,PNRC2,112,1.03403,64,0.11466,47,-0.5626,53,-0.1848,64,0.12001
ENSG00000188529,SRSF10,50,-0.1353,71,0.45184,49,-0.3010,44,-0.3318,62,0.22666
ENSG00000001461,NIPAL3,43,-0.4446,83,0.70312,31,-1.2999,145,1.57838,57,0.01203
ENSG00000133226,SRRM1,106,1.12554,59,0.16910,35,-0.9531,68,0.39275,60,0.20598
ENSG00000169504,CLIC4,227,2.88087,27,-0.9708,12,-2.7167,38,-0.3800,77,0.87919
ENSG00000117614,SYF2,119,0.73588,60,-0.3854,70,-0.2033,87,0.22468,78,0.05301
ENSG00000117616,RSRP1,45,-0.0578,57,0.33889,41,-0.3599,71,0.65393,42,-0.1872
ENSG00000183726,TMEM50A,99,0.07195,101,0.10846,94,-0.0182,69,-0.4955,101,0.11499
ENSG00000204178,MACO1,38,0.37331,36,0.31488,27,-0.2550,24,-0.3720,31,0.03879
ENSG00000117643,MAN1C1,71,0.77096,44,-0.0148,58,0.80222,10,-2.2242,14,-1.7838
ENSG00000162430,SELENON,70,0.59589,44,-0.1605,48,0.00284,45,-0.0950,43,-0.1986
ENSG00000117640,MTFR1L,53,-0.3531,84,0.42936,61,-0.2297,77,0.23335,64,-0.0526
ENSG00000117632,STMN1,463,-1.3506,1565,0.62246,1272,0.36809,833,-0.4580,744,-0.6867
ENSG00000158008,EXTL1,26,-1.0819,64,0.30237,54,0.01058,58,0.11119,55,0.03969
ENSG00000175087,PDIK1L,4,-1.8233,20,0.56796,15,0.06213,6,-1.2390,18,0.33414
ENSG00000142684,ZNF593,36,0.17592,28,-0.2365,34,0.16692,35,0.13901,28,-0.2519
ENSG00000142669,SH3BGRL3,383,0.39031,359,0.32240,283,-0.1560,246,-0.3122,271,-0.1772
ENSG00000158062,UBXN11,33,0.27908,17,-0.8195,29,0.10784,57,1.16751,19,-0.6586
ENSG00000117682,DHDDS,13,-0.8153,31,0.60938,19,-0.3942,28,0.38159,23,0.07563
ENSG00000198830,HMGN2,280,0.77466,116,-0.6899,151,-0.3536,231,0.45736,208,0.32175
ENSG00000117713,ARID1A,38,-0.6817,79,0.51097,51,-0.3676,71,0.28257,65,0.16945
ENSG00000204160,ZDHHC18,24,-0.4518,48,0.75908,29,-0.2062,36,0.17753,24,-0.4781
ENSG00000142751,GPN2,19,0.14711,21,0.32577,18,0.03017,11,-0.7563,16,-0.1502
ENSG00000090273,NUDC,140,-0.3447,173,-0.0148,191,0.25341,159,-0.1409,158,-0.1669
ENSG00000253368,TRNP1,41,-0.9900,60,-0.4711,95,0.55166,109,0.53167,59,-0.4760
ENSG00000090020,SLC9A1,28,0.04685,53,1.25905,20,-0.6792,24,-0.2271,21,-0.4708
ENSG00000142784,WDTC1,40,-0.0778,40,-0.0625,42,0.03487,42,-0.0111,43,0.05140
ENSG00000186501,TMEM222,63,-0.2208,96,0.50479,63,-0.3494,75,0.03795,77,0.10322
ENSG00000158195,WASF2,79,1.51546,20,-0.7567,18,-1.2503,26,-0.3178,58,1.13356
ENSG00000126705,AHDC1,10,-2.1752,70,0.96494,34,-0.5371,75,0.95119,34,-0.3439
ENSG00000126709,IFI6,437,1.28758,293,0.68933,90,-1.7127,248,0.32798,251,0.39185
ENSG00000009780,FAM76A,16,-0.1307,24,0.49829,19,0.15401,11,-0.6787,13,-0.4793
ENSG00000117758,STX12,81,-0.1556,137,0.80597,82,-0.2148,55,-0.7492,80,-0.1828
ENSG00000117751,PPP1R8,7,-2.2740,27,-0.2583,31,-0.0294,59,1.02171,36,0.21286
ENSG00000117748,RPA2,41,-0.4397,76,0.62867,53,-0.0459,42,-0.3702,46,-0.2532
ENSG00000126698,DNAJC8,210,0.59482,155,0.11857,128,-0.3210,116,-0.3459,161,0.18189
ENSG00000130770,ATP5IF1,319,-0.8905,477,-0.2979,737,0.79172,557,-0.0272,361,-0.7632
ENSG00000180098,TRNAU1AP,8,-1.3332,20,0.13367,17,-0.1832,22,0.27773,24,0.46248
ENSG00000120656,TAF12,34,1.20792,24,0.73718,11,-0.8607,8,-0.9938,16,-0.0208
ENSG00000198492,YTHDF2,31,-1.2789,86,0.31739,81,0.30252,69,-0.0831,60,-0.3273
ENSG00000116350,SRSF4,51,0.23762,65,0.73412,26,-1.1379,60,0.50497,55,0.39147
ENSG00000116353,MECR,38,0.41549,35,0.32457,25,-0.3975,19,-0.6335,35,0.31494
ENSG00000162511,LAPTM5,90,1.25529,19,-1.2938,37,-0.3021,37,-0.2197,56,0.52123
ENSG00000162512,SDC3,93,-1.1755,211,0.08823,200,-0.0020,231,0.22798,229,0.23640
ENSG00000134644,PUM1,57,-1.3563,188,0.56226,141,0.06017,175,0.38350,102,-0.5092
ENSG00000121766,ZCCHC17,62,-1.0992,164,0.47729,134,0.15834,124,-0.0273,102,-0.3563
ENSG00000121769,FABP3,63,-1.5224,218,0.43165,218,0.70256,112,-0.6715,95,-0.9824
ENSG00000162517,PEF1,72,-0.3962,114,0.38658,103,0.30276,47,-1.0371,76,-0.3221
ENSG00000084636,COL16A1,21,-0.3269,38,0.75273,20,-0.5393,20,-0.3669,31,0.32141
ENSG00000121753,ADGRB2,123,-0.9859,296,0.43703,258,0.27947,219,-0.0992,169,-0.5417
ENSG00000184007,PTP4A2,165,-0.1142,165,-0.1278,150,-0.4183,229,0.40838,240,0.54766
ENSG00000121774,KHDRBS1,153,0.22384,150,0.21566,132,-0.0162,88,-0.6394,130,-0.0350
ENSG00000121775,TMEM39B,20,0.36889,22,0.58946,13,-0.5611,24,0.66305,12,-0.4802
ENSG00000025800,KPNA6,38,0.07096,59,0.88370,30,-0.5038,23,-0.7078,38,0.04310
ENSG00000084652,TXLNA,28,0.21350,32,0.44312,21,-0.3511,23,-0.1392,25,0.03715
ENSG00000160050,CCDC28B,14,-0.3146,12,-0.5911,16,-0.2112,29,0.81415,22,0.41813
ENSG00000084623,EIF3I,126,-0.0265,161,0.41719,113,-0.3173,180,0.54837,108,-0.2943
ENSG00000175130,MARCKSL1,189,-0.4907,163,-0.7791,203,-0.5822,325,0.36565,494,1.25904
ENSG00000160058,BSDC1,25,-1.4035,73,0.26891,60,-0.0962,97,0.71653,60,-0.0853
ENSG00000176261,ZBTB8OS,32,-0.6100,38,-0.4210,52,0.21601,69,0.57581,46,-0.0712
ENSG00000162521,RBBP4,90,-0.0107,97,0.12605,94,0.11197,71,-0.3862,84,-0.1216
ENSG00000162522,KIAA1522,25,-0.1151,18,-0.7179,32,0.50295,30,0.14596,23,-0.2729
ENSG00000134684,YARS,77,-0.4987,141,0.50894,124,0.41542,74,-0.5601,61,-0.9407
ENSG00000121905,HPCA,153,-0.7935,317,0.38851,303,0.48707,162,-0.7110,174,-0.6534
ENSG00000121900,TMEM54,33,-0.6874,41,-0.3985,60,0.39430,46,-0.1764,55,0.10825
ENSG00000004455,AK2,30,0.27828,24,-0.1149,17,-0.9701,19,-0.4540,50,1.30913
ENSG00000142920,AZIN2,22,0.04935,26,0.32441,21,-0.0840,13,-0.7584,23,0.10204
ENSG00000160094,ZNF362,1,-3.2969,17,0.10769,17,0.15160,16,0.04529,20,0.36490
ENSG00000134686,PHC2,67,0.27726,68,0.34291,50,-0.2900,61,0.13688,52,-0.1417
ENSG00000163866,SMIM12,24,-0.9017,47,0.14851,50,0.36022,31,-0.5486,41,-0.1101
ENSG00000116544,DLGAP3,45,-0.5652,63,-0.0522,76,0.41839,46,-0.5240,60,-0.1352
ENSG00000163867,ZMYM6,9,-1.1385,27,0.68377,16,-0.2996,24,0.40914,18,-0.0916
ENSG00000116560,SFPQ,184,0.45985,151,0.16239,118,-0.3908,132,-0.0706,155,0.20925
ENSG00000146463,ZMYM4,64,0.40139,45,-0.1843,53,0.17408,39,-0.4001,45,-0.1722
ENSG00000142687,KIAA0319L,21,-1.1675,73,0.87169,45,-0.0267,28,-0.7600,41,-0.1946
ENSG00000020129,NCDN,267,-1.0065,642,0.40986,640,0.65974,309,-0.7805,285,-0.9789
ENSG00000126067,PSMB2,85,-0.3934,138,0.41632,102,-0.1924,143,0.42322,97,-0.2162
ENSG00000142686,C1orf216,46,-1.2562,144,0.58545,128,0.59004,66,-0.7184,55,-1.0646
ENSG00000092847,AGO1,24,-0.3918,32,0.06760,24,-0.6236,61,1.11671,36,0.26776
ENSG00000126070,AGO3,11,-0.2320,20,0.70355,5,-1.9640,22,0.83622,24,1.13725
ENSG00000116863,ADPRHL2,19,0.06051,23,0.35774,15,-0.4509,18,-0.0281,22,0.30900
ENSG00000054116,TRAPPC3,45,-0.4015,77,0.48556,60,0.06399,43,-0.4911,52,-0.2188
ENSG00000116871,MAP7D1,169,-0.4054,203,-0.1399,258,0.45323,207,-0.0935,173,-0.4090
ENSG00000054118,THRAP3,65,0.11078,81,0.51873,53,-0.3267,63,0.04800,56,-0.1366
ENSG00000196182,STK40,13,-0.6373,25,0.34072,20,-0.0675,25,0.32910,18,-0.1651
ENSG00000181817,LSM10,53,0.11869,41,-0.3182,57,0.37355,29,-0.8353,49,-0.0316
ENSG00000116885,OSCP1,12,-0.9916,23,0.02317,27,0.43535,30,0.42593,15,-0.7094
ENSG00000116898,MRPS15,39,-0.8176,64,-0.0549,79,0.51979,43,-0.6606,60,-0.1567
ENSG00000163873,GRIK3,0,-7.0614,40,1.48799,5,-2.4747,59,1.95174,21,0.22310
ENSG00000163875,MEAF6,85,-0.5448,146,0.33820,136,0.32598,102,-0.2646,86,-0.5881
ENSG00000163877,SNIP1,9,-0.8616,17,0.13980,18,0.28580,10,-0.7492,17,0.08794
ENSG00000134697,GNL2,20,0.12207,23,0.38240,17,-0.1384,14,-0.4412,18,-0.0394
ENSG00000185090,MANEAL,12,-1.3710,43,0.58491,30,-0.1085,53,0.86779,21,-0.6708
ENSG00000196449,YRDC,13,-0.2267,18,0.37291,16,0.22202,7,-1.1477,13,-0.2039
ENSG00000197982,C1orf122,252,-0.1189,209,-0.4439,267,-0.0442,274,0.01716,353,0.47836
ENSG00000183431,SF3A3,51,0.51250,44,0.30859,34,-0.2019,28,-0.4333,35,-0.1149
ENSG00000183520,UTP11,25,-0.4880,42,0.37132,35,0.11303,35,0.07815,26,-0.4411
ENSG00000116954,RRAGC,43,-0.0051,43,-0.0299,42,-0.0722,63,0.59848,37,-0.2549
ENSG00000174574,AKIRIN1,38,-1.3277,104,0.23788,103,0.36149,68,-0.4606,85,-0.1254
ENSG00000168653,NDUFS5,573,-0.4148,606,-0.3623,908,0.56515,641,-0.2399,627,-0.3033
ENSG00000127603,MACF1,156,0.25930,137,0.06265,101,-0.6438,192,0.60108,164,0.38733
ENSG00000090621,PABPC4,84,0.24704,60,-0.3132,63,-0.3395,120,0.84069,76,0.10812
ENSG00000116983,HPCAL4,144,-1.3644,351,-0.0019,400,0.36301,387,0.15151,317,-0.1830
ENSG00000084072,PPIE,29,0.06130,27,-0.1030,26,-0.1926,16,-0.8191,40,0.65158
ENSG00000168389,MFSD2A,42,0.84700,19,-0.4066,21,-0.4569,15,-0.8078,37,0.75085
ENSG00000131236,CAP1,149,-0.0315,158,0.06962,163,0.18864,120,-0.3617,136,-0.1961
ENSG00000131238,PPT1,128,-0.1530,146,0.06553,146,0.10734,146,0.06035,125,-0.2080
ENSG00000084073,ZMPSTE24,43,0.09796,48,0.29057,34,-0.4592,57,0.54764,41,0.02766
ENSG00000084070,SMAP2,95,-0.4275,171,0.57246,132,0.13643,112,-0.1687,84,-0.6687
ENSG00000117016,RIMS3,32,-1.1743,88,0.46313,69,0.02042,92,0.46776,54,-0.4072
ENSG00000066136,NFYC,22,-0.7396,47,0.45633,35,-0.1102,37,0.03927,36,-0.0081
ENSG00000179862,CITED4,26,0.32817,20,-0.0546,23,0.24633,16,-0.4333,17,-0.3765
ENSG00000010803,SCMH1,24,0.40162,17,-0.1367,21,0.38631,9,-1.0980,15,-0.3417
ENSG00000127124,HIVEP3,0,-4.4934,32,0.99719,16,-0.3304,29,0.67533,16,-0.3098
ENSG00000198815,FOXJ3,43,-0.6688,87,0.47783,78,0.41169,43,-0.6951,44,-0.6966
ENSG00000177181,RIMKLA,12,-1.5155,39,0.29618,37,0.32023,42,0.37866,23,-0.6129
ENSG00000127125,PPCS,45,-0.4815,49,-0.4013,72,0.43129,79,0.40302,48,-0.4106
ENSG00000171960,PPIH,2,-3.2131,14,-0.2528,21,0.74036,8,-1.0292,19,0.20098
